Time,long,M,a,e,i,peri,node,mass
0.0,220.5,2.268927e-06,2.07926,0.289746,0.0,219.8056,0.6944,0.0008209359
27.3785079,218.1179,235.9841,2.14472,0.306202,0.0,217.7721,0.3457,0.0008209359
54.7570157,215.1956,266.4295,2.1378,0.300666,0.0,214.7576,0.438,0.0008209359
82.1355236,213.9325,124.6581,2.08048,0.283035,0.0,215.4263,358.5062,0.0008209359
109.5140315,211.993,77.49085,2.13192,0.295248,0.0,214.4975,357.4955,0.0008209359
136.8925394,211.8858,39.66915,2.07301,0.278304,0.0,212.9547,358.9311,0.0008209359
164.2710472,208.6241,244.804,2.12264,0.290468,0.0,208.1702,0.4539,0.0008209359
191.6495551,205.0411,272.0319,2.14654,0.2932,0.0,204.3989,0.6422,0.0008209359
219.028063,205.0819,165.2895,2.08617,0.275123,0.0,206.3471,358.7348,0.0008209359
246.4065708,203.2108,84.99754,2.14134,0.28703,0.0,206.1322,357.0785,0.0008209359
273.7850787,201.4131,85.6901,2.07774,0.267754,0.0,203.626,357.7871,0.0008209359
301.1635866,198.758,282.5497,2.07155,0.263971,0.0,198.801,359.957,0.0008209359
328.5420945,195.1785,276.9363,2.13722,0.278439,0.0,195.5781,359.6004,0.0008209359
355.9206023,195.6899,208.9465,2.08409,0.262452,0.0,197.2471,358.4428,0.0008209359
383.2991102,192.5193,79.71784,2.14695,0.276878,0.0,195.3716,357.1477,0.0008209359
410.6776181,188.5509,109.1144,2.14055,0.274765,0.0,191.3234,357.2275,0.0008209359
438.0561259,187.6169,342.3435,2.07577,0.25457,0.0,187.6122,0.0047,0.0008209359
465.4346338,185.5451,274.1111,2.13579,0.265818,0.0,186.9611,358.5839,0.0008209359
492.8131417,183.8061,269.4218,2.07873,0.245848,0.0,184.9648,358.8413,0.0008209359
520.1916496,180.5058,109.097,2.07322,0.241549,0.0,184.14,356.3658,0.0008209359
547.5701574,176.6994,99.58503,2.13471,0.256698,0.0,180.299,356.4003,0.0008209359
574.9486653,176.9857,40.22719,2.07487,0.240384,0.0,179.6978,357.2878,0.0008209359
602.3271732,172.7738,259.0789,2.13653,0.254137,0.0,175.5486,357.2252,0.0008209359
629.705681,168.1003,286.4495,2.1468,0.252701,0.0,169.288,358.8123,0.0008209359
657.0841889,167.6977,179.5603,2.08351,0.233374,0.0,171.1209,356.5769,0.0008209359
684.4626968,165.255,84.29629,2.1484,0.247502,0.0,168.1687,357.0863,0.0008209359
711.8412047,160.9678,105.7158,2.1231,0.240327,0.0,165.8645,355.1033,0.0008209359
739.2197125,158.1354,320.7155,2.07135,0.223555,0.0,160.082,358.0534,0.0008209359
766.5982204,155.7912,266.2877,2.13696,0.236893,0.0,158.9996,356.7915,0.0008209359
793.9767283,153.5127,257.4082,2.07837,0.217152,0.0,157.2093,356.3034,0.0008209359
821.3552361,149.1852,100.9361,2.07452,0.214434,0.0,152.4564,356.7288,0.0008209359
848.733744,145.5428,83.42776,2.13624,0.230367,0.0,148.5407,357.0021,0.0008209359
876.1122519,144.674,41.21771,2.0718,0.212665,0.0,146.5236,358.1503,0.0008209359
903.4907598,140.054,248.3079,2.0947,0.217633,0.0,143.3744,356.6797,0.0008209359
930.8692676,134.8547,260.4094,2.14335,0.227632,0.0,138.1911,356.6637,0.0008209359
