Time,long,M,a,e,i,peri,node,mass
0.0,334.0,0.0,2.09471,0.029555,0.0001,334.017,359.983,0.002415111
27.3785079,334.6307,62.43029,2.09473,0.031686,0.0001,334.8681,359.7626,0.002415111
54.7570157,339.7472,120.2087,2.0942,0.032531,0.0001,340.2095,359.5377,0.002415111
82.1355236,344.0004,178.7214,2.09396,0.030757,0.0001,344.7743,359.226,0.002415111
109.5140315,345.4446,240.0761,2.09411,0.028052,0.0001,346.5183,358.9263,0.002415111
136.8925394,343.9054,304.4761,2.0943,0.025672,0.0001,345.2582,358.6473,0.002415111
164.2710472,340.1191,11.1606,2.09422,0.024227,0.0001,341.784,358.3351,0.002415111
191.6495551,335.4808,78.65972,2.09412,0.02386,0.0001,337.3956,358.0852,0.002415111
219.028063,331.5082,145.4747,2.09418,0.024764,0.0001,333.67,357.8382,0.002415111
246.4065708,331.1691,208.7781,2.09461,0.027133,0.0001,333.5659,357.6032,0.002415111
273.7850787,336.7415,266.1493,2.09464,0.028261,0.0001,339.431,357.3105,0.002415111
301.1635866,341.2811,324.4706,2.09445,0.026301,0.0001,344.2502,357.0309,0.002415111
328.5420945,341.5422,26.97821,2.09474,0.023747,0.0001,344.7267,356.8155,0.002415111
355.9206023,338.1022,93.2511,2.09503,0.021896,0.0001,341.519,356.5832,0.002415111
383.2991102,333.1806,161.0883,2.09512,0.020909,0.0001,336.822,356.3587,0.002415111
410.6776181,327.5958,229.5361,2.09492,0.020962,0.0001,331.5466,356.0492,0.002415111
438.0561259,323.0978,296.8375,2.0947,0.022488,0.0001,327.3004,355.7974,0.002415111
465.4346338,323.3906,359.4208,2.09486,0.025067,0.0001,327.7633,355.6273,0.002415111
492.8131417,329.8451,55.91446,2.09486,0.025973,0.0001,334.4382,355.407,0.002415111
520.1916496,333.6548,115.0413,2.09437,0.023837,0.0001,338.4108,355.2439,0.002415111
547.5701574,331.8389,179.6379,2.09432,0.021726,0.0001,336.7878,355.0511,0.002415111
574.9486653,327.3641,246.9442,2.09456,0.020501,0.0001,332.5343,354.8298,0.002415111
602.3271732,321.4079,315.807,2.09471,0.020262,0.0001,326.8015,354.6065,0.002415111
629.705681,315.5686,24.53476,2.09452,0.021379,0.0001,321.1512,354.4174,0.002415111
657.0841889,312.7217,90.20711,2.09414,0.023691,0.0001,318.3878,354.3339,0.002415111
684.4626968,314.9464,150.7802,2.09418,0.026345,0.0001,320.729,354.2174,0.002415111
711.8412047,321.4713,207.1815,2.09442,0.026914,0.0001,327.4269,354.0444,0.002415111
739.2197125,324.384,267.3127,2.0939,0.024651,0.0001,330.5002,353.8838,0.002415111
766.5982204,322.2361,332.3141,2.09364,0.022891,0.0001,328.4671,353.769,0.002415111
793.9767283,317.3787,39.99654,2.09383,0.022191,0.0001,323.7214,353.6573,0.002415111
821.3552361,311.7973,108.4724,2.09436,0.022812,0.0001,318.2395,353.5578,0.002415111
848.733744,308.0392,175.1313,2.0947,0.0246,0.0001,314.5565,353.4827,0.002415111
876.1122519,306.9388,239.0368,2.095,0.027154,0.0001,313.5033,353.4355,0.002415111
903.4907598,308.8889,299.7807,2.09572,0.029796,0.0001,315.5833,353.3056,0.002415111
930.8692676,313.7017,357.73,2.09706,0.031014,0.0001,320.4505,353.2512,0.002415111
958.2477755,317.8507,56.5387,2.09762,0.030151,0.0001,324.5802,353.2705,0.002415111
985.6262834,319.1488,118.2027,2.09682,0.028138,0.0001,325.8593,353.2895,0.002415111
1013.0047912,315.7014,184.5387,2.09576,0.026555,0.0001,322.391,353.3104,0.002415111
1040.3832991,311.1,252.012,2.09504,0.026963,0.0001,317.8195,353.2806,0.002415111
1067.761807,307.9721,318.0351,2.09446,0.028734,0.0001,314.7492,353.2229,0.002415111
1095.1403149,306.8571,22.00883,2.09379,0.031209,0.0001,313.5523,353.3048,0.002415111
1122.5188227,308.2022,83.40154,2.09336,0.033709,0.0001,314.8053,353.3969,0.002415111
1149.8973306,311.1356,143.1394,2.09343,0.035595,0.0001,317.6048,353.5308,0.002415111
1177.2758385,315.218,201.86,2.09393,0.036409,0.0001,321.6735,353.5444,0.002415111
1204.6543463,318.9338,261.1689,2.09454,0.034597,0.0001,325.2639,353.6699,0.002415111
1232.0328542,317.3023,325.8161,2.09457,0.032323,0.0001,323.527,353.7752,0.002415111
1259.4113621,313.3781,32.67576,2.09468,0.032584,0.0001,319.5435,353.8346,0.002415111
1286.78987,311.0261,97.94294,2.09471,0.034489,0.0001,316.9736,354.0525,0.002415111
1314.1683778,311.0068,160.8369,2.09453,0.036877,0.0001,316.7702,354.2366,0.002415111
1341.5468857,312.3981,222.2122,2.09427,0.039111,0.0001,317.9423,354.4558,0.002415111
1368.9253936,314.8041,282.4552,2.0941,0.041029,0.0001,320.2003,354.6038,0.002415111
1396.3039014,318.6812,341.2763,2.09442,0.041925,0.0001,323.8737,354.8075,0.002415111
1423.6824093,322.2411,40.63414,2.09513,0.040329,0.0001,327.2122,355.0289,0.002415111
1451.0609172,321.2633,104.6341,2.0953,0.03802,0.0001,325.9702,355.2931,0.002415111
1478.4394251,318.329,170.5385,2.09517,0.038197,0.0001,322.7759,355.5531,0.002415111
1505.8179329,316.8869,234.8936,2.09509,0.040061,0.0001,321.0982,355.7887,0.002415111
1533.1964408,317.0658,297.5847,2.09492,0.042339,0.0001,320.978,356.0878,0.002415111
1560.5749487,318.3963,359.0292,2.09463,0.044559,0.0001,322.032,356.3643,0.002415111
1587.9534565,320.9761,59.10359,2.09424,0.046506,0.0001,324.2671,356.709,0.002415111
1615.3319644,324.6312,118.0997,2.09423,0.047331,0.0001,327.5498,357.0814,0.002415111
1642.7104723,327.8627,177.6896,2.09471,0.045827,0.0001,330.4616,357.4011,0.002415111
1670.0889802,327.787,240.7638,2.09479,0.043511,0.0001,330.1174,357.6696,0.002415111
1697.467488,325.6302,305.9527,2.0945,0.04331,0.0001,327.7189,357.9113,0.002415111
1724.8459959,324.1523,10.39471,2.09423,0.044782,0.0001,325.8797,358.2726,0.002415111
1752.2245038,324.212,73.22148,2.09408,0.04705,0.0001,325.4992,358.7127,0.002415111
1779.6030116,325.7099,134.5115,2.09387,0.049481,0.0001,326.6049,359.1049,0.002415111
1806.9815195,328.4051,194.4938,2.09364,0.051458,0.0001,328.9348,359.4703,0.002415111
1834.3600274,331.9635,253.5683,2.09373,0.052085,0.0001,332.1225,359.841,0.002415111
1861.7385352,335.1772,313.0853,2.09436,0.05075,0.0001,335.0297,0.1475,0.002415111
1889.1170431,335.7725,15.44295,2.09498,0.048424,0.0001,335.3417,0.4308,0.002415111
1916.495551,334.1789,80.11629,2.09522,0.04763,0.0001,333.3089,0.87,0.002415111
1943.8740589,332.8606,144.4433,2.09532,0.048541,0.0001,331.5874,1.2732,0.002415111
1971.2525667,332.4993,207.6949,2.0954,0.050521,0.0001,330.8958,1.6035,0.002415111
1998.6310746,333.3643,269.5973,2.09545,0.052937,0.0001,331.4316,1.9327,0.002415111
2026.0095825,335.7567,329.8348,2.09524,0.055133,0.0001,333.4545,2.3022,0.002415111
2053.3880903,339.0197,29.11815,2.09487,0.056109,0.0001,336.3859,2.6338,0.002415111
2080.7665982,342.0422,88.68929,2.09496,0.055641,0.0001,339.0003,3.0419,0.002415111
2108.1451061,344.2384,149.2654,2.0954,0.054153,0.0001,340.8074,3.431,0.002415111
2135.523614,344.9376,211.5877,2.0956,0.052221,0.0001,341.2857,3.6519,0.002415111
2162.9021218,343.5529,276.0818,2.09524,0.051231,0.0001,339.6338,3.9192,0.002415111
2190.2806297,341.9683,340.6932,2.09462,0.052465,0.0001,337.8017,4.1666,0.002415111
2217.6591376,342.2227,43.30806,2.09403,0.055042,0.0001,337.7073,4.5154,0.002415111
2245.0376454,344.2674,103.98,2.09361,0.05742,0.0001,339.4524,4.815,0.002415111
2272.4161533,347.1071,163.7444,2.09338,0.058606,0.0001,342.047,5.0601,0.002415111
2299.7946612,350.1519,223.2732,2.09349,0.058618,0.0001,344.8466,5.3053,0.002415111
2327.1731691,352.7873,283.3407,2.09398,0.057398,0.0001,347.301,5.4864,0.002415111
2354.5516769,353.8698,345.2056,2.0947,0.055107,0.0001,348.2381,5.6317,0.002415111
2381.9301848,352.741,49.42751,2.09519,0.053637,0.0001,346.8342,5.9068,0.002415111
2409.3086927,351.2567,113.9732,2.09513,0.054659,0.0001,345.1395,6.1172,0.002415111
2436.6872005,351.5069,176.6357,2.09481,0.057004,0.0001,345.2406,6.2663,0.002415111
2464.0657084,353.367,237.5146,2.09443,0.059006,0.0001,346.9838,6.3832,0.002415111
2491.4442163,355.9749,297.5115,2.09427,0.060153,0.0001,349.4505,6.5244,0.002415111
2518.8227242,358.8888,357.1658,2.09435,0.060294,0.0001,352.2516,6.6373,0.002415111
