Time,long,M,a,e,i,peri,node,mass
0.0,295.0,0.0,3.59768,0.097418,0.0,295.0446,359.9554,0.0005154758
27.3785079,298.3895,49.31706,3.59022,0.08605,0.0,296.675,1.7145,0.0005154758
54.7570157,294.1107,106.8955,3.58864,0.082393,0.0,290.628,3.4827,0.0005154758
82.1355236,292.8258,161.9957,3.58486,0.08633,0.0,287.1044,5.7214,0.0005154758
109.5140315,293.4135,215.1009,3.5769,0.089866,0.0,285.6296,7.7839,0.0005154758
136.8925394,295.5928,266.3407,3.56896,0.094577,0.0,285.9392,9.6537,0.0005154758
164.2710472,299.4889,315.7384,3.56563,0.09788,0.0,288.1636,11.3253,0.0005154758
191.6495551,303.7848,4.979263,3.56512,0.098225,0.0,290.6011,13.1837,0.0005154758
219.028063,307.4269,54.95869,3.56211,0.095529,0.0,292.4988,14.9281,0.0005154758
246.4065708,307.8942,107.7111,3.55291,0.089836,0.0,291.6482,16.246,0.0005154758
273.7850787,304.4943,164.4506,3.5494,0.093209,0.0001,286.9835,17.5108,0.0005154758
301.1635866,308.0942,214.5333,3.5469,0.101035,0.0001,289.0094,19.0848,0.0005154758
328.5420945,313.3124,263.269,3.53907,0.099935,0.0001,293.2045,20.1079,0.0005154758
355.9206023,315.3377,315.0514,3.53256,0.095441,0.0001,294.2386,21.0991,0.0005154758
383.2991102,314.6729,9.373858,3.53187,0.094187,0.0001,292.5926,22.0804,0.0005154758
410.6776181,314.8633,62.95779,3.53473,0.098069,0.0001,291.9376,22.9257,0.0005154758
438.0561259,318.317,113.4922,3.53785,0.102893,0.0001,294.5459,23.7711,0.0005154758
465.4346338,322.8371,162.7911,3.5368,0.100344,0.0001,298.5416,24.2956,0.0005154758
492.8131417,322.6,216.4759,3.53981,0.096385,0.0001,297.8493,24.7507,0.0005154758
520.1916496,323.57,269.0572,3.54977,0.099301,0.0001,298.3507,25.2193,0.0005154758
547.5701574,325.7096,321.1424,3.55095,0.099589,0.0001,300.2413,25.4683,0.0005154758
574.9486653,328.0044,12.78285,3.54837,0.099493,0.0001,302.4124,25.5919,0.0005154758
602.3271732,330.2882,64.09262,3.54872,0.100218,0.0001,304.4131,25.875,0.0005154758
629.705681,333.0316,115.0733,3.55615,0.100794,0.0001,306.9126,26.119,0.0005154758
657.0841889,336.9979,164.974,3.56647,0.098537,0.0001,311.0028,25.9951,0.0005154758
684.4626968,338.8849,217.0414,3.57184,0.091809,0.0001,313.0063,25.8785,0.0005154758
711.8412047,333.8363,275.5883,3.57552,0.089465,0.0001,307.8885,25.9479,0.0005154758
739.2197125,333.411,329.1123,3.58807,0.101148,0.0001,307.6785,25.7325,0.0005154758
766.5982204,339.8859,16.26238,3.59447,0.107651,0.0001,314.4114,25.4745,0.0005154758
793.9767283,347.3638,62.46467,3.59358,0.104957,0.0001,322.0733,25.2905,0.0005154758
821.3552361,351.1492,112.147,3.58989,0.096245,0.0001,326.0939,25.0553,0.0005154758
848.733744,350.1778,166.559,3.59012,0.08897,0.0001,325.4028,24.775,0.0005154758
876.1122519,348.1433,222.3479,3.59394,0.089718,0.0001,323.7361,24.4072,0.0005154758
903.4907598,349.1694,275.4853,3.59525,0.094034,0.0001,325.1751,23.9943,0.0005154758
930.8692676,352.0478,326.4441,3.58858,0.094792,0.0001,328.4108,23.637,0.0005154758
958.2477755,355.2903,16.27116,3.58365,0.094316,0.0001,332.1723,23.118,0.0005154758
985.6262834,357.3702,67.30432,3.58485,0.092108,0.0001,334.5651,22.8051,0.0005154758
1013.0047912,359.5976,118.5122,3.58859,0.088683,0.0001,337.3363,22.2613,0.0005154758
1040.3832991,358.9781,172.5968,3.58875,0.085018,0.0001,337.1647,21.8133,0.0005154758
1067.761807,356.8899,228.0913,3.58986,0.087394,0.0001,335.6038,21.2861,0.0005154758
1095.1403149,359.1034,279.4591,3.59309,0.094595,0.0001,338.3989,20.7044,0.0005154758
1122.5188227,5.304644,327.1965,3.59657,0.098726,0.0001,345.2198,20.0849,0.0005154758
1149.8973306,12.45562,14.21913,3.5951,0.095076,0.0001,353.0289,19.4267,0.0005154758
1177.2758385,16.50659,64.004,3.58575,0.084055,0.0001,357.5462,18.9604,0.0005154758
