Time,long,M,a,e,i,peri,node,mass
0.0,110.0,0.0,11.57527,0.158205,0.0001,109.95,0.05,0.001565521
27.3785079,106.9268,255.0918,11.82579,0.163383,0.0001,106.9699,359.9568,0.001565521
54.7570157,110.0447,142.3901,11.58241,0.174056,0.0001,110.0412,0.0035,0.001565521
82.1355236,114.56,29.19983,11.89865,0.177352,0.0001,114.5427,0.0173,0.001565521
109.5140315,114.2188,280.4714,11.57391,0.164062,0.0001,114.2539,359.9648,0.001565521
136.8925394,112.0363,173.8132,11.82587,0.151735,0.0001,112.1253,359.911,0.001565521
164.2710472,109.2035,68.13046,11.58921,0.161886,0.0001,109.2211,359.9824,0.001565521
191.6495551,107.5128,320.5387,11.87278,0.173771,0.0001,107.5495,359.9632,0.001565521
219.028063,111.7068,207.813,11.61034,0.172739,0.0001,111.7507,359.9561,0.001565521
246.4065708,114.7101,95.14233,11.79114,0.166414,0.0001,114.7516,359.9585,0.001565521
273.7850787,112.8795,348.8511,11.62666,0.162453,0.0001,112.8873,359.9922,0.001565521
301.1635866,109.2697,242.8028,11.78888,0.157085,0.0001,109.358,359.9116,0.001565521
328.5420945,110.2394,133.815,11.66554,0.163878,0.0001,110.3336,359.9058,0.001565521
355.9206023,111.4351,22.70735,11.77718,0.173199,0.0001,111.4896,359.9455,0.001565521
383.2991102,112.1236,273.9174,11.66812,0.169567,0.0001,112.2258,359.8978,0.001565521
410.6776181,113.3727,162.7056,11.71833,0.163615,0.0001,113.4882,359.8845,0.001565521
438.0561259,114.0212,54.13833,11.74206,0.164125,0.0001,114.0972,359.9241,0.001565521
465.4346338,109.4953,308.7187,11.73893,0.164196,0.0001,109.563,359.9323,0.001565521
492.8131417,109.9782,200.3817,11.71718,0.164091,0.0001,110.1302,359.848,0.001565521
520.1916496,111.477,88.80549,11.67088,0.170047,0.0001,111.57,359.907,0.001565521
547.5701574,112.3219,339.9244,11.7715,0.172894,0.0001,112.4171,359.9048,0.001565521
574.9486653,113.1951,229.0938,11.6677,0.163542,0.0001,113.3378,359.8574,0.001565521
602.3271732,114.2225,120.0421,11.79448,0.156578,0.0001,114.3965,359.826,0.001565521
629.705681,110.4491,14.12953,11.61332,0.16176,0.0001,110.5209,359.9282,0.001565521
657.0841889,108.4924,267.9596,11.80425,0.166773,0.0001,108.6322,359.8602,0.001565521
684.4626968,111.765,154.9924,11.60179,0.173561,0.0001,111.875,359.89,0.001565521
711.8412047,116.3098,41.83906,11.88602,0.173979,0.0001,116.4012,359.9087,0.001565521
739.2197125,114.7191,294.1954,11.57313,0.161623,0.0001,114.86,359.8591,0.001565521
766.5982204,111.391,188.8887,11.8389,0.150667,0.0001,111.5364,359.8545,0.001565521
793.9767283,109.0651,82.47274,11.5667,0.163939,0.0001,109.1664,359.8987,0.001565521
821.3552361,108.9546,333.3757,11.91003,0.178159,0.0001,109.0717,359.8829,0.001565521
848.733744,113.5214,220.2056,11.58217,0.174111,0.0001,113.6884,359.833,0.001565521
876.1122519,116.3309,107.701,11.81475,0.163561,0.0001,116.4687,359.8622,0.001565521
903.4907598,113.6342,2.50881,11.59758,0.159453,0.0001,113.7042,359.93,0.001565521
930.8692676,108.6508,257.647,11.82234,0.156253,0.0001,108.8275,359.8233,0.001565521
958.2477755,110.2702,148.3937,11.65155,0.16456,0.0001,110.4155,359.8547,0.001565521
985.6262834,112.2124,36.18135,11.76244,0.172897,0.0001,112.3521,359.8603,0.001565521
1013.0047912,113.227,287.5173,11.66808,0.170242,0.0001,113.3821,359.8448,0.001565521
1040.3832991,114.3606,176.0956,11.69745,0.163844,0.0001,114.5776,359.783,0.001565521
1067.761807,115.8775,67.04394,11.78488,0.161975,0.0001,116.0229,359.8545,0.001565521
1095.1403149,110.8658,321.9615,11.68277,0.162067,0.0001,111.0345,359.8313,0.001565521
1122.5188227,109.6585,215.5546,11.76407,0.161406,0.0001,109.7942,359.8643,0.001565521
1149.8973306,110.8338,104.3572,11.60933,0.171279,0.0001,110.9595,359.8744,0.001565521
1177.2758385,113.125,353.9352,11.86338,0.177991,0.0001,113.1992,359.9258,0.001565521
1204.6543463,114.8518,242.4603,11.6098,0.165869,0.0001,115.0294,359.8224,0.001565521
1232.0328542,115.1803,133.853,11.82846,0.153699,0.0001,115.3643,359.816,0.001565521
1259.4113621,110.7588,29.04694,11.57576,0.159765,0.0001,110.9014,359.8574,0.001565521
1286.78987,108.4049,282.8287,11.83723,0.167305,0.0001,108.5712,359.8337,0.001565521
1314.1683778,112.3025,169.7476,11.6069,0.172607,0.0001,112.4828,359.8197,0.001565521
1341.5468857,116.4005,56.50993,11.84464,0.17123,0.0001,116.5543,359.8462,0.001565521
1368.9253936,114.9237,309.2819,11.58997,0.162276,0.0001,115.0387,359.885,0.001565521
1396.3039014,111.7749,203.2656,11.8098,0.15344,0.0001,111.9611,359.8138,0.001565521
1423.6824093,110.9561,95.65661,11.62006,0.16414,0.0001,111.0426,359.9135,0.001565521
1451.0609172,110.9822,346.1468,11.85261,0.176157,0.0001,111.1384,359.8438,0.001565521
1478.4394251,113.748,234.8918,11.62698,0.170549,0.0001,113.9073,359.8407,0.001565521
1505.8179329,115.6372,123.3447,11.76819,0.162922,0.0001,115.8743,359.7629,0.001565521
1533.1964408,113.9888,16.90673,11.65998,0.162862,0.0001,114.0773,359.9115,0.001565521
1560.5749487,109.7793,271.3929,11.79136,0.160171,0.0001,109.9411,359.8382,0.001565521
