Time,long,M,a,e,i,peri,node,mass
0.0,105.0,0.0,0.0502,0.119949,0.0001,104.9582,0.0418,1.531821e-05
27.3785079,105.7091,301.0081,0.0502,0.119615,0.0001,105.4136,0.2955,1.531821e-05
54.7570157,106.4201,242.0045,0.0502,0.119284,0.0001,105.9453,0.4748,1.531821e-05
82.1355236,107.1327,182.9888,0.0502,0.11896,0.0001,106.3788,0.7539,1.531821e-05
109.5140315,107.8487,123.9632,0.0502,0.118644,0.0001,106.7669,1.0818,1.531821e-05
136.8925394,108.5662,64.95868,0.0502,0.118336,0.0001,107.1673,1.3989,1.531821e-05
164.2710472,109.2853,5.945271,0.0502,0.118038,0.0001,107.6372,1.6482,1.531821e-05
191.6495551,110.0056,306.9161,0.0502,0.117748,0.0001,108.0915,1.914,1.531821e-05
219.028063,110.7275,247.8894,0.0502,0.117467,0.0001,108.5951,2.1323,1.531821e-05
246.4065708,111.4504,188.8717,0.0502,0.117194,0.0001,109.0458,2.4046,1.531821e-05
273.7850787,112.1752,129.8534,0.0502,0.116926,0.0001,109.4756,2.6996,1.531821e-05
301.1635866,112.9036,70.81282,0.0502,0.116668,0.0001,109.9259,2.9777,1.531821e-05
328.5420945,113.6335,11.7795,0.0502,0.116421,0.0001,110.3582,3.2753,1.531821e-05
355.9206023,114.3642,312.7523,0.0502,0.116185,0.0001,110.9068,3.4574,1.531821e-05
383.2991102,115.0943,253.7229,0.0502,0.115954,0.0001,111.3957,3.6986,1.531821e-05
410.6776181,115.8267,194.6791,0.0502,0.115728,0.0001,111.8618,3.9649,1.531821e-05
438.0561259,116.5627,135.635,0.0502,0.115508,0.0001,112.3467,4.216,1.531821e-05
465.4346338,117.3018,76.59984,0.0502,0.1153,0.0001,112.7962,4.5056,1.531821e-05
492.8131417,118.0403,17.5549,0.0502,0.115099,0.0001,113.2318,4.8085,1.531821e-05
520.1916496,118.7823,318.5005,0.0502,0.114906,0.0001,113.7591,5.0232,1.531821e-05
547.5701574,119.5262,259.4451,0.0502,0.114723,0.0001,114.282,5.2443,1.531821e-05
574.9486653,120.2714,200.3991,0.0502,0.114547,0.0001,114.8002,5.4712,1.531821e-05
602.3271732,121.0192,141.3404,0.0502,0.114379,0.0001,115.3077,5.7115,1.531821e-05
629.705681,121.7696,82.27158,0.0502,0.114219,0.0001,115.7542,6.0154,1.531821e-05
657.0841889,122.5223,23.2083,0.0502,0.114069,0.0001,116.2364,6.2858,1.531821e-05
684.4626968,123.2766,324.1468,0.0502,0.113929,0.0001,116.7599,6.5168,1.531821e-05
711.8412047,124.031,265.0792,0.0502,0.113799,0.0001,117.3002,6.7308,1.531821e-05
739.2197125,124.7858,205.9994,0.0502,0.113671,0.0001,117.853,6.9329,1.531821e-05
766.5982204,125.5457,146.9271,0.0502,0.113549,0.0001,118.3702,7.1755,1.531821e-05
