Time,long,M,a,e,i,peri,node,mass
0.0,341.0,0.0,0.21748,0.139902,0.0001,341.0111,359.9889,5.466498e-05
27.3785079,340.7193,330.958,0.21747,0.138073,0.0001,340.7491,359.9701,5.466498e-05
54.7570157,340.4055,301.979,0.2175,0.136487,0.0001,340.4604,359.945,5.466498e-05
82.1355236,340.0316,273.2153,0.21747,0.135056,0.0001,340.0541,359.9775,5.466498e-05
109.5140315,339.3986,244.4542,0.21749,0.133341,0.0001,339.442,359.9566,5.466498e-05
136.8925394,339.1004,215.2048,0.21749,0.131567,0.0001,339.1251,359.9753,5.466498e-05
164.2710472,338.7332,186.0715,0.21748,0.130356,0.0001,338.7833,359.9498,5.466498e-05
191.6495551,338.0915,157.5181,0.21749,0.129365,0.0001,338.139,359.9525,5.466498e-05
219.028063,337.4714,128.9611,0.21747,0.127634,0.0001,337.5214,359.9499,5.466498e-05
246.4065708,336.9581,100.1592,0.21748,0.126229,0.0001,337.0363,359.9218,5.466498e-05
273.7850787,336.4658,71.14447,0.21746,0.125069,0.0001,336.5825,359.8833,5.466498e-05
301.1635866,335.834,42.31621,0.21746,0.124311,0.0001,335.9737,359.8603,5.466498e-05
328.5420945,335.0294,13.79138,0.21746,0.122905,0.0001,335.1995,359.8299,5.466498e-05
355.9206023,334.4374,345.1714,0.21749,0.121912,0.0001,334.5858,359.8517,5.466498e-05
383.2991102,333.7733,316.6478,0.21747,0.121186,0.0001,333.9295,359.8438,5.466498e-05
410.6776181,332.7837,288.2924,0.21748,0.120376,0.0001,332.9487,359.835,5.466498e-05
438.0561259,332.1388,259.4253,0.21749,0.119269,0.0001,332.2992,359.8396,5.466498e-05
465.4346338,331.4775,230.579,0.2175,0.118677,0.0001,331.649,359.8285,5.466498e-05
492.8131417,330.7366,202.12,0.21748,0.118265,0.0001,330.8801,359.8565,5.466498e-05
520.1916496,329.7578,173.9565,0.21749,0.118068,0.0001,329.9504,359.8075,5.466498e-05
547.5701574,328.9246,145.5197,0.21747,0.117246,0.0001,329.0999,359.8247,5.466498e-05
574.9486653,328.2311,116.6899,0.21746,0.116894,0.0001,328.4144,359.8167,5.466498e-05
602.3271732,327.4417,87.99102,0.21746,0.117049,0.0001,327.6502,359.7915,5.466498e-05
629.705681,326.3702,59.73353,0.21745,0.116666,0.0001,326.6121,359.7581,5.466498e-05
