Time,long,M,a,e,i,peri,node,mass
0.0,314.0,360.0,0.4759,0.349864,0.0001,314.0072,359.9928,6.878177e-05
27.3785079,314.4301,318.3062,0.47583,0.350158,0.0001,314.4703,359.9598,6.878177e-05
54.7570157,314.9138,276.5439,0.47573,0.350323,0.0001,314.9009,0.0129,6.878177e-05
82.1355236,315.377,234.7173,0.47584,0.35076,0.0001,315.371,0.006,6.878177e-05
109.5140315,315.8766,192.9913,0.47579,0.350912,0.0001,315.8538,0.0227,6.878177e-05
136.8925394,316.3387,151.3789,0.47578,0.351122,0.0001,316.3722,359.9664,6.878177e-05
164.2710472,316.8417,109.6977,0.47583,0.351392,0.0001,316.8796,359.9622,6.878177e-05
191.6495551,317.3307,67.86884,0.47578,0.35162,0.0001,317.3721,359.9585,6.878177e-05
219.028063,317.8098,26.04439,0.4758,0.352143,0.0001,317.9051,359.9047,6.878177e-05
246.4065708,318.2732,344.3104,0.4757,0.352342,0.0001,318.3686,359.9047,6.878177e-05
273.7850787,318.7498,302.6643,0.47574,0.352615,0.0001,318.8439,359.9059,6.878177e-05
301.1635866,319.2015,261.0173,0.47573,0.352732,0.0001,319.2628,359.9388,6.878177e-05
328.5420945,319.7112,219.2419,0.47572,0.353004,0.0001,319.7632,359.948,6.878177e-05
355.9206023,320.2024,177.4232,0.47562,0.353135,0.0001,320.2768,359.9256,6.878177e-05
383.2991102,320.6707,135.6178,0.47572,0.353512,0.0001,320.764,359.9067,6.878177e-05
410.6776181,321.1638,93.87271,0.47567,0.353549,0.0001,321.272,359.8918,6.878177e-05
438.0561259,321.6119,52.25792,0.47563,0.35361,0.0001,321.7612,359.8507,6.878177e-05
465.4346338,322.1073,10.59135,0.47561,0.353579,0.0001,322.2832,359.8241,6.878177e-05
492.8131417,322.6005,328.7621,0.47573,0.353736,0.0001,322.7547,359.8458,6.878177e-05
520.1916496,323.1092,286.8885,0.47569,0.35366,0.0001,323.259,359.8502,6.878177e-05
547.5701574,323.5935,245.1103,0.47574,0.353901,0.0001,323.7254,359.8681,6.878177e-05
574.9486653,324.0811,203.4645,0.47576,0.354009,0.0001,324.2193,359.8618,6.878177e-05
602.3271732,324.5397,161.8291,0.47577,0.353991,0.0001,324.7035,359.8362,6.878177e-05
629.705681,325.055,120.0536,0.47581,0.354077,0.0001,325.225,359.83,6.878177e-05
657.0841889,325.5613,78.17479,0.47575,0.353965,0.0001,325.7619,359.7994,6.878177e-05
684.4626968,326.0621,36.36915,0.47596,0.354314,0.0001,326.2906,359.7715,6.878177e-05
711.8412047,326.4886,354.6654,0.47599,0.354383,0.0001,326.7175,359.7711,6.878177e-05
739.2197125,326.9641,313.0522,0.476,0.354304,0.0001,327.1972,359.7669,6.878177e-05
766.5982204,327.4203,271.3922,0.47584,0.353902,0.0001,327.6599,359.7604,6.878177e-05
793.9767283,327.9308,229.5813,0.47584,0.353685,0.0001,328.1603,359.7705,6.878177e-05
821.3552361,328.4542,187.6809,0.4758,0.353376,0.0001,328.6966,359.7575,6.878177e-05
848.733744,328.9611,145.8695,0.47585,0.353482,0.0001,329.209,359.752,6.878177e-05
