Time,long,M,a,e,i,peri,node,mass
0.0,350.0,180.0,0.01702,4.1e-05,80.78,350.0,360.0,1.724049e-05
27.3785079,350.2568,262.8405,0.01702,3.9e-05,80.7736,350.3419,359.9149,1.724049e-05
54.7570157,357.5203,338.6754,0.01702,4.5e-05,80.7544,357.6886,359.8318,1.724049e-05
82.1355236,351.6547,67.63954,0.01702,4.7e-05,80.723,351.9022,359.7525,1.724049e-05
109.5140315,353.0802,149.3132,0.01702,5.3e-05,80.68,353.4011,359.6791,1.724049e-05
136.8925394,346.9807,238.5162,0.01702,6.3e-05,80.6266,347.3676,359.6131,1.724049e-05
164.2710472,346.6254,321.9806,0.01702,6.3e-05,80.5638,347.0693,359.5561,1.724049e-05
191.6495551,342.9011,48.82128,0.01702,7e-05,80.4932,343.3916,359.5095,1.724049e-05
219.028063,337.1398,137.7087,0.01702,6.8e-05,80.4164,337.6655,359.4743,1.724049e-05
246.4065708,341.7301,216.2544,0.01702,7.3e-05,80.3352,342.2787,359.4515,1.724049e-05
273.7850787,340.5541,300.5756,0.01702,7.1e-05,80.2515,341.1127,359.4414,1.724049e-05
301.1635866,348.1651,16.11652,0.01702,6.8e-05,80.1673,348.7208,359.4443,1.724049e-05
328.5420945,347.5425,99.89855,0.01702,7.5e-05,80.0845,348.0822,359.4603,1.724049e-05
355.9206023,355.5307,175.076,0.01702,7.7e-05,80.0051,356.0417,359.4889,1.724049e-05
383.2991102,0.2254657,253.5532,0.01702,9e-05,79.9309,0.696,359.5295,1.724049e-05
410.6776181,1.579018,335.3781,0.01702,8.9e-05,79.8637,1.9979,359.5811,1.724049e-05
438.0561259,3.166251,56.97592,0.01702,0.000101,79.8051,3.5237,359.6426,1.724049e-05
465.4346338,0.4493645,142.8829,0.01702,0.000106,79.7563,0.7369,359.7124,1.724049e-05
492.8131417,6.466106,220.0615,0.01702,0.000109,79.7186,6.6771,359.789,1.724049e-05
520.1916496,4.991598,304.7312,0.01702,0.000108,79.6929,5.121,359.8706,1.724049e-05
547.5701574,8.93231,23.98393,0.01702,0.000102,79.6797,8.9772,359.9552,1.724049e-05
574.9486653,10.87983,105.2268,0.01702,0.00011,79.6794,10.839,0.0408,1.724049e-05
602.3271732,17.83037,181.4638,0.01702,0.000105,79.692,17.7049,0.1255,1.724049e-05
629.705681,25.2758,257.2013,0.01702,0.000113,79.7172,25.0686,0.2072,1.724049e-05
657.0841889,27.02235,338.6344,0.01702,0.00011,79.7543,26.7383,0.2841,1.724049e-05
684.4626968,32.15144,56.67695,0.01702,0.000122,79.8025,31.7971,0.3543,1.724049e-05
711.8412047,32.29282,139.6996,0.01702,0.000129,79.8607,31.8767,0.4162,1.724049e-05
739.2197125,37.99,217.1597,0.01702,0.00013,79.9276,37.5217,0.4683,1.724049e-05
766.5982204,37.0227,301.2732,0.01702,0.000132,80.0015,36.5133,0.5094,1.724049e-05
793.9767283,39.29821,22.13266,0.01702,0.000126,80.0807,38.7596,0.5386,1.724049e-05
821.3552361,42.15216,102.3984,0.01702,0.000132,80.1633,41.597,0.5552,1.724049e-05
848.733744,46.61263,181.0438,0.01702,0.000123,80.2475,46.0538,0.5588,1.724049e-05
876.1122519,53.25243,257.4957,0.01702,0.000123,80.3313,52.7031,0.5493,1.724049e-05
903.4907598,55.62471,338.2053,0.01702,0.000121,80.4126,55.0977,0.527,1.724049e-05
930.8692676,62.70854,54.19244,0.01702,0.000127,80.4896,62.2161,0.4924,1.724049e-05
958.2477755,65.15045,134.809,0.01702,0.000132,80.5606,64.7041,0.4463,1.724049e-05
985.6262834,69.99481,213.0121,0.01702,0.000132,80.6238,69.605,0.3898,1.724049e-05
1013.0047912,70.19742,295.8458,0.01702,0.000136,80.6777,69.8732,0.3242,1.724049e-05
1040.3832991,72.0488,17.02098,0.01702,0.000133,80.7212,71.7977,0.2511,1.724049e-05
1067.761807,74.72243,97.36744,0.01702,0.000134,80.7532,74.5503,0.1721,1.724049e-05
1095.1403149,76.45464,178.6482,0.01702,0.000125,80.7729,76.3655,0.0891,1.724049e-05
1122.5188227,81.2149,256.8983,0.01702,0.000121,80.78,81.2109,0.004,1.724049e-05
1149.8973306,84.09566,337.0259,0.01702,0.000117,80.7742,84.1768,359.9189,1.724049e-05
1177.2758385,91.76813,52.36386,0.01702,0.000114,80.7556,91.9325,359.8356,1.724049e-05
