Time,long,M,a,e,i,peri,node,mass
0.0,0.01415609,179.9858,0.046,5e-05,80.0,0.0142,0.0,2.522999e-05
27.3785079,347.3406,38.29434,0.04599,0.000133,80.0026,347.3052,0.0355,2.522999e-05
54.7570157,355.2714,236.0056,0.04599,0.000165,80.0106,355.2014,0.0701,2.522999e-05
82.1355236,30.00563,46.90165,0.046,0.000204,80.0237,29.9026,0.1031,2.522999e-05
109.5140315,21.61425,260.9248,0.04599,0.000131,80.0416,21.4806,0.1337,2.522999e-05
136.8925394,8.776305,119.3986,0.04599,0.000116,80.0639,8.6152,0.1611,2.522999e-05
164.2710472,353.7715,340.0254,0.046,0.000221,80.09,353.5867,0.1847,2.522999e-05
191.6495551,14.45228,164.968,0.04599,0.000188,80.1194,14.2482,0.2041,2.522999e-05
219.028063,26.13502,358.9103,0.04599,0.000167,80.1513,25.9164,0.2186,2.522999e-05
246.4065708,348.1706,242.4844,0.046,7e-05,80.1851,347.9425,0.2281,2.522999e-05
273.7850787,0.174168,76.09246,0.04599,0.000134,80.2199,359.9419,0.2322,2.522999e-05
301.1635866,8.477561,273.4004,0.04599,0.000167,80.2549,8.2467,0.2309,2.522999e-05
328.5420945,55.0013,72.47261,0.046,0.000164,80.2893,54.7772,0.2241,2.522999e-05
355.9206023,44.4863,288.5865,0.04599,0.000109,80.3223,44.2741,0.2122,2.522999e-05
383.2991102,26.28158,152.3893,0.04599,8.8e-05,80.353,26.0863,0.1953,2.522999e-05
410.6776181,21.97793,2.276217,0.046,0.000214,80.3809,21.8041,0.1738,2.522999e-05
438.0561259,37.98827,191.8544,0.04599,0.000187,80.4053,37.84,0.1483,2.522999e-05
465.4346338,52.54291,22.88686,0.04599,0.000168,80.4255,52.4236,0.1193,2.522999e-05
492.8131417,3.077516,277.9269,0.046,0.000101,80.4411,2.99,0.0875,2.522999e-05
520.1916496,15.14523,111.4415,0.04599,0.000146,80.4518,15.0916,0.0537,2.522999e-05
547.5701574,24.06922,308.0991,0.046,0.000187,80.4572,24.0506,0.0186,2.522999e-05
574.9486653,70.12839,107.6112,0.046,0.00012,80.4574,70.1453,359.9831,2.522999e-05
602.3271732,55.15966,328.1618,0.04599,8.3e-05,80.4522,55.2117,359.948,2.522999e-05
629.705681,18.21339,210.6899,0.046,6.9e-05,80.4418,18.2993,359.9141,2.522999e-05
657.0841889,45.93683,28.54068,0.04599,0.000188,80.4263,46.0547,359.8821,2.522999e-05
684.4626968,60.02988,220.0348,0.04599,0.000169,80.4063,60.1769,359.853,2.522999e-05
711.8412047,80.97932,44.67367,0.046,0.000148,80.3822,81.152,359.8273,2.522999e-05
739.2197125,26.26785,304.9687,0.04599,0.000119,80.3544,26.4622,359.8056,2.522999e-05
766.5982204,34.15666,142.6778,0.04599,0.000156,80.3238,34.3682,359.7885,2.522999e-05
793.9767283,45.42765,337.0058,0.046,0.000209,80.2909,45.6514,359.7763,2.522999e-05
821.3552361,71.52354,156.5052,0.04599,0.000101,80.2565,71.7542,359.7693,2.522999e-05
848.733744,52.7913,20.84851,0.04599,7.8e-05,80.2215,53.0236,359.7677,2.522999e-05
876.1122519,11.25238,267.9983,0.046,0.0001,80.1867,11.4808,359.7716,2.522999e-05
903.4907598,61.70281,63.15748,0.04599,0.000159,80.1529,61.922,359.7808,2.522999e-05
930.8692676,75.7617,254.7236,0.04599,0.000144,80.1209,75.9666,359.7951,2.522999e-05
958.2477755,107.3848,68.72346,0.046,0.000108,80.0914,107.5706,359.8142,2.522999e-05
985.6262834,48.63985,333.0902,0.04599,0.000121,80.065,48.8021,359.8377,2.522999e-05
1013.0047912,53.91134,173.4545,0.04599,0.000155,80.0426,54.0464,359.865,2.522999e-05
1040.3832991,70.64991,2.347073,0.046,0.00022,80.0245,70.7545,359.8954,2.522999e-05
1067.761807,76.82096,201.8062,0.04599,0.000112,80.0111,76.8926,359.9283,2.522999e-05
1095.1403149,61.22803,63.04116,0.04599,9.6e-05,80.0029,61.2652,359.9629,2.522999e-05
1122.5188227,29.4303,300.4737,0.046,0.000151,80.0,29.432,359.9983,2.522999e-05
1149.8973306,70.45462,105.0823,0.04599,0.000153,80.0024,70.4208,0.0338,2.522999e-05
1177.2758385,84.0982,297.081,0.04599,0.000137,80.0101,84.0297,0.0685,2.522999e-05
1204.6543463,120.5129,106.2983,0.046,6.1e-05,80.023,120.4114,0.1016,2.522999e-05
1232.0328542,64.79814,7.642681,0.04599,0.000114,80.0407,64.6659,0.1323,2.522999e-05
1259.4113621,69.83999,208.2372,0.04599,0.000149,80.0627,69.6801,0.1598,2.522999e-05
1286.78987,96.81247,26.88827,0.046,0.000214,80.0887,96.6288,0.1837,2.522999e-05
1314.1683778,94.57168,234.7507,0.04599,0.000127,80.1179,94.3684,0.2033,2.522999e-05
1341.5468857,82.12986,92.81845,0.04599,0.000108,80.1498,81.9118,0.2181,2.522999e-05
1368.9253936,56.43639,324.1231,0.046,0.000192,80.1835,56.2086,0.2278,2.522999e-05
1396.3039014,83.43412,142.7355,0.04599,0.000172,80.2182,83.202,0.2321,2.522999e-05
1423.6824093,95.9701,335.8119,0.04599,0.000156,80.2532,95.739,0.2311,2.522999e-05
1451.0609172,88.35681,189.0221,0.046,4.4e-05,80.2877,88.1322,0.2246,2.522999e-05
1478.4394251,75.06267,47.91287,0.04599,0.000118,80.3207,74.8498,0.2129,2.522999e-05
1505.8179329,81.06513,247.5095,0.04599,0.000153,80.3516,80.8689,0.1962,2.522999e-05
1533.1964408,121.4707,52.68825,0.046,0.000192,80.3797,121.2958,0.1749,2.522999e-05
1560.5749487,116.4686,263.2767,0.04599,0.000127,80.4042,116.319,0.1496,2.522999e-05
1587.9534565,104.8995,120.4344,0.04599,0.000102,80.4246,104.7788,0.1207,2.522999e-05
1615.3319644,85.64536,345.2628,0.046,0.000214,80.4405,85.5563,0.089,2.522999e-05
1642.7104723,104.3212,172.1682,0.04599,0.000194,80.4514,104.2658,0.0553,2.522999e-05
1670.0889802,117.6843,4.388689,0.04599,0.000181,80.4571,117.664,0.0203,2.522999e-05
1697.467488,82.62178,245.0233,0.046,8e-05,80.4575,82.637,359.9848,2.522999e-05
1724.8459959,88.70975,84.51596,0.04599,0.000136,80.4526,88.7601,359.9496,2.522999e-05
1752.2245038,94.64263,284.1657,0.04599,0.000178,80.4424,94.727,359.9156,2.522999e-05
1779.6030116,141.4189,82.96381,0.046,0.000162,80.4272,141.5353,359.8836,2.522999e-05
1806.9815195,135.5471,294.4216,0.04599,0.000115,80.4074,135.6928,359.8543,2.522999e-05
1834.3600274,119.0138,156.5443,0.046,8.1e-05,80.3834,119.1853,359.8285,2.522999e-05
1861.7385352,114.0709,7.070075,0.046,0.000211,80.3558,114.2643,359.8066,2.522999e-05
1889.1170431,128.8376,197.9,0.04599,0.000198,80.3253,129.0484,359.7892,2.522999e-05
1916.495551,145.792,26.54525,0.046,0.000189,80.2925,146.0152,359.7768,2.522999e-05
1943.8740589,105.8888,272.0435,0.04599,0.000113,80.2582,106.1193,359.7695,2.522999e-05
1971.2525667,109.6186,113.9235,0.04599,0.000155,80.2232,109.8509,359.7677,2.522999e-05
1998.6310746,115.527,313.6279,0.046,0.000209,80.1884,115.7557,359.7713,2.522999e-05
2026.0095825,154.2445,120.5192,0.04599,0.000139,80.1545,154.4642,359.7802,2.522999e-05
2053.3880903,148.2596,332.1277,0.04599,0.000103,80.1223,148.4653,359.7943,2.522999e-05
2080.7665982,113.97,212.0419,0.046,7.2e-05,80.0927,114.1568,359.8132,2.522999e-05
2108.1451061,138.5491,33.08355,0.04599,0.000187,80.0662,138.7126,359.8365,2.522999e-05
2135.523614,152.2432,225.0244,0.04599,0.000183,80.0435,152.3796,359.8636,2.522999e-05
2162.9021218,176.3146,46.58561,0.046,0.000172,80.0252,176.4207,359.8939,2.522999e-05
2190.2806297,134.2245,294.3054,0.04599,0.000124,80.0117,134.2977,359.9267,2.522999e-05
2217.6591376,133.9623,140.2091,0.04599,0.000159,80.0032,134.0011,359.9612,2.522999e-05
2245.0376454,141.5679,338.2401,0.046,0.00023,80.0,141.5713,359.9966,2.522999e-05
2272.4161533,164.9264,160.5137,0.04599,0.000135,80.0022,164.8943,0.0321,2.522999e-05
2299.7946612,159.3995,11.68252,0.04599,0.000103,80.0096,159.3327,0.0669,2.522999e-05
2327.1731691,113.1974,263.5186,0.046,9.7e-05,80.0223,113.0973,0.1,2.522999e-05
2354.5516769,155.309,67.03567,0.04599,0.000161,80.0397,155.1782,0.1309,2.522999e-05
2381.9301848,169.6396,258.3412,0.04599,0.00016,80.0616,169.481,0.1586,2.522999e-05
2409.3086927,205.4192,68.18667,0.046,0.000132,80.0874,205.2365,0.1827,2.522999e-05
2436.6872005,159.2901,319.9368,0.04599,0.000112,80.1165,159.0876,0.2025,2.522999e-05
2464.0657084,155.5724,169.2804,0.04599,0.000143,80.1482,155.3549,0.2175,2.522999e-05
2491.4442163,168.9692,1.49604,0.046,0.00023,80.1819,168.7418,0.2274,2.522999e-05
2518.8227242,181.0999,194.9738,0.04599,0.000141,80.2166,180.8679,0.2321,2.522999e-05
2546.201232,176.8502,44.83661,0.04599,0.000108,80.2516,176.6189,0.2312,2.522999e-05
2573.5797399,130.006,297.28,0.046,0.000135,80.2861,129.781,0.225,2.522999e-05
2600.9582478,165.5579,107.3243,0.04599,0.000154,80.3192,165.3444,0.2136,2.522999e-05
2628.3367556,180.1379,298.3445,0.04599,0.000152,80.3502,179.9407,0.1971,2.522999e-05
2655.7152635,226.0502,98.01758,0.046,8e-05,80.3784,225.8742,0.176,2.522999e-05
2683.0937714,172.0505,357.603,0.04599,9e-05,80.4032,171.8997,0.1509,2.522999e-05
2710.4722793,166.6159,208.6275,0.04599,0.000123,80.4238,166.4937,0.1222,2.522999e-05
2737.8507871,194.9367,25.88327,0.046,0.000211,80.4398,194.8461,0.0906,2.522999e-05
2765.229295,201.4025,224.9969,0.04599,0.000139,80.451,201.3455,0.0569,2.522999e-05
2792.6078029,199.3239,72.6592,0.04599,0.000103,80.457,199.3019,0.022,2.522999e-05
2819.9863107,154.2954,323.2606,0.046,0.000167,80.4576,154.309,359.9864,2.522999e-05
2847.3648186,178.681,144.4533,0.04599,0.000168,80.4529,178.7298,359.9512,2.522999e-05
2874.7433265,193.1449,335.5733,0.04599,0.000168,80.443,193.2277,359.9172,2.522999e-05
2902.1218344,207.185,167.1072,0.046,4.4e-05,80.428,207.2999,359.8851,2.522999e-05
2929.5003422,171.1025,48.77545,0.04599,9e-05,80.4084,171.2468,359.8556,2.522999e-05
2956.8788501,168.5699,256.8974,0.04599,0.00013,80.3846,168.7403,359.8296,2.522999e-05
2984.257358,216.4449,54.60518,0.046,0.000177,80.3572,216.6374,359.8075,2.522999e-05
3011.6358658,220.0246,256.6209,0.04599,0.000123,80.3268,220.2347,359.7899,2.522999e-05
3039.0143737,219.5916,102.6531,0.046,7.9e-05,80.2941,219.8144,359.7772,2.522999e-05
3066.3928816,180.758,347.0828,0.046,0.000181,80.2598,180.9882,359.7698,2.522999e-05
3093.7713895,197.9625,175.4886,0.04599,0.000182,80.2249,198.1949,359.7676,2.522999e-05
3121.1498973,214.4959,4.568379,0.046,0.000189,80.19,214.7249,359.771,2.522999e-05
3148.5284052,187.5337,237.1385,0.046,7.2e-05,80.156,187.754,359.7797,2.522999e-05
3175.9069131,180.3335,89.96167,0.04599,0.000116,80.1238,180.54,359.7935,2.522999e-05
3203.2854209,180.4931,295.4272,0.046,0.00017,80.094,180.6808,359.8122,2.522999e-05
3230.6639288,229.3059,92.2354,0.04599,0.000148,80.0674,229.4706,359.8353,2.522999e-05
3258.0424367,231.1357,296.0394,0.04599,0.000108,80.0445,231.2734,359.8623,2.522999e-05
3285.4209446,219.0767,153.7339,0.046,5.2e-05,80.026,219.1843,359.8924,2.522999e-05
3312.7994524,205.4731,12.96534,0.04599,0.000176,80.0122,205.548,359.9251,2.522999e-05
3340.1779603,219.4144,204.6652,0.04599,0.000183,80.0035,219.4548,359.9595,2.522999e-05
3367.5564682,241.122,28.59602,0.046,0.000194,80.0,241.127,359.9949,2.522999e-05
3394.934976,208.7272,266.6221,0.04599,0.000108,80.0019,208.6968,0.0305,2.522999e-05
3422.3134839,202.6795,118.3114,0.04599,0.00014,80.0092,202.6142,0.0652,2.522999e-05
3449.6919918,204.0813,322.5455,0.046,0.000214,80.0216,203.9828,0.0985,2.522999e-05
3477.0704997,236.9707,135.2837,0.04599,0.000146,80.0388,236.8413,0.1295,2.522999e-05
3504.4490075,238.3197,339.5697,0.04599,0.000112,80.0604,238.1624,0.1574,2.522999e-05
3531.8275154,197.5282,225.9877,0.046,6.3e-05,80.0861,197.3466,0.1816,2.522999e-05
3559.2060233,224.9453,44.19136,0.04599,0.000164,80.115,224.7437,0.2016,2.522999e-05
3586.5845311,238.1905,236.5734,0.04599,0.000175,80.1467,237.9736,0.2169,2.522999e-05
3613.963039,268.5893,51.78825,0.046,0.000177,80.1802,268.3622,0.2271,2.522999e-05
3641.3415469,236.8456,289.1409,0.04599,0.000121,80.2149,236.6137,0.2319,2.522999e-05
3668.7200548,228.4465,143.1518,0.04599,0.000145,80.2499,228.2151,0.2314,2.522999e-05
