Time,long,M,a,e,i,peri,node,mass
0.0,0.0,0.0,0.057,0.109947,0.0,0.0,360.0,1.255492e-05
27.3785079,0.1606643,183.9682,0.05699,0.109894,0.0,353.752,6.4087,1.255492e-05
54.7570157,0.332236,7.923171,0.05699,0.109926,0.0,348.3171,12.0151,1.255492e-05
82.1355236,0.5042836,191.8774,0.05699,0.109991,0.0,342.4167,18.0876,1.255492e-05
109.5140315,0.6660014,15.84415,0.057,0.110086,0.0,338.5896,22.0764,1.255492e-05
136.8925394,0.8287889,199.8111,0.057,0.110114,0.0,334.2932,26.5356,1.255492e-05
164.2710472,1.011363,23.75603,0.05699,0.110241,0.0,331.3821,29.6292,1.255492e-05
191.6495551,1.190467,207.703,0.05699,0.110389,0.0,328.15,33.0404,1.255492e-05
219.028063,1.355907,31.66511,0.05699,0.110518,0.0,326.1922,35.1637,1.255492e-05
246.4065708,1.531802,215.6187,0.057,0.110647,0.0,323.9827,37.5491,1.255492e-05
273.7850787,1.733976,39.54633,0.05699,0.110859,0.0,323.1062,38.6278,1.255492e-05
301.1635866,1.915214,223.4929,0.05699,0.111067,0.0,322.0508,39.8644,1.255492e-05
328.5420945,2.09571,47.43861,0.05699,0.111254,0.0,321.4552,40.6405,1.255492e-05
355.9206023,2.294819,231.3673,0.057,0.11147,0.0,320.7933,41.5015,1.255492e-05
383.2991102,2.52119,55.27144,0.057,0.111755,0.0,320.8577,41.6635,1.255492e-05
410.6776181,2.703044,239.2198,0.05699,0.112015,0.0,320.5196,42.1835,1.255492e-05
438.0561259,2.913367,63.13682,0.05699,0.11228,0.0,320.7845,42.1289,1.255492e-05
465.4346338,3.137948,247.0392,0.05699,0.112568,0.0,320.8194,42.3186,1.255492e-05
492.8131417,3.383503,70.92276,0.057,0.112909,0.0,321.2175,42.166,1.255492e-05
520.1916496,3.58265,254.8549,0.057,0.113223,0.0,321.743,41.8397,1.255492e-05
547.5701574,3.831862,78.73508,0.05699,0.113561,0.0,322.259,41.5729,1.255492e-05
574.9486653,4.082324,262.6127,0.05699,0.113917,0.0,322.9745,41.1078,1.255492e-05
602.3271732,4.335133,86.48885,0.05699,0.114303,0.0,323.4875,40.8476,1.255492e-05
629.705681,4.572197,270.3833,0.057,0.114671,0.0,324.2549,40.3173,1.255492e-05
657.0841889,4.861942,94.22402,0.05699,0.11506,0.0,325.0329,39.8291,1.255492e-05
684.4626968,5.140972,278.0742,0.05699,0.115482,0.0,325.9337,39.2073,1.255492e-05
711.8412047,5.40531,101.9398,0.05699,0.115915,0.0,326.8099,38.5954,1.255492e-05
739.2197125,5.685031,285.7917,0.057,0.11633,0.0,327.9011,37.784,1.255492e-05
766.5982204,6.010111,109.5989,0.057,0.116753,0.0,328.865,37.1451,1.255492e-05
793.9767283,6.313886,293.426,0.05699,0.117231,0.0,329.8959,36.418,1.255492e-05
821.3552361,6.612662,117.2569,0.05699,0.1177,0.0,330.9436,35.669,1.255492e-05
848.733744,6.933351,301.0671,0.05699,0.118159,0.0,332.2236,34.7097,1.255492e-05
876.1122519,7.286644,124.8475,0.057,0.118615,0.0,333.1029,34.1837,1.255492e-05
903.4907598,7.609294,308.6589,0.05699,0.119144,0.0,334.5798,33.0295,1.255492e-05
930.8692676,7.956559,132.4425,0.05699,0.119621,0.0,335.6486,32.308,1.255492e-05
958.2477755,8.318478,316.2107,0.05699,0.120114,0.0,337.0577,31.2607,1.255492e-05
985.6262834,8.696739,139.9649,0.057,0.120614,0.0,338.114,30.5827,1.255492e-05
1013.0047912,9.048522,323.749,0.057,0.121174,0.0,339.5907,29.4578,1.255492e-05
1040.3832991,9.437874,147.4944,0.05699,0.121651,0.0,340.8895,28.5484,1.255492e-05
1067.761807,9.836266,331.2279,0.05699,0.122164,0.0,342.3798,27.4565,1.255492e-05
1095.1403149,10.23915,154.9564,0.05699,0.122711,0.0,343.6143,26.6248,1.255492e-05
1122.5188227,10.63305,338.6976,0.057,0.123269,0.0,345.2523,25.3807,1.255492e-05
1149.8973306,11.05766,162.4098,0.05699,0.123751,0.0,346.6576,24.4001,1.255492e-05
1177.2758385,11.4876,346.1153,0.05699,0.124293,0.0,348.3088,23.1788,1.255492e-05
1204.6543463,11.91716,169.8196,0.05699,0.124862,0.0,349.6714,22.2458,1.255492e-05
1232.0328542,12.35399,353.5172,0.05699,0.125396,0.0,351.3072,21.0468,1.255492e-05
1259.4113621,12.81013,177.1971,0.057,0.125883,0.0,352.856,19.9541,1.255492e-05
1286.78987,13.27438,0.8696748,0.05699,0.126464,0.0,354.5607,18.7137,1.255492e-05
1314.1683778,13.73305,184.5475,0.05699,0.127014,0.0,356.1015,17.6315,1.255492e-05
1341.5468857,14.20502,8.211803,0.05699,0.127527,0.0,357.7905,16.4145,1.255492e-05
1368.9253936,14.69025,191.8633,0.057,0.128025,0.0,359.4027,15.2875,1.255492e-05
1396.3039014,15.19019,15.50066,0.057,0.128622,0.0,1.1269,14.0633,1.255492e-05
1423.6824093,15.67719,199.1509,0.05699,0.129128,0.0,2.8068,12.8704,1.255492e-05
1451.0609172,16.18063,22.78427,0.05699,0.129634,0.0,4.4968,11.6839,1.255492e-05
1478.4394251,16.69766,206.4051,0.05699,0.130149,0.0,6.2413,10.4564,1.255492e-05
1505.8179329,17.22435,30.01842,0.057,0.130718,0.0,8.0142,9.2102,1.255492e-05
1533.1964408,17.73735,213.6449,0.05699,0.131184,0.0,9.7075,8.0298,1.255492e-05
1560.5749487,18.27569,37.24316,0.05699,0.131686,0.0,11.4824,6.7933,1.255492e-05
1587.9534565,18.82599,220.83,0.05699,0.132206,0.0,13.2669,5.5591,1.255492e-05
1615.3319644,19.37078,44.4269,0.057,0.132719,0.0,14.986,4.3848,1.255492e-05
1642.7104723,19.90914,228.0311,0.057,0.133165,0.0,16.814,3.0951,1.255492e-05
1670.0889802,20.48428,51.59591,0.05699,0.133654,0.0,18.5386,1.9457,1.255492e-05
1697.467488,21.05687,235.1611,0.05699,0.134146,0.0,20.3204,0.7364,1.255492e-05
1724.8459959,21.61958,58.73785,0.05699,0.134603,0.0,21.995,359.6245,1.255492e-05
1752.2245038,22.1889,242.311,0.057,0.135034,0.0,23.9052,358.2837,1.255492e-05
1779.6030116,22.79737,65.84677,0.057,0.135498,0.0,25.5184,357.279,1.255492e-05
1806.9815195,23.37779,249.4083,0.05699,0.135943,0.0,27.3899,355.9879,1.255492e-05
1834.3600274,23.96366,72.9616,0.05699,0.136356,0.0,29.1102,354.8535,1.255492e-05
1861.7385352,24.56514,256.5001,0.05699,0.136754,0.0,30.9563,353.6088,1.255492e-05
1889.1170431,25.1961,80.01246,0.057,0.137181,0.0,32.6397,352.5564,1.255492e-05
1916.495551,25.78482,263.5692,0.05699,0.137581,0.0,34.4895,351.2953,1.255492e-05
1943.8740589,26.39793,87.09927,0.05699,0.13795,0.0,36.124,350.274,1.255492e-05
1971.2525667,27.02569,270.612,0.05699,0.138307,0.0,38.0423,348.9834,1.255492e-05
1998.6310746,27.66341,94.11621,0.057,0.13868,0.0,39.6191,348.0443,1.255492e-05
2026.0095825,28.27064,277.6542,0.057,0.139031,0.0,41.4995,346.7711,1.255492e-05
2053.3880903,28.91337,101.1563,0.05699,0.139349,0.0,43.1647,345.7487,1.255492e-05
2080.7665982,29.55872,284.6544,0.05699,0.139667,0.0,45.0956,344.4631,1.255492e-05
2108.1451061,30.1946,108.162,0.05699,0.139985,0.0,46.6495,343.5451,1.255492e-05
2135.523614,30.82436,291.6766,0.057,0.140275,0.0,48.57,342.2543,1.255492e-05
2162.9021218,31.49289,115.1529,0.05699,0.140524,0.0,50.2465,341.2464,1.255492e-05
2190.2806297,32.14585,298.6446,0.05699,0.140809,0.0,52.1817,339.9642,1.255492e-05
2217.6591376,32.78768,122.148,0.05699,0.141072,0.0,53.8018,338.9858,1.255492e-05
2245.0376454,33.43635,305.6449,0.057,0.141294,0.0,55.6098,337.8265,1.255492e-05
2272.4161533,34.11883,129.1076,0.057,0.141476,0.0,57.3129,336.806,1.255492e-05
2299.7946612,34.77381,312.5975,0.05699,0.141719,0.0,59.2394,335.5344,1.255492e-05
2327.1731691,35.43202,136.0837,0.05699,0.141912,0.0,60.918,334.5141,1.255492e-05
2354.5516769,36.09786,319.5633,0.05699,0.142068,0.0,62.6864,333.4114,1.255492e-05
2381.9301848,36.78018,143.0278,0.057,0.142203,0.0,64.4226,332.3575,1.255492e-05
2409.3086927,37.43793,326.5177,0.057,0.142389,0.0,66.2107,331.2272,1.255492e-05
2436.6872005,38.11134,149.989,0.05699,0.142489,0.0,67.9075,330.2039,1.255492e-05
2464.0657084,38.791,333.453,0.05699,0.142579,0.0,69.6986,329.0924,1.255492e-05
2491.4442163,39.46883,156.9213,0.05699,0.142685,0.0,71.3971,328.0717,1.255492e-05
2518.8227242,40.13267,340.4061,0.057,0.142798,0.0,73.1228,327.0099,1.255492e-05
2546.201232,40.8122,163.874,0.05699,0.142803,0.0,74.7759,326.0363,1.255492e-05
2573.5797399,41.49683,347.3335,0.05699,0.142845,0.0,76.447,325.0498,1.255492e-05
2600.9582478,42.17427,170.8002,0.05699,0.142901,0.0,78.1127,324.0616,1.255492e-05
2628.3367556,42.84425,354.2772,0.057,0.142929,0.0,79.5985,323.2458,1.255492e-05
2655.7152635,43.52453,177.7459,0.057,0.142859,0.0,81.3736,322.151,1.255492e-05
2683.0937714,44.20852,1.209094,0.05699,0.142871,0.0,82.7294,321.4791,1.255492e-05
2710.4722793,44.88362,184.6781,0.05699,0.142843,0.0,84.4881,320.3955,1.255492e-05
2737.8507871,45.55729,8.148262,0.05699,0.142776,0.0,85.7313,319.826,1.255492e-05
2765.229295,46.23689,191.6157,0.057,0.142662,0.0,87.2577,318.9792,1.255492e-05
2792.6078029,46.91975,15.08153,0.057,0.142632,0.0,88.3905,318.5293,1.255492e-05
2819.9863107,47.58561,198.5626,0.05699,0.142515,0.0,89.8942,317.6914,1.255492e-05
2847.3648186,48.25606,22.03608,0.05699,0.142361,0.0,90.7554,317.5007,1.255492e-05
2874.7433265,48.93545,205.4999,0.05699,0.142216,0.0,92.2492,316.6863,1.255492e-05
2902.1218344,49.61367,28.96865,0.057,0.142114,0.0,93.016,316.5977,1.255492e-05
2929.5003422,50.26881,212.462,0.05699,0.141916,0.0,94.2109,316.0579,1.255492e-05
2956.8788501,50.93656,35.93962,0.05699,0.141712,0.0,94.619,316.3176,1.255492e-05
2984.257358,51.60868,219.4105,0.05699,0.141522,0.0,95.5653,316.0434,1.255492e-05
3011.6358658,52.27523,42.88766,0.057,0.14133,0.0,95.7726,316.5027,1.255492e-05
3039.0143737,52.91957,226.39,0.057,0.141059,0.0,96.5173,316.4022,1.255492e-05
3066.3928816,53.59087,49.86433,0.05699,0.140824,0.0,96.1714,317.4194,1.255492e-05
3093.7713895,54.24623,233.3537,0.05699,0.140579,0.0,96.5878,317.6584,1.255492e-05
3121.1498973,54.89173,56.85198,0.05699,0.140301,0.0,95.6974,319.1943,1.255492e-05
3148.5284052,55.52881,240.359,0.057,0.139972,0.0,95.294,320.2348,1.255492e-05
3175.9069131,56.19909,63.83233,0.057,0.139692,0.0,93.6159,322.5832,1.255492e-05
3203.2854209,56.83399,247.3412,0.05699,0.139389,0.0,92.6002,324.2338,1.255492e-05
3230.6639288,57.4581,70.86088,0.05699,0.139049,0.0,89.9214,327.5367,1.255492e-05
3258.0424367,58.09048,254.3717,0.05699,0.13868,0.0,88.0461,330.0444,1.255492e-05
3285.4209446,58.74329,77.86216,0.057,0.138339,0.0,83.7899,334.9534,1.255492e-05
3312.7994524,59.35514,261.3925,0.05699,0.137977,0.0,80.5193,338.8358,1.255492e-05
3340.1779603,59.96893,84.91977,0.05699,0.137585,0.0,74.9392,345.0297,1.255492e-05
3367.5564682,60.59318,268.4378,0.05699,0.137186,0.0,70.3559,350.2373,1.255492e-05
3394.934976,61.21603,91.95804,0.057,0.13679,0.0,63.8553,357.3608,1.255492e-05
3422.3134839,61.80038,275.5173,0.057,0.136376,0.0,58.7407,3.0597,1.255492e-05
3449.6919918,62.41214,99.04555,0.05699,0.135928,0.0,52.2358,10.1763,1.255492e-05
3477.0704997,63.01727,282.5785,0.05699,0.135499,0.0,47.8871,15.1302,1.255492e-05
3504.4490075,63.60693,106.1302,0.05699,0.135063,0.0,41.8648,21.7421,1.255492e-05
3531.8275154,64.1688,289.7124,0.057,0.13461,0.0,38.6282,25.5406,1.255492e-05
3559.2060233,64.77124,113.2517,0.05699,0.134112,0.0,34.6295,30.1418,1.255492e-05
3586.5845311,65.34618,296.8153,0.05699,0.133652,0.0,32.2115,33.1347,1.255492e-05
3613.963039,65.90483,120.394,0.05699,0.133185,0.0,29.6847,36.2201,1.255492e-05
3641.3415469,66.45582,303.9821,0.057,0.132688,0.0,28.4464,38.0095,1.255492e-05
3668.7200548,67.03364,127.5458,0.057,0.132163,0.0,26.7364,40.2972,1.255492e-05
3696.0985626,67.57325,311.1473,0.05699,0.131686,0.0,26.1481,41.4251,1.255492e-05
3723.4770705,68.10467,134.7539,0.05699,0.131184,0.0,25.58,42.5246,1.255492e-05
3750.8555784,68.64446,318.3505,0.05699,0.130641,0.0,25.8676,42.7769,1.255492e-05
3778.2340862,69.186,141.9462,0.057,0.130105,0.0,25.2635,43.9225,1.255492e-05
3805.6125941,69.69355,325.5785,0.057,0.129625,0.0,25.8257,43.8679,1.255492e-05
3832.991102,70.20359,149.2077,0.05699,0.129074,0.0,25.9997,44.2039,1.255492e-05
3860.3696099,70.71736,332.83,0.05699,0.128517,0.0,26.9716,43.7458,1.255492e-05
