Time,long,M,a,e,i,peri,node,mass
0.0,360.0,1.642331e-06,0.6979,0.3199,0.0,360.0,360.0,3.153749e-05
27.3785079,359.9766,279.7599,0.6977,0.319539,0.0,0.0876,359.889,3.153749e-05
54.7570157,0.007422214,199.4757,0.69758,0.319666,0.0,359.9948,0.0126,3.153749e-05
82.1355236,0.02207606,119.2051,0.69769,0.319522,0.0,359.875,0.147,3.153749e-05
109.5140315,0.0138742,38.94566,0.69773,0.319756,0.0,0.0241,359.9898,3.153749e-05
136.8925394,359.9922,318.7106,0.69763,0.31957,0.0,0.1462,359.8459,3.153749e-05
164.2710472,0.02432675,238.4266,0.69755,0.319671,0.0,0.0612,359.9631,3.153749e-05
191.6495551,0.01579231,158.1793,0.69764,0.319572,0.0,359.9002,0.1156,3.153749e-05
219.028063,0.0112547,77.91933,0.69761,0.319688,0.0,359.9055,0.1058,3.153749e-05
246.4065708,0.007454561,357.6693,0.69748,0.319495,0.0,0.0964,359.911,3.153749e-05
273.7850787,0.04404688,277.3793,0.6975,0.319657,0.0,0.143,359.901,3.153749e-05
301.1635866,0.01242427,197.1583,0.69761,0.319616,0.0,0.0289,359.9835,3.153749e-05
328.5420945,0.02205196,116.8818,0.69761,0.319651,0.0,359.9124,0.1096,3.153749e-05
355.9206023,0.007799668,36.64688,0.69749,0.319519,0.0,359.9056,0.1022,3.153749e-05
383.2991102,0.05320866,316.3473,0.6975,0.319612,0.0,0.2635,359.7897,3.153749e-05
410.6776181,0.005954077,236.1389,0.69767,0.319597,0.0,0.0258,359.9802,3.153749e-05
438.0561259,0.03278918,155.841,0.69763,0.319594,0.0,359.9694,0.0633,3.153749e-05
465.4346338,0.02418991,75.60391,0.69758,0.319558,0.0,359.9614,0.0628,3.153749e-05
492.8131417,0.04658994,355.3259,0.6977,0.319717,0.0,0.1738,359.8728,3.153749e-05
520.1916496,359.9957,275.1147,0.69775,0.319601,0.0,0.0293,359.9665,3.153749e-05
