Time,long,M,a,e,i,peri,node,mass
0.0,5.7,0.0,0.05049,0.129909,0.0,5.7928,359.9072,1.681999e-05
27.3785079,7.37024,37.03702,0.05049,0.129821,0.0,6.7279,0.6423,1.681999e-05
54.7570157,9.019201,74.09729,0.05049,0.129816,0.0,7.6443,1.3749,1.681999e-05
82.1355236,10.68294,111.14,0.0505,0.129887,0.0,8.4603,2.2227,1.681999e-05
109.5140315,12.39276,148.1299,0.0505,0.129967,0.0,9.0662,3.3266,1.681999e-05
136.8925394,14.14347,185.0769,0.0505,0.129956,0.0,9.4112,4.7322,1.681999e-05
164.2710472,15.89526,222.0231,0.05049,0.129821,0.0,9.7958,6.0994,1.681999e-05
191.6495551,17.60472,259.0153,0.05049,0.129602,0.0,9.9886,7.6162,1.681999e-05
219.028063,19.25401,296.0714,0.05049,0.12939,0.0,10.0185,9.2355,1.681999e-05
246.4065708,20.87268,333.1624,0.05049,0.129279,0.0,10.2104,10.6623,1.681999e-05
273.7850787,22.51211,10.22917,0.0505,0.129253,0.0,10.511,12.0011,1.681999e-05
301.1635866,24.19758,47.24495,0.05049,0.129219,0.0,11.1161,13.0815,1.681999e-05
328.5420945,25.9209,84.21989,0.05049,0.129095,0.0,11.9576,13.9633,1.681999e-05
355.9206023,27.63946,121.2013,0.05049,0.128854,0.0,13.0106,14.6288,1.681999e-05
383.2991102,29.31147,158.2307,0.05049,0.128539,0.0,13.9341,15.3774,1.681999e-05
410.6776181,30.92577,195.3226,0.05049,0.128246,0.0,14.9733,15.9525,1.681999e-05
438.0561259,32.51396,232.4439,0.0505,0.128046,0.0,15.7172,16.7967,1.681999e-05
465.4346338,34.12219,269.5439,0.0505,0.127935,0.0,16.3197,17.8025,1.681999e-05
492.8131417,35.78024,306.5887,0.0505,0.127834,0.0,16.8385,18.9418,1.681999e-05
520.1916496,37.47786,343.5931,0.05049,0.127647,0.0,17.2687,20.2092,1.681999e-05
547.5701574,39.1607,20.61061,0.05049,0.12734,0.0,17.5843,21.5764,1.681999e-05
574.9486653,40.78931,57.68428,0.05049,0.126975,0.0,17.8531,22.9362,1.681999e-05
602.3271732,42.36597,94.81345,0.0505,0.12665,0.0,18.2824,24.0836,1.681999e-05
629.705681,43.9223,131.9665,0.0505,0.126429,0.0,18.9092,25.0131,1.681999e-05
657.0841889,45.50497,169.0904,0.0505,0.1263,0.0,19.9319,25.5731,1.681999e-05
684.4626968,47.1329,206.1665,0.05049,0.126175,0.0,21.0842,26.0487,1.681999e-05
711.8412047,48.79119,243.2122,0.05049,0.125966,0.0,22.5068,26.2844,1.681999e-05
739.2197125,50.43787,280.2669,0.05049,0.125645,0.0,24.1035,26.3343,1.681999e-05
766.5982204,52.03282,317.3728,0.05049,0.125262,0.0,25.6127,26.4201,1.681999e-05
793.9767283,53.57257,354.5413,0.05049,0.124927,0.0,27.0645,26.5081,1.681999e-05
821.3552361,55.09966,31.72622,0.05049,0.124712,0.0001,28.3692,26.7305,1.681999e-05
848.733744,56.6606,68.87607,0.05049,0.124589,0.0001,29.7471,26.9135,1.681999e-05
876.1122519,58.27501,105.9693,0.05049,0.124449,0.0001,31.1145,27.1606,1.681999e-05
903.4907598,59.91326,143.0335,0.05049,0.1242,0.0001,32.5237,27.3895,1.681999e-05
930.8692676,61.52085,180.1365,0.05049,0.12385,0.0001,33.8484,27.6725,1.681999e-05
958.2477755,63.0707,217.3016,0.05049,0.1235,0.0001,35.2959,27.7748,1.681999e-05
985.6262834,64.58359,254.5049,0.05049,0.123246,0.0001,36.7982,27.7854,1.681999e-05
1013.0047912,66.11348,291.6915,0.05049,0.123115,0.0001,38.5198,27.5937,1.681999e-05
1040.3832991,67.70302,328.8127,0.05049,0.123015,0.0001,40.4327,27.2703,1.681999e-05
