Time,long,M,a,e,i,peri,node,mass
0.0,292.2,0.0,0.12499,0.019935,0.0,292.2876,359.9124,1.141357e-05
27.3785079,343.2434,321.9628,0.12494,0.023506,0.0,326.5276,16.7158,1.141357e-05
54.7570157,22.10057,294.5368,0.12494,0.022335,0.0,358.2803,23.8203,1.141357e-05
82.1355236,75.20675,254.9403,0.12496,0.017471,0.0001,49.6802,25.5265,1.141357e-05
109.5140315,144.3938,194.873,0.12499,0.013968,0.0001,122.2229,22.1708,1.141357e-05
136.8925394,219.2905,129.2236,0.12496,0.017696,0.0001,202.4777,16.8128,1.141357e-05
164.2710472,265.6954,93.51485,0.12491,0.026115,0.0001,254.6785,11.0168,1.141357e-05
191.6495551,306.5541,63.99591,0.12495,0.031101,0.0001,302.9433,3.6108,1.141357e-05
219.028063,342.205,40.6872,0.12503,0.029373,0.0001,344.9131,357.2918,1.141357e-05
246.4065708,17.10951,14.08462,0.125,0.024346,0.0001,25.6042,351.5053,1.141357e-05
273.7850787,57.98524,343.2873,0.12505,0.012391,0.0001,71.1128,346.8725,1.141357e-05
301.1635866,187.7242,223.7724,0.12497,0.006341,0.0001,201.9029,345.8213,1.141357e-05
328.5420945,256.444,165.1612,0.12496,0.018063,0.0,268.7379,347.7062,1.141357e-05
355.9206023,295.8059,140.2048,0.12499,0.031256,0.0,299.3473,356.4587,1.141357e-05
383.2991102,327.6854,120.8391,0.125,0.038377,0.0,317.4142,10.2712,1.141357e-05
410.6776181,354.5107,101.5843,0.12495,0.039153,0.0,334.6987,19.8119,1.141357e-05
438.0561259,22.56506,82.19801,0.12493,0.030458,0.0001,358.1995,24.3656,1.141357e-05
465.4346338,46.54104,66.63384,0.12494,0.016991,0.0001,22.272,24.269,1.141357e-05
492.8131417,331.0042,149.7303,0.12492,0.002629,0.0001,310.9836,20.0206,1.141357e-05
520.1916496,292.8028,194.8093,0.12493,0.020971,0.0001,277.8404,14.9624,1.141357e-05
547.5701574,318.7815,180.9207,0.12502,0.035075,0.0001,310.1277,8.6538,1.141357e-05
574.9486653,344.4061,172.1877,0.12497,0.046254,0.0001,342.9359,1.4702,1.141357e-05
602.3271732,9.526303,158.4751,0.12494,0.046563,0.0001,14.1716,355.3547,1.141357e-05
629.705681,30.226,153.1169,0.12504,0.035533,0.0001,41.431,348.795,1.141357e-05
657.0841889,45.49248,148.6781,0.12506,0.019539,0.0001,61.4665,344.026,1.141357e-05
684.4626968,354.0859,206.2461,0.12498,0.008817,0.0001,12.8275,341.2584,1.141357e-05
711.8412047,326.4684,239.191,0.12502,0.023842,0.0001,345.2163,341.2521,1.141357e-05
739.2197125,339.4692,233.5747,0.12498,0.039466,0.0001,353.1205,346.3487,1.141357e-05
766.5982204,2.168115,221.8753,0.12492,0.050115,0.0,7.3723,354.7958,1.141357e-05
793.9767283,22.82555,214.4009,0.12494,0.050102,0.0,19.504,3.3215,1.141357e-05
821.3552361,48.83658,209.4297,0.12492,0.040151,0.0001,38.7855,10.051,1.141357e-05
848.733744,61.19044,211.5654,0.12503,0.023726,0.0001,50.607,10.5834,1.141357e-05
876.1122519,6.606569,290.3096,0.12493,0.009673,0.0001,358.7169,7.8897,1.141357e-05
903.4907598,343.1344,339.0242,0.12491,0.029932,0.0001,339.5882,3.5462,1.141357e-05
930.8692676,5.334402,339.4422,0.12495,0.045625,0.0001,8.2656,357.0688,1.141357e-05
958.2477755,27.21758,334.4379,0.12496,0.051639,0.0001,36.3597,350.8578,1.141357e-05
985.6262834,53.87267,331.0676,0.12493,0.047038,0.0001,70.6832,343.1895,1.141357e-05
1013.0047912,75.60723,335.4614,0.12495,0.028942,0.0001,98.9736,336.6336,1.141357e-05
1040.3832991,46.10916,31.11046,0.12499,0.010418,0.0001,75.3881,330.721,1.141357e-05
1067.761807,359.5084,93.33393,0.12502,0.020031,0.0001,33.2906,326.2179,1.141357e-05
1095.1403149,8.736874,104.1298,0.12496,0.039268,0.0001,43.4155,325.3214,1.141357e-05
1122.5188227,33.17506,104.2512,0.12498,0.049044,0.0,66.0056,327.1694,1.141357e-05
1149.8973306,57.54907,102.455,0.125,0.046953,0.0,80.4798,337.0693,1.141357e-05
1177.2758385,81.76378,98.17012,0.12496,0.035994,0.0,90.7867,350.9771,1.141357e-05
1204.6543463,97.68494,106.6784,0.12492,0.01396,0.0,98.3873,359.2977,1.141357e-05
1232.0328542,6.047497,220.2478,0.12502,0.014304,0.0001,2.5673,3.4802,1.141357e-05
1259.4113621,10.80047,235.4281,0.12504,0.030598,0.0001,9.0536,1.7468,1.141357e-05
1286.78987,32.14553,232.8221,0.12492,0.044797,0.0001,34.8027,357.3429,1.141357e-05
1314.1683778,58.01821,225.6699,0.12498,0.045094,0.0001,66.5004,351.5178,1.141357e-05
1341.5468857,86.4447,227.2231,0.12495,0.035636,0.0001,102.8178,343.6269,1.141357e-05
1368.9253936,112.8644,231.9582,0.1249,0.015422,0.0001,136.0074,336.857,1.141357e-05
1396.3039014,352.9555,19.45497,0.1249,0.010167,0.0001,24.0863,328.8692,1.141357e-05
1423.6824093,5.957973,16.08617,0.12493,0.026189,0.0001,42.8784,323.0795,1.141357e-05
1451.0609172,29.31522,0.06067847,0.12494,0.039017,0.0,70.8276,318.4877,1.141357e-05
1478.4394251,51.45643,342.4405,0.12496,0.043142,0.0,94.9885,316.4679,1.141357e-05
1505.8179329,77.47827,322.1151,0.12496,0.039461,0.0,112.6803,324.7979,1.141357e-05
1533.1964408,100.6829,308.501,0.12502,0.026043,0.0,115.3076,345.3753,1.141357e-05
1560.5749487,109.2813,315.2278,0.12501,0.00516,0.0,100.8214,8.4599,1.141357e-05
1587.9534565,341.9948,93.87793,0.12495,0.014523,0.0,321.7856,20.2092,1.141357e-05
1615.3319644,8.03837,73.96289,0.12496,0.031932,0.0,347.7345,20.3039,1.141357e-05
1642.7104723,30.83277,56.65024,0.12494,0.041087,0.0001,14.8887,15.9441,1.141357e-05
1670.0889802,56.52649,38.02585,0.12492,0.042784,0.0001,45.7899,10.7366,1.141357e-05
1697.467488,78.85307,27.74834,0.12501,0.033602,0.0001,75.9421,2.911,1.141357e-05
1724.8459959,105.8387,23.30985,0.12494,0.016876,0.0001,110.413,355.4257,1.141357e-05
1752.2245038,344.2622,174.1373,0.12494,0.008824,0.0001,356.1861,348.0761,1.141357e-05
1779.6030116,359.7362,183.1231,0.1249,0.031455,0.0001,18.5355,341.2007,1.141357e-05
1806.9815195,24.04047,172.1086,0.12498,0.041423,0.0,46.8467,337.1938,1.141357e-05
1834.3600274,48.35765,165.924,0.12491,0.047501,0.0,73.2756,335.0821,1.141357e-05
1861.7385352,69.59226,158.274,0.12497,0.040013,0.0,87.148,342.4443,1.141357e-05
1889.1170431,89.0249,159.3635,0.12494,0.022078,0.0,87.8157,1.2092,1.141357e-05
