Time,long,M,a,e,i,peri,node,mass
0.0,28.59998,1.576549e-05,0.21299,0.019945,0.0001,28.5985,0.0015,8.10964e-06
27.3785079,33.59174,42.0413,0.21296,0.020614,0.0001,34.4266,359.1652,8.10964e-06
54.7570157,39.68479,83.06667,0.21294,0.020638,0.0001,41.4719,358.2129,8.10964e-06
82.1355236,45.79114,123.9641,0.21293,0.019969,0.0001,48.7684,357.0227,8.10964e-06
109.5140315,50.21212,166.3205,0.21293,0.018766,0.0001,54.6434,355.5687,8.10964e-06
136.8925394,52.37644,210.9286,0.21293,0.017549,0.0001,58.4488,353.9276,8.10964e-06
164.2710472,53.0805,257.145,0.21293,0.016962,0.0001,60.9486,352.1319,8.10964e-06
191.6495551,54.95117,302.3505,0.21292,0.017042,0.0001,64.755,350.1962,8.10964e-06
219.028063,58.81093,345.3229,0.2129,0.017263,0.0001,70.5614,348.2495,8.10964e-06
246.4065708,65.21011,25.64676,0.21291,0.017388,0.0001,78.8956,346.3146,8.10964e-06
273.7850787,72.74715,64.89338,0.2129,0.016565,0.0001,88.1424,344.6048,8.10964e-06
301.1635866,79.5745,104.916,0.21289,0.014985,0.0001,96.3894,343.1851,8.10964e-06
328.5420945,84.08497,147.4155,0.21288,0.013094,0.0001,101.9916,342.0934,8.10964e-06
355.9206023,84.63056,193.8443,0.21288,0.011633,0.0001,103.2417,341.3889,8.10964e-06
383.2991102,85.20079,240.1512,0.21289,0.011075,0.0001,104.2037,340.9971,8.10964e-06
410.6776181,89.19562,282.8543,0.2129,0.010979,0.0001,108.3031,340.8926,8.10964e-06
438.0561259,97.7919,321.146,0.21288,0.010663,0.0001,116.9846,340.8073,8.10964e-06
465.4346338,110.3462,355.4718,0.21287,0.009807,0.0001,129.5953,340.7508,8.10964e-06
492.8131417,124.1729,28.3252,0.2129,0.008566,0.0001,143.7062,340.4667,8.10964e-06
520.1916496,139.1008,60.01213,0.2129,0.006901,0.0001,159.1307,339.97,8.10964e-06
547.5701574,152.0198,94.14388,0.21289,0.005348,0.0001,172.8082,339.2116,8.10964e-06
574.9486653,161.2153,132.0998,0.21286,0.004345,0.0001,182.8592,338.3561,8.10964e-06
602.3271732,171.7107,168.7045,0.21284,0.004152,0.0001,194.2804,337.4304,8.10964e-06
629.705681,186.6115,200.8131,0.21283,0.004733,0.0001,209.8778,336.7337,8.10964e-06
657.0841889,207.3276,226.8902,0.21284,0.005883,0.0001,230.9581,336.3695,8.10964e-06
684.4626968,228.1965,252.4962,0.21285,0.007464,0.0001,251.7668,336.4297,8.10964e-06
711.8412047,246.0517,281.2298,0.21288,0.009175,0.0001,268.932,337.1197,8.10964e-06
739.2197125,259.8431,314.1379,0.21289,0.010268,0.0,281.2983,338.5448,8.10964e-06
766.5982204,269.5517,351.431,0.21291,0.010932,0.0,288.9245,340.6271,8.10964e-06
793.9767283,274.9026,33.13443,0.21291,0.011436,0.0,291.7899,343.1126,8.10964e-06
821.3552361,275.9037,79.23021,0.2129,0.012458,0.0,290.2526,345.651,8.10964e-06
848.733744,278.5051,124.352,0.21289,0.01443,0.0,290.4693,348.0358,8.10964e-06
876.1122519,283.6295,168.9538,0.21289,0.017081,0.0,293.6743,349.9552,8.10964e-06
903.4907598,291.0334,212.5294,0.21291,0.019757,0.0,299.6829,351.3505,8.10964e-06
930.8692676,298.698,256.1534,0.21291,0.021277,0.0,306.6466,352.0514,8.10964e-06
958.2477755,303.9679,300.6013,0.21293,0.022226,0.0,311.5409,352.4269,8.10964e-06
985.6262834,307.6343,346.6425,0.21294,0.022909,0.0,314.9235,352.7108,8.10964e-06
1013.0047912,309.5098,34.81162,0.21295,0.024041,0.0,316.3255,353.1842,8.10964e-06
1040.3832991,311.6201,83.49523,0.21297,0.026109,0.0,317.7156,353.9045,8.10964e-06
1067.761807,315.2253,128.4826,0.21298,0.028578,0.0,320.0955,355.1298,8.10964e-06
1095.1403149,320.6474,172.3063,0.21298,0.030628,0.0,323.8971,356.7503,8.10964e-06
1122.5188227,326.221,218.8267,0.21295,0.031693,0.0,327.7263,358.4947,8.10964e-06
1149.8973306,329.7228,266.7869,0.21294,0.032479,0.0,329.5712,0.1516,8.10964e-06
1177.2758385,332.2258,313.9706,0.21292,0.03334,0.0,330.7392,1.4866,8.10964e-06
1204.6543463,333.7373,1.775063,0.2129,0.034977,0.0001,331.3287,2.4087,8.10964e-06
1232.0328542,336.5874,47.39879,0.21287,0.0373,0.0001,333.9084,2.6791,8.10964e-06
1259.4113621,340.5865,95.0582,0.21286,0.039474,0.0001,338.2196,2.3669,8.10964e-06
1286.78987,345.3957,140.4283,0.21288,0.041369,0.0001,344.0353,1.3604,8.10964e-06
1314.1683778,350.1529,185.6615,0.21287,0.0417,0.0001,350.0446,0.1083,8.10964e-06
1341.5468857,353.2116,235.8293,0.21286,0.041702,0.0001,354.6158,358.5958,8.10964e-06
1368.9253936,354.6624,287.0171,0.21288,0.042565,0.0001,357.592,357.0704,8.10964e-06
1396.3039014,357.0021,336.8204,0.2129,0.044728,0.0001,1.3379,355.6642,8.10964e-06
1423.6824093,0.4249205,20.86015,0.21289,0.046711,0.0001,5.9344,354.4905,8.10964e-06
1451.0609172,4.943612,63.88152,0.21288,0.048476,0.0001,11.2992,353.6444,8.10964e-06
1478.4394251,9.4266,106.4199,0.21285,0.049251,0.0001,16.2578,353.1688,8.10964e-06
1505.8179329,13.13248,150.1069,0.21283,0.049461,0.0001,20.367,352.7654,8.10964e-06
1533.1964408,15.83375,194.9102,0.21283,0.049545,0.0001,23.3463,352.4874,8.10964e-06
1560.5749487,17.96877,240.0703,0.21284,0.050101,0.0001,25.7985,352.1702,8.10964e-06
1587.9534565,20.59084,285.7462,0.21285,0.051305,0.0001,28.9457,351.6451,8.10964e-06
1615.3319644,23.85439,330.0029,0.21288,0.052807,0.0001,33.0701,350.7843,8.10964e-06
1642.7104723,27.96482,13.47038,0.21293,0.053947,0.0001,38.3939,349.5709,8.10964e-06
1670.0889802,32.04688,57.11225,0.21295,0.054131,0.0001,44.0837,347.9632,8.10964e-06
1697.467488,35.63748,101.3272,0.21296,0.053713,0.0001,49.5368,346.1007,8.10964e-06
1724.8459959,37.95364,148.8909,0.21294,0.052658,0.0001,53.9139,344.0397,8.10964e-06
1752.2245038,39.27306,198.7384,0.21293,0.052435,0.0001,57.3193,341.9537,8.10964e-06
1779.6030116,41.06478,246.5908,0.21295,0.053831,0.0001,61.0244,340.0404,8.10964e-06
1806.9815195,44.1777,291.0034,0.21293,0.054956,0.0001,65.8567,338.321,8.10964e-06
1834.3600274,48.30862,336.9197,0.21293,0.055293,0.0001,71.3571,336.9515,8.10964e-06
1861.7385352,52.26333,21.82015,0.21296,0.054972,0.0001,76.117,336.1464,8.10964e-06
1889.1170431,55.21751,66.40588,0.21297,0.053691,0.0001,79.4278,335.7897,8.10964e-06
1916.495551,57.11362,115.4995,0.21297,0.052353,0.0,81.2987,335.8149,8.10964e-06
1943.8740589,58.15258,165.3416,0.21296,0.05196,0.0,82.0918,336.0608,8.10964e-06
1971.2525667,59.86092,212.8506,0.21298,0.05283,0.0,83.4227,336.4382,8.10964e-06
1998.6310746,62.63251,257.7698,0.21299,0.053394,0.0,85.9605,336.6721,8.10964e-06
2026.0095825,66.33238,303.041,0.213,0.052992,0.0,89.6167,336.7157,8.10964e-06
2053.3880903,69.41986,347.8763,0.21301,0.052062,0.0,93.0063,336.4136,8.10964e-06
2080.7665982,71.30393,33.31683,0.21298,0.050588,0.0,95.5565,335.7474,8.10964e-06
2108.1451061,72.67842,81.19004,0.21296,0.049672,0.0,97.703,334.9754,8.10964e-06
2135.523614,74.25851,129.3143,0.21294,0.049297,0.0,100.0449,334.2136,8.10964e-06
2162.9021218,76.34858,178.6147,0.21291,0.048746,0.0,102.3927,333.9559,8.10964e-06
2190.2806297,78.0277,231.0346,0.21288,0.048271,0.0,103.6604,334.3673,8.10964e-06
2217.6591376,80.79264,282.5336,0.21287,0.047351,0.0,104.7808,336.0119,8.10964e-06
2245.0376454,82.35766,335.305,0.21286,0.045634,0.0,103.3698,338.9878,8.10964e-06
2272.4161533,82.20544,29.79249,0.21284,0.0443,0.0,98.7237,343.4817,8.10964e-06
2299.7946612,82.39837,83.93446,0.21285,0.044708,0.0,93.1338,349.2645,8.10964e-06
