Time,long,M,a,e,i,peri,node,mass
0.0,103.1,0.0,0.15599,0.029944,0.0001,103.0539,0.0461,8.10964e-06
27.3785079,162.6659,1.477993,0.15608,0.029205,0.0001,170.7198,351.9461,8.10964e-06
54.7570157,214.9348,12.13298,0.15604,0.028767,0.0001,230.3352,344.5996,8.10964e-06
82.1355236,273.5338,13.97063,0.15599,0.031493,0.0001,296.4265,337.1072,8.10964e-06
109.5140315,321.518,32.23365,0.15596,0.034058,0.0001,348.0325,333.4855,8.10964e-06
136.8925394,7.894958,51.93935,0.15601,0.032643,0.0,34.5447,333.3503,8.10964e-06
164.2710472,53.09899,70.82333,0.15613,0.029964,0.0,70.4195,342.6795,8.10964e-06
191.6495551,113.4224,73.58939,0.15608,0.022466,0.0,106.4134,7.009,8.10964e-06
219.028063,191.672,57.4478,0.15595,0.020036,0.0,165.5874,26.0846,8.10964e-06
246.4065708,251.2686,65.16509,0.15606,0.030322,0.0,219.4295,31.8391,8.10964e-06
273.7850787,297.47,83.97611,0.156,0.038538,0.0001,266.4115,31.0585,8.10964e-06
301.1635866,335.7641,110.4508,0.15615,0.043555,0.0001,310.5097,25.2545,8.10964e-06
328.5420945,9.358963,141.5809,0.15613,0.040208,0.0001,350.8735,18.4855,8.10964e-06
355.9206023,53.49169,156.8021,0.15601,0.027323,0.0001,42.7144,10.7773,8.10964e-06
383.2991102,126.926,145.2185,0.15595,0.013422,0.0001,124.9881,1.9379,8.10964e-06
410.6776181,222.9463,117.4758,0.15606,0.01928,0.0001,228.4513,354.495,8.10964e-06
438.0561259,278.3985,128.6825,0.15611,0.034897,0.0001,291.8763,346.5222,8.10964e-06
465.4346338,313.5269,160.5484,0.15611,0.046796,0.0001,333.3426,340.1842,8.10964e-06
492.8131417,345.8069,196.5781,0.15609,0.050394,0.0001,8.7476,337.0593,8.10964e-06
520.1916496,20.51113,231.1131,0.15608,0.046202,0.0001,44.1489,336.3622,8.10964e-06
547.5701574,51.78677,262.0155,0.15591,0.030952,0.0,67.2254,344.5613,8.10964e-06
574.9486653,116.4662,253.352,0.15607,0.012884,0.0,114.9662,1.5,8.10964e-06
602.3271732,247.571,185.2196,0.15616,0.01667,0.0,232.1087,15.4623,8.10964e-06
629.705681,302.0367,188.872,0.15599,0.033063,0.0001,279.3439,22.6928,8.10964e-06
657.0841889,336.1132,218.8556,0.15599,0.048187,0.0001,313.7906,22.3226,8.10964e-06
684.4626968,5.8665,259.4089,0.1561,0.052869,0.0001,348.3666,17.4999,8.10964e-06
