Time,long,M,a,e,i,peri,node,mass
0.0,51.59998,1.439914e-05,0.54895,0.079923,0.0,51.6048,359.9952,1.381642e-05
27.3785079,51.76478,253.1293,0.54867,0.079582,0.0,51.7109,0.0538,1.381642e-05
54.7570157,52.00782,146.108,0.54869,0.079437,0.0,51.6476,0.3602,1.381642e-05
82.1355236,52.17093,39.21923,0.5488,0.079578,0.0,51.7267,0.4442,1.381642e-05
109.5140315,52.0794,292.557,0.54868,0.079412,0.0,51.6295,0.4499,1.381642e-05
136.8925394,52.20653,185.6864,0.5488,0.079131,0.0,51.5831,0.6234,1.381642e-05
164.2710472,52.32364,78.83668,0.54865,0.07932,0.0,51.3933,0.9303,1.381642e-05
191.6495551,52.24353,332.1429,0.54875,0.079472,0.0,51.3272,0.9164,1.381642e-05
219.028063,52.22109,225.4595,0.54887,0.079225,0.0,51.192,1.0291,1.381642e-05
246.4065708,52.34902,118.5621,0.54842,0.079672,0.0,50.9746,1.3745,1.381642e-05
273.7850787,52.73142,11.42516,0.5491,0.080141,0.0,51.2954,1.4361,1.381642e-05
301.1635866,52.93859,264.5111,0.54853,0.079653,0.0,51.4728,1.4658,1.381642e-05
328.5420945,53.06783,157.5854,0.54871,0.079388,0.0,51.4375,1.6303,1.381642e-05
355.9206023,53.2749,50.67312,0.54887,0.079529,0.0,51.3853,1.8896,1.381642e-05
383.2991102,53.1246,304.0615,0.54862,0.079335,0.0,51.2758,1.8488,1.381642e-05
410.6776181,53.16823,197.2747,0.54876,0.079178,0.0,51.1866,1.9816,1.381642e-05
438.0561259,53.38477,90.31795,0.54872,0.079359,0.0,51.23,2.1548,1.381642e-05
465.4346338,53.33804,343.6162,0.54876,0.079558,0.0,51.1727,2.1654,1.381642e-05
492.8131417,53.39266,236.8252,0.54872,0.079358,0.0,51.0929,2.2998,1.381642e-05
520.1916496,53.60061,129.8601,0.54864,0.079451,0.0,51.0474,2.5533,1.381642e-05
547.5701574,53.81884,22.90095,0.54891,0.079795,0.0,51.2415,2.5773,1.381642e-05
574.9486653,53.90233,276.0871,0.54858,0.07949,0.0,51.3343,2.568,1.381642e-05
602.3271732,54.06007,169.148,0.54873,0.07927,0.0,51.1965,2.8636,1.381642e-05
629.705681,54.36308,62.14287,0.54892,0.079417,0.0,51.3849,2.9782,1.381642e-05
657.0841889,54.25267,315.4848,0.54846,0.079119,0.0,51.3361,2.9166,1.381642e-05
684.4626968,54.09733,208.8895,0.54893,0.078842,0.0,51.0902,3.0072,1.381642e-05
711.8412047,54.31822,101.9582,0.54868,0.079174,0.0,51.072,3.2462,1.381642e-05
739.2197125,54.30669,355.1882,0.54868,0.079392,0.0,51.0388,3.2679,1.381642e-05
766.5982204,54.29596,248.48,0.54881,0.079301,0.0,51.0346,3.2613,1.381642e-05
793.9767283,54.62948,141.3878,0.54864,0.079395,0.0,51.19,3.4395,1.381642e-05
821.3552361,54.86794,34.41007,0.54884,0.079582,0.0,51.2182,3.6498,1.381642e-05
848.733744,54.84259,287.6903,0.54864,0.079325,0.0,51.2273,3.6153,1.381642e-05
876.1122519,54.96834,180.813,0.5488,0.079027,0.0,51.2818,3.6866,1.381642e-05
903.4907598,55.11093,73.94424,0.5487,0.079222,0.0,51.2333,3.8776,1.381642e-05
930.8692676,55.03376,327.2521,0.54869,0.079276,0.0,51.2365,3.7973,1.381642e-05
958.2477755,55.01331,220.5496,0.54888,0.078985,0.0,51.1644,3.8489,1.381642e-05
985.6262834,55.17871,113.6411,0.54854,0.079303,0.0,51.0082,4.1705,1.381642e-05
1013.0047912,55.34289,6.703809,0.54889,0.079658,0.0,51.1737,4.1692,1.381642e-05
1040.3832991,55.42513,259.925,0.54872,0.079433,0.0,51.4051,4.02,1.381642e-05
1067.761807,55.67952,152.8768,0.54854,0.07951,0.0,51.3851,4.2945,1.381642e-05
1095.1403149,56.11444,45.72455,0.54904,0.079608,0.0,51.7052,4.4093,1.381642e-05
1122.5188227,56.06675,299.0331,0.54847,0.079133,0.0,51.7483,4.3184,1.381642e-05
1149.8973306,56.01158,192.3129,0.54883,0.078823,0.0,51.4254,4.5861,1.381642e-05
1177.2758385,56.25253,85.37133,0.54882,0.078988,0.0,51.4986,4.7539,1.381642e-05
1204.6543463,56.10722,338.7413,0.54855,0.078953,0.0,51.3747,4.7325,1.381642e-05
1232.0328542,55.95597,232.1577,0.54892,0.078794,0.0,51.2591,4.6969,1.381642e-05
1259.4113621,56.22527,125.161,0.54862,0.079051,0.0,51.2953,4.93,1.381642e-05
1286.78987,56.35408,18.25504,0.54875,0.079314,0.0,51.3019,5.0522,1.381642e-05
