Time,long,M,a,e,i,peri,node,mass
0.0,246.0,9.700648e-06,3.55387,0.078413,0.0,246.1813,359.8187,0.0006487712
27.3785079,245.84,267.4133,3.55482,0.078407,0.0,245.6396,0.2003,0.0006487712
54.7570157,245.8085,174.7732,3.55543,0.078337,0.0,245.6955,0.113,0.0006487712
82.1355236,245.693,82.16827,3.55367,0.078577,0.0,245.8588,359.8342,0.0006487712
109.5140315,245.7738,349.3676,3.5555,0.078809,0.0,245.6848,0.0891,0.0006487712
136.8925394,245.8232,256.6386,3.55476,0.078726,0.0,245.6248,0.1984,0.0006487712
164.2710472,245.9002,163.8262,3.55383,0.078849,0.0,245.8585,0.0417,0.0006487712
191.6495551,246.1537,70.87165,3.55605,0.078733,0.0,246.3966,359.7571,0.0006487712
219.028063,246.0452,338.291,3.55355,0.078398,0.0,246.0069,0.0383,0.0006487712
246.4065708,245.8321,245.7621,3.55514,0.078363,0.0,245.5705,0.2616,0.0006487712
273.7850787,245.8435,153.0817,3.55522,0.078364,0.0,245.7543,0.0892,0.0006487712
301.1635866,245.7018,60.495,3.55366,0.078522,0.0,245.9225,359.7793,0.0006487712
328.5420945,245.7201,327.7659,3.55569,0.078801,0.0,245.7989,359.9211,0.0006487712
355.9206023,245.8417,234.9601,3.55448,0.078734,0.0,245.6171,0.2247,0.0006487712
383.2991102,245.8775,142.1861,3.55402,0.078813,0.0,245.9697,359.9078,0.0006487712
410.6776181,246.121,49.25079,3.55609,0.078827,0.0,246.3808,359.7402,0.0006487712
438.0561259,246.0978,316.5735,3.55335,0.078428,0.0,246.0905,0.0072,0.0006487712
465.4346338,245.8478,224.0888,3.55542,0.078305,0.0,245.7468,0.101,0.0006487712
492.8131417,245.8588,131.4088,3.55497,0.078401,0.0,246.0128,359.846,0.0006487712
520.1916496,245.7304,38.80216,3.55376,0.078485,0.0,245.8612,359.8692,0.0006487712
547.5701574,245.6752,306.1559,3.55578,0.078749,0.0,245.5785,0.0967,0.0006487712
574.9486653,245.8455,213.2951,3.55424,0.078759,0.0,245.7813,0.0642,0.0006487712
602.3271732,245.8742,120.5277,3.55426,0.078776,0.0,245.8549,0.0193,0.0006487712
629.705681,246.0587,27.6593,3.55601,0.078888,0.0,246.1614,359.8973,0.0006487712
657.0841889,246.1334,294.8724,3.55328,0.078499,0.0,246.0226,0.1108,0.0006487712
684.4626968,245.889,202.3911,3.55565,0.078253,0.0,245.8517,0.0373,0.0006487712
711.8412047,245.8537,109.7551,3.55467,0.078431,0.0,245.8453,0.0084,0.0006487712
739.2197125,245.7649,17.10403,3.55398,0.078483,0.0,245.9729,359.792,0.0006487712
766.5982204,245.6559,284.5205,3.55575,0.078672,0.0,245.4014,0.2545,0.0006487712
793.9767283,245.8326,191.6459,3.55404,0.078783,0.0,245.6368,0.1959,0.0006487712
821.3552361,245.8886,98.85285,3.55455,0.078752,0.0,246.0257,359.8629,0.0006487712
848.733744,245.9878,6.075713,3.55579,0.078894,0.0,246.098,359.8897,0.0006487712
876.1122519,246.1399,273.2006,3.55332,0.078584,0.0,245.9874,0.1525,0.0006487712
903.4907598,245.9508,180.6737,3.55584,0.078224,0.0,245.9666,359.9841,0.0006487712
930.8692676,245.8345,88.11405,3.55434,0.078437,0.0,245.9825,359.852,0.0006487712
958.2477755,245.7844,355.422,3.55429,0.078512,0.0,245.8604,359.924,0.0006487712
985.6262834,245.6649,262.8567,3.55564,0.078597,0.0,245.4968,0.1681,0.0006487712
1013.0047912,245.8064,170.0091,3.55389,0.078796,0.0,245.7064,0.1,0.0006487712
1040.3832991,245.9118,77.17055,3.55486,0.078756,0.0,245.9955,359.9162,0.0006487712
1067.761807,245.9354,344.4723,3.55545,0.078852,0.0,245.8519,0.0835,0.0006487712
1095.1403149,246.1193,251.5562,3.55345,0.078658,0.0,245.9842,0.1351,0.0006487712
1122.5188227,246.0232,158.9464,3.55597,0.07823,0.0,246.0467,359.9765,0.0006487712
1149.8973306,245.8146,66.47215,3.554,0.078412,0.0,245.9726,359.8419,0.0006487712
1177.2758385,245.7754,333.77,3.55466,0.078548,0.0,245.7982,359.9772,0.0006487712
1204.6543463,245.6939,241.1721,3.55547,0.078542,0.0,245.4807,0.2133,0.0006487712
1232.0328542,245.7742,148.3778,3.55379,0.07879,0.0,245.883,359.8912,0.0006487712
1259.4113621,245.9282,55.49647,3.55519,0.078793,0.0,245.9924,359.9358,0.0006487712
1286.78987,245.9177,322.8327,3.55507,0.078793,0.0,245.8334,0.0843,0.0006487712
1314.1683778,246.0827,229.9285,3.55365,0.078706,0.0,245.9375,0.1452,0.0006487712
1341.5468857,246.0934,137.2219,3.55606,0.078276,0.0,246.0525,0.0409,0.0006487712
1368.9253936,245.8116,44.81187,3.55368,0.078358,0.0,246.0803,359.7312,0.0006487712
1396.3039014,245.7427,312.1433,3.55503,0.078559,0.0,245.6798,0.0629,0.0006487712
1423.6824093,245.7304,219.4793,3.55526,0.078517,0.0,245.6958,0.0346,0.0006487712
1451.0609172,245.7453,126.7429,3.55375,0.078761,0.0,245.881,359.8643,0.0006487712
1478.4394251,245.921,33.84732,3.5555,0.078851,0.0,245.9957,359.9253,0.0006487712
1505.8179329,245.9297,301.1616,3.55468,0.078751,0.0,245.7643,0.1654,0.0006487712
1533.1964408,246.0436,208.3044,3.55388,0.078724,0.0,245.9725,0.0711,0.0006487712
1560.5749487,246.1471,115.5141,3.55608,0.078358,0.0,246.1648,359.9823,0.0006487712
1587.9534565,245.8382,23.12065,3.55343,0.078298,0.0,245.8605,359.9777,0.0006487712
1615.3319644,245.7054,290.5227,3.55534,0.078528,0.0,245.5489,0.1565,0.0006487712
1642.7104723,245.7623,197.7901,3.55503,0.078518,0.0,245.6686,0.0937,0.0006487712
1670.0889802,245.7288,105.0955,3.55377,0.078716,0.0,245.7394,359.9894,0.0006487712
1697.467488,245.8826,12.23054,3.55573,0.078902,0.0,245.9948,359.8878,0.0006487712
1724.8459959,245.9529,279.4778,3.55434,0.078745,0.0,245.7126,0.2402,0.0006487712
1752.2245038,246.0135,186.6723,3.55415,0.078716,0.0,245.8542,0.1593,0.0006487712
1779.6030116,246.172,93.83499,3.55603,0.078461,0.0,246.4069,359.7651,0.0006487712
1806.9815195,245.8919,1.401502,3.55329,0.078263,0.0,245.9101,359.9817,0.0006487712
1834.3600274,245.6835,268.888,3.55558,0.078462,0.0,245.42,0.2635,0.0006487712
1861.7385352,245.7811,176.1129,3.55478,0.078536,0.0,245.7296,0.0515,0.0006487712
1889.1170431,245.7311,83.42961,3.55387,0.078668,0.0,245.8169,359.9142,0.0006487712
1916.495551,245.8228,350.6358,3.55585,0.078916,0.0,245.773,0.0499,0.0006487712
1943.8740589,245.9685,257.8003,3.55407,0.07877,0.0,245.7261,0.2424,0.0006487712
1971.2525667,246.0,165.025,3.55443,0.078694,0.0,245.963,0.037,0.0006487712
1998.6310746,246.162,72.19039,3.55588,0.078564,0.0,246.379,359.783,0.0006487712
2026.0095825,245.9526,339.6749,3.55329,0.078275,0.0,245.9349,0.0177,0.0006487712
2053.3880903,245.6885,247.2274,3.55575,0.07838,0.0,245.3965,0.292,0.0006487712
2080.7665982,245.7827,154.4516,3.55452,0.07856,0.0,245.8666,359.9161,0.0006487712
2108.1451061,245.7512,61.74654,3.55406,0.078635,0.0,245.8899,359.8613,0.0006487712
2135.523614,245.7655,329.0389,3.55584,0.078881,0.0,245.7269,0.0386,0.0006487712
2162.9021218,245.9661,236.1397,3.55388,0.07881,0.0,245.8021,0.164,0.0006487712
2190.2806297,246.0054,143.36,3.55473,0.078674,0.0,246.1201,359.8853,0.0006487712
2217.6591376,246.1219,50.575,3.55563,0.078638,0.0,246.3239,359.7979,0.0006487712
2245.0376454,245.9963,317.9657,3.55343,0.078325,0.0,246.0071,359.9892,0.0006487712
2272.4161533,245.7215,225.5395,3.55584,0.078304,0.0,245.5938,0.1277,0.0006487712
2299.7946612,245.7683,132.8052,3.55426,0.078574,0.0,245.7164,0.0519,0.0006487712
2327.1731691,245.7783,40.05747,3.55433,0.078633,0.0,245.9801,359.7982,0.0006487712
2354.5516769,245.732,307.4177,3.5557,0.078812,0.0,245.6389,0.0931,0.0006487712
2381.9301848,245.9446,214.4976,3.55376,0.078848,0.0,245.8597,0.0849,0.0006487712
2409.3086927,246.0266,121.6806,3.55504,0.07867,0.0,246.0252,0.0014,0.0006487712
2436.6872005,246.0701,28.96998,3.55528,0.078663,0.0,246.1873,359.8828,0.0006487712
2464.0657084,246.011,296.2862,3.55367,0.078387,0.0,245.938,0.073,0.0006487712
2491.4442163,245.7757,203.8307,3.55586,0.078251,0.0,245.6797,0.096,0.0006487712
2518.8227242,245.7442,111.1673,3.55401,0.078568,0.0,245.9237,359.8205,0.0006487712
2546.201232,245.7939,18.38132,3.55466,0.078662,0.0,245.7655,0.0283,0.0006487712
2573.5797399,245.7291,285.7652,3.55549,0.07874,0.0,245.5872,0.1419,0.0006487712
2600.9582478,245.9095,192.8687,3.5537,0.078869,0.0,245.6989,0.2106,0.0006487712
2628.3367556,246.0543,99.99606,3.55534,0.078694,0.0,246.1196,359.9347,0.0006487712
2655.7152635,246.0326,7.349067,3.55485,0.078642,0.0,246.2048,359.8278,0.0006487712
2683.0937714,246.0021,274.6315,3.55397,0.078433,0.0,245.8517,0.1503,0.0006487712
2710.4722793,245.8401,182.1118,3.55583,0.07823,0.0,245.8184,0.0217,0.0006487712
2737.8507871,245.7212,89.5271,3.55378,0.078535,0.0,245.809,359.9122,0.0006487712
2765.229295,245.7822,356.7339,3.55502,0.078704,0.0,245.7813,0.0009,0.0006487712
2792.6078029,245.7487,264.0891,3.55523,0.078688,0.0,245.5282,0.2205,0.0006487712
2819.9863107,245.8698,171.2444,3.55371,0.078868,0.0,245.8326,0.0372,0.0006487712
2847.3648186,246.074,78.32069,3.55562,0.07875,0.0,246.1537,359.9202,0.0006487712
2874.7433265,246.0276,345.6938,3.55441,0.078602,0.0,246.1271,359.9005,0.0006487712
2902.1218344,245.9843,252.9869,3.5543,0.07845,0.0,245.819,0.1653,0.0006487712
2929.5003422,245.9022,160.3949,3.55574,0.078244,0.0,245.9253,359.9769,0.0006487712
2956.8788501,245.7125,67.87166,3.55361,0.07848,0.0,245.7953,359.9172,0.0006487712
2984.257358,245.7432,335.1153,3.55535,0.078726,0.0,245.7794,359.9638,0.0006487712
3011.6358658,245.7762,242.4039,3.55495,0.078666,0.0,245.6071,0.1691,0.0006487712
3039.0143737,245.8353,149.6151,3.55378,0.078844,0.0,245.969,359.8663,0.0006487712
3066.3928816,246.0701,56.66994,3.55584,0.078828,0.0,246.2129,359.8572,0.0006487712
3093.7713895,246.0527,324.0069,3.55402,0.078581,0.0,246.0569,359.9958,0.0006487712
3121.1498973,245.9729,231.3374,3.55462,0.07844,0.0,245.8912,0.0817,0.0006487712
3148.5284052,245.9505,138.6913,3.55558,0.078286,0.0,246.0124,359.938,0.0006487712
3175.9069131,245.7275,46.19181,3.55353,0.07842,0.0,245.9476,359.7799,0.0006487712
3203.2854209,245.6942,313.5081,3.55559,0.078705,0.0,245.6084,0.0859,0.0006487712
3230.6639288,245.7984,220.7228,3.55469,0.07867,0.0,245.7442,0.0541,0.0006487712
3258.0424367,245.8145,127.9725,3.5539,0.078804,0.0,245.9723,359.8422,0.0006487712
3285.4209446,246.0335,35.05263,3.55598,0.078903,0.0,246.174,359.8595,0.0006487712
3312.7994524,246.0875,302.3088,3.55373,0.078601,0.0,245.9345,0.153,0.0006487712
3340.1779603,245.9779,209.673,3.55493,0.078414,0.0,245.8588,0.1191,0.0006487712
3367.5564682,245.9765,117.0092,3.55537,0.078344,0.0,245.9968,359.9797,0.0006487712
3394.934976,245.7646,24.48969,3.55356,0.078381,0.0,245.7978,359.9668,0.0006487712
3422.3134839,245.6575,291.8895,3.55573,0.078645,0.0,245.5931,0.0644,0.0006487712
3449.6919918,245.8068,199.0542,3.55444,0.07869,0.0,245.6569,0.1499,0.0006487712
3477.0704997,245.8124,106.3121,3.55409,0.078761,0.0,245.9953,359.8171,0.0006487712
3504.4490075,245.97,13.4623,3.55599,0.078944,0.0,246.096,359.874,0.0006487712
3531.8275154,246.1096,280.6223,3.55355,0.078656,0.0,245.8531,0.2565,0.0006487712
3559.2060233,246.0029,187.9898,3.55522,0.078389,0.0,245.8938,0.1091,0.0006487712
3586.5845311,245.9775,95.35096,3.55509,0.078397,0.0,246.1216,359.8559,0.0006487712
3613.963039,245.8076,2.782042,3.55372,0.07838,0.0,245.9721,359.8355,0.0006487712
3641.3415469,245.6471,270.2451,3.55578,0.078564,0.0,245.5193,0.1278,0.0006487712
