Time,long,M,a,e,i,peri,node,mass
0.0,245.8724,0.1096816,3.5318,0.073988,0.0001,245.891,359.9814,0.0006487712
27.3785079,245.7758,276.7326,3.5323,0.073995,0.0001,245.7627,0.0131,0.0006487712
54.7570157,245.6598,193.4385,3.53369,0.073836,0.0001,245.6557,0.0041,0.0006487712
82.1355236,245.6222,110.0511,3.53206,0.074114,0.0001,245.661,359.9612,0.0006487712
109.5140315,245.6292,26.58198,3.53213,0.07414,0.0001,245.6773,359.9519,0.0006487712
136.8925394,245.54,303.249,3.53364,0.074322,0.0001,245.5308,0.0092,0.0006487712
164.2710472,245.7018,219.6669,3.53229,0.074308,0.0001,245.6792,0.0226,0.0006487712
191.6495551,245.7007,136.2066,3.53186,0.074387,0.0001,245.7376,359.9631,0.0006487712
219.028063,245.9357,52.5397,3.53379,0.074419,0.0001,245.9821,359.9536,0.0006487712
246.4065708,245.8886,329.1796,3.53231,0.074224,0.0001,245.8858,0.0028,0.0006487712
273.7850787,245.9402,245.6539,3.53179,0.074129,0.0001,245.9203,0.0199,0.0006487712
301.1635866,245.849,162.3269,3.53388,0.073782,0.0001,245.8846,359.9644,0.0006487712
328.5420945,245.6901,79.07062,3.53214,0.074013,0.0001,245.7615,359.9286,0.0006487712
355.9206023,245.6607,355.634,3.53201,0.074036,0.0001,245.6853,359.9754,0.0006487712
383.2991102,245.5057,272.3663,3.53362,0.07415,0.0001,245.4961,0.0096,0.0006487712
410.6776181,245.653,188.8003,3.53241,0.074225,0.0001,245.6647,359.9883,0.0006487712
438.0561259,245.6198,105.3748,3.53184,0.074309,0.0001,245.654,359.9658,0.0006487712
465.4346338,245.783,21.77641,3.53361,0.074467,0.0001,245.8435,359.9394,0.0006487712
492.8131417,245.7822,298.3685,3.53263,0.07433,0.0001,245.7633,0.0189,0.0006487712
520.1916496,245.9235,214.7627,3.53155,0.074367,0.0001,245.9324,359.9911,0.0006487712
547.5701574,246.0088,131.2412,3.5338,0.073981,0.0001,246.0509,359.958,0.0006487712
574.9486653,245.8349,48.01369,3.53245,0.074022,0.0001,245.8614,359.9735,0.0006487712
602.3271732,245.7607,324.6174,3.53177,0.073947,0.0001,245.7513,0.0093,0.0006487712
629.705681,245.5417,241.4118,3.53366,0.073965,0.0001,245.5313,0.0104,0.0006487712
657.0841889,245.65,157.8887,3.53252,0.074121,0.0001,245.661,359.9889,0.0006487712
684.4626968,245.5817,74.49887,3.53178,0.074193,0.0001,245.6126,359.9691,0.0006487712
711.8412047,245.656,350.9878,3.53351,0.074421,0.0001,245.6777,359.9783,0.0006487712
739.2197125,245.6872,267.5459,3.53277,0.074306,0.0001,245.6356,0.0517,0.0006487712
766.5982204,245.7909,183.9861,3.5316,0.074446,0.0001,245.7942,359.9967,0.0006487712
793.9767283,245.9625,100.3674,3.53343,0.074245,0.0001,245.9786,359.984,0.0006487712
821.3552361,245.9205,17.01186,3.53301,0.074242,0.0001,245.9412,359.9793,0.0006487712
848.733744,245.9383,293.5263,3.5314,0.073982,0.0001,245.9263,0.012,0.0006487712
876.1122519,245.6709,210.3612,3.53369,0.073824,0.0001,245.6791,359.9918,0.0006487712
903.4907598,245.7056,126.9192,3.53268,0.074018,0.0001,245.7245,359.9811,0.0006487712
930.8692676,245.5908,43.57479,3.53166,0.074057,0.0001,245.6453,359.9455,0.0006487712
958.2477755,245.5679,320.1596,3.53346,0.074308,0.0001,245.5616,0.0064,0.0006487712
