Time,long,M,a,e,i,peri,node,mass
0.0,9.999996,2.886836e-06,0.16298,0.179923,0.0,10.0152,359.9848,1.621928e-05
27.3785079,10.00687,44.27952,0.16298,0.179924,0.0,9.9773,0.0296,1.621928e-05
54.7570157,10.02051,88.55144,0.16298,0.179922,0.0,9.9166,0.1039,1.621928e-05
82.1355236,10.02884,132.829,0.16298,0.179923,0.0,10.0129,0.0159,1.621928e-05
109.5140315,10.04226,177.1016,0.16298,0.179922,0.0,10.0632,359.9791,1.621928e-05
136.8925394,10.04953,221.3806,0.16298,0.17992,0.0,10.0692,359.9803,1.621928e-05
164.2710472,10.063,265.6527,0.16298,0.17992,0.0,10.1192,359.9438,1.621928e-05
191.6495551,10.07107,309.9305,0.16298,0.179919,0.0,10.2008,359.8703,1.621928e-05
219.028063,10.08462,354.203,0.16298,0.179922,0.0,10.2113,359.8733,1.621928e-05
246.4065708,10.09213,38.48166,0.16298,0.179915,0.0,10.1778,359.9143,1.621928e-05
273.7850787,10.10527,82.75401,0.16298,0.179919,0.0,10.0716,0.0337,1.621928e-05
301.1635866,10.11371,127.0314,0.16298,0.179914,0.0,10.053,0.0607,1.621928e-05
328.5420945,10.1263,171.305,0.16298,0.179921,0.0,10.1422,359.9841,1.621928e-05
355.9206023,10.13499,215.5823,0.16298,0.179912,0.0,10.1778,359.9571,1.621928e-05
383.2991102,10.14757,259.8552,0.16298,0.179917,0.0,10.2668,359.8808,1.621928e-05
410.6776181,10.1563,304.1324,0.16298,0.17991,0.0,10.3692,359.7871,1.621928e-05
438.0561259,10.16813,348.4067,0.16298,0.179919,0.0,10.2685,359.8996,1.621928e-05
465.4346338,10.17789,32.6828,0.16298,0.179908,0.0,10.2025,359.9754,1.621928e-05
492.8131417,10.18951,76.95668,0.16298,0.179915,0.0,10.1945,359.9951,1.621928e-05
520.1916496,10.19943,121.2326,0.16298,0.179906,0.0,10.2404,359.9591,1.621928e-05
547.5701574,10.20976,165.5084,0.16298,0.179916,0.0,10.2632,359.9466,1.621928e-05
574.9486653,10.22074,209.7832,0.16298,0.179906,0.0,10.2921,359.9287,1.621928e-05
602.3271732,10.23169,254.0578,0.16298,0.179913,0.0,10.4043,359.8274,1.621928e-05
629.705681,10.24232,298.333,0.16298,0.179903,0.0,10.4505,359.7918,1.621928e-05
657.0841889,10.2515,342.61,0.16298,0.179913,0.0,10.4647,359.7868,1.621928e-05
684.4626968,10.26369,26.88342,0.16298,0.179903,0.0,10.3828,359.8809,1.621928e-05
711.8412047,10.27345,71.15923,0.16298,0.17991,0.0,10.3785,359.8949,1.621928e-05
739.2197125,10.28551,115.4329,0.16298,0.179901,0.0,10.3475,359.938,1.621928e-05
766.5982204,10.29354,159.7111,0.16298,0.179908,0.0,10.4084,359.8852,1.621928e-05
793.9767283,10.30637,203.9838,0.16298,0.179901,0.0,10.4409,359.8654,1.621928e-05
821.3552361,10.31565,248.2601,0.16298,0.179907,0.0,10.4772,359.8384,1.621928e-05
848.733744,10.32837,292.5331,0.16298,0.1799,0.0,10.5354,359.7929,1.621928e-05
876.1122519,10.33558,336.8121,0.16298,0.179904,0.0,10.5795,359.756,1.621928e-05
903.4907598,10.34918,21.08391,0.16298,0.179899,0.0,10.5235,359.8257,1.621928e-05
930.8692676,10.35751,65.36121,0.16298,0.179902,0.0,10.4537,359.9038,1.621928e-05
958.2477755,10.37097,109.6335,0.16298,0.1799,0.0,10.5223,359.8487,1.621928e-05
985.6262834,10.37813,153.9124,0.16298,0.179899,0.0,10.4359,359.9423,1.621928e-05
1013.0047912,10.3916,198.1843,0.16298,0.179898,0.0,10.5775,359.8141,1.621928e-05
1040.3832991,10.39992,242.4616,0.16298,0.179899,0.0,10.5953,359.8046,1.621928e-05
1067.761807,10.41345,286.7339,0.16298,0.179899,0.0,10.7084,359.705,1.621928e-05
1095.1403149,10.42059,331.0128,0.16298,0.179894,0.0,10.7043,359.7163,1.621928e-05
1122.5188227,10.43413,15.28452,0.16298,0.179897,0.0,10.6687,359.7654,1.621928e-05
1149.8973306,10.44218,59.56213,0.16298,0.179893,0.0,10.6028,359.8394,1.621928e-05
1177.2758385,10.45523,103.8349,0.16298,0.179899,0.0,10.5651,359.8901,1.621928e-05
1204.6543463,10.46349,148.1125,0.16298,0.179891,0.0,10.589,359.8745,1.621928e-05
1232.0328542,10.4763,192.385,0.16298,0.179895,0.0,10.6806,359.7957,1.621928e-05
1259.4113621,10.48492,236.662,0.16298,0.17989,0.0,10.7221,359.7628,1.621928e-05
1286.78987,10.49731,280.9354,0.16298,0.179897,0.0,10.8146,359.6827,1.621928e-05
1314.1683778,10.50624,325.2123,0.16298,0.179887,0.0,10.8685,359.6378,1.621928e-05
1341.5468857,10.51851,9.485263,0.16298,0.179893,0.0,10.8257,359.6929,1.621928e-05
1368.9253936,10.52776,53.76166,0.16298,0.179885,0.0,10.786,359.7417,1.621928e-05
1396.3039014,10.53869,98.03666,0.16298,0.179895,0.0,10.6945,359.8442,1.621928e-05
1423.6824093,10.54922,142.3117,0.16298,0.179884,0.0,10.7384,359.8108,1.621928e-05
1451.0609172,10.56051,186.5857,0.16298,0.179891,0.0,10.7668,359.7937,1.621928e-05
1478.4394251,10.57073,230.8611,0.16298,0.179882,0.0,10.8185,359.7522,1.621928e-05
1505.8179329,10.58069,275.137,0.16298,0.179891,0.0,10.9177,359.6629,1.621928e-05
1533.1964408,10.59208,319.4111,0.16298,0.179881,0.0,10.9572,359.6349,1.621928e-05
1560.5749487,10.60249,3.685996,0.16298,0.179889,0.0,10.8747,359.7277,1.621928e-05
1587.9534565,10.61394,47.96013,0.16298,0.179879,0.0,10.82,359.794,1.621928e-05
1615.3319644,10.62232,92.23775,0.16298,0.179887,0.0,10.8199,359.8025,1.621928e-05
1642.7104723,10.63492,136.5104,0.16298,0.179879,0.0,10.8772,359.7577,1.621928e-05
1670.0889802,10.6445,180.7862,0.16298,0.179885,0.0,10.872,359.7725,1.621928e-05
1697.467488,10.65677,225.0595,0.16298,0.179877,0.0,10.9263,359.7304,1.621928e-05
1724.8459959,10.66454,269.3377,0.16298,0.179883,0.0,10.9896,359.675,1.621928e-05
1752.2245038,10.67772,313.6097,0.16298,0.179877,0.0,11.1609,359.5168,1.621928e-05
1779.6030116,10.68643,357.8863,0.16298,0.179882,0.0,11.0881,359.5983,1.621928e-05
1806.9815195,10.69977,42.15854,0.16298,0.179877,0.0,10.9278,359.772,1.621928e-05
1834.3600274,10.70674,86.43751,0.16298,0.179878,0.0,11.0069,359.6999,1.621928e-05
1861.7385352,10.72026,130.7091,0.16298,0.179876,0.0,10.9447,359.7755,1.621928e-05
1889.1170431,10.72868,174.986,0.16298,0.179877,0.0,11.0524,359.6763,1.621928e-05
1916.495551,10.74209,219.2582,0.16298,0.179876,0.0,11.1128,359.6293,1.621928e-05
1943.8740589,10.74927,263.5369,0.16298,0.179874,0.0,11.106,359.6433,1.621928e-05
1971.2525667,10.76287,307.8083,0.16298,0.179874,0.0,11.2275,359.5354,1.621928e-05
1998.6310746,10.77083,352.0858,0.16298,0.179873,0.0,11.1771,359.5937,1.621928e-05
2026.0095825,10.78439,36.35778,0.16298,0.179876,0.0,11.0829,359.7015,1.621928e-05
2053.3880903,10.79201,80.63591,0.16298,0.179869,0.0,11.1281,359.6639,1.621928e-05
2080.7665982,10.80507,124.9079,0.16298,0.179873,0.0,11.13,359.6751,1.621928e-05
2108.1451061,10.81353,169.1848,0.16298,0.179869,0.0,11.1479,359.6657,1.621928e-05
2135.523614,10.82623,213.4577,0.16298,0.179874,0.0,11.1773,359.6489,1.621928e-05
