Time,long,M,a,e,i,peri,node,mass
0.0,2.07172,6.178431,0.17128,0.205829,0.0,5.0513,357.0204,1.621928e-05
27.3785079,2.079811,41.41893,0.17128,0.205837,0.0,4.8855,357.1943,1.621928e-05
54.7570157,2.093609,76.65291,0.17128,0.205827,0.0,4.9058,357.1878,1.621928e-05
82.1355236,2.104595,111.8899,0.17128,0.205836,0.0,4.7962,357.3084,1.621928e-05
109.5140315,2.116169,147.1263,0.17128,0.205824,0.0,4.8024,357.3137,1.621928e-05
136.8925394,2.127491,182.3635,0.17128,0.205836,0.0,4.9236,357.2039,1.621928e-05
164.2710472,2.138377,217.6007,0.17128,0.205824,0.0,4.8542,357.2842,1.621928e-05
191.6495551,2.151784,252.8349,0.17128,0.20583,0.0,4.9026,357.2492,1.621928e-05
219.028063,2.160872,288.074,0.17128,0.205824,0.0,4.9584,357.2024,1.621928e-05
246.4065708,2.175371,323.3076,0.17128,0.20583,0.0,4.9929,357.1825,1.621928e-05
273.7850787,2.183384,358.548,0.17128,0.205823,0.0,4.9588,357.2246,1.621928e-05
301.1635866,2.198128,33.78084,0.17128,0.205823,0.0,4.8723,357.3258,1.621928e-05
328.5420945,2.20697,69.02005,0.17128,0.205825,0.0,4.8136,357.3934,1.621928e-05
355.9206023,2.221517,104.2535,0.17128,0.20582,0.0,4.7955,357.426,1.621928e-05
383.2991102,2.229584,139.4939,0.17128,0.205825,0.0,4.7502,357.4794,1.621928e-05
410.6776181,2.243456,174.7277,0.17128,0.205817,0.0,4.7687,357.4747,1.621928e-05
438.0561259,2.25425,209.9647,0.17128,0.205825,0.0,4.8199,357.4343,1.621928e-05
465.4346338,2.26613,245.2009,0.17128,0.205813,0.0,4.9125,357.3536,1.621928e-05
492.8131417,2.277055,280.4383,0.17128,0.205825,0.0,4.8508,357.4263,1.621928e-05
520.1916496,2.288313,315.675,0.17128,0.205812,0.0,4.9779,357.3104,1.621928e-05
547.5701574,2.301441,350.9095,0.17128,0.20582,0.0,4.9621,357.3394,1.621928e-05
574.9486653,2.310742,26.14823,0.17128,0.205811,0.0,4.7756,357.5351,1.621928e-05
602.3271732,2.32467,61.38238,0.17128,0.20582,0.0,4.7587,357.566,1.621928e-05
629.705681,2.33341,96.62187,0.17128,0.205811,0.0,4.7137,357.6197,1.621928e-05
657.0841889,2.347777,131.855,0.17128,0.205813,0.0,4.697,357.6508,1.621928e-05
684.4626968,2.356772,167.0939,0.17128,0.205814,0.0,4.7673,357.5895,1.621928e-05
711.8412047,2.371308,202.3274,0.17128,0.20581,0.0,4.7958,357.5755,1.621928e-05
739.2197125,2.3793,237.5677,0.17128,0.205814,0.0,4.7229,357.6564,1.621928e-05
766.5982204,2.393383,272.8012,0.17128,0.205806,0.0,4.8632,357.5302,1.621928e-05
793.9767283,2.403833,308.0385,0.17128,0.205814,0.0,4.8789,357.5249,1.621928e-05
821.3552361,2.416287,343.274,0.17128,0.205802,0.0,4.7734,357.6429,1.621928e-05
848.733744,2.426282,18.51229,0.17128,0.205814,0.0,4.8329,357.5933,1.621928e-05
876.1122519,2.438436,53.74793,0.17128,0.205801,0.0,4.7126,357.7258,1.621928e-05
903.4907598,2.450873,88.98305,0.17128,0.20581,0.0,4.7093,357.7415,1.621928e-05
930.8692676,2.460854,124.221,0.17128,0.2058,0.0,4.6245,357.8363,1.621928e-05
958.2477755,2.474142,159.4558,0.17128,0.20581,0.0,4.6351,357.839,1.621928e-05
985.6262834,2.483316,194.6946,0.17128,0.2058,0.0,4.61,357.8733,1.621928e-05
1013.0047912,2.497577,229.9278,0.17128,0.205803,0.0,4.7403,357.7573,1.621928e-05
1040.3832991,2.50649,265.1668,0.17128,0.205803,0.0,4.7666,357.7399,1.621928e-05
1067.761807,2.521286,300.3998,0.17128,0.2058,0.0,4.8119,357.7094,1.621928e-05
1095.1403149,2.528843,335.6406,0.17128,0.205802,0.0,4.7813,357.7476,1.621928e-05
1122.5188227,2.543421,10.87341,0.17128,0.205796,0.0,4.6478,357.8956,1.621928e-05
1149.8973306,2.553185,46.11134,0.17128,0.205803,0.0,4.6533,357.8999,1.621928e-05
1177.2758385,2.566459,81.34585,0.17128,0.205792,0.0,4.5515,358.0149,1.621928e-05
1204.6543463,2.575792,116.5848,0.17128,0.205802,0.0,4.5676,358.0082,1.621928e-05
1232.0328542,2.588377,151.8198,0.17128,0.205791,0.0,4.6285,357.9599,1.621928e-05
1259.4113621,2.600547,187.0551,0.17128,0.205799,0.0,4.6535,357.947,1.621928e-05
1286.78987,2.610812,222.2927,0.17128,0.205789,0.0,4.6096,358.0012,1.621928e-05
1314.1683778,2.6238,257.5277,0.17128,0.2058,0.0,4.6479,357.9759,1.621928e-05
1341.5468857,2.633163,292.7663,0.17128,0.205789,0.0,4.6678,357.9654,1.621928e-05
1368.9253936,2.647442,327.9993,0.17128,0.205793,0.0,4.6834,357.9641,1.621928e-05
1396.3039014,2.65605,3.238525,0.17128,0.20579,0.0,4.6182,358.0378,1.621928e-05
1423.6824093,2.671033,38.47131,0.17128,0.205792,0.0,4.6025,358.0685,1.621928e-05
1451.0609172,2.678661,73.71188,0.17128,0.205789,0.0,4.5729,358.1058,1.621928e-05
1478.4394251,2.693231,108.9446,0.17128,0.205786,0.0,4.5548,358.1384,1.621928e-05
1505.8179329,2.702874,144.1826,0.17128,0.205791,0.0,4.4321,358.2708,1.621928e-05
1533.1964408,2.716374,179.4169,0.17128,0.205782,0.0,4.4593,358.257,1.621928e-05
1560.5749487,2.725474,214.6558,0.17128,0.205791,0.0,4.5886,358.1369,1.621928e-05
1587.9534565,2.738328,249.8905,0.17128,0.20578,0.0,4.541,358.1973,1.621928e-05
1615.3319644,2.750259,285.126,0.17128,0.205789,0.0,4.597,358.1533,1.621928e-05
1642.7104723,2.760732,320.3633,0.17128,0.205777,0.0,4.5881,358.1727,1.621928e-05
1670.0889802,2.773178,355.5988,0.17128,0.20579,0.0,4.6604,358.1127,1.621928e-05
1697.467488,2.783216,30.83651,0.17128,0.205777,0.0,4.5298,358.2534,1.621928e-05
1724.8459959,2.79703,66.06992,0.17128,0.205783,0.0,4.4311,358.3659,1.621928e-05
1752.2245038,2.805995,101.3087,0.17128,0.205778,0.0,4.4259,358.3801,1.621928e-05
1779.6030116,2.820524,136.5419,0.17128,0.205782,0.0,4.4215,358.399,1.621928e-05
1806.9815195,2.828581,171.7818,0.17128,0.205778,0.0,4.4508,358.3778,1.621928e-05
1834.3600274,2.843092,207.0146,0.17128,0.205776,0.0,4.4955,358.3476,1.621928e-05
1861.7385352,2.852582,242.2526,0.17128,0.20578,0.0,4.5133,358.3393,1.621928e-05
1889.1170431,2.866378,277.4864,0.17128,0.205771,0.0,4.5866,358.2798,1.621928e-05
1916.495551,2.874967,312.7259,0.17128,0.20578,0.0,4.6725,358.2025,1.621928e-05
1943.8740589,2.88842,347.9598,0.17128,0.205769,0.0,4.4976,358.3908,1.621928e-05
1971.2525667,2.899689,23.1959,0.17128,0.205779,0.0,4.491,358.4087,1.621928e-05
1998.6310746,2.911002,58.43225,0.17128,0.205766,0.0,4.362,358.549,1.621928e-05
2026.0095825,2.922446,93.66873,0.17128,0.205779,0.0,4.4313,358.4911,1.621928e-05
2053.3880903,2.933285,128.9054,0.17128,0.205766,0.0,4.31,358.6233,1.621928e-05
2080.7665982,2.946704,164.1393,0.17128,0.205773,0.0,4.3187,358.628,1.621928e-05
2108.1451061,2.955907,199.3776,0.17128,0.205767,0.0,4.3866,358.5693,1.621928e-05
2135.523614,2.970265,234.6109,0.17128,0.205772,0.0,4.453,358.5173,1.621928e-05
2162.9021218,2.978381,269.8507,0.17128,0.205767,0.0,4.509,358.4694,1.621928e-05
2190.2806297,2.993057,305.0831,0.17128,0.205765,0.0,4.5152,358.4778,1.621928e-05
