Time,long,M,a,e,i,peri,node,mass
0.0,50.3,0.0,0.20688,0.025699,59.0,50.3,360.0,0.002172253
2.7378508,272.3767,171.4103,0.20404,0.037144,59.0,272.3767,360.0,0.002172253
5.4757016,186.3445,293.0301,0.20662,0.03545,59.0,186.3445,360.0,0.002172253
8.2135524,82.02946,74.74522,0.20591,0.020328,59.0,82.0295,360.0,0.002172253
10.9514031,285.3515,265.286,0.20463,0.031861,59.0,285.3515,360.0,0.002172253
13.6892539,214.9458,9.523333,0.20649,0.040372,59.0,214.9458,360.0,0.002172253
16.4271047,94.0825,165.9213,0.20387,0.027151,59.0,94.0825,360.0,0.002172253
19.1649555,293.5702,3.227501,0.20685,0.039354,59.0,293.5702,360.0,0.002172253
21.9028063,222.5289,108.4274,0.20489,0.035672,59.0,222.5289,360.0,0.002172253
24.6406571,117.2264,246.7908,0.20557,0.017299,59.0,117.2264,360.0,0.002172253
27.3785079,318.8646,81.3328,0.20648,0.031952,59.0,318.8646,360.0,0.002172253
30.1163587,235.9084,200.3991,0.20427,0.042885,59.0,235.9084,360.0,0.002172253
32.8542094,134.3523,336.5474,0.20701,0.026646,59.0,134.3523,0.0,0.002172253
35.5920602,321.9596,181.8262,0.20395,0.034291,59.0,321.9596,360.0,0.002172253
38.329911,238.5005,300.8619,0.2065,0.042325,59.0,238.5005,360.0,0.002172253
41.0677618,167.8,48.43233,0.20603,0.026658,59.0,167.8,360.0,0.002172253
43.8056126,330.4973,280.0741,0.20481,0.026269,59.0,330.4973,360.0,0.002172253
46.5434634,263.4652,20.9803,0.20662,0.046243,59.0,263.4652,360.0,0.002172253
49.2813142,171.5822,147.8838,0.20365,0.034212,59.0,171.5822,360.0,0.002172253
52.019165,343.8961,12.68605,0.20671,0.031184,59.0,343.8961,360.0,0.002172253
54.7570157,267.9477,123.5114,0.20496,0.040521,59.0,267.9477,360.0,0.002172253
57.4948665,189.3583,235.803,0.20546,0.027361,59.0,189.3583,360.0,0.002172253
60.2327173,18.02787,82.60739,0.20633,0.021992,59.0,18.0279,360.0,0.002172253
62.9705681,282.614,214.6166,0.20428,0.043871,59.0,282.614,360.0,0.002172253
65.7084189,199.0674,333.4762,0.20707,0.036039,59.0,199.0674,360.0,0.002172253
68.4462697,24.51309,180.9438,0.20396,0.025298,59.0,24.5131,360.0,0.002172253
71.1841205,285.6231,315.2443,0.20657,0.043854,59.0,285.6231,360.0,0.002172253
73.9219713,226.5192,50.90197,0.20596,0.034106,59.0,226.5192,360.0,0.002172253
76.659822,38.41963,274.4434,0.20466,0.019002,59.0,38.4196,360.0,0.002172253
79.3976728,312.4748,33.9534,0.20661,0.044335,59.0,312.4748,360.0,0.002172253
82.1355236,231.4381,149.4848,0.20372,0.039575,59.0,231.4381,360.0,0.002172253
84.8733744,53.71998,4.380929,0.20696,0.024717,59.0,53.72,360.0,0.002172253
87.6112252,315.5488,137.9513,0.20484,0.039852,59.0,315.5488,360.0,0.002172253
90.349076,245.6875,241.2941,0.2053,0.032121,59.0,245.6875,360.0,0.002172253
93.0869268,100.5383,60.93935,0.20621,0.016531,59.0,100.5383,0.0,0.002172253
95.8247775,331.3372,227.2344,0.20451,0.042171,59.0,331.3372,360.0,0.002172253
98.5626283,254.1693,339.7992,0.2071,0.042823,59.0,254.1693,360.0,0.002172253
101.3004791,104.4037,162.4069,0.20382,0.01698,59.0,104.4037,360.0,0.002172253
104.0383299,333.9692,327.3153,0.20662,0.040489,59.0,333.9692,360.0,0.002172253
106.7761807,275.3674,62.386,0.20619,0.039895,59.0,275.3674,360.0,0.002172253
109.5140315,134.3446,239.2319,0.20465,0.014789,59.0,134.3446,360.0,0.002172253
112.2518823,4.310707,42.3877,0.20641,0.035516,59.0,4.3107,0.0,0.002172253
114.9897331,279.5703,161.1607,0.2036,0.044677,59.0,279.5703,360.0,0.002172253
117.7275838,141.398,336.0112,0.2071,0.022945,59.0,141.398,360.0,0.002172253
120.4654346,8.377859,144.9798,0.20506,0.030745,59.0,8.3779,360.0,0.002172253
123.2032854,288.7662,258.0614,0.20532,0.03457,59.0,288.7662,360.0,0.002172253
125.9411362,187.9108,33.14027,0.20606,0.023397,59.0,187.9108,360.0,0.002172253
128.678987,30.65715,227.5208,0.20434,0.033821,59.0,30.6572,360.0,0.002172253
131.4168378,300.3434,353.4253,0.2072,0.042499,59.0,300.3434,360.0,0.002172253
134.1546886,189.6486,137.8318,0.20388,0.023433,59.0,189.6486,360.0,0.002172253
136.8925394,34.46211,327.1342,0.20645,0.033129,59.0,34.4621,360.0,0.002172253
139.6303901,319.4639,79.03358,0.20602,0.036325,59.0,319.4639,360.0,0.002172253
142.3682409,215.0556,219.3656,0.20477,0.023232,59.0,215.0556,0.0,0.002172253
145.1060917,70.71376,36.33132,0.20658,0.028898,59.0,70.7138,360.0,0.002172253
147.8439425,324.8366,176.6704,0.20378,0.042738,59.0,324.8366,360.0,0.002172253
150.5817933,220.4599,317.6951,0.20698,0.02931,59.0,220.4599,360.0,0.002172253
153.3196441,72.82017,140.7995,0.20496,0.02345,59.0,72.8202,360.0,0.002172253
156.0574949,330.8299,275.9401,0.20552,0.034339,59.0,330.8299,360.0,0.002172253
158.7953457,259.1863,22.37953,0.20623,0.031637,59.0,259.1863,360.0,0.002172253
161.5331964,95.94381,222.6874,0.20416,0.027992,59.0,95.9438,360.0,0.002172253
164.2710472,346.6639,7.094996,0.20696,0.043859,59.0,346.6639,360.0,0.002172253
167.008898,266.5439,120.966,0.20398,0.029853,59.0,266.5439,360.0,0.002172253
169.7467488,92.46877,329.6447,0.20655,0.024806,59.0,92.4688,360.0,0.002172253
172.4845996,2.913231,96.30857,0.20604,0.039397,59.0,2.9132,360.0,0.002172253
175.2224504,287.7398,206.7541,0.20457,0.033873,59.0,287.7398,360.0,0.002172253
177.9603012,139.4492,28.37581,0.20653,0.018372,59.0,139.4492,360.0,0.002172253
180.698152,10.16455,192.4858,0.20383,0.047007,59.0,10.1646,360.0,0.002172253
183.4360027,289.5429,309.2183,0.20709,0.039355,59.0,289.5429,360.0,0.002172253
186.1738535,141.5918,133.1727,0.20503,0.012768,59.0,141.5918,360.0,0.002172253
188.9117043,14.43373,293.2747,0.20548,0.038108,59.0,14.4337,360.0,0.002172253
191.6495551,318.3051,23.80452,0.20622,0.041871,59.0,318.3051,360.0,0.002172253
194.3874059,174.3316,204.652,0.20441,0.018909,59.0,174.3316,360.0,0.002172253
197.1252567,32.8439,21.59,0.20699,0.044254,59.0,32.8439,360.0,0.002172253
199.8631075,322.6784,125.2857,0.20388,0.039629,59.0,322.6784,360.0,0.002172253
202.6009582,175.5928,306.0171,0.20631,0.015216,59.0,175.5928,360.0,0.002172253
205.338809,48.91132,110.2439,0.20612,0.036285,59.0,48.9113,360.0,0.002172253
208.0766598,339.7156,214.6881,0.20476,0.040581,59.0,339.7156,0.0,0.002172253
210.8145106,230.1446,357.5739,0.20657,0.01871,59.0,230.1446,360.0,0.002172253
213.5523614,60.86013,201.0116,0.20366,0.043706,59.0,60.8601,360.0,0.002172253
216.2902122,343.1092,314.531,0.20712,0.044045,59.0,343.1092,360.0,0.002172253
219.028063,243.6052,90.42109,0.20537,0.014375,59.0,243.6052,360.0,0.002172253
221.7659138,64.38053,302.6897,0.20543,0.035143,59.0,64.3805,360.0,0.002172253
