Time,long,M,a,e,i,peri,node,mass
0.0,239.0,360.0,0.33424,0.05483,59.0,239.0,360.0,4.385213e-05
2.7378508,244.0594,2.883772,0.33734,0.078647,59.0,244.0594,360.0,4.385213e-05
5.4757016,244.3133,1.121108,0.335,0.077457,59.0,244.3133,360.0,4.385213e-05
8.2135524,243.2322,358.5155,0.35135,0.098492,59.0,243.2322,360.0,4.385213e-05
10.9514031,256.7939,8.787115,0.34689,0.087613,59.0,256.7939,360.0,4.385213e-05
13.6892539,254.3536,19.96531,0.35343,0.107677,59.0,254.3536,360.0,4.385213e-05
16.4271047,254.3665,23.54344,0.34359,0.057372,59.0,254.3665,360.0,4.385213e-05
19.1649555,281.4355,24.31071,0.35354,0.076626,59.0,281.4355,360.0,4.385213e-05
21.9028063,279.7945,50.26292,0.34604,0.056718,59.0,279.7945,360.0,4.385213e-05
24.6406571,319.2252,20.61366,0.34695,0.039399,59.0,319.2252,360.0,4.385213e-05
27.3785079,325.4149,42.55517,0.35166,0.042727,59.0,325.4149,360.0,4.385213e-05
30.1163587,316.9814,73.53082,0.34794,0.027666,59.0,316.9814,360.0,4.385213e-05
32.8542094,22.92832,16.49893,0.34534,0.019625,59.0,22.9283,360.0,4.385213e-05
35.5920602,330.4835,84.89117,0.34498,0.02944,59.0,330.4835,360.0,4.385213e-05
38.329911,337.5498,98.62218,0.34539,0.013598,59.0,337.5498,360.0,4.385213e-05
41.0677618,327.7665,117.7483,0.33392,0.016601,59.0,327.7665,0.0,4.385213e-05
43.8056126,338.0348,106.8669,0.33825,0.033751,59.0,338.0348,360.0,4.385213e-05
46.5434634,323.5863,138.1507,0.33645,0.042234,59.0,323.5863,360.0,4.385213e-05
49.2813142,6.371473,110.5359,0.33941,0.025857,59.0,6.3715,360.0,4.385213e-05
52.019165,0.2916079,106.8046,0.33739,0.039215,59.0,0.2916,360.0,4.385213e-05
54.7570157,37.85507,73.57664,0.35046,0.027837,59.0,37.8551,0.0,4.385213e-05
57.4948665,46.61979,75.24341,0.3503,0.024239,59.0,46.6198,360.0,4.385213e-05
60.2327173,65.01299,65.4801,0.35178,0.028298,59.0,65.013,360.0,4.385213e-05
62.9705681,303.8006,183.9091,0.34507,0.01108,59.0,303.8006,0.0,4.385213e-05
65.7084189,173.903,315.9293,0.35301,0.034788,59.0,173.903,360.0,4.385213e-05
68.4462697,189.5783,316.4867,0.34862,0.021726,59.0,189.5783,360.0,4.385213e-05
71.1841205,195.7479,318.0824,0.34681,0.038453,59.0,195.7479,360.0,4.385213e-05
73.9219713,203.2623,311.6165,0.33515,0.02632,59.0,203.2623,360.0,4.385213e-05
76.659822,192.4899,320.2307,0.33924,0.018558,59.0,192.4899,360.0,4.385213e-05
79.3976728,239.2589,292.4452,0.33534,0.008872,59.0,239.2589,0.0,4.385213e-05
82.1355236,192.5683,349.8623,0.33844,0.032366,59.0,192.5683,360.0,4.385213e-05
84.8733744,171.9682,2.372638,0.33736,0.028502,59.0,171.9682,0.0,4.385213e-05
87.6112252,192.809,355.2065,0.35022,0.045409,59.0,192.809,360.0,4.385213e-05
90.349076,196.052,9.89782,0.34611,0.047581,59.0,196.052,360.0,4.385213e-05
93.0869268,191.0507,20.53067,0.35139,0.064615,59.0,191.0507,360.0,4.385213e-05
95.8247775,206.9409,10.15904,0.34802,0.037592,59.0,206.9409,360.0,4.385213e-05
98.5626283,229.4994,9.610235,0.35583,0.061616,59.0,229.4994,360.0,4.385213e-05
101.3004791,228.8715,33.02996,0.34366,0.030582,59.0,228.8715,360.0,4.385213e-05
104.0383299,277.7005,349.8203,0.35129,0.059598,59.0,277.7005,360.0,4.385213e-05
106.7761807,277.2942,15.6092,0.35039,0.050611,59.0,277.2942,360.0,4.385213e-05
109.5140315,283.0223,40.00448,0.34785,0.033585,59.0,283.0223,360.0,4.385213e-05
112.2518823,301.9328,27.3885,0.34265,0.039631,59.0,301.9328,360.0,4.385213e-05
114.9897331,281.5405,68.20319,0.3468,0.049536,59.0,281.5405,360.0,4.385213e-05
117.7275838,283.7816,93.65436,0.34266,0.025248,59.0,283.7816,360.0,4.385213e-05
120.4654346,292.3533,86.48233,0.33438,0.053843,59.0,292.3533,360.0,4.385213e-05
123.2032854,286.3578,101.8393,0.33855,0.069726,59.0,286.3578,360.0,4.385213e-05
125.9411362,288.4531,120.364,0.33637,0.075857,59.0,288.4531,360.0,4.385213e-05
128.678987,302.7685,109.2765,0.33593,0.083778,59.0,302.7685,360.0,4.385213e-05
131.4168378,301.2118,107.7334,0.33634,0.092852,59.0,301.2118,360.0,4.385213e-05
134.1546886,320.171,94.67985,0.34864,0.075039,59.0,320.171,360.0,4.385213e-05
136.8925394,328.4352,107.958,0.34363,0.081155,59.0,328.4352,360.0,4.385213e-05
139.6303901,345.783,95.29564,0.34986,0.081401,59.0,345.783,360.0,4.385213e-05
142.3682409,340.6332,102.1773,0.34944,0.081171,59.0,340.6332,360.0,4.385213e-05
