Time,long,M,a,e,i,peri,node,mass
0.0,360.0,7.817737e-06,0.49284,0.118897,90.0,360.0,0.0,6.878177e-05
27.3785079,316.9488,144.6265,0.49266,0.118483,90.0,316.9488,0.0,6.878177e-05
54.7570157,329.7943,289.2964,0.49269,0.118012,90.0,329.7943,0.0,6.878177e-05
82.1355236,331.9451,72.78798,0.49286,0.11774,90.0,331.9451,0.0,6.878177e-05
109.5140315,333.1535,217.3278,0.49266,0.117971,90.0,333.1535,360.0,6.878177e-05
136.8925394,357.3598,2.068053,0.49266,0.118098,90.0,357.3598,0.0,6.878177e-05
164.2710472,26.6526,146.8062,0.4928,0.117369,90.0,26.6526,0.0,6.878177e-05
191.6495551,337.2525,291.3965,0.49268,0.116809,90.0,337.2525,0.0,6.878177e-05
219.028063,339.3477,75.14281,0.49273,0.116451,90.0,339.3477,0.0,6.878177e-05
246.4065708,340.6188,219.7644,0.49278,0.11615,90.0,340.6188,0.0,6.878177e-05
273.7850787,354.5643,4.276701,0.4926,0.116142,90.0,354.5643,0.0,6.878177e-05
301.1635866,24.83151,149.1342,0.49272,0.115641,90.0,24.8315,0.0,6.878177e-05
328.5420945,344.5837,293.9751,0.49284,0.11476,90.0,344.5837,0.0,6.878177e-05
355.9206023,346.5572,77.62399,0.49264,0.114019,90.0,346.5572,0.0,6.878177e-05
383.2991102,347.9132,222.1793,0.49271,0.113817,90.0,347.9132,0.0,6.878177e-05
410.6776181,351.4463,6.770081,0.49275,0.113568,90.0,351.4463,0.0,6.878177e-05
438.0561259,202.9158,151.6278,0.4926,0.112859,90.0,202.9158,0.0,6.878177e-05
465.4346338,351.8653,296.3931,0.49277,0.111843,90.0,351.8653,360.0,6.878177e-05
492.8131417,353.9239,80.23763,0.49278,0.11079,90.0,353.9239,0.0,6.878177e-05
520.1916496,355.1777,224.7593,0.49258,0.110227,90.0,355.1777,0.0,6.878177e-05
547.5701574,356.6429,9.308211,0.49271,0.10978,90.0,356.6429,0.0,6.878177e-05
574.9486653,20.89648,154.2925,0.49272,0.108824,90.0,20.8965,0.0,6.878177e-05
602.3271732,72.24321,299.1887,0.49264,0.107522,90.0,72.2432,0.0,6.878177e-05
629.705681,84.66758,83.11372,0.49279,0.106498,90.0,84.6676,0.0,6.878177e-05
657.0841889,2.000862,227.9144,0.4927,0.105661,90.0,2.0009,0.0,6.878177e-05
684.4626968,3.467438,12.47606,0.49256,0.104807,90.0,3.4674,0.0,6.878177e-05
711.8412047,99.33376,157.3692,0.49273,0.104025,90.0,99.3338,0.0,6.878177e-05
739.2197125,68.15593,302.4732,0.49272,0.102968,90.0,68.1559,0.0,6.878177e-05
766.5982204,81.73247,86.65209,0.49266,0.10148,90.0,81.7325,0.0,6.878177e-05
793.9767283,8.380897,231.365,0.49275,0.100565,90.0,8.3809,0.0,6.878177e-05
821.3552361,9.967967,15.87274,0.49259,0.099824,90.0,9.968,0.0,6.878177e-05
848.733744,15.74617,160.9444,0.49258,0.098888,90.0,15.7462,0.0,6.878177e-05
876.1122519,63.65909,306.0448,0.49281,0.097701,90.0,63.6591,0.0,6.878177e-05
903.4907598,258.8165,90.21694,0.49265,0.096333,90.0,258.8165,0.0,6.878177e-05
930.8692676,14.80997,235.0715,0.49261,0.095111,90.0,14.81,0.0,6.878177e-05
958.2477755,16.21447,19.53052,0.49275,0.094205,90.0,16.2145,0.0,6.878177e-05
985.6262834,17.33743,164.5141,0.49255,0.093272,90.0,17.3374,360.0,6.878177e-05
1013.0047912,58.9365,309.7493,0.49261,0.091735,90.0,58.9365,0.0,6.878177e-05
1040.3832991,75.7884,94.04323,0.49283,0.090137,90.0,75.7884,0.0,6.878177e-05
1067.761807,20.68151,239.0572,0.49262,0.089049,90.0,20.6815,0.0,6.878177e-05
1095.1403149,22.15556,23.70608,0.49255,0.087719,90.0,22.1556,0.0,6.878177e-05
1122.5188227,23.11542,168.7298,0.49267,0.086579,90.0,23.1154,0.0,6.878177e-05
1149.8973306,53.67386,313.9204,0.49257,0.085463,90.0,53.6739,0.0,6.878177e-05
1177.2758385,72.11843,98.56065,0.49268,0.083911,90.0,72.1184,0.0,6.878177e-05
1204.6543463,26.06073,243.75,0.49275,0.082441,90.0,26.0607,0.0,6.878177e-05
1232.0328542,27.37407,28.32445,0.4925,0.081232,90.0,27.3741,0.0,6.878177e-05
1259.4113621,28.54237,173.3271,0.49254,0.080362,90.0,28.5424,0.0,6.878177e-05
1286.78987,47.73091,318.6971,0.49268,0.07888,90.0,47.7309,0.0,6.878177e-05
1314.1683778,248.2022,103.3818,0.4926,0.077464,90.0,248.2022,0.0,6.878177e-05
1341.5468857,31.27206,248.5312,0.4927,0.07613,90.0,31.2721,360.0,6.878177e-05
1368.9253936,32.55693,33.23836,0.49265,0.074559,90.0,32.5569,0.0,6.878177e-05
1396.3039014,33.42659,178.2922,0.49242,0.073755,90.0,33.4266,0.0,6.878177e-05
1423.6824093,41.73142,323.566,0.49262,0.072302,90.0,41.7314,0.0,6.878177e-05
1451.0609172,244.1402,108.4221,0.49271,0.070518,90.0,244.1402,0.0,6.878177e-05
1478.4394251,113.7258,253.6881,0.49257,0.069245,90.0,113.7258,0.0,6.878177e-05
1505.8179329,37.20249,38.51373,0.49267,0.067782,90.0,37.2025,0.0,6.878177e-05
1533.1964408,38.11279,183.6812,0.49252,0.066466,90.0,38.1128,0.0,6.878177e-05
1560.5749487,38.58762,329.1309,0.49242,0.06483,90.0,38.5876,0.0,6.878177e-05
1587.9534565,59.41178,114.1668,0.49274,0.063553,90.0,59.4118,0.0,6.878177e-05
1615.3319644,107.0477,259.8408,0.49273,0.062056,90.0,107.0477,0.0,6.878177e-05
1642.7104723,40.65745,45.02873,0.49251,0.060413,90.0,40.6574,0.0,6.878177e-05
1670.0889802,41.50612,190.1597,0.49254,0.059474,90.0,41.5061,0.0,6.878177e-05
1697.467488,42.04614,335.6934,0.49253,0.058,90.0,42.0461,0.0,6.878177e-05
1724.8459959,53.57402,121.0853,0.4926,0.05649,90.0,53.574,0.0,6.878177e-05
1752.2245038,99.35293,266.9382,0.4928,0.055293,90.0,99.3529,0.0,6.878177e-05
1779.6030116,303.0166,51.93296,0.4926,0.053737,90.0,303.0166,0.0,6.878177e-05
1806.9815195,44.21164,197.4632,0.49242,0.052512,90.0,44.2116,0.0,6.878177e-05
1834.3600274,44.25011,343.3408,0.4926,0.051268,90.0,44.2501,0.0,6.878177e-05
1861.7385352,227.1118,128.6005,0.49262,0.049786,90.0,227.1118,0.0,6.878177e-05
1889.1170431,90.64337,274.8893,0.4927,0.048284,90.0,90.6434,0.0,6.878177e-05
1916.495551,114.9159,60.26404,0.49274,0.047085,90.0,114.9159,0.0,6.878177e-05
1943.8740589,45.70548,205.8772,0.49241,0.045864,90.0,45.7055,0.0,6.878177e-05
1971.2525667,45.2477,352.3728,0.49248,0.044262,90.0,45.2477,0.0,6.878177e-05
1998.6310746,45.44836,138.0435,0.49278,0.042937,90.0,45.4484,360.0,6.878177e-05
2026.0095825,79.97927,284.7238,0.49268,0.041918,90.0,79.9793,0.0,6.878177e-05
2053.3880903,104.8157,70.73508,0.49266,0.040484,90.0,104.8157,0.0,6.878177e-05
