Time,long,M,a,e,i,peri,node,mass
0.0,0.0,0.0,3.38015,0.094773,90.0,0.0,0.0,0.0001972144
27.3785079,141.5463,228.8472,3.38707,0.094925,90.0,141.5463,0.0,0.0001972144
54.7570157,142.806,95.97527,3.38737,0.095084,90.0,142.806,0.0,0.0001972144
82.1355236,303.9956,325.5352,3.38776,0.096274,90.0,303.9956,0.0,0.0001972144
109.5140315,169.0888,193.1378,3.38359,0.095486,90.0,169.0888,0.0,0.0001972144
136.8925394,142.2683,61.44205,3.38295,0.095659,90.0,142.2683,0.0,0.0001972144
164.2710472,141.8558,290.2248,3.38679,0.096134,90.0,141.8558,0.0,0.0001972144
191.6495551,198.6899,157.5584,3.38411,0.095312,90.0,198.6899,0.0,0.0001972144
219.028063,328.2404,26.28231,3.38597,0.096481,90.0,328.2404,0.0,0.0001972144
246.4065708,142.9862,254.1835,3.3804,0.095745,90.0,142.9862,0.0,0.0001972144
273.7850787,142.7093,122.7907,3.38294,0.09559,90.0,142.7093,0.0,0.0001972144
301.1635866,10.73767,351.1833,3.38652,0.096431,90.0,10.7377,0.0,0.0001972144
328.5420945,147.3556,218.9022,3.38236,0.095227,90.0,147.3556,0.0,0.0001972144
355.9206023,142.6836,87.77363,3.38168,0.095735,90.0,142.6836,0.0,0.0001972144
383.2991102,143.3171,315.5218,3.37996,0.094902,90.0,143.3171,360.0,0.0001972144
410.6776181,176.4097,184.3213,3.38534,0.094693,90.0,176.4097,0.0,0.0001972144
438.0561259,142.9394,52.66239,3.38212,0.095335,90.0,142.9394,0.0,0.0001972144
465.4346338,143.138,280.7336,3.38256,0.094826,90.0,143.138,0.0,0.0001972144
492.8131417,205.4465,149.5153,3.38174,0.095759,90.0,205.4465,0.0,0.0001972144
520.1916496,338.9583,17.38019,3.38133,0.094979,90.0,338.9583,0.0,0.0001972144
547.5701574,142.834,246.1035,3.38617,0.095332,90.0,142.834,0.0,0.0001972144
574.9486653,143.3199,113.9104,3.38288,0.095721,90.0,143.3199,0.0,0.0001972144
602.3271732,21.75871,342.0366,3.38268,0.09535,90.0,21.7587,0.0,0.0001972144
629.705681,154.4998,210.5867,3.38102,0.096443,90.0,154.4998,0.0,0.0001972144
657.0841889,144.1971,78.16657,3.38693,0.095396,90.0,144.1971,0.0,0.0001972144
684.4626968,143.3724,307.3515,3.38637,0.096205,90.0,143.3724,0.0,0.0001972144
711.8412047,183.9839,175.1956,3.38247,0.095729,90.0,183.9839,0.0,0.0001972144
739.2197125,144.3161,43.03954,3.38598,0.095637,90.0,144.3161,0.0,0.0001972144
766.5982204,143.7507,271.9421,3.38389,0.095905,90.0,143.7507,0.0,0.0001972144
793.9767283,214.0058,139.5853,3.38732,0.094221,90.0,214.0058,0.0,0.0001972144
821.3552361,169.8383,8.349229,3.38575,0.096073,90.0,169.8383,0.0,0.0001972144
848.733744,143.8487,236.8955,3.38448,0.094882,90.0,143.8487,0.0,0.0001972144
876.1122519,144.4192,104.7352,3.3851,0.094675,90.0,144.4192,0.0,0.0001972144
903.4907598,31.8179,333.6485,3.38668,0.096105,90.0,31.8179,0.0,0.0001972144
930.8692676,161.781,201.8146,3.38828,0.093716,90.0,161.781,0.0,0.0001972144
958.2477755,143.9679,70.07005,3.38095,0.095443,90.0,143.9679,0.0,0.0001972144
985.6262834,143.8235,298.5783,3.38598,0.095361,90.0,143.8235,0.0,0.0001972144
