Time,long,M,a,e,i,peri,node,mass
0.0,232.0,8.776426e-06,1.03638,0.080567,0.0,232.0145,359.9854,0.001231404
27.3785079,237.1291,99.23291,1.03617,0.081987,0.0,236.6743,0.4547,0.001231404
54.7570157,239.3929,204.7376,1.03713,0.077915,0.0,238.1741,1.2188,0.001231404
82.1355236,237.891,315.3474,1.03669,0.080186,0.0,236.2452,1.6458,0.001231404
109.5140315,241.7112,56.59747,1.0361,0.084399,0.0,239.8264,1.8849,0.001231404
136.8925394,245.7886,157.7084,1.03694,0.081916,0.0,243.2158,2.5728,0.001231404
164.2710472,244.2817,269.0705,1.03707,0.080978,0.0,241.1266,3.1551,0.001231404
191.6495551,246.007,14.13197,1.03633,0.086301,0.0,242.5447,3.4623,0.001231404
219.028063,250.6712,113.717,1.03609,0.088402,0.0,246.6145,4.0567,0.001231404
246.4065708,252.9721,219.1127,1.03715,0.084544,0.0,248.1878,4.7843,0.001231404
273.7850787,251.5554,329.6823,1.03671,0.086595,0.0,246.6258,4.9297,0.001231404
301.1635866,254.8799,71.45896,1.03608,0.091169,0.0,249.5817,5.2982,0.001231404
328.5420945,258.7195,172.6635,1.03699,0.089046,0.0,252.6507,6.0688,0.001231404
355.9206023,257.4379,283.795,1.03708,0.08801,0.0,250.9401,6.4979,0.001231404
383.2991102,258.7653,29.35427,1.03627,0.093373,0.0,251.99,6.7753,0.001231404
410.6776181,262.98,129.2616,1.03602,0.095952,0.0,255.5445,7.4356,0.001231404
438.0561259,265.174,234.7375,1.03721,0.092248,0.0,257.0942,8.0798,0.001231404
465.4346338,263.9237,345.1643,1.03668,0.094195,0.0,255.8689,8.0548,0.001231404
492.8131417,266.8477,87.32243,1.03608,0.098995,0.0,258.3188,8.5288,0.001231404
520.1916496,270.3734,188.738,1.03704,0.09708,0.0,261.1558,9.2176,0.001231404
547.5701574,269.2839,299.6893,1.03706,0.096063,0.0,259.6903,9.5936,0.001231404
574.9486653,270.3447,45.56704,1.03619,0.101426,0.0,260.6723,9.6724,0.001231404
602.3271732,274.1701,145.7247,1.03599,0.104276,0.0,263.6831,10.487,0.001231404
629.705681,276.1637,251.4278,1.03728,0.10067,0.0,265.3325,10.8313,0.001231404
657.0841889,275.1105,1.659938,1.03664,0.102643,0.0,264.2056,10.9049,0.001231404
684.4626968,277.738,104.0381,1.03608,0.107542,0.0,266.4249,11.3131,0.001231404
711.8412047,280.9242,205.7459,1.03708,0.105697,0.0,268.9321,11.9921,0.001231404
739.2197125,279.9858,316.5757,1.03701,0.104795,0.0,267.9921,11.9937,0.001231404
766.5982204,280.891,62.60454,1.03612,0.110156,0.0,268.5251,12.3658,0.001231404
793.9767283,284.3927,162.9418,1.03599,0.113081,0.0,271.4996,12.893,0.001231404
821.3552361,286.1399,268.9771,1.03735,0.109546,0.0,272.9405,13.1994,0.001231404
848.733744,285.2835,18.98977,1.03662,0.111664,0.0,272.1591,13.1244,0.001231404
876.1122519,287.7025,121.4425,1.03609,0.116541,0.0,274.0945,13.608,0.001231404
903.4907598,290.5507,223.5093,1.03713,0.114655,0.0,276.5366,14.014,0.001231404
930.8692676,289.7261,334.2695,1.03695,0.113944,0.0,275.7013,14.0248,0.001231404
958.2477755,290.5647,80.29698,1.03606,0.119318,0.0,276.3115,14.2533,0.001231404
985.6262834,293.7943,180.7696,1.03605,0.12214,0.0,278.9234,14.8709,0.001231404
1013.0047912,295.287,287.2056,1.03738,0.11868,0.0,280.3561,14.9309,0.001231404
1040.3832991,294.6122,36.98145,1.03661,0.121033,0.0,279.6991,14.9131,0.001231404
1067.761807,296.8865,139.3939,1.0361,0.125785,0.0,281.6444,15.2421,0.001231404
1095.1403149,299.41,241.8852,1.03717,0.123775,0.0,283.8966,15.5134,0.001231404
1122.5188227,298.67,352.6115,1.03687,0.123324,0.0,283.2206,15.4494,0.001231404
1149.8973306,299.5109,98.50204,1.03603,0.128711,0.0,283.708,15.8029,0.001231404
1177.2758385,302.5017,199.1013,1.03614,0.131287,0.0,286.4449,16.0568,0.001231404
1204.6543463,303.7531,305.981,1.03736,0.127929,0.0,287.8198,15.9333,0.001231404
1232.0328542,303.2432,55.49539,1.0366,0.130573,0.0,287.1669,16.0763,0.001231404
1259.4113621,305.4156,157.7869,1.03611,0.135117,0.0,289.0678,16.3478,0.001231404
1286.78987,307.6316,260.7692,1.0372,0.132931,0.0,291.2994,16.3322,0.001231404
