Time,long,M,a,e,i,peri,node,mass
0.0,27.0,0.0,2.65458,0.237732,0.0,26.9905,0.0095,0.0009450434
27.3785079,28.01982,54.10534,2.66484,0.241489,0.0,28.2947,359.7252,0.0009450434
54.7570157,29.68062,104.8494,2.66609,0.236708,0.0,30.1809,359.4997,0.0009450434
82.1355236,29.53755,156.535,2.67684,0.233864,0.0,30.2466,359.2909,0.0009450434
109.5140315,29.68346,211.3091,2.67402,0.238497,0.0,30.6822,359.0013,0.0009450434
136.8925394,31.67533,263.7797,2.6572,0.238815,0.0,33.0498,358.6256,0.0009450434
164.2710472,31.95054,314.0809,2.64927,0.235818,0.0,33.5738,358.3767,0.0009450434
191.6495551,32.03683,7.126939,2.6573,0.236953,0.0,33.8115,358.2253,0.0009450434
219.028063,33.53846,60.86095,2.66895,0.240363,0.0,35.5851,357.9534,0.0009450434
246.4065708,35.06095,111.8448,2.66841,0.23387,0.0,37.3431,357.7179,0.0009450434
273.7850787,34.48719,163.9908,2.67622,0.231754,0.0,36.9669,357.5202,0.0009450434
301.1635866,35.03022,218.261,2.67089,0.238158,0.0,37.8043,357.2259,0.0009450434
328.5420945,37.13059,270.6882,2.65472,0.236523,0.0,40.3694,356.7611,0.0009450434
355.9206023,37.06197,321.3405,2.64891,0.23316,0.0,40.4763,356.5856,0.0009450434
383.2991102,37.18988,14.27298,2.66115,0.236019,0.0,40.7281,356.4618,0.0009450434
410.6776181,39.11332,67.71336,2.67271,0.238317,0.0,42.8863,356.227,0.0009450434
438.0561259,40.36271,119.0366,2.67009,0.230425,0.0,44.468,355.8947,0.0009450434
465.4346338,39.43642,171.5658,2.67467,0.229782,0.0,43.6924,355.744,0.0009450434
492.8131417,40.49294,225.2312,2.66784,0.237013,0.0,45.0938,355.3991,0.0009450434
520.1916496,42.53743,277.7717,2.65273,0.233422,0.0,47.6095,354.9279,0.0009450434
547.5701574,42.12093,328.7697,2.64953,0.230285,0.0,47.2712,354.8498,0.0009450434
574.9486653,42.49521,21.4295,2.66569,0.234718,0.0,47.8033,354.6919,0.0009450434
602.3271732,44.7115,74.71755,2.67582,0.235364,0.0,50.2938,354.4177,0.0009450434
629.705681,45.58419,126.4401,2.6711,0.226507,0.0,51.4635,354.1207,0.0009450434
657.0841889,44.45216,179.1969,2.6722,0.227988,0.0,50.494,353.9581,0.0009450434
684.4626968,46.03548,232.2854,2.66521,0.234928,0.0,52.4809,353.5546,0.0009450434
711.8412047,47.89232,285.0475,2.65125,0.229641,0.0,54.6605,353.2318,0.0009450434
739.2197125,47.15918,336.346,2.65121,0.227324,0.0,53.9679,353.1913,0.0009450434
766.5982204,47.95694,28.61073,2.67034,0.232798,0.0,54.9947,352.9622,0.0009450434
793.9767283,50.30972,81.90581,2.67815,0.231575,0.0,57.5784,352.7314,0.0009450434
821.3552361,50.73262,134.0531,2.67148,0.222246,0.0,58.2871,352.4455,0.0009450434
848.733744,49.60278,186.8121,2.66901,0.226248,0.0,57.3026,352.3002,0.0009450434
876.1122519,51.62421,239.4768,2.66317,0.231896,0.0,59.7627,351.8615,0.0009450434
903.4907598,53.20068,292.5109,2.65024,0.225309,0.0,61.5813,351.6193,0.0009450434
930.8692676,52.22209,344.0267,2.65405,0.22439,0.0,60.7085,351.5136,0.0009450434
958.2477755,53.54818,35.85099,2.67453,0.230065,0.0,62.1673,351.3809,0.0009450434
985.6262834,55.89614,89.28536,2.67967,0.227046,0.0,64.7732,351.123,0.0009450434
1013.0047912,55.82198,141.8567,2.67126,0.217783,0.0,64.9415,350.8804,0.0009450434
1040.3832991,54.9338,194.3597,2.66556,0.224262,0.0,64.2278,350.706,0.0009450434
1067.761807,57.23796,246.8318,2.66171,0.227999,0.0,66.8549,350.383,0.0009450434
