Time,long,M,a,e,i,peri,node,mass
0.0,232.0,0.0,1.03646,0.080632,0.0,231.991,0.009,0.001231404
27.3785079,236.717,316.6126,1.03634,0.081644,0.0,236.5825,0.1346,0.001231404
54.7570157,238.9265,278.5745,1.03723,0.077798,0.0,238.6247,0.3017,0.001231404
82.1355236,237.3997,246.2191,1.03676,0.080253,0.0,236.9032,0.4965,0.001231404
109.5140315,240.5754,205.3509,1.03626,0.084272,0.0,239.9678,0.6076,0.001231404
136.8925394,245.3818,162.0306,1.03661,0.083655,0.0,244.7299,0.652,0.001231404
164.2710472,244.9268,128.2951,1.03717,0.080691,0.0,244.1807,0.7461,0.001231404
191.6495551,245.055,92.98799,1.03617,0.084877,0.0,244.2787,0.7764,0.001231404
219.028063,249.2061,50.35609,1.03621,0.087915,0.0,248.3243,0.8817,0.001231404
246.4065708,252.6384,9.472534,1.03713,0.085523,0.0,251.5608,1.0777,0.001231404
273.7850787,251.1472,337.5226,1.03689,0.084991,0.0,249.9146,1.2326,0.001231404
301.1635866,253.0133,298.9964,1.03645,0.089279,0.0,251.5265,1.4867,0.001231404
328.5420945,257.3391,255.8507,1.03626,0.091645,0.0,255.6369,1.7022,0.001231404
355.9206023,258.632,218.8591,1.03743,0.087724,0.0,256.9027,1.7293,0.001231404
383.2991102,258.0165,185.5324,1.03729,0.089659,0.0,256.1979,1.8186,0.001231404
410.6776181,260.6426,145.0721,1.03627,0.094796,0.0,258.7066,1.936,0.001231404
438.0561259,264.4956,102.6504,1.0367,0.094309,0.0,262.5369,1.9587,0.001231404
465.4346338,264.1358,69.03517,1.03709,0.091534,0.0,262.0823,2.0535,0.001231404
492.8131417,264.763,32.99635,1.03661,0.09561,0.0,262.5324,2.2306,0.001231404
520.1916496,267.9314,351.2274,1.03623,0.099744,0.0,265.5116,2.4197,0.001231404
547.5701574,270.7203,311.0637,1.03714,0.096568,0.0,268.118,2.6023,0.001231404
574.9486653,270.5954,277.6593,1.03712,0.096688,0.0,267.8159,2.7794,0.001231404
602.3271732,271.2416,240.3785,1.0363,0.102037,0.0,268.3922,2.8494,0.001231404
629.705681,274.9426,197.6277,1.0365,0.103541,0.0,271.9106,3.032,0.001231404
657.0841889,276.6046,160.4064,1.03815,0.100588,0.0,273.4803,3.1243,0.001231404
684.4626968,275.7146,127.248,1.03683,0.102836,0.0,272.5916,3.123,0.001231404
711.8412047,277.76,87.31791,1.03617,0.107761,0.0,274.5915,3.1685,0.001231404
739.2197125,281.2645,45.16425,1.03711,0.106681,0.0,278.0309,3.2335,0.001231404
766.5982204,281.6066,10.89594,1.03733,0.105415,0.0,278.2381,3.3685,0.001231404
793.9767283,281.1208,335.9825,1.03655,0.109409,0.0,277.673,3.4478,0.001231404
821.3552361,284.3413,293.878,1.03613,0.112787,0.0,280.6142,3.7272,0.001231404
848.733744,286.8228,254.1575,1.0368,0.111722,0.0,283.0339,3.789,0.001231404
876.1122519,285.9254,221.6835,1.037,0.110846,0.0,282.0511,3.8743,0.001231404
903.4907598,286.9867,183.7329,1.03631,0.115867,0.0,282.9762,4.0105,0.001231404
930.8692676,290.1228,141.2172,1.03632,0.117856,0.0,286.0122,4.1106,0.001231404
958.2477755,291.423,104.9271,1.0373,0.115098,0.0,287.3543,4.0687,0.001231404
985.6262834,290.5584,71.55106,1.03671,0.117126,0.0,286.3911,4.1673,0.001231404
1013.0047912,292.9015,30.96001,1.03633,0.122065,0.0,288.7308,4.1707,0.001231404
1040.3832991,295.5142,349.8077,1.03666,0.122125,0.0,291.2043,4.3099,0.001231404
1067.761807,295.3747,316.3148,1.0373,0.119397,0.0,290.9667,4.408,0.001231404
1095.1403149,295.6965,280.3027,1.03631,0.124058,0.0,291.1096,4.5869,0.001231404
1122.5188227,298.1702,238.603,1.03583,0.12756,0.0,293.5041,4.666,0.001231404
1149.8973306,300.2145,199.9285,1.03708,0.125251,0.0,295.4585,4.756,0.001231404
1177.2758385,299.4926,167.0805,1.03697,0.125352,0.0,294.7617,4.7309,0.001231404
1204.6543463,300.7079,128.599,1.03588,0.130735,0.0,295.9288,4.7791,0.001231404
1232.0328542,303.3821,86.59757,1.0363,0.132119,0.0,298.5718,4.8103,0.001231404
1259.4113621,304.1871,51.21593,1.03733,0.128688,0.0,299.403,4.7841,0.001231404
1286.78987,303.8495,16.98901,1.03668,0.13236,0.0,299.0408,4.8087,0.001231404
1314.1683778,305.713,336.4604,1.03617,0.136453,0.0,300.7389,4.9741,0.001231404
1341.5468857,308.1612,295.8984,1.03698,0.135235,0.0,303.0882,5.073,0.001231404
1368.9253936,307.9132,262.6505,1.03706,0.134051,0.0,302.7649,5.1483,0.001231404
1396.3039014,308.3744,226.104,1.0363,0.138735,0.0,303.2558,5.1186,0.001231404
1423.6824093,310.719,184.2453,1.0361,0.141518,0.0,305.478,5.2411,0.001231404
1451.0609172,312.2714,146.6738,1.03733,0.138541,0.0,307.097,5.1745,0.001231404
1478.4394251,311.6231,113.6179,1.03665,0.140382,0.0,306.3749,5.2481,0.001231404
1505.8179329,312.9422,74.47912,1.03601,0.144876,0.0,307.6454,5.2968,0.001231404
1533.1964408,315.5317,32.76959,1.0366,0.145178,0.0,310.3418,5.1899,0.001231404
1560.5749487,315.7342,358.4427,1.03737,0.143095,0.0,310.6389,5.0953,0.001231404
1587.9534565,315.7072,323.4909,1.03665,0.146635,0.0,310.5204,5.1869,0.001231404
1615.3319644,317.7223,282.3055,1.0362,0.150104,0.0,312.4809,5.2414,0.001231404
1642.7104723,319.6939,242.8898,1.03706,0.148597,0.0,314.4215,5.2724,0.001231404
1670.0889802,319.1935,210.0064,1.03713,0.148417,0.0,313.8351,5.3584,0.001231404
1697.467488,320.0047,172.4808,1.03639,0.152745,0.0,314.6301,5.3746,0.001231404
1724.8459959,322.3692,130.4962,1.03638,0.154839,0.0,317.0733,5.2958,0.001231404
1752.2245038,323.1106,94.49916,1.03727,0.152178,0.0,317.893,5.2176,0.001231404
1779.6030116,322.8283,60.75902,1.03652,0.154395,0.0,317.6685,5.1598,0.001231404
1806.9815195,324.4788,20.65426,1.03612,0.158587,0.0,319.2454,5.2334,0.001231404
1834.3600274,326.4953,339.9955,1.03696,0.158453,0.0,321.3032,5.1921,0.001231404
1861.7385352,326.416,306.3544,1.03729,0.156677,0.0,321.2632,5.1528,0.001231404
1889.1170431,326.9828,270.1625,1.03664,0.160311,0.0,321.8614,5.1214,0.001231404
1916.495551,328.8216,228.8998,1.03611,0.164005,0.0,323.6052,5.2164,0.001231404
1943.8740589,330.1104,190.9389,1.03741,0.161422,0.0,324.9493,5.1611,0.001231404
1971.2525667,330.0243,157.5454,1.03759,0.162001,0.0,324.8129,5.2114,0.001231404
1998.6310746,330.9379,119.1975,1.03623,0.166794,0.0,325.7948,5.1431,0.001231404
2026.0095825,332.9073,77.87084,1.03658,0.167801,0.0,327.8351,5.0721,0.001231404
2053.3880903,333.3443,42.85536,1.03721,0.16515,0.0,328.3757,4.9686,0.001231404
2080.7665982,333.6575,7.935284,1.03676,0.168218,0.0,328.7683,4.8892,0.001231404
2108.1451061,334.9489,327.7976,1.03617,0.172481,0.0,330.1677,4.7811,0.001231404
2135.523614,336.6713,288.0319,1.03716,0.170708,0.0,331.8683,4.8029,0.001231404
2162.9021218,336.9982,254.1136,1.03731,0.170612,0.0,332.1438,4.8545,0.001231404
2190.2806297,337.185,217.8217,1.03628,0.174644,0.0,332.3338,4.8512,0.001231404
2217.6591376,339.0315,176.4097,1.03648,0.176743,0.0,334.2837,4.7478,0.001231404
2245.0376454,340.185,139.2689,1.03806,0.174586,0.0,335.4694,4.7156,0.001231404
2272.4161533,340.0524,105.6893,1.03696,0.176082,0.0,335.3752,4.6772,0.001231404
2299.7946612,340.9343,66.91122,1.0361,0.180341,0.0,336.3355,4.5987,0.001231404
2327.1731691,342.8571,25.95764,1.03688,0.179924,0.0,338.4394,4.4176,0.001231404
2354.5516769,343.3969,351.2459,1.03731,0.179273,0.0,339.0952,4.3017,0.001231404
2381.9301848,343.2316,316.4418,1.03662,0.18199,0.0,338.9402,4.2914,0.001231404
2409.3086927,344.8907,275.5444,1.03617,0.185188,0.0,340.5627,4.328,0.001231404
2436.6872005,346.3253,236.709,1.03684,0.184736,0.0,342.0817,4.2436,0.001231404
2464.0657084,346.2386,203.4414,1.03705,0.183873,0.0,341.9988,4.2398,0.001231404
2491.4442163,346.7876,166.1226,1.03629,0.187837,0.0,342.6091,4.1785,0.001231404
2518.8227242,348.5402,124.7676,1.03651,0.189621,0.0,344.4434,4.0968,0.001231404
2546.201232,349.4264,88.74516,1.03724,0.187871,0.0,345.3618,4.0646,0.001231404
2573.5797399,349.2101,54.92537,1.03676,0.189088,0.0,345.2641,3.946,0.001231404
2600.9582478,350.5188,15.18515,1.0362,0.193186,0.0,346.7074,3.8114,0.001231404
2628.3367556,351.9979,335.2016,1.03663,0.193558,0.0,348.3862,3.6117,0.001231404
2655.7152635,352.1998,301.2464,1.03735,0.191415,0.0,348.6157,3.5841,0.001231404
2683.0937714,352.5133,265.3791,1.0363,0.19497,0.0,348.9403,3.5729,0.001231404
2710.4722793,353.9287,224.569,1.03583,0.198022,0.0,350.3769,3.5519,0.001231404
2737.8507871,355.1634,186.802,1.037,0.196279,0.0,351.6377,3.5257,0.001231404
2765.229295,355.0687,153.3126,1.03703,0.196163,0.0,351.5969,3.4718,0.001231404
2792.6078029,355.822,115.2474,1.03586,0.200536,0.0,352.4815,3.3405,0.001231404
2819.9863107,357.3827,74.50281,1.03632,0.201698,0.0,354.1177,3.265,0.001231404
2847.3648186,358.0225,39.19253,1.03728,0.199024,0.0,354.811,3.2114,0.001231404
2874.7433265,358.0846,4.667147,1.03664,0.201792,0.0,355.0766,3.0081,0.001231404
2902.1218344,359.1749,324.8517,1.03607,0.205206,0.0,356.3048,2.8701,0.001231404
2929.5003422,0.6225179,285.5344,1.037,0.204104,0.0,357.7482,2.8743,0.001231404
2956.8788501,0.7938035,251.696,1.03707,0.203217,0.0,358.0008,2.793,0.001231404
2984.257358,1.157196,215.354,1.03615,0.206864,0.0,358.3625,2.7947,0.001231404
3011.6358658,2.592822,174.5771,1.03613,0.209042,0.0,359.8666,2.7262,0.001231404
3039.0143737,3.61514,137.5505,1.03726,0.206747,0.0,0.9251,2.69,0.001231404
3066.3928816,3.513829,103.9174,1.03662,0.208032,0.0,0.913,2.6008,0.001231404
3093.7713895,4.338256,65.39435,1.03598,0.211648,0.0,1.9183,2.4199,0.001231404
3121.1498973,5.917536,25.01546,1.03661,0.211651,0.0,3.5691,2.3484,0.001231404
