Time,long,M,a,e,i,peri,node,mass
0.0,189.6,9.959012e-06,0.92048,0.066077,0.0001,189.5937,0.0063,0.0004981977
27.3785079,253.275,335.2981,0.91977,0.079442,0.0001,256.4,356.8749,0.0004981977
54.7570157,291.8696,338.3035,0.91968,0.111435,0.0001,299.082,352.7875,0.0004981977
82.1355236,315.6847,358.6709,0.91848,0.140474,0.0001,326.4338,349.2508,0.0004981977
109.5140315,335.0558,24.0439,0.91896,0.16031,0.0001,348.1693,346.8865,0.0004981977
136.8925394,351.2108,50.67623,0.91746,0.173185,0.0001,6.2792,344.9316,0.0004981977
164.2710472,7.48977,73.74862,0.91772,0.181967,0.0001,24.5092,342.9805,0.0004981977
191.6495551,22.90214,93.91772,0.91654,0.186972,0.0001,42.3935,340.5086,0.0004981977
219.028063,39.50102,110.5073,0.91665,0.188715,0.0001,61.7531,337.7479,0.0004981977
246.4065708,55.36245,127.945,0.9163,0.187901,0.0001,80.4539,334.9086,0.0004981977
273.7850787,71.45069,148.0178,0.91704,0.181555,0.0001,98.8206,332.6301,0.0004981977
301.1635866,87.35963,172.0882,0.91706,0.173361,0.0001,116.176,331.1837,0.0004981977
328.5420945,104.2883,198.3835,0.91749,0.1581,0.0001,133.6984,330.5899,0.0004981977
355.9206023,123.8975,223.6017,0.91805,0.135997,0.0001,153.6346,330.2629,0.0004981977
383.2991102,150.1452,240.8157,0.91786,0.105129,0.0001,180.6877,329.4575,0.0004981977
410.6776181,193.4411,237.9912,0.91947,0.071902,0.0,225.2505,328.1906,0.0004981977
438.0561259,260.4036,209.5727,0.91896,0.069044,0.0,290.881,329.5227,0.0004981977
465.4346338,307.5151,203.3452,0.92047,0.097481,0.0,332.9718,334.5433,0.0004981977
492.8131417,334.859,219.9738,0.91998,0.127894,0.0,354.0481,340.8109,0.0004981977
520.1916496,355.269,244.2741,0.92118,0.148249,0.0,7.9387,347.3302,0.0004981977
547.5701574,11.88574,271.4156,0.92168,0.161991,0.0,17.8248,354.0609,0.0004981977
574.9486653,27.94893,296.3187,0.92116,0.171359,0.0,26.6317,1.3172,0.0004981977
602.3271732,42.79801,319.3801,0.92067,0.176854,0.0,33.7655,9.0325,0.0004981977
629.705681,58.63816,338.778,0.91935,0.182711,0.0,41.9949,16.6433,0.0004981977
657.0841889,73.98253,357.6293,0.91857,0.18499,0.0,50.3341,23.6484,0.0004981977
684.4626968,90.52709,16.82318,0.91753,0.184056,0.0,61.3547,29.1724,0.0004981977
711.8412047,106.0405,40.15454,0.91709,0.177723,0.0,73.247,32.7935,0.0004981977
739.2197125,123.247,65.0915,0.91704,0.164595,0.0,89.2532,33.9938,0.0004981977
766.5982204,140.9083,91.41854,0.91676,0.144812,0.0001,107.5217,33.3866,0.0004981977
793.9767283,164.8303,110.5916,0.91725,0.114045,0.0001,132.9343,31.896,0.0004981977
821.3552361,199.3408,115.8906,0.91778,0.079042,0.0001,168.1892,31.1517,0.0004981977
848.733744,264.8787,87.10221,0.9186,0.059613,0.0001,234.0442,30.8345,0.0004981977
876.1122519,321.838,68.68891,0.91998,0.080726,0.0001,293.0315,28.8065,0.0004981977
903.4907598,354.6706,77.75691,0.92046,0.112046,0.0001,329.1324,25.5383,0.0004981977
930.8692676,16.61931,99.16084,0.92232,0.133367,0.0001,354.0457,22.5736,0.0004981977
958.2477755,34.45926,124.52,0.92247,0.149343,0.0001,13.9893,20.4699,0.0004981977
985.6262834,50.65674,149.5333,0.92364,0.157626,0.0001,32.0577,18.599,0.0004981977
1013.0047912,65.41887,174.5631,0.9234,0.164541,0.0001,48.612,16.8069,0.0004981977
1040.3832991,80.38567,196.9057,0.92286,0.168166,0.0001,66.0545,14.3312,0.0004981977
1067.761807,94.79721,219.3307,0.9224,0.172747,0.0001,83.3261,11.4711,0.0004981977
1095.1403149,109.8792,241.1284,0.92116,0.173106,0.0001,101.5585,8.3207,0.0004981977
1122.5188227,125.1646,265.577,0.9217,0.170753,0.0001,119.846,5.3186,0.0004981977
1149.8973306,141.1595,291.1359,0.92025,0.161283,0.0001,138.361,2.7985,0.0004981977
1177.2758385,157.6677,318.2669,0.92309,0.142709,0.0001,157.1281,0.5397,0.0004981977
1204.6543463,179.1302,339.5567,0.92033,0.116484,0.0001,180.9817,358.1485,0.0004981977
1232.0328542,206.8436,351.7129,0.92266,0.078259,0.0001,212.269,354.5747,0.0004981977
1259.4113621,265.6624,329.1012,0.92056,0.0508,0.0001,275.266,350.3964,0.0004981977
1286.78987,338.9184,291.5072,0.92266,0.059295,0.0001,351.6637,347.2547,0.0004981977
1314.1683778,16.25774,292.7789,0.92245,0.093575,0.0001,31.0553,345.2025,0.0004981977
1341.5468857,41.61151,307.8916,0.92412,0.115499,0.0001,58.9285,342.683,0.0004981977
1368.9253936,59.14924,331.4724,0.92445,0.135081,0.0001,79.1183,340.0309,0.0004981977
