Time,long,M,a,e,i,peri,node,mass
0.0,172.923,0.0,0.2863,0.517633,0.0001,172.8679,0.0551,0.007311162
27.3785079,173.6198,332.3942,0.28629,0.518286,0.0001,173.5706,0.0492,0.007311162
54.7570157,174.4604,304.5235,0.2863,0.517051,0.0001,174.3987,0.0617,0.007311162
82.1355236,175.3275,276.5975,0.2863,0.516968,0.0001,175.2674,0.0601,0.007311162
109.5140315,176.1031,248.8074,0.2863,0.516916,0.0001,176.0549,0.0481,0.007311162
136.8925394,176.9218,220.9914,0.28628,0.515697,0.0001,176.8692,0.0526,0.007311162
164.2710472,177.6974,193.2488,0.28632,0.516395,0.0001,177.6133,0.0841,0.007311162
191.6495551,178.496,165.4563,0.28629,0.515125,0.0001,178.4304,0.0656,0.007311162
219.028063,179.3771,137.52,0.28629,0.514928,0.0001,179.2888,0.0884,0.007311162
246.4065708,180.1731,109.7063,0.2863,0.51494,0.0001,180.0729,0.1001,0.007311162
273.7850787,180.9582,81.91346,0.28631,0.513787,0.0001,180.8474,0.1108,0.007311162
301.1635866,181.8053,54.08562,0.28627,0.514547,0.0001,181.707,0.0983,0.007311162
328.5420945,182.5542,26.36778,0.2863,0.513201,0.0001,182.4179,0.1363,0.007311162
355.9206023,183.4513,358.4015,0.28629,0.512882,0.0001,183.2155,0.2357,0.007311162
383.2991102,184.2703,330.5494,0.28629,0.512984,0.0001,184.0103,0.26,0.007311162
410.6776181,185.0354,302.7936,0.28629,0.5122,0.0001,184.7959,0.2395,0.007311162
438.0561259,185.9549,274.8237,0.28631,0.512221,0.0001,185.7265,0.2284,0.007311162
465.4346338,186.6401,247.2318,0.28628,0.511529,0.0001,186.4253,0.2148,0.007311162
492.8131417,187.5428,219.2679,0.2863,0.510949,0.0001,187.3335,0.2093,0.007311162
520.1916496,188.3821,191.3851,0.2863,0.511046,0.0001,188.119,0.2631,0.007311162
547.5701574,189.151,163.6063,0.2863,0.510511,0.0001,188.9271,0.2239,0.007311162
574.9486653,190.0789,135.6482,0.28627,0.510081,0.0001,189.7985,0.2804,0.007311162
602.3271732,190.7561,108.0535,0.28631,0.509838,0.0001,190.4777,0.2784,0.007311162
629.705681,191.658,80.08999,0.28629,0.509088,0.0001,191.3973,0.2607,0.007311162
657.0841889,192.5153,52.18531,0.28629,0.509203,0.0001,192.1907,0.3247,0.007311162
684.4626968,193.2929,24.4017,0.28629,0.508888,0.0001,192.9868,0.3061,0.007311162
711.8412047,194.1983,356.4459,0.2863,0.507776,0.0001,193.8152,0.3831,0.007311162
