Time,long,M,a,e,i,peri,node,mass
0.0,64.87,3.716749e-06,2.76819,0.191609,0.0001,64.8346,0.0354,0.01641217
27.3785079,67.11639,287.5646,2.71375,0.223563,0.0001,67.1865,359.9298,0.01641217
54.7570157,60.97659,223.1832,2.73148,0.244668,0.0001,61.0548,359.9218,0.01641217
82.1355236,55.46065,158.7852,2.76445,0.240195,0.0001,55.4523,0.0083,0.01641217
109.5140315,54.4308,90.67378,2.81362,0.226742,0.0001,54.4208,0.01,0.01641217
136.8925394,56.31881,20.76133,2.91641,0.236671,0.0001,56.3282,359.9906,0.01641217
164.2710472,49.12699,320.7667,2.95013,0.233596,0.0001,49.2168,359.9102,0.01641217
191.6495551,50.42732,251.9482,2.88459,0.210127,0.0001,50.4603,359.967,0.01641217
219.028063,52.9822,181.1958,2.83649,0.207967,0.0001,53.0539,359.9283,0.01641217
246.4065708,52.05932,113.2034,2.78638,0.209555,0.0001,52.0526,0.0067,0.01641217
273.7850787,50.13554,45.04608,2.72869,0.193962,0.0001,50.1309,0.0046,0.01641217
301.1635866,53.40495,330.9346,2.79969,0.194969,0.0001,53.4816,359.9234,0.01641217
328.5420945,50.54861,263.9134,2.90659,0.173633,0.0001,50.6681,359.8805,0.01641217
355.9206023,67.55901,176.9721,2.9192,0.172477,0.0001,67.6501,359.9089,0.01641217
383.2991102,68.71821,108.3917,2.92246,0.216751,0.0001,68.783,359.9352,0.01641217
410.6776181,67.40086,43.50298,2.99789,0.244887,0.0001,67.4031,359.9978,0.01641217
438.0561259,57.73752,346.9405,2.9801,0.253609,0.0001,57.7936,359.9439,0.01641217
465.4346338,57.70112,279.0225,2.84327,0.227595,0.0001,57.8297,359.8714,0.01641217
492.8131417,58.11763,209.4297,2.79465,0.230554,0.0001,58.185,359.9326,0.01641217
520.1916496,55.80983,142.226,2.77845,0.229567,0.0001,55.8719,359.9379,0.01641217
547.5701574,54.66537,73.75977,2.78288,0.219086,0.0001,54.6916,359.9738,0.01641217
574.9486653,56.23596,3.03504,2.8749,0.226792,0.0001,56.3034,359.9326,0.01641217
602.3271732,49.02523,302.4202,2.9505,0.218273,0.0001,49.1457,359.8795,0.01641217
629.705681,50.55213,233.832,2.93704,0.187163,0.0001,50.6221,359.9301,0.01641217
657.0841889,58.0578,159.2287,2.9106,0.174843,0.0001,58.0965,359.9613,0.01641217
684.4626968,65.20956,84.63746,2.86914,0.180405,0.0001,65.2351,359.9744,0.01641217
711.8412047,69.83745,11.45796,2.79993,0.19755,0.0001,69.8798,359.9577,0.01641217
739.2197125,72.61247,298.2735,2.71464,0.218029,0.0001,72.7127,359.8997,0.01641217
766.5982204,67.89542,232.3802,2.7317,0.24272,0.0001,68.0074,359.888,0.01641217
793.9767283,62.54972,167.8746,2.76931,0.24162,0.0001,62.6305,359.9193,0.01641217
821.3552361,61.2534,100.1352,2.81829,0.230441,0.0001,61.2817,359.9718,0.01641217
848.733744,63.28773,30.10128,2.91276,0.2387,0.0001,63.338,359.9498,0.01641217
876.1122519,56.23158,330.0029,2.9571,0.242602,0.0001,56.3287,359.9029,0.01641217
903.4907598,56.63954,262.143,2.8833,0.218188,0.0001,56.7752,359.8644,0.01641217
930.8692676,58.76209,191.8209,2.83147,0.216102,0.0001,58.832,359.9301,0.01641217
958.2477755,57.49656,124.1396,2.78238,0.217701,0.0001,57.5883,359.9082,0.01641217
985.6262834,54.80259,56.76266,2.72752,0.202712,0.0001,54.8632,359.9394,0.01641217
1013.0047912,58.40272,342.289,2.79304,0.199472,0.0001,58.522,359.8807,0.01641217
1040.3832991,54.3677,276.3928,2.91026,0.180424,0.0001,54.479,359.8887,0.01641217
1067.761807,71.1567,189.8397,2.91089,0.17303,0.0001,71.2907,359.866,0.01641217
1095.1403149,74.55282,119.0993,2.92066,0.21142,0.0001,74.6215,359.9313,0.01641217
1122.5188227,74.40703,52.88514,2.98695,0.239533,0.0001,74.4605,359.9466,0.01641217
1149.8973306,65.65727,355.3141,2.98147,0.25664,0.0001,65.7333,359.924,0.01641217
1177.2758385,64.53573,288.4656,2.83973,0.230702,0.0001,64.6883,359.8474,0.01641217
1204.6543463,64.98407,218.8123,2.79119,0.234741,0.0001,65.1221,359.862,0.01641217
1232.0328542,62.51246,151.7805,2.77834,0.235141,0.0001,62.6098,359.9026,0.01641217
1259.4113621,60.97082,83.75432,2.78482,0.225656,0.0001,61.0475,359.9233,0.01641217
1286.78987,62.86856,12.72892,2.87259,0.231204,0.0001,62.9451,359.9235,0.01641217
1314.1683778,55.3263,312.5332,2.96161,0.229493,0.0001,55.4797,359.8466,0.01641217
1341.5468857,55.3999,245.562,2.9408,0.196823,0.0001,55.5312,359.8687,0.01641217
1368.9253936,61.60923,172.3247,2.90807,0.180526,0.0001,61.6936,359.9156,0.01641217
1396.3039014,69.7284,96.75306,2.87369,0.178861,0.0001,69.8016,359.9268,0.01641217
1423.6824093,75.81545,21.86949,2.83281,0.202785,0.0001,75.9062,359.9093,0.01641217
1451.0609172,77.72514,309.445,2.71859,0.212646,0.0001,77.8637,359.8614,0.01641217
1478.4394251,74.68708,241.7889,2.73266,0.238995,0.0001,74.8904,359.7967,0.01641217
1505.8179329,69.65213,177.0158,2.77434,0.240902,0.0001,69.8008,359.8513,0.01641217
1533.1964408,68.26923,109.4506,2.8231,0.232073,0.0001,68.3568,359.9125,0.01641217
1560.5749487,70.3334,39.40071,2.90914,0.239125,0.0001,70.4068,359.9266,0.01641217
1587.9534565,63.75852,338.8332,2.96353,0.249724,0.0001,63.9161,359.8424,0.01641217
1615.3319644,63.23014,271.9718,2.88228,0.224781,0.0001,63.3746,359.8556,0.01641217
1642.7104723,65.05114,201.9488,2.82645,0.223159,0.0001,65.218,359.8332,0.01641217
1670.0889802,63.42085,134.5986,2.77818,0.225343,0.0001,63.5368,359.884,0.01641217
1697.467488,60.0166,67.94268,2.72635,0.211295,0.0001,60.086,359.9305,0.01641217
1724.8459959,63.59519,353.4658,2.78266,0.202493,0.0001,63.7333,359.8619,0.01641217
1752.2245038,59.14648,287.8879,2.90924,0.187049,0.0001,59.2987,359.8478,0.01641217
1779.6030116,75.04738,202.4998,2.90127,0.174689,0.0001,75.1771,359.8703,0.01641217
1806.9815195,80.13419,130.1244,2.91864,0.205546,0.0001,80.2325,359.9017,0.01641217
