Time,long,M,a,e,i,peri,node,mass
0.0,153.8842,4.822922,0.43765,0.673595,0.0001,143.225,10.6592,0.007311162
27.3785079,155.5283,247.2875,0.43764,0.674159,0.0001,148.058,7.4704,0.007311162
54.7570157,157.0453,130.0776,0.43756,0.671595,0.0001,152.1696,4.8757,0.007311162
82.1355236,158.7877,12.3531,0.43741,0.672609,0.0001,156.3647,2.423,0.007311162
109.5140315,160.3117,254.9561,0.43756,0.669926,0.0001,159.9837,0.328,0.007311162
136.8925394,162.0216,137.4604,0.43756,0.667797,0.0001,163.4912,358.5304,0.007311162
164.2710472,163.4757,20.38375,0.43758,0.666702,0.0001,166.6359,356.8398,0.007311162
191.6495551,165.301,262.4325,0.43754,0.663993,0.0001,170.088,355.213,0.007311162
219.028063,166.9728,144.9011,0.43761,0.664249,0.0001,173.2825,353.6903,0.007311162
246.4065708,168.5609,27.51647,0.43762,0.661434,0.0001,176.3075,352.2534,0.007311162
273.7850787,170.3435,269.6551,0.43764,0.662287,0.0001,179.5607,350.7827,0.007311162
301.1635866,171.9105,152.337,0.43767,0.659631,0.0001,182.7602,349.1503,0.007311162
328.5420945,173.6835,34.64988,0.43757,0.657758,0.0001,186.1233,347.5602,0.007311162
355.9206023,175.1898,277.5784,0.43751,0.656664,0.0001,189.3672,345.8225,0.007311162
383.2991102,177.0795,159.379,0.43747,0.653886,0.0001,193.403,343.6764,0.007311162
410.6776181,178.7809,41.92669,0.43753,0.654206,0.0001,197.3351,341.4458,0.007311162
438.0561259,180.4353,284.5191,0.43761,0.651318,0.0001,201.5925,338.8428,0.007311162
465.4346338,182.2241,166.7528,0.43785,0.652105,0.0001,206.4423,335.7819,0.007311162
492.8131417,183.8868,49.2397,0.43758,0.649456,0.0001,212.0368,331.85,0.007311162
520.1916496,185.7185,291.3573,0.43762,0.647631,0.0001,218.2295,327.489,0.007311162
547.5701574,187.2769,174.1595,0.43756,0.646336,0.0001,224.971,322.3058,0.007311162
574.9486653,189.2431,55.98242,0.43768,0.643404,0.0001,233.8493,315.3938,0.007311162
602.3271732,190.9821,298.3177,0.43757,0.644091,0.0001,242.7911,308.1911,0.007311162
629.705681,192.7005,180.9934,0.43755,0.641426,0.0001,252.8362,299.8643,0.007311162
657.0841889,194.4787,63.2192,0.43742,0.642763,0.0001,264.0987,290.38,0.007311162
684.4626968,196.2614,305.415,0.43751,0.639522,0.0,275.5812,280.6802,0.007311162
711.8412047,198.1375,187.6802,0.43761,0.637845,0.0001,286.4825,271.655,0.007311162
739.2197125,199.7634,70.17768,0.43768,0.635966,0.0001,296.2778,263.4856,0.007311162
766.5982204,201.7642,312.1899,0.43773,0.633622,0.0001,306.1782,255.586,0.007311162
793.9767283,203.5554,194.3159,0.43764,0.634255,0.0001,314.3081,249.2473,0.007311162
