Time,long,M,a,e,i,peri,node,mass
0.0,52.22808,8.991881,2.62004,0.162376,0.0,41.1662,11.0619,0.01641217
27.3785079,41.62963,119.2687,2.65204,0.201913,0.0,16.4329,25.1967,0.01641217
54.7570157,39.28,227.0205,2.73421,0.177727,0.0,14.529,24.751,0.01641217
82.1355236,55.88102,312.3824,2.52476,0.150388,0.0,17.7668,38.1142,0.01641217
109.5140315,46.70317,65.68603,2.69965,0.203679,0.0,10.1041,36.5991,0.01641217
136.8925394,44.74297,173.8796,2.69424,0.187982,0.0,9.7421,35.0009,0.01641217
164.2710472,44.11795,274.13,2.70788,0.166459,0.0,357.6243,46.4936,0.01641217
191.6495551,50.53799,14.57151,2.79023,0.226433,0.0,9.8626,40.6754,0.01641217
219.028063,46.86367,123.3183,2.65975,0.199258,0.0,3.0949,43.7688,0.01641217
246.4065708,42.59248,229.4302,2.80545,0.151679,0.0,358.182,44.4105,0.01641217
273.7850787,48.0692,330.3698,2.78203,0.22659,0.0,7.1408,40.9283,0.01641217
301.1635866,48.81317,72.48927,2.64935,0.201866,0.0,2.798,46.0151,0.01641217
328.5420945,51.78947,174.7119,2.79597,0.153817,0.0,9.5369,42.2526,0.01641217
355.9206023,54.06609,276.7411,2.68357,0.21467,0.0,12.9224,41.1437,0.01641217
383.2991102,53.76336,19.04495,2.70341,0.2122,0.0,11.658,42.1054,0.01641217
410.6776181,56.50284,123.2774,2.72524,0.178451,0.0,15.5452,40.9576,0.01641217
438.0561259,58.92389,222.9905,2.63359,0.226124,0.0,18.9788,39.9451,0.01641217
465.4346338,52.22598,332.9585,2.7777,0.22737,0.0,15.6702,36.5558,0.01641217
492.8131417,54.52366,76.60638,2.6343,0.194346,0.0,15.4833,39.0404,0.01641217
520.1916496,60.44883,172.0,2.6351,0.231418,0.0,23.9565,36.4924,0.01641217
547.5701574,54.36745,283.6769,2.74539,0.213818,0.0,20.7106,33.6568,0.01641217
574.9486653,56.58301,24.58817,2.59725,0.190494,0.0,21.4354,35.1476,0.01641217
602.3271732,63.93854,119.5299,2.68253,0.225762,0.0,31.8792,32.0594,0.01641217
629.705681,60.54689,229.9032,2.69533,0.214987,0.0,28.9037,31.6432,0.01641217
657.0841889,58.63381,333.2974,2.71566,0.215037,0.0,28.7634,29.8704,0.01641217
684.4626968,71.62463,64.34461,2.77666,0.231239,0.0,43.2671,28.3575,0.01641217
711.8412047,64.28124,177.828,2.66212,0.224726,0.0,34.4982,29.783,0.01641217
739.2197125,56.73691,288.0199,2.78182,0.210304,0.0,29.6663,27.0706,0.01641217
766.5982204,73.66728,16.41231,2.84762,0.25737,0.0,47.0528,26.6145,0.01641217
793.9767283,66.45409,126.8792,2.65208,0.229193,0.0,39.2041,27.25,0.01641217
821.3552361,62.25872,236.026,2.76263,0.200507,0.0,36.2525,26.0062,0.01641217
848.733744,73.21916,330.2749,2.70891,0.236702,0.0,47.3222,25.897,0.01641217
876.1122519,70.38244,74.34508,2.67758,0.228714,0.0,45.8082,24.5742,0.01641217
903.4907598,68.97393,182.1848,2.71348,0.208908,0.0,43.8398,25.1341,0.01641217
930.8692676,81.95425,272.1869,2.58807,0.234956,0.0,58.4044,23.5499,0.01641217
958.2477755,75.5248,21.48434,2.7594,0.245002,0.0,53.1832,22.3416,0.01641217
985.6262834,71.96704,130.9937,2.66226,0.22301,0.0,48.8244,23.1427,0.01641217
1013.0047912,83.31607,220.1583,2.60555,0.242465,0.0,63.9141,19.402,0.01641217
1040.3832991,73.74384,336.2347,2.78736,0.252117,0.0,52.7606,20.9832,0.01641217
1067.761807,73.26893,80.63649,2.62957,0.226666,0.0,53.3283,19.9407,0.01641217
1095.1403149,85.61845,168.3028,2.69982,0.223714,0.0,70.1789,15.4396,0.01641217
1122.5188227,78.29397,284.3114,2.70491,0.236598,0.0,59.4322,18.8618,0.01641217
1149.8973306,78.41461,26.47974,2.66819,0.22968,0.0,62.5183,15.8963,0.01641217
1177.2758385,95.9019,111.4164,2.8315,0.2062,0.0,82.8885,13.0134,0.01641217
1204.6543463,83.55716,230.7935,2.65744,0.24244,0.0,68.8879,14.6692,0.01641217
1232.0328542,78.5323,338.424,2.78069,0.251084,0.0,66.1471,12.3852,0.01641217
1259.4113621,102.4803,60.93044,2.87459,0.223479,0.0,91.1358,11.3445,0.01641217
1286.78987,86.11716,179.3946,2.64759,0.247843,0.0,77.2917,8.8255,0.01641217
1314.1683778,79.69633,290.4529,2.7676,0.236695,0.0,71.646,8.0504,0.01641217
1341.5468857,93.29594,23.85825,2.63508,0.207844,0.0,87.2993,5.9966,0.01641217
1368.9253936,89.02101,127.7033,2.66906,0.245024,0.0,86.7916,2.2295,0.01641217
