Time,long,M,a,e,i,peri,node,mass
0.0,149.841,358.7313,0.80426,0.304554,0.0001,149.3499,0.491,0.002749198
27.3785079,147.761,265.4656,0.81019,0.316715,0.0001,146.9474,0.8136,0.002749198
54.7570157,147.4999,170.0555,0.81235,0.306966,0.0001,146.1051,1.3948,0.002749198
82.1355236,151.3157,70.94773,0.82323,0.303942,0.0001,149.977,1.3387,0.002749198
109.5140315,147.9499,338.0398,0.81631,0.309912,0.0001,145.7808,2.1691,0.002749198
136.8925394,150.6051,240.4548,0.8133,0.308761,0.0001,148.2136,2.3915,0.002749198
164.2710472,151.4338,144.6357,0.81756,0.308172,0.0001,148.2,3.2337,0.002749198
191.6495551,153.5262,46.62732,0.83271,0.326119,0.0001,150.5924,2.9338,0.002749198
219.028063,155.4126,308.9656,0.77437,0.299168,0.0001,151.2125,4.2001,0.002749198
246.4065708,154.2996,215.5332,0.79445,0.32455,0.0001,149.8533,4.4462,0.002749198
273.7850787,154.0245,120.3662,0.80809,0.322238,0.0001,149.0093,5.0152,0.002749198
301.1635866,150.5064,27.41086,0.79887,0.324649,0.0001,145.7055,4.801,0.002749198
328.5420945,158.3134,285.6749,0.77527,0.325201,0.0001,151.7901,6.5233,0.002749198
355.9206023,154.4248,194.1019,0.79175,0.333334,0.0001,147.6201,6.8047,0.002749198
383.2991102,153.3184,99.77173,0.78935,0.327825,0.0001,146.1705,7.1479,0.002749198
410.6776181,155.2529,2.514344,0.75479,0.290063,0.0001,147.8303,7.4226,0.002749198
438.0561259,157.2966,265.4383,0.79414,0.337772,0.0001,148.7307,8.566,0.002749198
465.4346338,155.1283,172.2868,0.80135,0.328274,0.0001,146.236,8.8923,0.002749198
492.8131417,156.5289,75.7643,0.80121,0.316306,0.0001,147.5966,8.9323,0.002749198
520.1916496,159.1685,337.4413,0.81259,0.331746,0.0001,149.5162,9.6523,0.002749198
547.5701574,157.4848,243.8865,0.81074,0.332121,0.0001,147.4866,9.9982,0.002749198
574.9486653,157.8153,148.2111,0.81267,0.322499,0.0001,147.3185,10.4967,0.002749198
602.3271732,162.1253,48.25302,0.83031,0.328637,0.0001,152.0054,10.1199,0.002749198
629.705681,159.546,314.8686,0.80643,0.320904,0.0001,148.4698,11.0762,0.002749198
657.0841889,160.6165,218.9977,0.81339,0.327201,0.0001,149.3924,11.224,0.002749198
684.4626968,161.6995,122.5201,0.81868,0.326299,0.0001,149.8163,11.8832,0.002749198
711.8412047,161.5191,26.63088,0.83449,0.351086,0.0001,150.2541,11.265,0.002749198
739.2197125,165.541,287.5114,0.77925,0.329239,0.0001,152.6533,12.8877,0.002749198
766.5982204,163.6036,194.3888,0.79645,0.342946,0.0001,150.7127,12.8909,0.002749198
793.9767283,163.6884,99.14861,0.80956,0.340856,0.0001,150.3883,13.3,0.002749198
821.3552361,159.6819,6.522458,0.77111,0.316915,0.0001,146.6817,13.0002,0.002749198
848.733744,166.4699,265.807,0.78289,0.349298,0.0001,151.8662,14.6038,0.002749198
876.1122519,163.7358,173.3719,0.79233,0.349422,0.0001,149.1067,14.6291,0.002749198
903.4907598,162.6764,78.63716,0.78658,0.34305,0.0001,147.813,14.8634,0.002749198
930.8692676,169.4569,337.0695,0.75957,0.318357,0.0001,154.4253,15.0316,0.002749198
