Time,long,M,a,e,i,peri,node,mass
0.0,148.0,0.0,0.80695,0.307394,0.0001,147.9401,0.0599,0.002749198
27.3785079,148.554,264.2934,0.80682,0.309381,0.0001,148.0341,0.5199,0.002749198
54.7570157,149.1335,168.0725,0.80686,0.310313,0.0001,148.1417,0.9919,0.002749198
82.1355236,149.7377,72.21836,0.80696,0.311006,0.0001,148.1521,1.5856,0.002749198
109.5140315,150.2583,336.4425,0.80685,0.312404,0.0001,148.1004,2.1579,0.002749198
136.8925394,150.7791,240.3074,0.80707,0.312711,0.0001,148.2061,2.573,0.002749198
164.2710472,151.2594,144.7288,0.80696,0.313883,0.0001,148.1761,3.0834,0.002749198
191.6495551,151.8,48.79149,0.80685,0.314951,0.0001,148.1464,3.6536,0.002749198
219.028063,152.423,312.5961,0.80689,0.316022,0.0001,148.2452,4.1778,0.002749198
246.4065708,152.9253,216.992,0.80701,0.317033,0.0001,148.2847,4.6406,0.002749198
273.7850787,153.4121,121.1028,0.80684,0.318028,0.0001,148.3103,5.1018,0.002749198
301.1635866,153.9422,25.10438,0.80692,0.318708,0.0001,148.2847,5.6576,0.002749198
328.5420945,154.472,289.4271,0.80693,0.319519,0.0001,148.3518,6.1202,0.002749198
355.9206023,155.0296,193.3076,0.80685,0.320949,0.0001,148.4786,6.551,0.002749198
383.2991102,155.5541,97.43141,0.80733,0.321068,0.0001,148.4843,7.0698,0.002749198
410.6776181,156.0085,1.895865,0.80686,0.322755,0.0001,148.4257,7.5828,0.002749198
438.0561259,156.5608,265.7327,0.80685,0.323638,0.0001,148.5286,8.0322,0.002749198
465.4346338,157.1376,169.8772,0.80691,0.324366,0.0001,148.6735,8.4641,0.002749198
492.8131417,157.6273,74.14057,0.80682,0.32572,0.0001,148.6919,8.9355,0.002749198
520.1916496,158.1623,337.9765,0.80694,0.325788,0.0001,148.7526,9.4097,0.002749198
547.5701574,158.6185,242.4316,0.8069,0.327231,0.0001,148.8685,9.7501,0.002749198
574.9486653,159.1282,146.5513,0.80685,0.3282,0.0001,148.9237,10.2045,0.002749198
602.3271732,159.7246,50.40394,0.80689,0.329256,0.0001,149.05,10.6746,0.002749198
629.705681,160.2226,314.7887,0.80685,0.330507,0.0001,149.0851,11.1375,0.002749198
657.0841889,160.6963,218.9052,0.80698,0.330987,0.0001,149.2467,11.4495,0.002749198
684.4626968,161.1884,122.966,0.80696,0.331898,0.0001,149.3362,11.8522,0.002749198
711.8412047,161.6999,27.29353,0.80691,0.332642,0.0001,149.4085,12.2914,0.002749198
739.2197125,162.2406,291.2118,0.80687,0.333924,0.0001,149.5894,12.6511,0.002749198
766.5982204,162.7213,195.3043,0.80687,0.3351,0.0001,149.6843,13.037,0.002749198
793.9767283,163.1747,99.85595,0.80684,0.335758,0.0001,149.8107,13.364,0.002749198
821.3552361,163.6901,3.750214,0.80686,0.336638,0.0001,149.9323,13.7579,0.002749198
848.733744,164.2469,267.9002,0.80695,0.337369,0.0001,150.1866,14.0604,0.002749198
876.1122519,164.7357,172.1765,0.80691,0.338606,0.0001,150.3738,14.3619,0.002749198
903.4907598,165.26,76.00363,0.80715,0.339093,0.0001,150.5853,14.6747,0.002749198
930.8692676,165.6802,340.5203,0.80691,0.340286,0.0001,150.6488,15.0313,0.002749198
958.2477755,166.1724,244.6723,0.80683,0.341171,0.0001,150.9045,15.2679,0.002749198
985.6262834,166.7361,148.5742,0.80685,0.342208,0.0001,151.1345,15.6015,0.002749198
1013.0047912,167.1992,52.9677,0.80684,0.343438,0.0001,151.2576,15.9416,0.002749198
1040.3832991,167.7107,317.0294,0.80686,0.343728,0.0001,151.4962,16.2145,0.002749198
1067.761807,168.1589,221.1703,0.80691,0.344849,0.0001,151.8027,16.3562,0.002749198
1095.1403149,168.6523,125.5016,0.8069,0.34553,0.0001,152.02,16.6324,0.002749198
1122.5188227,169.1805,29.47251,0.80686,0.346747,0.0001,152.247,16.9335,0.002749198
1149.8973306,169.6248,293.6491,0.80676,0.348143,0.0001,152.4316,17.1932,0.002749198
