Time,long,M,a,e,i,peri,node,mass
0.0,252.0,2.697839e-06,3.58027,0.326307,0.0001,251.9968,0.0032,0.003856524
27.3785079,253.2579,282.6896,3.57582,0.324118,0.0001,253.2738,359.9841,0.003856524
54.7570157,253.8087,206.229,3.57435,0.327975,0.0001,254.0067,359.802,0.003856524
82.1355236,253.1118,130.9395,3.56412,0.331268,0.0001,253.3014,359.8104,0.003856524
109.5140315,252.9281,55.52129,3.55419,0.321536,0.0001,253.2889,359.6392,0.003856524
136.8925394,254.6314,337.5925,3.5583,0.321752,0.0001,255.0175,359.6138,0.003856524
164.2710472,254.9219,261.128,3.56633,0.327531,0.0001,255.4405,359.4814,0.003856524
191.6495551,254.1193,186.236,3.56744,0.330618,0.0001,254.595,359.5243,0.003856524
219.028063,255.3388,109.0973,3.59923,0.31752,0.0001,256.0171,359.3217,0.003856524
246.4065708,256.1379,31.83621,3.61297,0.326582,0.0001,256.9093,359.2286,0.003856524
273.7850787,255.3514,316.6729,3.58966,0.326377,0.0001,256.1826,359.1688,0.003856524
301.1635866,254.4003,241.9863,3.59864,0.323648,0.0001,255.1527,359.2476,0.003856524
328.5420945,256.0143,163.5311,3.60964,0.31365,0.0001,257.1075,358.9068,0.003856524
355.9206023,257.2558,86.13219,3.61165,0.321508,0.0001,258.4642,358.7916,0.003856524
383.2991102,256.6523,10.77862,3.63795,0.331902,0.0001,257.8865,358.7658,0.003856524
410.6776181,253.9936,297.2862,3.63611,0.322629,0.0001,255.1993,358.7942,0.003856524
438.0561259,256.6051,218.3368,3.59737,0.315758,0.0001,258.0662,358.5389,0.003856524
465.4346338,257.4441,141.3899,3.58979,0.320438,0.0001,259.0349,358.4092,0.003856524
492.8131417,257.1467,65.54413,3.59004,0.324495,0.0001,258.7803,358.3664,0.003856524
520.1916496,256.75,349.9921,3.56863,0.317529,0.0001,258.494,358.2559,0.003856524
547.5701574,257.8435,272.8196,3.57431,0.318542,0.0001,259.6076,358.2359,0.003856524
574.9486653,258.1988,196.4429,3.57381,0.32284,0.0001,260.1207,358.0781,0.003856524
602.3271732,257.272,121.5337,3.56047,0.325734,0.0001,259.1474,358.1247,0.003856524
629.705681,257.9642,45.13182,3.56228,0.315147,0.0001,259.9804,357.9838,0.003856524
657.0841889,259.1779,327.61,3.56199,0.316983,0.0001,261.2497,357.9282,0.003856524
684.4626968,259.3589,251.4164,3.5664,0.322148,0.0001,261.5265,357.8323,0.003856524
711.8412047,258.2022,176.9386,3.56854,0.323053,0.0001,260.2878,357.9144,0.003856524
739.2197125,260.1133,98.78948,3.604,0.312427,0.0001,262.4026,357.7108,0.003856524
766.5982204,260.4186,22.24735,3.6143,0.32187,0.0001,262.8043,357.6143,0.003856524
793.9767283,259.6785,306.9622,3.58931,0.320584,0.0001,262.1105,357.568,0.003856524
821.3552361,258.4209,232.5466,3.60953,0.313868,0.0001,260.747,357.6739,0.003856524
848.733744,260.6992,153.4318,3.60736,0.308643,0.0001,263.3239,357.3754,0.003856524
876.1122519,261.6611,76.27476,3.6126,0.316395,0.0001,264.3997,357.2614,0.003856524
903.4907598,260.6424,1.454621,3.64301,0.327031,0.0001,263.4057,357.2367,0.003856524
