Time,long,M,a,e,i,peri,node,mass
0,3.60E+02,1.09E-06,0.07756,0.359927,0,360,360,2.07E-05
27.3785079,1.23E+00,2.52E+02,0.07755,0.35976,0,359.5393,1.6934,2.07E-05
54.7570157,2.46E+00,1.45E+02,0.07755,0.359606,0,359.0039,3.4562,2.07E-05
82.1355236,3.67E+00,3.70E+01,0.07754,0.359484,0,358.5718,5.0999,2.07E-05
109.5140315,4.89E+00,2.89E+02,0.07756,0.359291,0,358.3304,6.5603,2.07E-05
136.8925394,6.13E+00,1.82E+02,0.07755,0.359034,0,357.8346,8.2966,2.07E-05
164.2710472,7.37E+00,7.41E+01,0.07755,0.35866,0,357.6857,9.6849,2.07E-05
191.6495551,8.59E+00,3.26E+02,0.07754,0.35816,0,357.6154,10.971,2.07E-05
219.028063,9.80E+00,2.19E+02,0.07755,0.357648,0,357.3499,12.4549,2.07E-05
246.4065708,1.10E+01,1.11E+02,0.07754,0.357203,0,357.3637,13.6637,2.07E-05
273.7850787,1.23E+01,3.48E+00,0.07756,0.356624,0,357.5912,14.6681,2.07E-05
301.1635866,1.35E+01,2.56E+02,0.07754,0.355927,0,357.7774,15.7183,2.07E-05
328.5420945,1.47E+01,1.48E+02,0.07755,0.3551,0,357.9502,16.7701,2.07E-05
355.9206023,1.59E+01,4.05E+01,0.07755,0.354317,0,358.3646,17.5732,2.07E-05
383.2991102,1.72E+01,2.93E+02,0.07756,0.353423,0,358.8482,18.3061,2.07E-05
410.6776181,1.84E+01,1.85E+02,0.07754,0.352587,0,359.3109,19.0804,2.07E-05
438.0561259,1.96E+01,7.75E+01,0.07755,0.351496,0,359.9584,19.6654,2.07E-05
465.4346338,2.09E+01,3.30E+02,0.07754,0.350414,0,0.7803,20.0744,2.07E-05
492.8131417,2.21E+01,2.22E+02,0.07755,0.349227,0,1.5082,20.5553,2.07E-05
520.1916496,2.33E+01,1.14E+02,0.07755,0.348055,0,2.2603,21.0277,2.07E-05
547.5701574,2.45E+01,6.75E+00,0.07756,0.346898,0.0001,3.3049,21.2153,2.07E-05
574.9486653,2.58E+01,2.59E+02,0.07754,0.34555,0.0001,4.2514,21.5012,2.07E-05
602.3271732,2.70E+01,1.51E+02,0.07755,0.344056,0.0001,5.2291,21.7466,2.07E-05
629.705681,2.82E+01,4.36E+01,0.07755,0.342561,0.0001,6.3322,21.8722,2.07E-05
657.0841889,2.94E+01,2.96E+02,0.07755,0.341084,0.0001,7.5457,21.8596,2.07E-05
684.4626968,3.06E+01,1.88E+02,0.07755,0.339455,0.0001,8.6159,22.0275,2.07E-05
711.8412047,3.19E+01,8.06E+01,0.07755,0.33784,0.0001,9.8436,22.0332,2.07E-05
739.2197125,3.31E+01,3.33E+02,0.07755,0.33603,0.0001,11.223,21.8754,2.07E-05
766.5982204,3.43E+01,2.25E+02,0.07755,0.33417,0.0001,12.5263,21.7857,2.07E-05
793.9767283,3.55E+01,1.17E+02,0.07755,0.332309,0.0001,13.8638,21.6828,2.07E-05
821.3552361,3.68E+01,9.66E+00,0.07755,0.330498,0.0001,15.2999,21.461,2.07E-05
848.733744,3.80E+01,2.62E+02,0.07755,0.328408,0.0001,16.7446,21.2494,2.07E-05
876.1122519,3.92E+01,1.54E+02,0.07755,0.326273,0.0001,18.1864,21.0306,2.07E-05
903.4907598,4.04E+01,4.65E+01,0.07755,0.324161,0.0001,19.6681,20.7683,2.07E-05
930.8692676,4.16E+01,2.99E+02,0.07755,0.321838,0.0001,21.288,20.3586,2.07E-05
958.2477755,4.29E+01,1.91E+02,0.07755,0.319677,0.0001,22.8037,20.0659,2.07E-05
985.6262834,4.41E+01,8.31E+01,0.07755,0.317275,0.0001,24.395,19.6994,2.07E-05
1013.004791,4.53E+01,3.35E+02,0.07755,0.314822,0.0001,26.1333,19.1747,2.07E-05
1040.383299,4.65E+01,2.28E+02,0.07755,0.312263,0.0001,27.7966,18.7498,2.07E-05
1067.761807,4.77E+01,1.20E+02,0.07755,0.309708,0.0001,29.423,18.3222,2.07E-05
1095.140315,4.90E+01,1.20E+01,0.07755,0.307065,0.0001,31.2303,17.7381,2.07E-05
1122.518823,5.02E+01,2.64E+02,0.07755,0.304355,0.0001,32.9955,17.182,2.07E-05
