Time,long,M,a,e,i,peri,node,mass
0.0,246.4,0.0,0.48165,0.026901,0.0001,246.4289,359.9711,9.220962e-05
27.3785079,250.3857,69.22296,0.4818,0.023372,0.0001,251.3048,359.0809,9.220962e-05
54.7570157,253.4226,139.4222,0.48171,0.024496,0.0001,255.1658,358.2568,9.220962e-05
82.1355236,255.5931,210.5224,0.48167,0.021668,0.0001,258.1442,357.4489,9.220962e-05
109.5140315,263.192,276.3162,0.4817,0.022598,0.0001,266.5881,356.6038,9.220962e-05
136.8925394,263.0402,349.8803,0.48174,0.019629,0.0001,267.3347,355.7055,9.220962e-05
164.2710472,272.9202,53.46127,0.48154,0.018994,0.0001,278.0648,354.8554,9.220962e-05
191.6495551,269.452,130.458,0.48176,0.017784,0.0001,275.302,354.1501,9.220962e-05
219.028063,281.8945,191.7358,0.48166,0.016923,0.0001,288.4609,353.4336,9.220962e-05
246.4065708,278.5278,268.5201,0.48164,0.016275,0.0001,285.8744,352.6534,9.220962e-05
273.7850787,290.3992,330.3307,0.48165,0.01358,0.0001,298.4939,351.9054,9.220962e-05
301.1635866,288.0162,46.25443,0.48174,0.013827,0.0001,296.7556,351.2605,9.220962e-05
328.5420945,297.9639,109.8634,0.48173,0.011052,0.0001,307.3244,350.6395,9.220962e-05
355.9206023,300.4265,180.852,0.48166,0.012276,0.0001,310.3269,350.0996,9.220962e-05
383.2991102,311.0798,243.7094,0.48161,0.008822,0.0001,321.5588,349.521,9.220962e-05
410.6776181,320.2975,307.7191,0.48164,0.01002,0.0001,331.2885,349.009,9.220962e-05
438.0561259,321.3293,20.07246,0.48178,0.006693,0.0001,332.7619,348.5673,9.220962e-05
465.4346338,336.2371,78.44537,0.48154,0.008041,0.0001,347.9856,348.2515,9.220962e-05
492.8131417,340.2247,147.5371,0.48169,0.005194,0.0001,352.2711,347.9536,9.220962e-05
520.1916496,12.55834,188.3259,0.48172,0.006276,0.0001,24.9143,347.644,9.220962e-05
547.5701574,16.52412,257.4385,0.48168,0.003992,0.0001,29.1128,347.4113,9.220962e-05
574.9486653,50.91625,296.0965,0.48163,0.005563,0.0001,63.5774,347.3388,9.220962e-05
602.3271732,47.7703,12.32708,0.48178,0.004524,0.0001,60.3945,347.3758,9.220962e-05
629.705681,78.42985,54.81058,0.48167,0.00715,0.0001,91.0216,347.4083,9.220962e-05
657.0841889,74.51357,131.7426,0.48164,0.006437,0.0001,87.0142,347.4994,9.220962e-05
684.4626968,101.7414,177.8909,0.48168,0.008324,0.0001,114.0683,347.6731,9.220962e-05
711.8412047,95.2174,257.7387,0.48172,0.008078,0.0001,107.2471,347.9703,9.220962e-05
739.2197125,114.3516,312.0925,0.48176,0.009833,0.0001,125.9652,348.3863,9.220962e-05
766.5982204,108.7868,31.26097,0.48159,0.011227,0.0001,119.8865,348.9003,9.220962e-05
793.9767283,127.5776,86.29204,0.48168,0.01213,0.0001,138.2287,349.3489,9.220962e-05
821.3552361,124.7739,162.8656,0.48187,0.013995,0.0001,134.9108,349.8631,9.220962e-05
848.733744,136.0583,225.6352,0.48171,0.013647,0.0001,145.5407,350.5176,9.220962e-05
876.1122519,133.8262,301.7983,0.48154,0.016594,0.0001,142.52,351.3062,9.220962e-05
903.4907598,142.3027,7.120242,0.48183,0.015942,0.0001,150.2571,352.0456,9.220962e-05
930.8692676,146.0195,77.13577,0.48174,0.019205,0.0001,153.2347,352.7848,9.220962e-05
958.2477755,150.3863,146.3048,0.48167,0.017865,0.0001,156.8635,353.5228,9.220962e-05
985.6262834,154.4855,215.5749,0.48183,0.02073,0.0001,160.117,354.3685,9.220962e-05
1013.0047912,154.9979,288.1142,0.48176,0.020115,0.0001,159.7822,355.2157,9.220962e-05
1040.3832991,163.3037,352.7312,0.48172,0.023146,0.0001,167.2989,356.0048,9.220962e-05
1067.761807,163.2129,65.51061,0.4819,0.022757,0.0001,166.5268,356.6861,9.220962e-05
1095.1403149,171.5509,129.8756,0.48168,0.024077,0.0001,174.1807,357.3702,9.220962e-05
1122.5188227,169.2297,204.5752,0.48173,0.024876,0.0001,171.2162,358.0135,9.220962e-05
1149.8973306,177.6494,268.6263,0.48184,0.025671,0.0001,178.9247,358.7247,9.220962e-05
1177.2758385,178.1937,340.3269,0.48159,0.027868,0.0001,178.921,359.2727,9.220962e-05
1204.6543463,185.2804,45.54972,0.48179,0.026941,0.0001,185.5992,359.6812,9.220962e-05
1232.0328542,185.7642,117.3751,0.4818,0.029373,0.0001,185.7222,0.042,9.220962e-05
1259.4113621,190.1896,185.1709,0.48166,0.028146,0.0001,189.8266,0.363,9.220962e-05
1286.78987,194.3625,253.2545,0.48164,0.031414,0.0001,193.7228,0.6397,9.220962e-05
1314.1683778,196.8699,323.1444,0.48181,0.029837,0.0001,196.0025,0.8675,9.220962e-05
1341.5468857,202.4412,30.0556,0.48171,0.032171,0.0001,201.5693,0.8718,9.220962e-05
1368.9253936,201.9702,102.995,0.48169,0.031381,0.0001,201.1378,0.8325,9.220962e-05
