Time,long,M,a,e,i,peri,node,mass
0.0,303.7,360.0,0.26868,0.089928,0.0001,303.7436,359.9564,5.045998e-05
27.3785079,305.8859,333.598,0.26867,0.089755,0.0001,305.6844,0.2016,5.045998e-05
54.7570157,307.6759,307.5128,0.26869,0.089078,0.0001,307.2002,0.4757,5.045998e-05
82.1355236,309.8704,280.8585,0.26867,0.08896,0.0001,309.1633,0.7071,5.045998e-05
109.5140315,311.8546,254.3037,0.2687,0.088235,0.0001,310.9255,0.9291,5.045998e-05
136.8925394,313.927,227.5501,0.26866,0.088292,0.0001,312.7881,1.1389,5.045998e-05
164.2710472,315.9185,200.7852,0.26869,0.087577,0.0001,314.5745,1.344,5.045998e-05
191.6495551,317.9037,173.973,0.26866,0.087704,0.0001,316.3892,1.5145,5.045998e-05
219.028063,319.9753,147.0223,0.26871,0.087003,0.0001,318.3799,1.5954,5.045998e-05
246.4065708,321.9641,120.1554,0.26867,0.087082,0.0001,320.2247,1.7394,5.045998e-05
273.7850787,324.1678,93.04417,0.26869,0.086579,0.0001,322.3742,1.7936,5.045998e-05
301.1635866,325.9878,66.38909,0.26867,0.086597,0.0001,324.1368,1.851,5.045998e-05
328.5420945,328.2574,39.29297,0.26869,0.086118,0.0001,326.4328,1.8246,5.045998e-05
355.9206023,330.1224,12.70689,0.26868,0.086187,0.0001,328.2753,1.8471,5.045998e-05
383.2991102,332.4009,345.7199,0.26868,0.085935,0.0001,330.6241,1.7768,5.045998e-05
410.6776181,334.2564,319.3216,0.26869,0.085711,0.0001,332.5034,1.753,5.045998e-05
438.0561259,336.6435,292.4436,0.26867,0.085746,0.0001,335.0287,1.6149,5.045998e-05
465.4346338,338.4348,266.3477,0.26868,0.085589,0.0001,336.8875,1.5473,5.045998e-05
492.8131417,340.7504,239.7653,0.26867,0.085656,0.0001,339.3549,1.3955,5.045998e-05
520.1916496,342.7018,213.7168,0.26871,0.085297,0.0001,341.4476,1.2542,5.045998e-05
547.5701574,345.005,187.3287,0.26867,0.085556,0.0001,343.9748,1.0303,5.045998e-05
574.9486653,347.0445,161.3027,0.26869,0.085194,0.0001,346.2146,0.8299,5.045998e-05
602.3271732,349.2547,135.0696,0.26866,0.085604,0.0001,348.7241,0.5306,5.045998e-05
629.705681,351.3775,108.8997,0.26869,0.085293,0.0001,351.1298,0.2477,5.045998e-05
657.0841889,353.5425,82.56742,0.26867,0.085645,0.0001,353.63,359.9125,5.045998e-05
684.4626968,355.8933,55.88765,0.26868,0.085318,0.0001,356.3286,359.5647,5.045998e-05
711.8412047,357.9223,29.34354,0.26867,0.08568,0.0001,358.7262,359.1961,5.045998e-05
739.2197125,0.3352314,2.139182,0.26868,0.085411,0.0001,1.5387,358.7965,5.045998e-05
766.5982204,2.39406,335.0983,0.26868,0.085828,0.0001,4.0184,358.3757,5.045998e-05
793.9767283,4.845203,307.3862,0.26868,0.085848,0.0001,6.8373,358.0079,5.045998e-05
821.3552361,6.820005,280.0476,0.2687,0.085971,0.0001,9.241,357.579,5.045998e-05
848.733744,9.423082,251.8608,0.26868,0.086008,0.0001,12.2431,357.18,5.045998e-05
876.1122519,11.45473,224.3696,0.26868,0.086239,0.0001,14.7115,356.7432,5.045998e-05
903.4907598,13.92185,196.5514,0.26867,0.086471,0.0001,17.634,356.2879,5.045998e-05
930.8692676,16.0258,169.448,0.26868,0.08649,0.0001,20.1875,355.8383,5.045998e-05
958.2477755,18.52587,142.0998,0.26867,0.086804,0.0001,23.1078,355.4181,5.045998e-05
985.6262834,20.67963,115.5073,0.26869,0.086696,0.0001,25.7446,354.935,5.045998e-05
1013.0047912,23.19687,88.90688,0.26867,0.087248,0.0001,28.7573,354.4395,5.045998e-05
1040.3832991,25.42581,62.97909,0.26868,0.08717,0.0001,31.4459,353.98,5.045998e-05
1067.761807,27.92081,36.90337,0.26867,0.087714,0.0001,34.4567,353.4641,5.045998e-05
1095.1403149,30.34203,11.21859,0.26868,0.087546,0.0001,37.3233,353.0187,5.045998e-05
1122.5188227,32.62206,345.9542,0.26868,0.088121,0.0001,40.1012,352.5209,5.045998e-05
1149.8973306,35.17779,320.4391,0.26868,0.087931,0.0001,43.1273,352.0505,5.045998e-05
1177.2758385,37.47826,295.3515,0.26867,0.088526,0.0001,45.8728,351.6055,5.045998e-05
1204.6543463,40.10125,270.0959,0.26866,0.088749,0.0001,48.9664,351.1349,5.045998e-05
1232.0328542,42.30297,245.2705,0.26868,0.089011,0.0001,51.5654,350.7376,5.045998e-05
1259.4113621,45.01143,219.8079,0.26867,0.089287,0.0001,54.6817,350.3297,5.045998e-05
1286.78987,47.22794,195.0736,0.26869,0.089407,0.0001,57.3223,349.9056,5.045998e-05
1314.1683778,49.94041,169.4572,0.26866,0.089863,0.0001,60.4008,349.5396,5.045998e-05
1341.5468857,52.24978,144.1229,0.26868,0.089945,0.0001,63.0406,349.2092,5.045998e-05
1368.9253936,54.85389,118.4237,0.26867,0.090374,0.0001,65.9886,348.8653,5.045998e-05
1396.3039014,57.31802,92.47177,0.26869,0.090201,0.0001,68.7459,348.5721,5.045998e-05
1423.6824093,59.82104,65.86357,0.26867,0.090876,0.0001,71.5802,348.2408,5.045998e-05
1451.0609172,62.33927,39.15113,0.26868,0.090735,0.0001,74.3809,347.9583,5.045998e-05
1478.4394251,64.87487,12.06714,0.26868,0.091404,0.0001,77.1518,347.7231,5.045998e-05
1505.8179329,67.57875,343.8452,0.26868,0.091446,0.0001,80.0511,347.5277,5.045998e-05
1533.1964408,69.87946,315.4938,0.26869,0.091926,0.0001,82.5808,347.2986,5.045998e-05
1560.5749487,72.62476,286.7837,0.26869,0.091792,0.0001,85.5084,347.1163,5.045998e-05
1587.9534565,74.97286,258.8039,0.26868,0.092311,0.0001,87.941,347.0319,5.045998e-05
1615.3319644,77.67672,230.1467,0.26867,0.092508,0.0001,90.7533,346.9234,5.045998e-05
1642.7104723,80.0416,201.7876,0.26867,0.092799,0.0001,93.1944,346.8472,5.045998e-05
1670.0889802,82.8447,173.5826,0.26867,0.093083,0.0001,95.959,346.8857,5.045998e-05
1697.467488,85.09387,147.1615,0.26867,0.093339,0.0001,98.2448,346.8491,5.045998e-05
1724.8459959,87.88465,120.3233,0.26868,0.093527,0.0001,100.9396,346.945,5.045998e-05
1752.2245038,90.29588,93.96344,0.26867,0.093705,0.0001,103.297,346.9989,5.045998e-05
1779.6030116,92.98511,68.07689,0.26868,0.094063,0.0001,105.9297,347.0554,5.045998e-05
1806.9815195,95.44857,42.93446,0.26869,0.09391,0.0001,108.3076,347.141,5.045998e-05
1834.3600274,98.05061,17.30376,0.26868,0.094583,0.0001,110.766,347.2846,5.045998e-05
1861.7385352,100.5509,352.4052,0.26868,0.094337,0.0001,113.1649,347.386,5.045998e-05
1889.1170431,103.143,327.7228,0.26867,0.094923,0.0001,115.5885,347.5545,5.045998e-05
1916.495551,105.9188,302.3963,0.26867,0.094943,0.0001,118.2362,347.6826,5.045998e-05
1943.8740589,108.2214,278.1907,0.26867,0.095429,0.0001,120.474,347.7475,5.045998e-05
1971.2525667,110.9803,253.4649,0.26868,0.095281,0.0001,123.0632,347.9171,5.045998e-05
1998.6310746,113.3292,228.8308,0.26868,0.095594,0.0001,125.3245,348.0047,5.045998e-05
2026.0095825,116.0449,204.2759,0.26866,0.095739,0.0001,127.9122,348.1327,5.045998e-05
2053.3880903,118.4446,179.9385,0.26868,0.095784,0.0001,130.2193,348.2253,5.045998e-05
2080.7665982,121.1122,154.9402,0.26867,0.096106,0.0001,132.7761,348.336,5.045998e-05
2108.1451061,123.5173,130.7992,0.26868,0.095926,0.0001,135.1088,348.4084,5.045998e-05
2135.523614,126.0697,106.0704,0.26866,0.096447,0.0001,137.5599,348.5099,5.045998e-05
2162.9021218,128.5594,81.35593,0.26869,0.096135,0.0001,140.0435,348.5159,5.045998e-05
2190.2806297,131.1201,56.93154,0.26867,0.096628,0.0001,142.5492,348.5709,5.045998e-05
2217.6591376,133.805,31.84157,0.26868,0.09648,0.0001,145.2646,348.5404,5.045998e-05
2245.0376454,136.0699,7.231174,0.26867,0.09683,0.0001,147.5333,348.5366,5.045998e-05
2272.4161533,138.7861,342.2751,0.26868,0.096588,0.0001,150.3442,348.4418,5.045998e-05
2299.7946612,141.0772,317.1966,0.26868,0.096835,0.0001,152.7616,348.3156,5.045998e-05
2327.1731691,143.7205,291.5573,0.26867,0.096884,0.0001,155.5443,348.1762,5.045998e-05
2354.5516769,145.9998,266.3604,0.2687,0.096772,0.0001,157.9625,348.0373,5.045998e-05
2381.9301848,148.6131,239.9957,0.26866,0.097089,0.0001,160.788,347.8251,5.045998e-05
2409.3086927,150.869,213.5964,0.26869,0.096795,0.0001,163.2396,347.6294,5.045998e-05
2436.6872005,153.4568,186.666,0.26867,0.097154,0.0001,166.0963,347.3605,5.045998e-05
2464.0657084,155.7893,159.3922,0.26871,0.09681,0.0001,168.6934,347.0959,5.045998e-05
2491.4442163,158.3023,131.0074,0.26868,0.09711,0.0001,171.5046,346.7977,5.045998e-05
2518.8227242,160.7114,102.4039,0.2687,0.096714,0.0001,174.2083,346.503,5.045998e-05
2546.201232,163.0299,73.98832,0.26867,0.097191,0.0001,176.8812,346.1486,5.045998e-05
2573.5797399,165.3395,45.71243,0.26869,0.096739,0.0001,179.5224,345.8171,5.045998e-05
2600.9582478,167.7316,17.37042,0.26868,0.097063,0.0001,182.3163,345.4153,5.045998e-05
2628.3367556,170.2603,349.1183,0.26868,0.096795,0.0001,185.2042,345.0561,5.045998e-05
2655.7152635,172.4332,321.9086,0.26868,0.097088,0.0001,187.8264,344.6068,5.045998e-05
2683.0937714,174.9351,294.913,0.26868,0.096716,0.0001,190.7215,344.2136,5.045998e-05
2710.4722793,177.0693,268.6446,0.26868,0.096929,0.0001,193.3531,343.7162,5.045998e-05
2737.8507871,179.5354,242.2176,0.26867,0.096808,0.0001,196.3344,343.201,5.045998e-05
2765.229295,181.6474,216.6583,0.26869,0.096724,0.0001,198.9581,342.6893,5.045998e-05
2792.6078029,184.1416,190.7987,0.26867,0.096752,0.0001,201.956,342.1856,5.045998e-05
2819.9863107,186.1623,165.5847,0.26868,0.096564,0.0001,204.5044,341.6579,5.045998e-05
2847.3648186,188.6015,139.998,0.26866,0.0967,0.0001,207.517,341.0845,5.045998e-05
2874.7433265,190.6693,114.9376,0.26868,0.09639,0.0001,210.1192,340.5501,5.045998e-05
2902.1218344,193.0521,89.36928,0.26867,0.096498,0.0001,213.0549,339.9972,5.045998e-05
2929.5003422,195.2496,63.95922,0.26869,0.096047,0.0001,215.8276,339.422,5.045998e-05
2956.8788501,197.4182,38.45543,0.26868,0.096407,0.0001,218.5033,338.9149,5.045998e-05
2984.257358,199.5955,12.70191,0.26868,0.095934,0.0001,221.2544,338.3411,5.045998e-05
3011.6358658,201.6903,346.7838,0.26868,0.096218,0.0001,223.8794,337.8109,5.045998e-05
3039.0143737,204.0102,320.3368,0.26867,0.095899,0.0001,226.7653,337.245,5.045998e-05
3066.3928816,205.9439,294.0586,0.26869,0.096031,0.0001,229.2326,336.7113,5.045998e-05
3093.7713895,208.3047,266.9309,0.26868,0.095737,0.0001,232.1292,336.1755,5.045998e-05
3121.1498973,210.1905,240.0871,0.26868,0.095875,0.0001,234.5425,335.648,5.045998e-05
3148.5284052,212.4739,212.5532,0.26867,0.095796,0.0001,237.3715,335.1023,5.045998e-05
3175.9069131,214.3344,185.4181,0.26868,0.095774,0.0001,239.7415,334.5929,5.045998e-05
3203.2854209,216.5877,157.7102,0.26869,0.095689,0.0001,242.5027,334.0849,5.045998e-05
3230.6639288,218.4611,130.5069,0.26869,0.095543,0.0001,244.884,333.5771,5.045998e-05
3258.0424367,220.707,102.9656,0.26868,0.095761,0.0001,247.6212,333.0858,5.045998e-05
3285.4209446,222.5187,76.11812,0.26867,0.095592,0.0001,249.8506,332.668,5.045998e-05
3312.7994524,224.7136,48.96719,0.26868,0.095728,0.0001,252.4808,332.2328,5.045998e-05
3340.1779603,226.6448,22.3072,0.26868,0.095354,0.0001,254.7993,331.8455,5.045998e-05
3367.5564682,228.7436,355.6069,0.26868,0.095791,0.0001,257.1918,331.5518,5.045998e-05
3394.934976,230.658,329.2455,0.26868,0.09545,0.0001,259.447,331.211,5.045998e-05
3422.3134839,232.666,302.8875,0.26867,0.095914,0.0001,261.7175,330.9486,5.045998e-05
3449.6919918,234.7012,276.5606,0.26868,0.095605,0.0001,263.9518,330.7494,5.045998e-05
3477.0704997,236.574,250.485,0.26867,0.09597,0.0001,266.0407,330.5332,5.045998e-05
3504.4490075,238.6332,224.1759,0.26869,0.095683,0.0001,268.2933,330.34,5.045998e-05
3531.8275154,240.4439,198.1413,0.26867,0.096073,0.0001,270.2269,330.217,5.045998e-05
3559.2060233,242.5545,171.6698,0.26869,0.096012,0.0001,272.4752,330.0793,5.045998e-05
3586.5845311,244.3067,145.5618,0.26867,0.096318,0.0001,274.3504,329.9563,5.045998e-05
3613.963039,246.4103,118.8916,0.26868,0.096355,0.0001,276.4893,329.921,5.045998e-05
3641.3415469,248.0798,92.61378,0.26867,0.096453,0.0001,278.2166,329.8631,5.045998e-05
3668.7200548,250.2809,65.58118,0.2687,0.096627,0.0001,280.3899,329.891,5.045998e-05
3696.0985626,251.9653,39.03111,0.26868,0.096799,0.0001,282.0196,329.9457,5.045998e-05
3723.4770705,254.0595,11.89674,0.26868,0.097141,0.0001,283.9651,330.0945,5.045998e-05
3750.8555784,255.7991,345.1353,0.26868,0.097042,0.0001,285.5441,330.255,5.045998e-05
3778.2340862,257.8759,317.9808,0.26868,0.097584,0.0001,287.4509,330.425,5.045998e-05
3805.6125941,259.6057,291.2451,0.26869,0.097542,0.0001,288.9644,330.6413,5.045998e-05
3832.991102,261.6483,264.2298,0.26867,0.098121,0.0001,290.7923,330.856,5.045998e-05
3860.3696099,263.5201,237.5199,0.2687,0.098082,0.0001,292.3987,331.1214,5.045998e-05
3887.7481177,265.4047,210.9303,0.26866,0.098756,0.0001,294.0641,331.3406,5.045998e-05
3915.1266256,267.3047,184.448,0.26869,0.098641,0.0001,295.736,331.5686,5.045998e-05
3942.5051335,269.1583,158.1526,0.26867,0.099334,0.0001,297.2451,331.9132,5.045998e-05
3969.8836413,271.1722,131.787,0.26871,0.099316,0.0001,299.066,332.1061,5.045998e-05
3997.2621492,272.9897,105.7468,0.26867,0.100027,0.0001,300.6002,332.3895,5.045998e-05
4024.6406571,275.0788,79.45899,0.26869,0.100192,0.0001,302.4559,332.6229,5.045998e-05
4052.019165,276.7594,53.67949,0.26867,0.10076,0.0001,303.9016,332.8577,5.045998e-05
4079.3976728,278.8802,27.40065,0.26868,0.10094,0.0001,305.7444,333.1359,5.045998e-05
4106.7761807,280.6332,1.523636,0.26868,0.101473,0.0001,307.2938,333.3394,5.045998e-05
4134.1546886,282.7715,335.1188,0.26867,0.101985,0.0001,309.2382,333.5332,5.045998e-05
4161.5331964,284.5152,309.0687,0.26869,0.102234,0.0001,310.7203,333.7949,5.045998e-05
4188.9117043,286.6897,282.3542,0.26867,0.102913,0.0001,312.7497,333.9399,5.045998e-05
4216.2902122,288.4307,255.9396,0.26869,0.103198,0.0001,314.3354,334.0953,5.045998e-05
4243.6687201,290.518,228.8792,0.26867,0.103871,0.0001,316.2774,334.2405,5.045998e-05
4271.0472279,292.4158,201.8213,0.26872,0.103992,0.0001,318.0891,334.3267,5.045998e-05
4298.4257358,294.4767,174.313,0.26867,0.104875,0.0001,320.126,334.3507,5.045998e-05
4325.8042437,296.3714,146.8914,0.26869,0.104982,0.0001,322.0224,334.349,5.045998e-05
4353.1827515,298.3793,119.3072,0.26866,0.105861,0.0001,324.0381,334.3412,5.045998e-05
4380.5612594,300.3455,91.87993,0.26869,0.105994,0.0001,326.1313,334.2142,5.045998e-05
4407.9397673,302.3869,64.5098,0.26867,0.106817,0.0001,328.2659,334.1209,5.045998e-05
4435.3182752,304.5103,37.36118,0.26869,0.106983,0.0001,330.5032,334.0071,5.045998e-05
4462.696783,306.3952,10.8659,0.26868,0.107888,0.0001,332.5698,333.8254,5.045998e-05
4490.0752909,308.519,344.4573,0.26868,0.108074,0.0001,334.972,333.547,5.045998e-05
4517.4537988,310.4166,318.6142,0.26868,0.108895,0.0001,337.0439,333.3727,5.045998e-05
4544.8323066,312.6517,292.6683,0.26867,0.109351,0.0001,339.5093,333.1425,5.045998e-05
4572.2108145,314.5072,267.5107,0.26869,0.109879,0.0001,341.6111,332.8961,5.045998e-05
4599.5893224,316.8194,241.9129,0.26867,0.110426,0.0001,344.2186,332.6008,5.045998e-05
4626.9678303,318.689,216.971,0.26868,0.110925,0.0001,346.4062,332.2828,5.045998e-05
4654.3463381,320.909,191.7349,0.26866,0.111614,0.0001,348.9475,331.9615,5.045998e-05
4681.724846,322.8679,166.8477,0.26869,0.111888,0.0001,351.2802,331.5877,5.045998e-05
4709.1033539,325.0753,141.5243,0.26867,0.112593,0.0001,353.8776,331.1978,5.045998e-05
4736.4818617,327.1462,116.4398,0.2687,0.11275,0.0001,356.3133,330.8329,5.045998e-05
4763.8603696,329.2497,91.13224,0.26866,0.113684,0.0001,358.816,330.4337,5.045998e-05
4791.2388775,331.3658,65.53622,0.26868,0.11378,0.0001,1.394,329.9718,5.045998e-05
4818.6173854,333.4983,39.77908,0.26867,0.114609,0.0001,3.9145,329.5838,5.045998e-05
4845.9958932,335.7976,13.52292,0.26868,0.114774,0.0001,6.678,329.1196,5.045998e-05
