Time,long,M,a,e,i,peri,node,mass
0.0,212.0,1.230026e-05,1.54282,0.030884,0.0,211.9511,0.0489,0.0001138353
27.3785079,202.9186,285.0113,1.54202,0.031441,0.0,201.9418,0.9769,0.0001138353
54.7570157,192.042,211.108,1.54431,0.023648,0.0,190.3482,1.6938,0.0001138353
82.1355236,209.4556,107.264,1.54427,0.011014,0.0,206.9253,2.5303,0.0001138353
109.5140315,258.9746,331.1608,1.54316,0.015962,0.0,255.5826,3.392,0.0001138353
136.8925394,256.7604,248.5956,1.5411,0.022086,0.0,252.5586,4.2019,0.0001138353
164.2710472,243.672,177.6381,1.54135,0.021546,0.0,238.7456,4.9263,0.0001138353
191.6495551,226.5026,109.8014,1.54339,0.012742,0.0,220.9703,5.5323,0.0001138353
219.028063,327.0403,282.529,1.54414,0.003332,0.0,320.6899,6.3505,0.0001138353
246.4065708,335.8395,187.3259,1.54445,0.012849,0.0,328.7822,7.0573,0.0001138353
273.7850787,325.0297,113.5884,1.5434,0.016852,0.0,317.3976,7.6321,0.0001138353
301.1635866,313.751,40.92156,1.54546,0.014301,0.0,305.8367,7.9144,0.0001138353
328.5420945,326.3972,303.1559,1.54756,0.004995,0.0,317.9397,8.4575,0.0001138353
355.9206023,54.21992,128.6113,1.54967,0.010725,0.0,45.2884,8.9316,0.0001138353
383.2991102,47.64159,49.16872,1.5483,0.019946,0.0,38.3356,9.306,0.0001138353
410.6776181,35.25009,337.2745,1.54667,0.023734,0.0,25.8584,9.3917,0.0001138353
438.0561259,29.09359,259.6271,1.54687,0.020273,0.0,19.436,9.6576,0.0001138353
465.4346338,44.85826,158.6864,1.54736,0.014397,0.0,34.9127,9.9456,0.0001138353
492.8131417,85.9729,30.8558,1.54792,0.017257,0.0,75.8286,10.1443,0.0001138353
520.1916496,90.50224,300.3277,1.5444,0.028082,0.0,80.3798,10.1224,0.0001138353
547.5701574,81.23064,225.2216,1.54327,0.032795,0.0,71.1425,10.0882,0.0001138353
574.9486653,76.49062,145.8887,1.54244,0.03068,0.0,66.3043,10.1864,0.0001138353
602.3271732,83.205,53.57553,1.54365,0.023293,0.0,73.0747,10.1303,0.0001138353
629.705681,116.084,293.9591,1.54369,0.024107,0.0,106.2591,9.8249,0.0001138353
657.0841889,122.0222,202.3034,1.54183,0.035953,0.0,112.2819,9.7403,0.0001138353
684.4626968,114.9876,125.0854,1.54139,0.040496,0.0,105.4662,9.5215,0.0001138353
711.8412047,109.349,46.38125,1.54178,0.037176,0.0,99.9453,9.4037,0.0001138353
739.2197125,114.969,314.8224,1.54494,0.027897,0.0,105.8932,9.0758,0.0001138353
766.5982204,145.1683,198.0458,1.54461,0.027962,0.0,136.5643,8.6041,0.0001138353
793.9767283,152.3535,105.5631,1.54365,0.03872,0.0,144.108,8.2455,0.0001138353
821.3552361,145.8188,27.98101,1.54189,0.043124,0.0,137.7905,8.0283,0.0001138353
848.733744,139.7124,309.4528,1.54244,0.038474,0.0,132.0928,7.6196,0.0001138353
876.1122519,146.9552,215.97,1.54405,0.027336,0.0,139.8322,7.123,0.0001138353
903.4907598,176.6513,99.8227,1.54365,0.028325,0.0,169.9329,6.7184,0.0001138353
930.8692676,182.1604,9.393974,1.54366,0.038474,0.0,175.8686,6.2917,0.0001138353
958.2477755,174.8531,292.644,1.54304,0.041101,0.0,168.9212,5.9319,0.0001138353
985.6262834,166.7572,215.841,1.54519,0.034329,0.0,161.3781,5.3791,0.0001138353
1013.0047912,177.0824,119.0409,1.54556,0.021571,0.0,172.2972,4.7852,0.0001138353
1040.3832991,212.5708,357.2979,1.54509,0.024197,0.0,208.1662,4.4046,0.0001138353
1067.761807,215.2134,270.0435,1.5432,0.032606,0.0,211.3109,3.9025,0.0001138353
1095.1403149,206.259,194.9298,1.5432,0.034052,0.0,202.8984,3.3606,0.0001138353
1122.5188227,194.8905,121.097,1.5448,0.026315,0.0,192.0675,2.823,0.0001138353
1149.8973306,209.6051,19.66363,1.54481,0.012153,0.0,207.2476,2.3575,0.0001138353
1177.2758385,259.1989,244.0029,1.54441,0.016697,0.0,257.3152,1.8837,0.0001138353
1204.6543463,257.0784,161.6909,1.54305,0.024189,0.0,255.6936,1.3849,0.0001138353
1232.0328542,244.1527,90.52351,1.5448,0.023971,0.0,243.2946,0.8581,0.0001138353
1259.4113621,224.3647,24.85022,1.54591,0.015071,0.0,223.9888,0.3759,0.0001138353
1286.78987,311.6402,210.7391,1.54562,0.002477,0.0,311.5961,0.0441,0.0001138353
1314.1683778,332.7181,103.8016,1.54304,0.013933,0.0,333.1856,359.5326,0.0001138353
1341.5468857,314.1134,38.07936,1.54149,0.017525,0.0,315.0712,359.0422,0.0001138353
1368.9253936,295.5075,332.4925,1.543,0.013353,0.0,296.8028,358.7047,0.0001138353
1396.3039014,284.1938,258.0532,1.54435,0.00106,0.0,285.7757,358.4181,0.0001138353
1423.6824093,61.09017,34.27768,1.5451,0.014255,0.0,63.0282,358.062,0.0001138353
1451.0609172,38.2134,331.5158,1.54259,0.021029,0.0,40.5992,357.6142,0.0001138353
1478.4394251,23.06143,262.4731,1.54262,0.019686,0.0,25.6598,357.4016,0.0001138353
1505.8179329,25.77914,175.4577,1.54303,0.012085,0.0,28.4874,357.2917,0.0001138353
1533.1964408,90.48972,24.77584,1.54433,0.012224,0.0,93.5165,356.9733,0.0001138353
1560.5749487,92.61644,295.8305,1.54328,0.025617,0.0,95.8703,356.7461,0.0001138353
1587.9534565,81.5137,221.5378,1.54124,0.030803,0.0,84.9674,356.5463,0.0001138353
1615.3319644,74.11692,144.8395,1.54168,0.027827,0.0,77.5544,356.5625,0.0001138353
1642.7104723,82.00682,52.431,1.54235,0.020177,0.0,85.4091,356.5977,0.0001138353
1670.0889802,117.2632,290.9989,1.54495,0.022512,0.0,120.6827,356.5804,0.0001138353
1697.467488,121.6741,199.932,1.54415,0.033747,0.0,125.2159,356.4582,0.0001138353
1724.8459959,116.77,119.8169,1.54424,0.037978,0.0,120.0308,356.7392,0.0001138353
1752.2245038,112.2137,40.37303,1.54437,0.035805,0.0,115.2473,356.9664,0.0001138353
1779.6030116,117.8929,309.9887,1.54631,0.028249,0.0,120.7325,357.1604,0.0001138353
1806.9815195,141.7288,199.8951,1.54847,0.027727,0.0,144.2794,357.4494,0.0001138353
1834.3600274,152.1998,103.1333,1.54792,0.035975,0.0,154.4101,357.7897,0.0001138353
1861.7385352,151.0057,19.75913,1.54812,0.043011,0.0,152.693,358.3127,0.0001138353
1889.1170431,145.5339,301.3781,1.54717,0.041804,0.0,146.8835,358.6504,0.0001138353
1916.495551,145.7613,216.3714,1.54868,0.034409,0.0,146.5935,359.1678,0.0001138353
1943.8740589,160.7471,114.9909,1.54766,0.027934,0.0,161.0973,359.6499,0.0001138353
1971.2525667,181.9081,7.637144,1.54547,0.032233,0.0,181.4984,0.4097,0.0001138353
1998.6310746,183.8757,281.1482,1.54325,0.040046,0.0,182.8013,1.0743,0.0001138353
2026.0095825,179.3933,201.5407,1.54239,0.041338,0.0,177.7423,1.651,0.0001138353
2053.3880903,174.6194,121.056,1.54368,0.035195,0.0,172.2417,2.3778,0.0001138353
2080.7665982,185.4835,23.42933,1.54312,0.023812,0.0,182.2411,3.2424,0.0001138353
2108.1451061,214.1853,268.7654,1.54277,0.026727,0.0,210.0191,4.1663,0.0001138353
2135.523614,217.2759,181.3545,1.54127,0.034525,0.0,212.3088,4.9671,0.0001138353
2162.9021218,210.9747,103.4659,1.5427,0.035834,0.0,205.3124,5.6624,0.0001138353
2190.2806297,201.6784,27.09429,1.54444,0.028929,0.0,195.15,6.5285,0.0001138353
2217.6591376,214.0609,287.8575,1.54498,0.015833,0.0,206.5135,7.5474,0.0001138353
2245.0376454,255.3941,160.8891,1.54323,0.018394,0.0,247.0834,8.3107,0.0001138353
2272.4161533,255.1328,77.00083,1.5411,0.025597,0.0,246.0711,9.0617,0.0001138353
2299.7946612,243.9182,3.888267,1.54229,0.02594,0.0,234.0113,9.9069,0.0001138353
2327.1731691,227.9789,293.7847,1.54358,0.01713,0.0,217.2008,10.7781,0.0001138353
2354.5516769,275.7697,159.1308,1.54513,0.003598,0.0,264.3237,11.446,0.0001138353
2381.9301848,326.4419,23.07863,1.54347,0.013468,0.0,314.3716,12.0703,0.0001138353
2409.3086927,309.5233,315.9738,1.5434,0.01835,0.0,296.7832,12.7401,0.0001138353
2436.6872005,287.8041,253.2474,1.54432,0.015028,0.0,274.3659,13.4382,0.0001138353
2464.0657084,242.4426,212.3562,1.54561,0.003775,0.0,228.508,13.9346,0.0001138353
2491.4442163,65.66571,302.4119,1.54549,0.011379,0.0,51.3799,14.2858,0.0001138353
2518.8227242,41.0524,241.8636,1.54286,0.018746,0.0,26.2505,14.8019,0.0001138353
2546.201232,22.59106,176.3597,1.54319,0.017872,0.0,7.4165,15.1746,0.0001138353
2573.5797399,15.78828,98.49777,1.54353,0.009924,0.0,0.3158,15.4725,0.0001138353
2600.9582478,105.7872,282.1278,1.54578,0.009742,0.0,90.0852,15.702,0.0001138353
2628.3367556,100.9858,200.3926,1.54463,0.02396,0.0,85.2254,15.7604,0.0001138353
2655.7152635,87.1178,129.3311,1.54401,0.029028,0.0,71.0974,16.0204,0.0001138353
2683.0937714,78.20036,54.28923,1.5444,0.025954,0.0,62.0427,16.1576,0.0001138353
2710.4722793,87.90396,319.6976,1.54514,0.01729,0.0,71.7993,16.1047,0.0001138353
2737.8507871,130.3819,190.8211,1.5456,0.021409,0.0,114.4347,15.9471,0.0001138353
2765.229295,128.4964,106.3921,1.5427,0.034766,0.0,112.5226,15.9738,0.0001138353
2792.6078029,119.5803,30.59817,1.5423,0.038304,0.0,103.6938,15.8865,0.0001138353
2819.9863107,114.7569,311.3165,1.54236,0.032848,0.0,99.092,15.6649,0.0001138353
2847.3648186,128.0558,212.8309,1.5449,0.023829,0.0,112.6947,15.3611,0.0001138353
2874.7433265,158.2184,96.2145,1.54498,0.029726,0.0,143.1571,15.0613,0.0001138353
2902.1218344,157.06,11.36849,1.54321,0.041289,0.0,142.117,14.9429,0.0001138353
2929.5003422,149.7755,294.2082,1.54261,0.043717,0.0,135.1991,14.5764,0.0001138353
2956.8788501,146.6072,213.1238,1.54252,0.037205,0.0,132.4448,14.1623,0.0001138353
2984.257358,160.4037,113.8222,1.54437,0.027759,0.0,146.6443,13.7595,0.0001138353
3011.6358658,184.6391,3.012494,1.54264,0.032535,0.0,171.2567,13.3824,0.0001138353
3039.0143737,185.3017,276.6956,1.54187,0.041949,0.0,172.3282,12.9735,0.0001138353
3066.3928816,179.7434,197.992,1.5411,0.043925,0.0,167.2957,12.4477,0.0001138353
3093.7713895,175.9795,117.3468,1.54301,0.036831,0.0,164.0322,11.9473,0.0001138353
3121.1498973,189.2922,18.13806,1.54474,0.026879,0.0,177.7317,11.5605,0.0001138353
3148.5284052,212.5903,268.1983,1.54429,0.030304,0.0,201.508,11.0822,0.0001138353
3175.9069131,215.1451,180.4389,1.5438,0.036576,0.0,204.6435,10.5016,0.0001138353
