Time,long,M,a,e,i,peri,node,mass
0.0,234.9,3.043147e-05,6.35802,0.031699,0.0001,234.9075,359.9924,0.0003622306
27.3785079,236.5987,2.042193,6.34428,0.029698,0.0001,236.6076,359.9911,0.0003622306
54.7570157,237.8299,4.509942,6.35316,0.030835,0.0001,237.8596,359.9703,0.0003622306
82.1355236,237.1302,8.749821,6.36644,0.032746,0.0001,237.2094,359.9207,0.0003622306
109.5140315,235.8182,13.58849,6.36292,0.032488,0.0001,235.9043,359.9139,0.0003622306
136.8925394,236.1499,16.94964,6.35195,0.0309,0.0001,236.2728,359.8772,0.0003622306
164.2710472,238.0965,18.73155,6.35728,0.03131,0.0001,238.1709,359.9256,0.0003622306
191.6495551,238.3049,22.0898,6.36714,0.032652,0.0001,238.4154,359.8894,0.0003622306
219.028063,235.698,28.17459,6.35949,0.032157,0.0001,235.8599,359.8381,0.0003622306
246.4065708,233.5217,34.00403,6.34089,0.029871,0.0001,233.727,359.7946,0.0003622306
273.7850787,236.2784,35.05749,6.34343,0.029384,0.0001,236.4406,359.8378,0.0003622306
301.1635866,240.5532,34.48822,6.36374,0.031277,0.0001,240.7498,359.8034,0.0003622306
328.5420945,240.2535,38.28945,6.37002,0.032459,0.0001,240.469,359.7845,0.0003622306
355.9206023,236.7456,45.32177,6.35531,0.031471,0.0001,237.0016,359.7441,0.0003622306
383.2991102,236.1089,49.63905,6.34908,0.030629,0.0001,236.3973,359.7116,0.0003622306
410.6776181,240.0167,49.41908,6.36482,0.031628,0.0001,240.305,359.7117,0.0003622306
438.0561259,241.0192,51.98074,6.37188,0.03245,0.0001,241.3259,359.6933,0.0003622306
465.4346338,236.7699,59.78909,6.35425,0.03144,0.0001,237.1183,359.6516,0.0003622306
492.8131417,233.1418,67.11661,6.33741,0.029969,0.0001,233.5045,359.6372,0.0003622306
520.1916496,237.2963,66.68526,6.3512,0.030064,0.0001,237.6538,359.6425,0.0003622306
547.5701574,242.6635,64.90079,6.3734,0.031498,0.0001,243.0475,359.6161,0.0003622306
574.9486653,241.3806,69.69834,6.36992,0.031971,0.0001,241.7989,359.5817,0.0003622306
602.3271732,235.5365,79.18189,6.34671,0.031028,0.0001,235.9866,359.55,0.0003622306
629.705681,234.1888,84.25695,6.34115,0.030239,0.0001,234.6317,359.5571,0.0003622306
657.0841889,238.6705,83.41332,6.35748,0.030338,0.0001,239.1304,359.5401,0.0003622306
684.4626968,240.9164,84.71809,6.36581,0.030903,0.0001,241.4105,359.5059,0.0003622306
711.8412047,238.2493,91.0233,6.35535,0.030691,0.0001,238.762,359.4873,0.0003622306
739.2197125,236.4822,96.5263,6.3492,0.02991,0.0001,237.0231,359.459,0.0003622306
766.5982204,239.9044,96.73714,6.36176,0.029595,0.0001,240.4499,359.4546,0.0003622306
793.9767283,242.9745,97.14215,6.37207,0.030455,0.0001,243.5413,359.4332,0.0003622306
821.3552361,240.7685,102.8682,6.36236,0.031441,0.0001,241.3698,359.3987,0.0003622306
848.733744,236.4652,110.8917,6.34661,0.031426,0.0001,237.0379,359.4273,0.0003622306
876.1122519,235.703,115.4238,6.34695,0.030409,0.0001,236.3243,359.3787,0.0003622306
903.4907598,238.2529,116.4958,6.35753,0.029736,0.0001,238.8738,359.379,0.0003622306
930.8692676,239.4182,118.8482,6.35918,0.030317,0.0001,240.053,359.3653,0.0003622306
958.2477755,238.2725,123.6142,6.35337,0.030732,0.0001,238.9282,359.3443,0.0003622306
985.6262834,237.7684,127.8353,6.35422,0.030043,0.0001,238.4655,359.3029,0.0003622306
1013.0047912,239.3048,129.9577,6.36329,0.028964,0.0001,239.9973,359.3075,0.0003622306
1040.3832991,239.8551,132.941,6.36252,0.029577,0.0001,240.5611,359.294,0.0003622306
1067.761807,238.4497,137.908,6.35159,0.031066,0.0001,239.1659,359.2839,0.0003622306
1095.1403149,236.9791,143.0721,6.34627,0.031317,0.0001,237.7253,359.2538,0.0003622306
1122.5188227,237.5771,146.2043,6.3576,0.029423,0.0001,238.3326,359.2444,0.0003622306
1149.8973306,239.4076,147.9875,6.36972,0.027914,0.0001,240.2178,359.1897,0.0003622306
1177.2758385,239.9696,150.9441,6.36519,0.028879,0.0001,240.7732,359.1964,0.0003622306
1204.6543463,239.0559,155.4266,6.35154,0.03088,0.0001,239.8788,359.177,0.0003622306
1232.0328542,238.3943,159.7585,6.34927,0.03106,0.0001,239.2354,359.1589,0.0003622306
