Time,long,M,a,e,i,peri,node,mass
0.0,234.9,0.0,6.35751,0.03162,0.0001,234.895,0.005,0.0003622306
27.3785079,237.4238,275.216,6.34621,0.030301,0.0001,237.3852,0.0385,0.0003622306
54.7570157,233.75,196.6257,6.36693,0.028025,0.0001,233.7328,0.0172,0.0003622306
82.1355236,244.3557,103.4293,6.37545,0.029866,0.0001,244.3648,359.9909,0.0003622306
109.5140315,235.2825,30.12671,6.34881,0.030819,0.0001,235.2983,359.9842,0.0003622306
136.8925394,235.4167,307.7325,6.35514,0.030843,0.0001,235.4048,0.0119,0.0003622306
164.2710472,234.9366,225.7721,6.36334,0.028485,0.0001,234.8996,0.0369,0.0003622306
191.6495551,238.24,140.0863,6.35253,0.030322,0.0001,238.2575,359.9825,0.0003622306
219.028063,235.6563,60.36099,6.34386,0.030069,0.0001,235.736,359.9204,0.0003622306
246.4065708,236.7639,336.9591,6.36018,0.03198,0.0001,236.7765,359.9875,0.0003622306
273.7850787,232.0319,259.152,6.36885,0.028812,0.0001,231.9811,0.0508,0.0003622306
301.1635866,237.964,170.8448,6.33831,0.032157,0.0001,237.9296,0.0344,0.0003622306
328.5420945,235.7414,90.93337,6.34419,0.029182,0.0001,235.758,359.9835,0.0003622306
355.9206023,239.1731,5.080014,6.37126,0.033373,0.0001,239.19,359.9831,0.0003622306
383.2991102,230.9249,290.7868,6.37154,0.030661,0.0001,230.8917,0.0332,0.0003622306
410.6776181,239.1677,200.1308,6.34558,0.030453,0.0001,239.1577,0.01,0.0003622306
438.0561259,235.6512,121.5027,6.34623,0.02979,0.0001,235.7123,359.9388,0.0003622306
465.4346338,242.1229,32.58956,6.37663,0.033269,0.0001,242.1346,359.9883,0.0003622306
492.8131417,233.3106,318.8702,6.36388,0.031241,0.0001,233.3101,0.0006,0.0003622306
520.1916496,237.6246,232.2449,6.34963,0.02987,0.0001,237.5475,0.0771,0.0003622306
547.5701574,238.883,148.647,6.357,0.029397,0.0001,238.8953,359.9877,0.0003622306
574.9486653,240.6985,64.42058,6.36383,0.031463,0.0001,240.7377,359.9608,0.0003622306
602.3271732,235.8233,346.8634,6.34896,0.030077,0.0001,235.8837,359.9396,0.0003622306
629.705681,238.8569,261.6029,6.344,0.030675,0.0001,238.807,0.0499,0.0003622306
657.0841889,237.7671,180.2792,6.36805,0.027435,0.0001,237.7759,359.9912,0.0003622306
684.4626968,238.7668,96.74122,6.35283,0.031611,0.0001,238.866,359.9008,0.0003622306
711.8412047,235.9091,17.36686,6.33303,0.028113,0.0001,235.9417,359.9674,0.0003622306
739.2197125,239.7104,291.3283,6.34392,0.030801,0.0001,239.725,359.9854,0.0003622306
766.5982204,233.9127,214.7118,6.36854,0.028121,0.0001,233.9047,0.008,0.0003622306
793.9767283,240.8901,125.1449,6.35692,0.030514,0.0001,240.9659,359.9242,0.0003622306
821.3552361,233.6627,50.15573,6.32977,0.028398,0.0001,233.7489,359.9138,0.0003622306
848.733744,239.0057,322.5853,6.35371,0.03153,0.0001,239.0383,359.9673,0.0003622306
