Time,long,M,a,e,i,peri,node,mass
0.0,234.9,0.0,0.0799,0.059941,0.0,235.3048,359.5952,1.982357e-05
2.7378508,236.0435,139.7453,0.07991,0.058998,0.0,212.9515,23.092,1.982357e-05
5.4757016,236.9971,279.6609,0.07989,0.059501,0.0,196.2266,40.7705,1.982357e-05
8.2135524,237.2726,60.4556,0.07988,0.05924,0.0,188.4188,48.8538,1.982357e-05
10.9514031,238.1208,200.6142,0.07991,0.058299,0.0,182.0025,56.1183,1.982357e-05
13.6892539,239.3595,340.1387,0.07988,0.058698,0.0,179.025,60.3345,1.982357e-05
16.4271047,239.5538,121.0626,0.07989,0.058534,0.0,177.2192,62.3346,1.982357e-05
19.1649555,240.143,261.4804,0.07989,0.057676,0.0,175.2751,64.8679,1.982357e-05
21.9028063,241.6441,40.75142,0.0799,0.057776,0.0,175.7172,65.9269,1.982357e-05
24.6406571,241.7723,181.7096,0.07989,0.05775,0.0,175.1323,66.64,1.982357e-05
27.3785079,242.2479,322.2694,0.0799,0.057032,0.0,174.8265,67.4214,1.982357e-05
30.1163587,243.7984,101.517,0.07989,0.056809,0.0,176.4635,67.335,1.982357e-05
32.8542094,244.0655,242.2642,0.07989,0.057014,0.0,176.1481,67.9174,1.982357e-05
35.5920602,244.2828,23.14032,0.07989,0.056423,0.0,176.569,67.7138,1.982357e-05
38.329911,245.8029,162.4181,0.0799,0.055768,0.0,178.2908,67.5122,1.982357e-05
41.0677618,246.2848,302.948,0.07989,0.056225,0.0,178.6116,67.6732,1.982357e-05
43.8056126,246.4169,83.86582,0.07989,0.055715,0.0,179.0871,67.3297,1.982357e-05
46.5434634,247.6195,223.5883,0.0799,0.054906,0.0,180.5681,67.0514,1.982357e-05
49.2813142,248.4959,3.578334,0.07989,0.055433,0.0,181.5804,66.9155,1.982357e-05
52.019165,248.5234,144.6857,0.07989,0.05505,0.0,182.1574,66.3661,1.982357e-05
54.7570157,249.3613,284.7707,0.07989,0.054228,0.0,183.102,66.2593,1.982357e-05
57.4948665,250.5842,64.39684,0.0799,0.054575,0.0,185.1061,65.4781,1.982357e-05
60.2327173,250.4943,205.5836,0.07989,0.054352,0.0,185.2764,65.2179,1.982357e-05
62.9705681,251.1441,345.9476,0.0799,0.053575,0.0,186.3301,64.814,1.982357e-05
65.7084189,252.5424,125.3153,0.07989,0.053692,0.0,188.4221,64.1202,1.982357e-05
68.4462697,252.5274,266.4389,0.0799,0.053597,0.0,188.6153,63.9121,1.982357e-05
71.1841205,252.9302,47.08837,0.07989,0.052993,0.0,189.6031,63.3271,1.982357e-05
73.9219713,254.4127,186.361,0.0799,0.052758,0.0,191.6272,62.7855,1.982357e-05
76.659822,254.4511,327.4251,0.07988,0.052877,0.0,191.9606,62.4905,1.982357e-05
79.3976728,254.6934,108.2254,0.07989,0.052256,0.0,192.9924,61.701,1.982357e-05
82.1355236,256.2236,247.5353,0.07989,0.051827,0.0,194.8108,61.4128,1.982357e-05
84.8733744,256.4478,28.29153,0.07989,0.052101,0.0,195.6281,60.8197,1.982357e-05
87.6112252,256.5145,169.3585,0.07989,0.051582,0.0,196.3533,60.1612,1.982357e-05
90.349076,257.8538,308.8421,0.07989,0.050926,0.0,197.9841,59.8697,1.982357e-05
93.0869268,258.3504,89.33009,0.0799,0.051321,0.0,199.2811,59.0693,1.982357e-05
95.8247775,258.2271,230.516,0.07989,0.050974,0.0,199.5815,58.6456,1.982357e-05
98.5626283,259.259,10.44671,0.0799,0.05009,0.0,201.1408,58.1182,1.982357e-05
101.3004791,260.1391,150.4065,0.07989,0.050514,0.0,202.61,57.5291,1.982357e-05
104.0383299,259.9273,291.7495,0.0799,0.050298,0.0,202.8176,57.1097,1.982357e-05
106.7761807,260.659,71.98501,0.07989,0.049444,0.0,204.2929,56.3661,1.982357e-05
109.5140315,261.8009,211.6824,0.07989,0.049671,0.0,205.929,55.8719,1.982357e-05
112.2518823,261.59,352.9897,0.07988,0.0497,0.0,206.2414,55.3485,1.982357e-05
114.9897331,261.9383,133.6677,0.07989,0.048831,0.0,207.1815,54.7568,1.982357e-05
117.7275838,263.3432,273.0928,0.07988,0.048776,0.0,209.1129,54.2302,1.982357e-05
120.4654346,263.2412,54.23734,0.07989,0.048967,0.0,209.6232,53.6179,1.982357e-05
123.2032854,263.3288,195.2529,0.07989,0.048217,0.0,210.2675,53.0613,1.982357e-05
125.9411362,264.7818,334.5925,0.0799,0.047875,0.0,212.231,52.5508,1.982357e-05
128.678987,264.8429,115.5917,0.07989,0.048257,0.0,212.9555,51.8875,1.982357e-05
131.4168378,264.7525,256.7183,0.0799,0.047736,0.0,213.2933,51.4592,1.982357e-05
134.1546886,265.8981,36.50167,0.0799,0.047079,0.0,215.107,50.7911,1.982357e-05
136.8925394,266.3509,176.9506,0.07989,0.047562,0.0,216.0966,50.2543,1.982357e-05
139.6303901,266.1446,318.2938,0.07989,0.047187,0.0001,216.4826,49.662,1.982357e-05
142.3682409,267.0176,98.32891,0.0799,0.046424,0.0001,218.0295,48.9881,1.982357e-05
145.1060917,267.7681,238.4956,0.07989,0.046921,0.0001,219.2346,48.5335,1.982357e-05
147.8439425,267.5507,19.78428,0.07988,0.046675,0.0001,219.6903,47.8604,1.982357e-05
150.5817933,268.0143,160.3439,0.0799,0.045882,0.0001,220.7402,47.2742,1.982357e-05
153.3196441,269.0813,300.1009,0.07988,0.0463,0.0001,222.3222,46.7591,1.982357e-05
156.0574949,268.8339,81.44698,0.07989,0.046139,0.0001,222.7104,46.1235,1.982357e-05
158.7953457,268.9008,222.4252,0.0799,0.045322,0.0001,223.3216,45.5792,1.982357e-05
161.5331964,270.3503,1.77758,0.0799,0.045561,0.0001,225.4202,44.9301,1.982357e-05
164.2710472,270.0639,143.17,0.07989,0.045606,0.0001,225.7399,44.324,1.982357e-05
167.008898,269.9644,284.2875,0.0799,0.044914,0.0001,226.1465,43.8179,1.982357e-05
169.7467488,271.3978,63.72387,0.0799,0.044874,0.0001,228.3086,43.0892,1.982357e-05
172.4845996,271.2708,204.8513,0.07989,0.045109,0.0001,228.7209,42.55,1.982357e-05
175.2224504,270.9617,346.2786,0.07989,0.044551,0.0001,229.0503,41.9113,1.982357e-05
177.9603012,272.3041,125.76,0.0799,0.044113,0.0001,231.0231,41.2809,1.982357e-05
180.698152,272.448,266.6514,0.07989,0.044631,0.0001,231.7165,40.7315,1.982357e-05
183.4360027,272.0251,48.11694,0.07988,0.044227,0.0001,231.9953,40.0298,1.982357e-05
186.1738535,272.9473,188.1603,0.0799,0.043594,0.0001,233.5019,39.4455,1.982357e-05
188.9117043,273.5705,328.4263,0.07988,0.044186,0.0001,234.7903,38.7802,1.982357e-05
191.6495551,273.0208,110.1035,0.07989,0.043947,0.0001,234.8917,38.1292,1.982357e-05
194.3874059,273.4025,250.6774,0.07989,0.043276,0.0001,235.816,37.5865,1.982357e-05
197.1252567,274.5633,30.40057,0.0799,0.043704,0.0001,237.7406,36.8227,1.982357e-05
199.8631075,273.9266,172.125,0.07989,0.043678,0.0001,237.6791,36.2475,1.982357e-05
202.6009582,274.0315,313.0376,0.0799,0.043017,0.0001,238.3927,35.6388,1.982357e-05
205.338809,275.4402,92.46798,0.0799,0.043293,0.0001,240.5539,34.8863,1.982357e-05
208.0766598,274.8555,234.1268,0.07989,0.043387,0.0001,240.5257,34.3297,1.982357e-05
210.8145106,274.672,15.38856,0.07988,0.0429,0.0001,241.0773,33.5946,1.982357e-05
213.5523614,276.0418,154.8052,0.0799,0.042813,0.0001,243.0587,32.9831,1.982357e-05
216.2902122,275.7186,296.2382,0.07988,0.043152,0.0001,243.396,32.3226,1.982357e-05
219.028063,275.4273,77.5586,0.07989,0.04274,0.0001,243.8143,31.6131,1.982357e-05
221.7659138,276.6715,217.2081,0.07989,0.042458,0.0001,245.66,31.0115,1.982357e-05
224.5037645,276.6065,358.2437,0.07989,0.042983,0.0001,246.2701,30.3364,1.982357e-05
227.2416153,276.1778,139.8118,0.07989,0.042675,0.0001,246.5205,29.6573,1.982357e-05
229.9794661,277.1126,279.7283,0.0799,0.042205,0.0001,248.0787,29.0339,1.982357e-05
232.7173169,277.4144,60.41918,0.0799,0.042813,0.0001,249.1606,28.2538,1.982357e-05
235.4551677,276.8587,202.0368,0.07989,0.042715,0.0001,249.1884,27.6703,1.982357e-05
238.1930185,277.3771,342.5029,0.0799,0.042015,0.0001,250.4574,26.9197,1.982357e-05
240.9308693,278.2302,122.513,0.07989,0.042642,0.0001,251.9794,26.2508,1.982357e-05
243.6687201,277.5407,264.3221,0.07989,0.042756,0.0001,251.8924,25.6483,1.982357e-05
246.4065708,277.6922,45.17579,0.07989,0.042117,0.0001,252.8176,24.8745,1.982357e-05
249.1444216,278.7794,184.929,0.07989,0.042514,0.0001,254.5068,24.2726,1.982357e-05
251.8822724,278.2043,326.6069,0.07988,0.042869,0.0001,254.6045,23.5998,1.982357e-05
254.6201232,278.0579,107.7787,0.07989,0.042266,0.0001,255.1916,22.8662,1.982357e-05
257.357974,279.2815,247.4288,0.07989,0.042366,0.0001,257.0086,22.2729,1.982357e-05
260.0958248,278.9841,28.73495,0.07989,0.042935,0.0001,257.4274,21.5566,1.982357e-05
262.8336756,278.5724,170.2709,0.07989,0.042488,0.0001,257.6704,20.9019,1.982357e-05
265.5715264,279.7007,309.9553,0.0799,0.042348,0.0001,259.4543,20.2464,1.982357e-05
268.3093771,279.682,91.02426,0.07989,0.04307,0.0001,260.1872,19.4948,1.982357e-05
271.0472279,279.1664,232.5784,0.0799,0.042836,0.0001,260.2281,18.9384,1.982357e-05
273.7850787,279.9101,12.78964,0.0799,0.042429,0.0001,261.6971,18.2129,1.982357e-05
276.5229295,280.4118,153.1828,0.07989,0.043214,0.0001,262.8327,17.579,1.982357e-05
279.2607803,279.8394,294.8975,0.07989,0.043225,0.0001,262.9135,16.9258,1.982357e-05
281.9986311,280.2232,75.44759,0.07989,0.042721,0.0001,263.9782,16.245,1.982357e-05
284.7364819,281.0688,215.5032,0.07989,0.043488,0.0001,265.4114,15.6574,1.982357e-05
287.4743326,280.5786,357.0802,0.07988,0.043684,0.0001,265.6367,14.9419,1.982357e-05
290.2121834,280.5915,138.0978,0.0799,0.043174,0.0001,266.2389,14.3526,1.982357e-05
292.9500342,281.6468,277.8762,0.07988,0.043768,0.0001,267.9176,13.7291,1.982357e-05
295.687885,281.2999,59.29869,0.07989,0.044067,0.0001,268.2312,13.0687,1.982357e-05
298.4257358,281.0188,200.6697,0.0799,0.04365,0.0001,268.5175,12.5013,1.982357e-05
301.1635866,282.3397,340.1281,0.0799,0.044027,0.0001,270.5185,11.8212,1.982357e-05
303.9014374,282.0504,121.5151,0.07989,0.044562,0.0001,270.7625,11.2879,1.982357e-05
306.6392882,281.6089,262.9934,0.0799,0.044266,0.0001,270.9176,10.6913,1.982357e-05
309.3771389,282.8858,42.59873,0.07989,0.044337,0.0001,272.8515,10.0344,1.982357e-05
312.1149897,282.864,183.5906,0.07989,0.045007,0.0001,273.3383,9.5258,1.982357e-05
314.8528405,282.333,325.2593,0.07989,0.044948,0.0001,273.4298,8.9032,1.982357e-05
317.5906913,283.3847,105.0453,0.07989,0.044671,0.0001,275.0788,8.3059,1.982357e-05
320.3285421,283.7616,245.676,0.07989,0.045574,0.0001,275.923,7.8386,1.982357e-05
323.0663929,283.2265,27.26351,0.07988,0.045676,0.0001,276.018,7.2085,1.982357e-05
325.8042437,283.8186,167.6489,0.0799,0.045241,0.0001,277.0975,6.7211,1.982357e-05
328.5420945,284.6172,307.7297,0.07988,0.046189,0.0001,278.4538,6.1633,1.982357e-05
331.2799452,284.1172,89.34191,0.07989,0.046427,0.0001,278.5403,5.5769,1.982357e-05
334.017796,284.2466,230.1997,0.07989,0.046058,0.0001,279.0839,5.1626,1.982357e-05
336.7556468,285.4578,9.840452,0.0799,0.046709,0.0001,280.8911,4.5667,1.982357e-05
339.4934976,285.1152,151.2769,0.07989,0.047231,0.0001,280.9957,4.1196,1.982357e-05
342.2313484,284.9841,292.4301,0.0799,0.046923,0.0001,281.3577,3.6264,1.982357e-05
344.9691992,286.3087,71.95159,0.07989,0.047334,0.0001,283.2554,3.0534,1.982357e-05
347.70705,286.0515,213.2466,0.07989,0.047987,0.0001,283.3689,2.6826,1.982357e-05
350.4449008,285.8581,354.5499,0.07989,0.047881,0.0001,283.7208,2.1373,1.982357e-05
353.1827515,287.094,134.0851,0.0799,0.047908,0.0001,285.3732,1.7208,1.982357e-05
