Time,long,M,a,e,i,peri,node,mass
0.0,159.32,360.0,0.06886,0.138408,0.0,159.1609,0.1591,0.003703402
27.3785079,160.5771,184.0201,0.06886,0.138462,0.0,159.9228,0.6542,0.003703402
54.7570157,161.8269,8.043301,0.06885,0.138527,0.0,160.2532,1.5737,0.003703402
82.1355236,163.0655,192.0847,0.06885,0.138633,0.0,161.0575,2.0081,0.003703402
109.5140315,164.3203,16.10439,0.06886,0.13872,0.0,161.3917,2.9286,0.003703402
136.8925394,165.5767,200.123,0.06886,0.138796,0.0,162.1643,3.4124,0.003703402
164.2710472,166.8189,24.15998,0.06886,0.138855,0.0,162.5801,4.2388,0.003703402
191.6495551,168.0614,208.1901,0.06885,0.138941,0.0,163.2878,4.7736,0.003703402
219.028063,169.3019,32.22703,0.06885,0.139047,0.0,163.7667,5.5352,0.003703402
246.4065708,170.5547,216.251,0.06886,0.13908,0.0,164.5171,6.0376,0.003703402
273.7850787,171.7998,40.27872,0.06886,0.139132,0.0,164.9354,6.8643,0.003703402
301.1635866,173.0324,224.3258,0.06885,0.139214,0.0,165.6025,7.4299,0.003703402
328.5420945,174.2816,48.35011,0.06885,0.139281,0.0,166.196,8.0855,0.003703402
355.9206023,175.5341,232.3716,0.06886,0.13933,0.0,166.9086,8.6254,0.003703402
383.2991102,176.7696,56.41432,0.06886,0.139379,0.0,167.4292,9.3404,0.003703402
410.6776181,178.0088,240.4469,0.06885,0.139445,0.0,168.211,9.7978,0.003703402
438.0561259,179.2424,64.48974,0.06885,0.139524,0.0,168.8368,10.4057,0.003703402
465.4346338,180.4911,248.5164,0.06886,0.139542,0.0,169.5472,10.9438,0.003703402
492.8131417,181.7309,72.54842,0.06886,0.139573,0.0,170.2781,11.4528,0.003703402
520.1916496,182.9551,256.6027,0.06885,0.139633,0.0,170.9597,11.9954,0.003703402
547.5701574,184.202,80.62739,0.06885,0.139679,0.0,171.768,12.4341,0.003703402
574.9486653,185.4486,264.6525,0.06886,0.139702,0.0,172.4207,13.0279,0.003703402
602.3271732,186.6766,88.70215,0.06886,0.139738,0.0,173.2507,13.4259,0.003703402
629.705681,187.911,272.7389,0.06885,0.139781,0.0,173.8861,14.0249,0.003703402
657.0841889,189.1398,96.78534,0.06885,0.139837,0.0,174.9213,14.2185,0.003703402
684.4626968,190.3841,280.8139,0.06886,0.139834,0.0,175.5044,14.8797,0.003703402
711.8412047,191.616,104.8525,0.06886,0.139845,0.0,176.5492,15.0667,0.003703402
739.2197125,192.8335,288.9125,0.06886,0.139882,0.0,177.0733,15.7602,0.003703402
766.5982204,194.0762,112.9405,0.06886,0.139905,0.0,178.1664,15.9098,0.003703402
793.9767283,195.3187,296.9675,0.06886,0.139906,0.0,178.8909,16.4278,0.003703402
821.3552361,196.5376,121.0254,0.06885,0.139922,0.0,179.9378,16.5999,0.003703402
848.733744,197.7655,305.0678,0.06886,0.139943,0.0,180.6118,17.1536,0.003703402
876.1122519,198.9929,129.1148,0.06886,0.139972,0.0,181.7027,17.2902,0.003703402
903.4907598,200.228,313.1511,0.06885,0.139949,0.0,182.3805,17.8476,0.003703402
930.8692676,201.4542,137.1935,0.06886,0.139944,0.0,183.5173,17.9369,0.003703402
958.2477755,202.665,321.2587,0.06886,0.139951,0.0,184.2814,18.3836,0.003703402
985.6262834,203.9027,145.291,0.06886,0.139954,0.0,185.4793,18.4234,0.003703402
1013.0047912,205.1402,329.3223,0.06885,0.139929,0.0,186.2665,18.8736,0.003703402
1040.3832991,206.3496,153.3881,0.06885,0.139927,0.0,187.3305,19.0191,0.003703402
1067.761807,207.573,337.4331,0.06886,0.139925,0.0,188.1698,19.4032,0.003703402
1095.1403149,208.7973,161.4817,0.06886,0.139922,0.0,189.4246,19.3727,0.003703402
1122.5188227,210.0233,345.5272,0.06886,0.139885,0.0,190.2663,19.757,0.003703402
1149.8973306,211.2426,169.5754,0.06885,0.139856,0.0,191.3711,19.8714,0.003703402
1177.2758385,212.4474,353.6453,0.06886,0.139837,0.0,192.3148,20.1326,0.003703402
1204.6543463,213.6808,177.6807,0.06886,0.139816,0.0,193.4324,20.2484,0.003703402
1232.0328542,214.9101,1.720057,0.06885,0.139768,0.0,194.4209,20.4892,0.003703402
1259.4113621,216.1132,185.7915,0.06885,0.139742,0.0,195.4936,20.6196,0.003703402
1286.78987,217.3297,9.841727,0.06886,0.139713,0.0,196.4961,20.8336,0.003703402
1314.1683778,218.5517,193.8903,0.06886,0.139689,0.0,197.6355,20.9163,0.003703402
1341.5468857,219.7688,17.94474,0.06886,0.139629,0.0,198.6126,21.1562,0.003703402
1368.9253936,220.9803,202.0002,0.06885,0.139578,0.0,199.7292,21.2511,0.003703402
1396.3039014,222.1801,26.07424,0.06885,0.139529,0.0,200.8091,21.371,0.003703402
1423.6824093,223.4069,210.1145,0.06886,0.139486,0.0,201.9592,21.4478,0.003703402
1451.0609172,224.6306,34.15846,0.06886,0.139418,0.0,202.9909,21.6398,0.003703402
1478.4394251,225.8263,218.2362,0.06886,0.139358,0.0,204.0669,21.7595,0.003703402
1505.8179329,227.0362,42.2922,0.06885,0.139309,0.0,205.1853,21.851,0.003703402
1533.1964408,228.2558,226.3412,0.06886,0.139261,0.0,206.2412,22.0146,0.003703402
1560.5749487,229.462,50.40593,0.06886,0.139175,0.0,207.4182,22.0437,0.003703402
1587.9534565,230.6686,234.4657,0.06885,0.139099,0.0,208.4229,22.2457,0.003703402
1615.3319644,231.8629,58.54436,0.06885,0.139024,0.0,209.6356,22.2273,0.003703402
1642.7104723,233.0835,242.5901,0.06886,0.138956,0.0,210.7001,22.3834,0.003703402
1670.0889802,234.2995,66.64119,0.06886,0.138863,0.0,211.9215,22.378,0.003703402
1697.467488,235.4881,250.7256,0.06886,0.138775,0.0,212.9459,22.5423,0.003703402
1724.8459959,236.694,74.78586,0.06885,0.138701,0.0,214.2165,22.4776,0.003703402
1752.2245038,237.9087,258.8397,0.06885,0.13863,0.0,215.2556,22.653,0.003703402
1779.6030116,239.105,82.91439,0.06886,0.138516,0.0,216.4706,22.6345,0.003703402
1806.9815195,240.3043,266.9819,0.06886,0.138411,0.0,217.4634,22.8409,0.003703402
1834.3600274,241.4969,91.06165,0.06886,0.138316,0.0,218.6958,22.8011,0.003703402
1861.7385352,242.7104,275.1142,0.06885,0.138218,0.0,219.6655,23.0448,0.003703402
1889.1170431,243.9164,99.17507,0.06886,0.138101,0.0,220.963,22.9534,0.003703402
1916.495551,245.1006,283.2635,0.06886,0.137982,0.0,222.0112,23.0895,0.003703402
1943.8740589,246.3008,107.3291,0.06886,0.137883,0.0,223.2299,23.0709,0.003703402
1971.2525667,247.5111,291.3869,0.06885,0.137789,0.0,224.2437,23.2673,0.003703402
1998.6310746,248.6988,115.4687,0.06885,0.137643,0.0,225.5114,23.1874,0.003703402
2026.0095825,249.8904,299.5426,0.06886,0.137514,0.0,226.434,23.4564,0.003703402
2053.3880903,251.081,123.6226,0.06886,0.137393,0.0,227.687,23.394,0.003703402
2080.7665982,252.2862,307.683,0.06885,0.137267,0.0,228.7494,23.5367,0.003703402
2108.1451061,253.4852,131.7496,0.06885,0.137126,0.0,230.0077,23.4775,0.003703402
2135.523614,254.6643,315.8421,0.06886,0.136973,0.0,230.9588,23.7055,0.003703402
2162.9021218,255.8595,139.9119,0.06886,0.13685,0.0,232.2319,23.6276,0.003703402
2190.2806297,257.0619,323.9775,0.06885,0.136729,0.0,233.2869,23.775,0.003703402
2217.6591376,258.244,148.0635,0.06885,0.136555,0.0,234.4234,23.8206,0.003703402
2245.0376454,259.4301,332.1415,0.06886,0.136396,0.0,235.5386,23.8915,0.003703402
2272.4161533,260.6151,156.2261,0.06886,0.136255,0.0,236.6701,23.945,0.003703402
2299.7946612,261.8141,340.2928,0.06886,0.136097,0.0,237.7275,24.0866,0.003703402
2327.1731691,263.0055,164.3661,0.06885,0.135927,0.0,238.9194,24.0861,0.003703402
2354.5516769,264.1809,348.4602,0.06885,0.135746,0.0,239.9736,24.2073,0.003703402
2381.9301848,265.3714,172.5332,0.06886,0.135595,0.0,241.0801,24.2913,0.003703402
2409.3086927,266.5645,356.6075,0.06886,0.13545,0.0,242.2212,24.3433,0.003703402
2436.6872005,267.7432,180.6961,0.06886,0.135241,0.0,243.272,24.4712,0.003703402
2464.0657084,268.9223,4.779762,0.06885,0.135053,0.0,244.3922,24.53,0.003703402
2491.4442163,270.1036,188.8668,0.06886,0.134895,0.0,245.3899,24.7137,0.003703402
2518.8227242,271.296,12.93919,0.06886,0.134701,0.0,246.5604,24.7356,0.003703402
2546.201232,272.4806,197.0197,0.06885,0.134501,0.0,247.5966,24.884,0.003703402
2573.5797399,273.6521,21.11632,0.06885,0.134292,0.0,248.7544,24.8978,0.003703402
2600.9582478,274.837,205.1933,0.06886,0.134116,0.0,249.7907,25.0463,0.003703402
2628.3367556,276.0235,29.27319,0.06886,0.133941,0.0,250.9738,25.0497,0.003703402
2655.7152635,277.1971,213.3661,0.06886,0.133697,0.0,251.9026,25.2945,0.003703402
2683.0937714,278.3711,37.4542,0.06885,0.133485,0.0,253.0821,25.289,0.003703402
2710.4722793,279.5474,221.5449,0.06885,0.133302,0.0,254.0561,25.4913,0.003703402
2737.8507871,280.7333,45.62182,0.06886,0.133076,0.0,255.2399,25.4934,0.003703402
2765.229295,281.9127,229.7067,0.06886,0.132842,0.0,256.122,25.7907,0.003703402
2792.6078029,283.0796,53.80664,0.06886,0.132612,0.0,257.3222,25.7574,0.003703402
