Time,long,M,a,e,i,peri,node,mass
0.0,329.0,0.0,0.54404,0.16253,0.0,329.1083,359.8917,0.001222453
27.3785079,332.8704,223.3613,0.55061,0.19513,0.0,332.7156,0.1547,0.001222453
54.7570157,332.7153,91.04801,0.55742,0.169869,0.0,332.3463,0.369,0.001222453
82.1355236,333.65,316.252,0.56346,0.192757,0.0,333.5538,0.0961,0.001222453
109.5140315,333.7043,182.5786,0.56941,0.156448,0.0,333.4592,0.2451,0.001222453
136.8925394,341.2734,40.38109,0.57117,0.19636,0.0,341.4415,359.8319,0.001222453
164.2710472,331.6179,276.2797,0.56943,0.169708,0.0,331.8906,359.7272,0.001222453
191.6495551,341.4508,132.7744,0.55598,0.188148,0.0,341.6343,359.8165,0.001222453
219.028063,339.018,2.084701,0.54886,0.167517,0.0,339.2418,359.7763,0.001222453
246.4065708,346.1666,222.2662,0.54951,0.191754,0.0,346.1312,0.0354,0.001222453
273.7850787,340.7057,95.41003,0.55056,0.173498,0.0,340.5415,0.1643,0.001222453
301.1635866,347.9277,314.6785,0.55792,0.185451,0.0,347.9973,359.9303,0.001222453
328.5420945,344.3262,185.1987,0.56428,0.164608,0.0,344.2934,0.0328,0.001222453
355.9206023,355.0003,39.72595,0.57308,0.193023,0.0,355.2192,359.7811,0.001222453
383.2991102,342.2332,279.0669,0.57229,0.173258,0.0,342.3823,359.8509,0.001222453
410.6776181,355.5602,131.1938,0.56038,0.179395,0.0,355.6387,359.9215,0.001222453
438.0561259,350.5399,2.968241,0.55699,0.176782,0.0,350.6656,359.8743,0.001222453
465.4346338,359.1056,221.4043,0.55011,0.185102,0.0,359.0624,0.0431,0.001222453
492.8131417,351.3561,96.77317,0.54777,0.177676,0.0,351.3485,0.0076,0.001222453
520.1916496,2.211363,312.8671,0.55223,0.17682,0.0,2.2563,359.955,0.001222453
547.5701574,356.5751,185.6441,0.55847,0.173717,0.0,356.3946,0.1805,0.001222453
574.9486653,8.170436,39.6547,0.57245,0.186467,0.0,8.005,0.1654,0.001222453
602.3271732,355.4324,279.0652,0.57085,0.17602,0.0,355.149,0.2834,0.001222453
629.705681,9.78958,129.6904,0.56531,0.168604,0.0,9.4057,0.3838,0.001222453
657.0841889,3.282174,2.89428,0.56465,0.184912,0.0,3.0166,0.2655,0.001222453
684.4626968,11.36463,221.2128,0.55291,0.174758,0.0,11.0762,0.2885,0.001222453
711.8412047,4.112944,95.97745,0.54848,0.179271,0.0,3.663,0.45,0.001222453
739.2197125,16.04687,311.2055,0.54734,0.167036,0.0,15.7092,0.3377,0.001222453
766.5982204,9.749845,184.7524,0.55393,0.179984,0.0,8.9695,0.7803,0.001222453
793.9767283,20.26254,40.60012,0.56832,0.176579,0.0,19.2093,1.0532,0.001222453
821.3552361,9.946752,277.4585,0.5671,0.176789,0.0,8.8966,1.0502,0.001222453
848.733744,23.51926,128.9397,0.56977,0.156463,0.0,22.346,1.1732,0.001222453
876.1122519,16.63823,2.347107,0.57011,0.189506,0.0,15.5081,1.1301,0.001222453
903.4907598,22.34265,222.442,0.55827,0.16143,0.0,21.1818,1.1609,0.001222453
930.8692676,18.17819,93.94336,0.55126,0.17853,0.0,16.7033,1.4749,0.001222453
958.2477755,28.3273,310.7919,0.54526,0.157696,0.0,26.8039,1.5234,0.001222453
985.6262834,23.31463,183.2112,0.55115,0.182447,0.0,21.3845,1.9301,0.001222453
1013.0047912,30.43473,43.23222,0.56045,0.164158,0.0,28.159,2.2757,0.001222453
