Time,long,M,a,e,i,peri,node,mass
0.0,286.0,0.0,1.88845,0.172322,0.0001,286.029,359.971,0.0005436463
27.3785079,298.9082,64.5494,1.98817,0.203016,0.0001,298.7653,0.1429,0.0005436463
54.7570157,286.8475,157.5064,1.94881,0.168419,0.0001,285.4636,1.3838,0.0005436463
82.1355236,297.8633,219.937,1.87657,0.211146,0.0001,298.3208,359.5425,0.0005436463
109.5140315,278.479,315.4058,2.01741,0.197666,0.0001,279.2103,359.2686,0.0005436463
136.8925394,299.4741,14.37277,2.00425,0.215983,0.0001,299.5087,359.9654,0.0005436463
164.2710472,281.424,109.2637,1.85584,0.197935,0.0001,281.2511,0.1729,0.0005436463
191.6495551,298.1423,166.0471,1.93701,0.188449,0.0001,299.7561,358.3862,0.0005436463
219.028063,282.3946,262.6605,1.99343,0.189339,0.0001,283.233,359.1616,0.0005436463
246.4065708,299.2184,322.2841,1.89677,0.189039,0.0001,299.9911,359.2273,0.0005436463
273.7850787,285.5064,50.31835,1.88034,0.191584,0.0001,287.0516,358.4547,0.0005436463
301.1635866,303.4949,109.3005,1.98327,0.184794,0.0001,305.8651,357.6299,0.0005436463
328.5420945,288.6337,205.5086,1.92729,0.200707,0.0001,289.943,358.6907,0.0005436463
355.9206023,304.043,262.9974,1.86767,0.191462,0.0001,306.0564,357.9867,0.0005436463
383.2991102,289.2523,354.5018,2.03185,0.232509,0.0001,291.9251,357.3272,0.0005436463
410.6776181,306.146,57.2913,1.99298,0.191887,0.0001,308.8523,357.2937,0.0005436463
438.0561259,290.6894,148.8665,1.8703,0.223772,0.0001,293.3386,357.3509,0.0005436463
465.4346338,298.8519,215.1645,1.93975,0.177969,0.0001,301.9456,356.9063,0.0005436463
492.8131417,289.223,305.2714,1.99868,0.21593,0.0001,292.4237,356.7994,0.0005436463
520.1916496,300.8906,10.79441,1.91301,0.186044,0.0001,304.2642,356.6265,0.0005436463
547.5701574,291.6422,93.77107,1.88807,0.21546,0.0001,295.4304,356.2118,0.0005436463
574.9486653,303.836,158.9195,1.99867,0.157557,0.0001,307.7293,356.1067,0.0005436463
602.3271732,297.501,245.9782,1.9114,0.21942,0.0001,301.6495,355.8515,0.0005436463
629.705681,303.3252,313.5872,1.86175,0.171895,0.0001,307.9025,355.4226,0.0005436463
657.0841889,302.0221,31.52957,2.0118,0.230723,0.0001,306.597,355.425,0.0005436463
684.4626968,305.4598,108.0205,1.98047,0.170162,0.0001,309.8009,355.6589,0.0005436463
711.8412047,300.0308,188.9745,1.8829,0.225635,0.0001,305.5528,354.4779,0.0005436463
739.2197125,297.4413,266.4504,1.94171,0.178191,0.0001,302.7525,354.6888,0.0005436463
766.5982204,298.7173,345.1302,2.0179,0.235307,0.0001,303.7682,354.9492,0.0005436463
793.9767283,301.1808,61.04972,1.91132,0.17842,0.0001,306.6338,354.547,0.0005436463
821.3552361,300.7313,134.1912,1.89728,0.22458,0.0001,307.5748,353.1565,0.0005436463
848.733744,293.8067,219.6746,2.01227,0.154917,0.0001,299.5059,354.3008,0.0005436463
876.1122519,306.6816,286.0406,1.89748,0.214814,0.0001,312.6636,354.018,0.0005436463
903.4907598,297.7168,9.42752,1.85192,0.169674,0.0001,304.9519,352.765,0.0005436463
930.8692676,308.7645,74.58679,1.97972,0.212488,0.0001,316.2947,352.4698,0.0005436463
958.2477755,300.2368,163.6169,1.97064,0.170563,0.0001,306.5023,353.7345,0.0005436463
985.6262834,307.9537,230.8146,1.88275,0.220525,0.0001,315.5337,352.42,0.0005436463
1013.0047912,296.0575,317.5477,1.95185,0.193323,0.0001,304.5234,351.5341,0.0005436463
1040.3832991,310.74,22.55326,2.02735,0.234469,0.0001,318.7148,352.0252,0.0005436463
1067.761807,297.1439,115.3781,1.89251,0.193295,0.0001,304.333,352.8108,0.0005436463
1095.1403149,309.2183,175.2039,1.9111,0.213316,0.0001,318.2771,350.9412,0.0005436463
1122.5188227,290.2134,274.1415,2.02677,0.192178,0.0001,299.1104,351.1031,0.0005436463
1149.8973306,310.1213,332.217,1.90841,0.204393,0.0001,318.7984,351.3229,0.0005436463
1177.2758385,296.0114,61.22005,1.8596,0.198094,0.0001,305.0647,350.9467,0.0005436463
1204.6543463,312.7524,120.4895,1.96633,0.199253,0.0001,322.7075,350.0449,0.0005436463
1232.0328542,298.7752,215.6446,1.96652,0.193734,0.0001,308.3048,350.4704,0.0005436463
1259.4113621,314.6184,274.1676,1.87278,0.207937,0.0001,324.4905,350.1279,0.0005436463
1286.78987,301.2623,2.392688,1.96262,0.220921,0.0001,311.878,349.3843,0.0005436463
1314.1683778,320.0857,63.12669,2.01833,0.208222,0.0001,330.9337,349.152,0.0005436463
1341.5468857,301.5594,160.5599,1.8764,0.229739,0.0001,312.4279,349.1315,0.0005436463
1368.9253936,312.2736,222.43,1.92338,0.19697,0.0001,323.4487,348.8249,0.0005436463
1396.3039014,299.2127,315.5102,2.03297,0.234617,0.0001,310.5221,348.6906,0.0005436463
1423.6824093,313.8328,18.66243,1.93352,0.205165,0.0001,325.6791,348.1538,0.0005436463
1451.0609172,302.7811,104.4499,1.87273,0.227558,0.0001,315.1445,347.6367,0.0005436463
1478.4394251,314.697,168.5222,1.96501,0.186887,0.0001,326.9028,347.7942,0.0005436463
1505.8179329,305.9758,258.7141,1.95259,0.223681,0.0001,318.4828,347.493,0.0005436463
1533.1964408,318.2737,320.7781,1.85125,0.186382,0.0001,331.542,346.7317,0.0005436463
1560.5749487,310.373,43.24553,1.95745,0.233061,0.0001,323.9416,346.4315,0.0005436463
1587.9534565,320.5408,113.1966,1.99764,0.180655,0.0001,333.4143,347.1264,0.0005436463
1615.3319644,312.6978,198.3902,1.87173,0.247231,0.0001,326.8587,345.8392,0.0005436463
1642.7104723,312.9137,272.189,1.92526,0.194315,0.0001,327.4172,345.4964,0.0005436463
1670.0889802,312.1021,352.299,2.0314,0.251998,0.0001,326.1198,345.9823,0.0005436463
1697.467488,318.3782,64.47203,1.94709,0.198411,0.0001,332.6045,345.7737,0.0005436463
1724.8459959,312.7151,144.2357,1.88078,0.242452,0.0001,328.5059,344.2092,0.0005436463
1752.2245038,312.4728,220.9496,1.98171,0.176651,0.0001,327.7172,344.7556,0.0005436463
1779.6030116,315.586,298.8731,1.94526,0.233475,0.0001,330.4422,345.1439,0.0005436463
1806.9815195,313.5696,16.07522,1.84415,0.178807,0.0001,329.6044,343.9652,0.0005436463
1834.3600274,320.2497,83.50044,1.96079,0.230784,0.0001,337.3424,342.9073,0.0005436463
1861.7385352,315.9994,168.4195,1.98705,0.175478,0.0001,331.8626,344.1368,0.0005436463
1889.1170431,322.133,238.5262,1.87982,0.235288,0.0001,338.6953,343.4377,0.0005436463
1916.495551,314.8174,320.7114,1.91856,0.201055,0.0001,332.5759,342.2415,0.0005436463
1943.8740589,324.2768,29.72725,2.02002,0.244433,0.0001,341.9183,342.3585,0.0005436463
1971.2525667,318.8074,115.0204,1.94579,0.190972,0.0001,335.575,343.2324,0.0005436463
1998.6310746,322.573,184.1826,1.88668,0.239468,0.0001,340.7328,341.8401,0.0005436463
2026.0095825,307.3123,276.9741,2.01284,0.195932,0.0001,326.061,341.2513,0.0005436463
2053.3880903,323.7215,340.7334,1.95172,0.23168,0.0001,342.007,341.7145,0.0005436463
2080.7665982,311.5199,68.72916,1.85213,0.202431,0.0001,329.9243,341.5956,0.0005436463
2108.1451061,327.0093,127.4333,1.95887,0.213996,0.0001,346.2528,340.7565,0.0005436463
2135.523614,313.9043,221.4178,1.9837,0.195098,0.0001,333.2958,340.6085,0.0005436463
2162.9021218,328.4564,282.5524,1.88124,0.221124,0.0001,348.0609,340.3955,0.0005436463
2190.2806297,317.2518,8.704337,1.89267,0.205957,0.0001,337.267,339.9849,0.0005436463
2217.6591376,332.7117,71.28358,2.00413,0.222212,0.0001,353.0185,339.6932,0.0005436463
2245.0376454,317.5108,167.3399,1.92241,0.213664,0.0001,337.9888,339.522,0.0005436463
2272.4161533,330.2016,226.599,1.88964,0.223264,0.0001,351.1103,339.0913,0.0005436463
2299.7946612,312.7704,322.2977,2.04493,0.241513,0.0001,333.6682,339.1022,0.0005436463
2327.1731691,330.9271,23.55167,1.95943,0.223008,0.0001,352.1505,338.7766,0.0005436463
2354.5516769,317.1645,113.2589,1.86142,0.235727,0.0001,339.2945,337.87,0.0005436463
2381.9301848,329.9312,175.1204,1.95302,0.203636,0.0001,351.7098,338.2214,0.0005436463
2409.3086927,318.2865,267.6738,1.9861,0.223769,0.0001,340.0906,338.1959,0.0005436463
2436.6872005,332.3395,329.5004,1.87909,0.206903,0.0001,355.1178,337.2218,0.0005436463
2464.0657084,320.3951,55.6081,1.88735,0.228634,0.0001,343.7683,336.6268,0.0005436463
2491.4442163,337.4156,117.0513,2.00026,0.19558,0.0001,359.8346,337.5811,0.0005436463
2518.8227242,325.8522,209.1093,1.89775,0.246821,0.0001,348.9026,336.9496,0.0005436463
2546.201232,332.4706,274.8028,1.89927,0.20648,0.0001,356.7427,335.7279,0.0005436463
2573.5797399,327.1281,358.3847,2.05635,0.269127,0.0001,350.7136,336.4146,0.0005436463
2600.9582478,336.1631,68.67187,1.96238,0.20942,0.0001,359.4431,336.7201,0.0005436463
2628.3367556,327.883,152.3105,1.87465,0.252496,0.0001,352.5992,335.2838,0.0005436463
2655.7152635,331.3311,224.2993,1.95354,0.198031,0.0001,356.2658,335.0652,0.0005436463
2683.0937714,327.2836,309.1455,1.99681,0.247736,0.0001,351.1896,336.0939,0.0005436463
2710.4722793,333.7091,19.15092,1.88312,0.20039,0.0001,358.4182,335.291,0.0005436463
2737.8507871,330.8843,95.22184,1.9066,0.246521,0.0001,357.098,333.7864,0.0005436463
2765.229295,334.7262,170.9815,2.00009,0.17807,0.0001,0.127,334.5992,0.0005436463
2792.6078029,337.9959,246.4732,1.87982,0.251289,0.0001,3.1389,334.857,0.0005436463
2819.9863107,334.3704,323.9584,1.89401,0.203808,0.0001,0.9429,333.4274,0.0005436463
2847.3648186,340.5864,35.15431,2.02032,0.253326,0.0001,7.265,333.3215,0.0005436463
2874.7433265,338.0241,117.534,1.96008,0.197658,0.0001,4.1003,333.9238,0.0005436463
2902.1218344,338.5691,191.7502,1.87825,0.252687,0.0001,5.1772,333.3919,0.0005436463
2929.5003422,331.2342,274.832,1.96374,0.202934,0.0001,358.8994,332.3348,0.0005436463
2956.8788501,338.6418,347.9562,2.01303,0.25783,0.0001,5.8914,332.7504,0.0005436463
2984.257358,333.3335,70.62722,1.88003,0.204335,0.0001,0.4087,332.9248,0.0005436463
3011.6358658,341.8838,134.4536,1.92489,0.237781,0.0001,9.7013,332.1825,0.0005436463
3039.0143737,331.3301,225.5978,1.99807,0.190883,0.0001,359.4542,331.876,0.0005436463
3066.3928816,346.5914,287.7188,1.87689,0.230348,0.0001,15.0692,331.5223,0.0005436463
3093.7713895,335.6756,13.58488,1.87509,0.204113,0.0001,4.2053,331.4703,0.0005436463
3121.1498973,348.1442,77.93121,1.98846,0.229907,0.0001,16.7513,331.393,0.0005436463
3148.5284052,337.7167,168.9096,1.95991,0.19932,0.0001,6.7124,331.0043,0.0005436463
3175.9069131,347.9463,232.5501,1.87545,0.238428,0.0001,17.5618,330.3845,0.0005436463
3203.2854209,333.0271,323.6071,1.9903,0.227627,0.0001,2.3899,330.6372,0.0005436463
3230.6639288,351.012,25.75051,2.0187,0.245857,0.0001,20.3557,330.6563,0.0005436463
3258.0424367,335.7202,118.8869,1.87579,0.226523,0.0001,6.1512,329.569,0.0005436463
3285.4209446,348.5342,178.6875,1.94053,0.214265,0.0001,19.0971,329.4371,0.0005436463
3312.7994524,333.7631,274.0725,2.00645,0.22003,0.0001,3.5786,330.1845,0.0005436463
3340.1779603,349.4104,335.5725,1.89449,0.21568,0.0001,20.4434,328.967,0.0005436463
3367.5564682,337.4364,62.7044,1.86858,0.221718,0.0001,9.2216,328.2148,0.0005436463
3394.934976,353.3039,123.2307,1.97993,0.207989,0.0001,24.3808,328.9231,0.0005436463
3422.3134839,340.093,217.9527,1.95134,0.221881,0.0001,10.9398,329.1532,0.0005436463
3449.6919918,354.5589,276.4803,1.86819,0.216759,0.0001,27.4242,327.1348,0.0005436463
3477.0704997,343.0798,3.989312,2.00113,0.25232,0.0001,15.5816,327.4982,0.0005436463
3504.4490075,358.0557,69.42727,1.99615,0.212766,0.0001,29.6139,328.4418,0.0005436463
3531.8275154,343.8678,160.8024,1.87209,0.252199,0.0001,16.4327,327.4351,0.0005436463
3559.2060233,350.2874,228.0863,1.94199,0.203825,0.0001,23.988,326.2993,0.0005436463
3586.5845311,342.4998,315.9544,2.0199,0.248741,0.0001,15.009,327.4908,0.0005436463
3613.963039,353.4106,22.46258,1.91898,0.213351,0.0001,26.2911,327.1195,0.0005436463
