Time,long,M,a,e,i,peri,node,mass
0.0,360.0,1.088447e-06,0.14297,0.429862,0.0001,360.0,360.0,2.390842e-05
27.3785079,0.8761042,275.2454,0.14291,0.429517,0.0001,0.9916,359.8845,2.390842e-05
54.7570157,1.831119,190.3125,0.14292,0.429516,0.0001,2.0285,359.8026,2.390842e-05
82.1355236,2.764882,105.4284,0.14288,0.429488,0.0001,3.0858,359.6791,2.390842e-05
109.5140315,3.646886,20.67974,0.14294,0.430027,0.0001,4.1219,359.525,2.390842e-05
136.8925394,4.54143,295.7963,0.14294,0.42992,0.0001,5.1306,359.4108,2.390842e-05
164.2710472,5.487399,210.9586,0.14288,0.42978,0.0001,6.1411,359.3463,2.390842e-05
191.6495551,6.410573,126.1519,0.1429,0.430049,0.0001,7.1593,359.2513,2.390842e-05
219.028063,7.30693,41.30162,0.14289,0.430464,0.0001,8.188,359.1189,2.390842e-05
246.4065708,8.220939,316.4076,0.14291,0.430545,0.0001,9.2575,358.9634,2.390842e-05
273.7850787,9.140695,231.6187,0.14287,0.430518,0.0001,10.2152,358.9255,2.390842e-05
301.1635866,10.08943,146.7353,0.14292,0.430979,0.0001,11.2226,358.8669,2.390842e-05
328.5420945,10.98183,61.89528,0.14283,0.431244,0.0001,12.1981,358.7837,2.390842e-05
355.9206023,11.90639,337.1343,0.14287,0.431477,0.0001,13.2388,358.6675,2.390842e-05
383.2991102,12.82873,252.2455,0.1429,0.431771,0.0001,14.2292,358.5995,2.390842e-05
410.6776181,13.79423,167.2938,0.14289,0.43214,0.0001,15.2102,358.584,2.390842e-05
438.0561259,14.67579,82.5217,0.14283,0.432486,0.0001,16.1379,358.5379,2.390842e-05
465.4346338,15.61757,357.7199,0.14287,0.43287,0.0001,17.1547,358.4629,2.390842e-05
492.8131417,16.56033,272.789,0.14291,0.433265,0.0001,18.1557,358.4047,2.390842e-05
520.1916496,17.5146,187.9401,0.14284,0.433612,0.0001,19.0881,358.4265,2.390842e-05
547.5701574,18.41844,103.158,0.14288,0.434163,0.0001,19.9867,358.4317,2.390842e-05
574.9486653,19.37963,18.19222,0.14286,0.43452,0.0001,20.9628,358.4168,2.390842e-05
602.3271732,20.32436,293.3391,0.14287,0.434918,0.0001,21.9124,358.412,2.390842e-05
629.705681,21.26762,208.5229,0.14285,0.435557,0.0001,22.802,358.4656,2.390842e-05
657.0841889,22.20915,123.6707,0.14289,0.436011,0.0001,23.6596,358.5496,2.390842e-05
684.4626968,23.16964,38.73579,0.14284,0.436367,0.0001,24.5793,358.5904,2.390842e-05
711.8412047,24.11858,313.939,0.14284,0.436877,0.0001,25.5165,358.6021,2.390842e-05
739.2197125,25.08423,228.9896,0.14288,0.437765,0.0001,26.3852,358.6991,2.390842e-05
766.5982204,26.03398,144.1184,0.14287,0.437965,0.0001,27.2177,358.8163,2.390842e-05
793.9767283,26.99583,59.29994,0.14288,0.438585,0.0001,28.092,358.9038,2.390842e-05
