Time,long,M,a,e,i,peri,node,mass
0.0,0.0,0.0,0.05998,0.469864,0.0001,0.0,360.0,2.255681e-05
27.3785079,1.095784,267.0762,0.05998,0.469776,0.0001,0.8695,0.2262,2.255681e-05
54.7570157,2.200429,174.2935,0.05998,0.46981,0.0001,1.7329,0.4675,2.255681e-05
82.1355236,3.292242,81.47628,0.05999,0.469577,0.0001,2.6213,0.671,2.255681e-05
109.5140315,4.398807,348.5086,0.05998,0.469541,0.0001,3.5998,0.799,2.255681e-05
136.8925394,5.489324,255.7806,0.05998,0.469439,0.0001,4.4508,1.0386,2.255681e-05
164.2710472,6.595175,162.8553,0.05998,0.469177,0.0001,5.3517,1.2434,2.255681e-05
191.6495551,7.680355,69.92997,0.05998,0.468993,0.0001,6.2283,1.4521,2.255681e-05
219.028063,8.785695,337.1078,0.05998,0.468714,0.0001,7.2165,1.5692,2.255681e-05
246.4065708,9.880421,244.3578,0.05998,0.468461,0.0001,8.1259,1.7546,2.255681e-05
273.7850787,10.96893,151.4114,0.05998,0.468076,0.0001,9.0722,1.8967,2.255681e-05
301.1635866,12.06618,58.5521,0.05997,0.467849,0.0001,10.0231,2.0431,2.255681e-05
328.5420945,13.16537,325.7403,0.05998,0.467296,0.0001,11.0759,2.0895,2.255681e-05
355.9206023,14.25845,232.745,0.05998,0.466913,0.0001,11.9966,2.2619,2.255681e-05
383.2991102,15.34425,139.9579,0.05998,0.466548,0.0001,12.9849,2.3594,2.255681e-05
410.6776181,16.43915,47.18081,0.05998,0.466047,0.0001,13.9818,2.4573,2.255681e-05
438.0561259,17.5182,314.3098,0.05998,0.46545,0.0001,15.0588,2.4594,2.255681e-05
465.4346338,18.61441,221.3374,0.05998,0.46497,0.0001,16.0737,2.5407,2.255681e-05
492.8131417,19.707,128.5765,0.05997,0.464446,0.0001,17.1017,2.6053,2.255681e-05
520.1916496,20.78863,35.66336,0.05998,0.463702,0.0001,18.2049,2.5838,2.255681e-05
547.5701574,21.86601,302.7803,0.05998,0.46318,0.0001,19.3299,2.5361,2.255681e-05
574.9486653,22.95786,210.0398,0.05998,0.462461,0.0001,20.4201,2.5377,2.255681e-05
602.3271732,24.04351,117.1543,0.05998,0.461753,0.0001,21.5246,2.5189,2.255681e-05
629.705681,25.11104,24.22452,0.05998,0.461059,0.0001,22.6664,2.4446,2.255681e-05
657.0841889,26.19395,291.3842,0.05997,0.460362,0.0001,23.8712,2.3228,2.255681e-05
684.4626968,27.2657,198.6126,0.05998,0.459431,0.0001,25.0254,2.2403,2.255681e-05
711.8412047,28.33614,105.6427,0.05998,0.458636,0.0001,26.1785,2.1576,2.255681e-05
739.2197125,29.41075,12.89738,0.05997,0.457987,0.0001,27.4047,2.006,2.255681e-05
766.5982204,30.48694,280.0661,0.05998,0.457023,0.0001,28.6516,1.8354,2.255681e-05
793.9767283,31.54222,187.1181,0.05998,0.456164,0.0001,29.8306,1.7116,2.255681e-05
821.3552361,32.60864,94.2599,0.05998,0.455249,0.0001,31.077,1.5316,2.255681e-05
848.733744,33.67729,1.496682,0.05998,0.454386,0.0001,32.3412,1.3361,2.255681e-05
876.1122519,34.72286,268.6362,0.05998,0.453361,0.0001,33.5923,1.1305,2.255681e-05
903.4907598,35.78476,175.7621,0.05997,0.452534,0.0001,34.84,0.9447,2.255681e-05
930.8692676,36.84194,83.04201,0.05998,0.45147,0.0001,36.1101,0.7319,2.255681e-05
958.2477755,37.8992,350.0472,0.05998,0.450381,0.0001,37.43,0.4692,2.255681e-05
985.6262834,38.9328,257.1818,0.05998,0.449503,0.0001,38.6896,0.2432,2.255681e-05
1013.0047912,39.98246,164.4248,0.05998,0.448457,0.0001,39.9383,0.0441,2.255681e-05
