Time,long,M,a,e,i,peri,node,mass
0.0,71.46,0.0,0.091,0.044963,0.0,71.4339,0.0261,5.706784e-06
27.3785079,85.719,287.2494,0.09098,0.04815,0.0,100.5702,345.1488,5.706784e-06
54.7570157,101.0865,213.2954,0.09098,0.048203,0.0,130.6475,330.439,5.706784e-06
82.1355236,115.6316,139.8685,0.09098,0.044534,0.0,159.1074,316.5242,5.706784e-06
109.5140315,128.1336,68.69836,0.09098,0.038387,0.0,185.3201,302.8135,5.706784e-06
136.8925394,135.4324,2.786826,0.09099,0.030761,0.0,28.9805,106.4519,5.706784e-06
164.2710472,134.0726,305.3935,0.09099,0.025157,0.0,40.0975,93.975,5.706784e-06
191.6495551,125.6161,255.2716,0.09099,0.023432,0.0,44.3502,81.2658,5.706784e-06
219.028063,118.4897,203.6357,0.09099,0.026583,0.0001,49.5186,68.9711,5.706784e-06
246.4065708,119.9994,143.1977,0.09098,0.033586,0.0001,62.4287,57.5707,5.706784e-06
273.7850787,130.3736,74.21864,0.09099,0.040798,0.0001,82.8907,47.4828,5.706784e-06
301.1635866,144.9351,0.7962973,0.09101,0.045712,0.0001,105.9135,39.0216,5.706784e-06
328.5420945,160.362,286.5003,0.09099,0.048316,0.0001,127.0186,33.3435,5.706784e-06
355.9206023,177.2137,210.9652,0.09098,0.049105,0.0001,145.5304,31.6833,5.706784e-06
383.2991102,194.703,134.3519,0.09098,0.046828,0.0001,160.9277,33.7754,5.706784e-06
410.6776181,210.8986,59.19095,0.09098,0.041946,0.0001,173.4843,37.4143,5.706784e-06
438.0561259,224.9598,346.3253,0.09098,0.035259,0.0001,185.7856,39.1743,5.706784e-06
465.4346338,233.1094,279.2433,0.09099,0.028181,0.0001,195.7287,37.3807,5.706784e-06
492.8131417,234.4586,219.1772,0.09099,0.023408,0.0001,202.0099,32.4487,5.706784e-06
520.1916496,230.5117,164.4634,0.09099,0.021975,0.0001,204.8783,25.6334,5.706784e-06
547.5701574,227.4512,108.4804,0.09099,0.024574,0.0001,209.5741,17.8771,5.706784e-06
574.9486653,231.9373,45.28454,0.09099,0.031101,0.0001,221.9185,10.0188,5.706784e-06
602.3271732,244.6042,333.8561,0.09101,0.038342,0.0001,241.3811,3.2232,5.706784e-06
629.705681,259.7425,259.5537,0.09099,0.043738,0.0001,261.2649,358.4776,5.706784e-06
657.0841889,275.4154,185.0943,0.09099,0.047816,0.0001,277.4752,357.9401,5.706784e-06
684.4626968,292.1802,109.3253,0.09098,0.050262,0.0001,288.5375,3.6428,5.706784e-06
711.8412047,308.8787,33.21691,0.09098,0.049576,0.0001,295.7167,13.162,5.706784e-06
739.2197125,323.7882,319.4984,0.09098,0.04635,0.0001,304.1521,19.6361,5.706784e-06
766.5982204,335.1148,248.901,0.09098,0.040883,0.0001,315.0778,20.037,5.706784e-06
793.9767283,339.8503,185.1711,0.09099,0.035375,0.0001,324.0541,15.7962,5.706784e-06
821.3552361,338.4883,127.8182,0.09099,0.032154,0.0001,329.8575,8.6308,5.706784e-06
848.733744,333.1244,73.75199,0.09099,0.03268,0.0001,333.2343,359.8902,5.706784e-06
876.1122519,329.6492,18.24605,0.09098,0.038465,0.0001,339.208,350.4411,5.706784e-06
903.4907598,334.2696,314.4386,0.09101,0.048261,0.0001,353.4028,340.8668,5.706784e-06
930.8692676,344.1869,245.205,0.091,0.056783,0.0001,12.1058,332.0811,5.706784e-06
958.2477755,355.4338,174.8534,0.09099,0.063742,0.0001,30.5693,324.8644,5.706784e-06
985.6262834,7.649029,103.4662,0.09099,0.068674,0.0001,47.6703,319.9787,5.706784e-06
1013.0047912,20.24436,31.41844,0.09099,0.069694,0.0001,61.185,319.0593,5.706784e-06
1040.3832991,31.30998,321.1876,0.09099,0.066893,0.0001,68.6717,322.6383,5.706784e-06
1067.761807,39.88326,253.3237,0.09099,0.06117,0.0001,71.9879,327.8954,5.706784e-06
1095.1403149,43.99566,190.056,0.09099,0.055137,0.0001,73.6563,330.3394,5.706784e-06
1122.5188227,44.4701,130.7208,0.09099,0.051437,0.0001,75.9989,328.4712,5.706784e-06
1149.8973306,42.97343,72.97099,0.09099,0.051249,0.0001,80.0232,322.9502,5.706784e-06
1177.2758385,41.96761,14.91859,0.09098,0.05543,0.0001,86.8815,315.0862,5.706784e-06
1204.6543463,45.41211,312.2529,0.09101,0.063416,0.0001,99.3643,306.0478,5.706784e-06
1232.0328542,53.21295,245.3122,0.09099,0.070276,0.0001,116.4175,296.7954,5.706784e-06
1259.4113621,62.36883,176.9855,0.09099,0.074643,0.0,132.6162,289.7526,5.706784e-06
1286.78987,72.68634,107.5981,0.09099,0.076331,0.0,141.8139,290.8724,5.706784e-06
1314.1683778,83.69254,37.29926,0.09098,0.073934,0.0,125.1259,318.5666,5.706784e-06
1341.5468857,93.55658,328.1567,0.09099,0.067284,0.0,96.907,356.6496,5.706784e-06
1368.9253936,100.6596,261.6432,0.09098,0.058347,0.0,99.4495,1.2101,5.706784e-06
1396.3039014,102.1107,200.9153,0.09099,0.049492,0.0,108.478,353.6327,5.706784e-06
1423.6824093,98.67733,145.3127,0.09099,0.044695,0.0,117.7957,340.8816,5.706784e-06
1451.0609172,93.39883,91.18366,0.09099,0.044743,0.0,128.7935,324.6053,5.706784e-06
1478.4394251,90.85386,34.81605,0.09098,0.049394,0.0,148.0866,302.7672,5.706784e-06
1505.8179329,94.82034,331.4402,0.09101,0.056577,0.0,189.9347,264.8856,5.706784e-06
