Time,long,M,a,e,i,peri,node,mass
0.0,8.57996,3.696395e-05,0.24999,0.012964,0.0001,8.5964,359.9836,6.007141e-06
27.3785079,21.33833,244.6785,0.24997,0.013696,0.0001,23.4585,357.8798,6.007141e-06
54.7570157,34.78467,128.2148,0.24999,0.017057,0.0001,39.1063,355.6784,6.007141e-06
82.1355236,35.88771,24.67007,0.25001,0.019566,0.0001,42.8258,353.0619,6.007141e-06
109.5140315,43.59974,274.8451,0.25,0.0194,0.0001,53.5554,350.0444,6.007141e-06
136.8925394,51.90742,163.7935,0.25003,0.021622,0.0001,65.2899,346.6175,6.007141e-06
164.2710472,53.87639,59.01087,0.25005,0.023332,0.0001,71.1152,342.7612,6.007141e-06
191.6495551,55.34181,315.2493,0.24997,0.022962,0.0001,76.9311,338.4107,6.007141e-06
219.028063,61.46883,206.598,0.25,0.023075,0.0001,87.6607,333.8082,6.007141e-06
246.4065708,63.53298,102.0676,0.25004,0.02572,0.0001,94.5805,328.9525,6.007141e-06
273.7850787,61.6814,1.322658,0.24998,0.02531,0.0001,97.7669,323.9145,6.007141e-06
301.1635866,67.13351,253.4641,0.25,0.024943,0.0001,108.4061,318.7274,6.007141e-06
328.5420945,69.53667,148.2617,0.25005,0.027182,0.0001,115.8592,313.6775,6.007141e-06
355.9206023,68.74881,46.48294,0.25005,0.027332,0.0001,119.8347,308.9141,6.007141e-06
383.2991102,70.33007,302.4714,0.24997,0.026561,0.0001,125.8646,304.4654,6.007141e-06
410.6776181,74.6143,195.9664,0.25,0.027194,0.0001,134.0099,300.6044,6.007141e-06
438.0561259,73.73571,93.98219,0.25003,0.029024,0.0,135.5402,298.1955,6.007141e-06
465.4346338,73.39287,351.7354,0.24999,0.027644,0.0,135.3819,298.011,6.007141e-06
492.8131417,78.64019,243.9506,0.25004,0.027456,0.0,137.0731,301.5671,6.007141e-06
520.1916496,78.54649,141.6565,0.25006,0.028994,0.0,126.2414,312.3051,6.007141e-06
547.5701574,77.98502,39.64094,0.25002,0.027473,0.0,104.3979,333.5872,6.007141e-06
574.9486653,79.2651,295.8091,0.24997,0.02627,0.0,82.4883,356.7768,6.007141e-06
602.3271732,80.3128,192.5072,0.25004,0.02668,0.0,68.4308,11.882,6.007141e-06
629.705681,76.33178,93.71911,0.25003,0.027167,0.0,56.8505,19.4813,6.007141e-06
657.0841889,73.67348,353.7367,0.25003,0.025787,0.0,50.6068,23.0667,6.007141e-06
684.4626968,75.59318,249.5181,0.25004,0.026646,0.0,50.5065,25.0866,6.007141e-06
711.8412047,71.4288,151.1596,0.25005,0.028715,0.0,44.4404,26.9884,6.007141e-06
739.2197125,69.30735,50.63329,0.25006,0.028656,0.0,40.1015,29.2059,6.007141e-06
