Time,long,M,a,e,i,peri,node,mass
0.0,97.0,0.0,0.46593,0.149876,0.0001,96.9398,0.0602,7.508926e-05
27.3785079,97.30037,154.5165,0.46574,0.149731,0.0001,97.2702,0.0302,7.508926e-05
54.7570157,97.5805,309.0762,0.46593,0.149695,0.0001,97.461,0.1195,7.508926e-05
82.1355236,98.02838,103.4766,0.46584,0.14954,0.0001,97.8311,0.1973,7.508926e-05
109.5140315,98.32941,257.9656,0.46581,0.149558,0.0001,98.1455,0.1839,7.508926e-05
136.8925394,98.72069,52.42421,0.46586,0.149614,0.0001,98.4823,0.2384,7.508926e-05
164.2710472,99.00351,206.9724,0.46583,0.149475,0.0001,98.7832,0.2203,7.508926e-05
191.6495551,99.34649,1.45252,0.46586,0.149648,0.0001,99.0697,0.2768,7.508926e-05
219.028063,99.66219,155.9509,0.46579,0.149507,0.0001,99.4373,0.2249,7.508926e-05
246.4065708,99.94285,310.5081,0.46589,0.149512,0.0001,99.7402,0.2027,7.508926e-05
273.7850787,100.3704,104.9213,0.46586,0.149352,0.0001,100.1644,0.206,7.508926e-05
301.1635866,100.665,259.4251,0.46578,0.149392,0.0001,100.5552,0.1098,7.508926e-05
328.5420945,101.0371,53.88724,0.4659,0.149443,0.0001,100.8986,0.1385,7.508926e-05
355.9206023,101.2952,208.4705,0.46581,0.149297,0.0001,101.2806,0.0147,7.508926e-05
383.2991102,101.6275,2.953816,0.46587,0.149433,0.0001,101.5481,0.0794,7.508926e-05
410.6776181,101.9312,157.4643,0.46577,0.149301,0.0001,101.9909,359.9402,7.508926e-05
438.0561259,102.1854,312.0482,0.46593,0.149319,0.0001,102.2191,359.9663,7.508926e-05
465.4346338,102.5884,106.4812,0.46581,0.149122,0.0001,102.6705,359.9179,7.508926e-05
492.8131417,102.8769,260.9966,0.46583,0.14908,0.0001,103.0567,359.8202,7.508926e-05
520.1916496,103.2626,55.43759,0.46586,0.14911,0.0001,103.4714,359.7912,7.508926e-05
547.5701574,103.5263,210.0149,0.46585,0.148924,0.0001,103.8935,359.6328,7.508926e-05
574.9486653,103.873,4.48715,0.46582,0.149045,0.0001,104.2407,359.6323,7.508926e-05
602.3271732,104.1851,158.978,0.46581,0.148949,0.0001,104.7258,359.4592,7.508926e-05
629.705681,104.4333,313.5771,0.46591,0.149018,0.0001,105.0434,359.3899,7.508926e-05
657.0841889,104.8101,108.028,0.46581,0.148826,0.0001,105.526,359.2841,7.508926e-05
684.4626968,105.0954,262.5487,0.46582,0.148774,0.0001,105.9844,359.1111,7.508926e-05
711.8412047,105.4824,56.98599,0.46589,0.14881,0.0001,106.3777,359.1046,7.508926e-05
739.2197125,105.7295,211.578,0.46582,0.148659,0.0001,106.8533,358.8762,7.508926e-05
766.5982204,106.0583,6.068718,0.46585,0.148773,0.0001,107.1571,358.9012,7.508926e-05
793.9767283,106.3519,160.5783,0.46578,0.148667,0.0001,107.6539,358.698,7.508926e-05
821.3552361,106.5754,315.1963,0.46596,0.14874,0.0001,107.8973,358.6782,7.508926e-05
848.733744,106.9402,109.6676,0.46577,0.14851,0.0001,108.3481,358.5921,7.508926e-05
876.1122519,107.2218,264.1763,0.46587,0.148392,0.0001,108.7156,358.5061,7.508926e-05
903.4907598,107.6396,58.59832,0.46588,0.14845,0.0001,109.1076,358.532,7.508926e-05
930.8692676,107.8842,213.1751,0.46582,0.14832,0.0001,109.4408,358.4434,7.508926e-05
958.2477755,108.2129,7.674164,0.46583,0.148431,0.0001,109.7521,358.4608,7.508926e-05
985.6262834,108.5111,162.1769,0.4658,0.148335,0.0001,110.1646,358.3466,7.508926e-05
1013.0047912,108.7381,316.7878,0.46593,0.148442,0.0001,110.3663,358.3718,7.508926e-05
1040.3832991,109.0889,111.273,0.46577,0.14823,0.0001,110.7668,358.3221,7.508926e-05
1067.761807,109.3775,265.7787,0.46585,0.148133,0.0001,111.1655,358.212,7.508926e-05
1095.1403149,109.7884,60.19907,0.46591,0.148204,0.0001,111.5245,358.2639,7.508926e-05
1122.5188227,110.0202,214.7979,0.46579,0.148116,0.0001,111.8419,358.1783,7.508926e-05
1149.8973306,110.3336,9.303981,0.46585,0.148184,0.0001,112.1191,358.2144,7.508926e-05
1177.2758385,110.6262,163.8229,0.4658,0.148044,0.0001,112.5059,358.1203,7.508926e-05
1204.6543463,110.8556,318.4207,0.46594,0.148154,0.0001,112.6823,358.1733,7.508926e-05
1232.0328542,111.2083,112.9076,0.46576,0.147938,0.0001,113.0521,358.1562,7.508926e-05
1259.4113621,111.4887,267.4225,0.46587,0.14783,0.0001,113.3549,358.1338,7.508926e-05
1286.78987,111.9176,61.82183,0.4659,0.147902,0.0001,113.659,358.2586,7.508926e-05
1314.1683778,112.1513,216.4164,0.4658,0.147824,0.0001,113.9839,358.1674,7.508926e-05
1341.5468857,112.4708,10.92536,0.46583,0.147875,0.0001,114.1447,358.326,7.508926e-05
1368.9253936,112.7779,165.4167,0.46583,0.147722,0.0001,114.5016,358.2763,7.508926e-05
1396.3039014,113.0262,320.0115,0.4659,0.147864,0.0001,114.6142,358.4119,7.508926e-05
1423.6824093,113.359,114.505,0.46576,0.147707,0.0001,114.9512,358.4078,7.508926e-05
1451.0609172,113.6396,269.037,0.46586,0.147589,0.0001,115.2018,358.4378,7.508926e-05
1478.4394251,114.0515,63.44055,0.46589,0.147614,0.0001,115.5621,358.4894,7.508926e-05
1505.8179329,114.2925,218.0398,0.46579,0.147519,0.0001,115.8367,358.4558,7.508926e-05
1533.1964408,114.6121,12.54231,0.46582,0.147511,0.0001,116.0811,358.531,7.508926e-05
1560.5749487,114.9234,167.0342,0.46585,0.147314,0.0001,116.4705,358.4529,7.508926e-05
1587.9534565,115.1791,321.6176,0.46588,0.147442,0.0001,116.6575,358.5216,7.508926e-05
1615.3319644,115.5001,116.1298,0.46576,0.147285,0.0001,117.0273,358.4727,7.508926e-05
1642.7104723,115.7569,270.6749,0.46589,0.147121,0.0001,117.2823,358.4746,7.508926e-05
1670.0889802,116.1805,65.07843,0.46587,0.147092,0.0001,117.705,358.4755,7.508926e-05
1697.467488,116.4237,219.6631,0.4658,0.146988,0.0001,117.9696,358.4541,7.508926e-05
1724.8459959,116.7379,14.17516,0.46582,0.146999,0.0001,118.2222,358.5156,7.508926e-05
1752.2245038,117.0362,168.6742,0.46585,0.14679,0.0001,118.6173,358.4189,7.508926e-05
1779.6030116,117.2834,323.2712,0.46588,0.146928,0.0001,118.7506,358.5328,7.508926e-05
1806.9815195,117.5574,117.8182,0.46573,0.146815,0.0001,119.0671,358.4903,7.508926e-05
1834.3600274,117.7907,272.3923,0.46592,0.146594,0.0001,119.2921,358.4986,7.508926e-05
1861.7385352,118.1995,66.80829,0.46585,0.146527,0.0001,119.6544,358.5451,7.508926e-05
1889.1170431,118.4395,221.3934,0.46581,0.146432,0.0001,120.0365,358.403,7.508926e-05
1916.495551,118.7338,15.91273,0.46582,0.146437,0.0001,120.2664,358.4673,7.508926e-05
1943.8740589,119.0155,170.4408,0.46585,0.146211,0.0001,120.6538,358.3617,7.508926e-05
1971.2525667,119.2512,325.0319,0.46587,0.146356,0.0001,120.8384,358.4128,7.508926e-05
1998.6310746,119.5094,119.5964,0.46574,0.146241,0.0001,121.2386,358.2708,7.508926e-05
2026.0095825,119.72,274.1867,0.46592,0.146033,0.0001,121.5197,358.2003,7.508926e-05
2053.3880903,120.1365,68.6012,0.46586,0.14599,0.0001,121.9564,358.1802,7.508926e-05
2080.7665982,120.3617,223.1824,0.46579,0.14596,0.0001,122.2995,358.0622,7.508926e-05
2108.1451061,120.6371,17.7296,0.46586,0.146048,0.0001,122.5522,358.0848,7.508926e-05
2135.523614,120.8877,172.2832,0.46583,0.145847,0.0001,122.9306,357.9571,7.508926e-05
2162.9021218,121.1097,326.8895,0.46588,0.146012,0.0001,123.1887,357.921,7.508926e-05
2190.2806297,121.3468,121.461,0.46572,0.145953,0.0001,123.4981,357.8487,7.508926e-05
2217.6591376,121.5455,276.0779,0.46594,0.145782,0.0001,123.7521,357.7934,7.508926e-05
2245.0376454,121.9445,70.49846,0.46584,0.145768,0.0001,124.1284,357.8161,7.508926e-05
2272.4161533,122.1737,225.0767,0.4658,0.145783,0.0001,124.4442,357.7295,7.508926e-05
2299.7946612,122.4465,19.62643,0.46585,0.145894,0.0001,124.6709,357.7757,7.508926e-05
2327.1731691,122.7019,174.181,0.46586,0.145697,0.0001,125.1263,357.5756,7.508926e-05
2354.5516769,122.9479,328.752,0.46584,0.145888,0.0001,125.3085,357.6394,7.508926e-05
2381.9301848,123.2131,123.3017,0.46576,0.145868,0.0001,125.6686,357.5445,7.508926e-05
2409.3086927,123.4165,277.9131,0.46591,0.145803,0.0001,125.9589,357.4577,7.508926e-05
2436.6872005,123.8227,72.33027,0.46587,0.145826,0.0001,126.3527,357.4701,7.508926e-05
2464.0657084,124.0554,226.8974,0.46578,0.145881,0.0001,126.7187,357.3367,7.508926e-05
2491.4442163,124.3424,21.44452,0.46588,0.146043,0.0001,126.9918,357.3507,7.508926e-05
2518.8227242,124.5971,175.9989,0.46585,0.145858,0.0001,127.3862,357.2109,7.508926e-05
2546.201232,124.8581,330.5546,0.46584,0.146049,0.0001,127.5511,357.3069,7.508926e-05
2573.5797399,125.1304,125.0992,0.46575,0.14608,0.0001,127.9392,357.1912,7.508926e-05
2600.9582478,125.3306,279.7268,0.46593,0.146034,0.0001,128.1087,357.2218,7.508926e-05
2628.3367556,125.7152,74.15255,0.46581,0.146024,0.0001,128.4893,357.2258,7.508926e-05
2655.7152635,125.9734,228.7084,0.46582,0.146018,0.0001,128.7504,357.223,7.508926e-05
2683.0937714,126.286,23.22409,0.46583,0.146163,0.0001,128.9223,357.3637,7.508926e-05
2710.4722793,126.5626,177.7644,0.46588,0.145962,0.0001,129.2285,357.3341,7.508926e-05
2737.8507871,126.8556,332.2815,0.46579,0.146146,0.0001,129.4278,357.4278,7.508926e-05
2765.229295,127.1483,126.8125,0.46579,0.146195,0.0001,129.6622,357.4861,7.508926e-05
2792.6078029,127.3473,281.4416,0.46591,0.146198,0.0001,129.8212,357.526,7.508926e-05
2819.9863107,127.7294,75.8681,0.46582,0.146153,0.0001,130.1205,357.6089,7.508926e-05
