Time,long,M,a,e,i,peri,node,mass
0.0,310.9999,9.377978e-05,0.29937,0.009028,90.3227,310.9999,360.0,0.001922285
2.7378508,311.6916,111.2392,0.29934,0.009709,90.3225,311.6932,359.9985,0.001922285
5.4757016,308.8622,226.0226,0.29929,0.009964,90.3224,308.8652,359.997,0.001922285
8.2135524,306.1834,340.6295,0.29937,0.009719,90.3221,306.1881,359.9953,0.001922285
10.9514031,308.0618,90.65008,0.29937,0.008912,90.3216,308.068,359.9938,0.001922285
13.6892539,312.8496,197.7255,0.29931,0.008858,90.3211,312.8573,359.9923,0.001922285
16.4271047,314.619,307.9306,0.29934,0.00948,90.3205,314.6281,359.9909,0.001922285
19.1649555,313.0346,61.39806,0.29938,0.009943,90.3197,313.045,359.9897,0.001922285
21.9028063,309.883,176.5113,0.2993,0.00955,90.3189,309.8947,359.9883,0.001922285
24.6406571,310.3358,287.9255,0.29935,0.008783,90.3178,310.3486,359.9871,0.001922285
27.3785079,314.9802,35.20332,0.29935,0.008449,90.3169,314.9941,359.9861,0.001922285
30.1163587,318.9498,143.132,0.29935,0.008918,90.3158,318.9647,359.985,0.001922285
32.8542094,317.0239,256.9775,0.2993,0.009431,90.3146,317.0398,359.9842,0.001922285
35.5920602,313.8245,12.11939,0.2994,0.009285,90.3135,313.8412,359.9833,0.001922285
38.329911,312.929,124.8892,0.29935,0.008553,90.3124,312.9463,359.9826,0.001922285
41.0677618,316.4954,233.2371,0.29931,0.007911,90.311,316.5133,359.9821,0.001922285
43.8056126,320.7242,340.8913,0.29936,0.00832,90.3098,320.7427,359.9815,0.001922285
46.5434634,320.0672,93.45767,0.29938,0.008861,90.3085,320.0861,359.9811,0.001922285
49.2813142,316.1057,209.3624,0.2993,0.008822,90.3073,316.1248,359.9808,0.001922285
52.019165,312.291,325.053,0.29934,0.008299,90.3062,312.3105,359.9805,0.001922285
54.7570157,315.246,74.00011,0.29937,0.007559,90.3048,315.2656,359.9804,0.001922285
57.4948665,320.0236,181.0697,0.29934,0.007618,90.3037,320.0432,359.9803,0.001922285
60.2327173,320.0603,292.9996,0.2993,0.008211,90.3026,320.08,359.9803,0.001922285
62.9705681,317.1595,47.77648,0.29938,0.008594,90.3014,317.1792,359.9803,0.001922285
65.7084189,312.7335,164.1013,0.29934,0.008171,90.3004,312.7531,359.9805,0.001922285
68.4462697,313.6429,275.0518,0.29932,0.007508,90.2991,313.6623,359.9806,0.001922285
71.1841205,318.9593,21.64564,0.29935,0.007452,90.2982,318.9785,359.9808,0.001922285
73.9219713,321.7145,130.779,0.29938,0.007961,90.2973,321.7334,359.981,0.001922285
76.659822,318.6396,245.738,0.2993,0.008495,90.2962,318.6584,359.9812,0.001922285
