Time,long,M,a,e,i,peri,node,mass
0.0,360.0,3.370213e-05,0.28699,0.024954,0.0,360.0,360.0,1.802142e-05
27.3785079,1.544429,101.1021,0.28696,0.02459,0.0,352.6635,8.8809,1.802142e-05
54.7570157,1.972654,203.3263,0.2869,0.024562,0.0,345.2499,16.7228,1.802142e-05
82.1355236,2.232161,305.7204,0.28694,0.024594,0.0,338.8097,23.4225,1.802142e-05
109.5140315,3.928479,46.67358,0.28697,0.024891,0.0,334.9345,28.9939,1.802142e-05
136.8925394,5.132879,148.1141,0.28695,0.02459,0.0,331.7172,33.4157,1.802142e-05
164.2710472,5.810009,250.0904,0.28691,0.024539,0.0,329.2835,36.5265,1.802142e-05
191.6495551,6.072909,352.4854,0.28691,0.024585,0.0,327.4277,38.6452,1.802142e-05
219.028063,7.645885,93.56012,0.28694,0.024795,0.0,327.3644,40.2815,1.802142e-05
246.4065708,8.838422,195.0109,0.28694,0.02463,0.0,327.351,41.4874,1.802142e-05
273.7850787,9.560133,296.9433,0.28693,0.024559,0.0,327.7314,41.8287,1.802142e-05
301.1635866,10.00373,39.16476,0.28691,0.024584,0.0,327.966,42.0377,1.802142e-05
328.5420945,11.39664,140.4171,0.28691,0.024794,0.0,329.3186,42.0781,1.802142e-05
355.9206023,12.79449,241.659,0.28692,0.02465,0.0,331.0911,41.7034,1.802142e-05
383.2991102,13.61691,343.4902,0.28695,0.024607,0.0,332.5264,41.0905,1.802142e-05
410.6776181,14.17912,85.6049,0.28692,0.024494,0.0,333.6375,40.5417,1.802142e-05
438.0561259,15.49698,186.928,0.28689,0.024791,0.0,335.7791,39.7178,1.802142e-05
465.4346338,17.02871,288.032,0.28691,0.024587,0.0001,338.3151,38.7136,1.802142e-05
492.8131417,18.02762,29.68058,0.28697,0.024514,0.0001,340.3182,37.7094,1.802142e-05
520.1916496,18.44127,131.9531,0.28695,0.024269,0.0001,341.7456,36.6957,1.802142e-05
547.5701574,19.88341,233.1516,0.28688,0.024642,0.0001,344.3671,35.5163,1.802142e-05
574.9486653,21.39801,334.2697,0.28689,0.024358,0.0001,347.2029,34.1952,1.802142e-05
602.3271732,22.50831,75.79928,0.28696,0.024197,0.0001,349.4767,33.0316,1.802142e-05
629.705681,22.57533,178.4196,0.28697,0.023971,0.0001,350.7759,31.7995,1.802142e-05
657.0841889,24.27313,279.3688,0.2869,0.024311,0.0001,353.8635,30.4096,1.802142e-05
684.4626968,25.75539,20.51584,0.28689,0.024002,0.0001,356.6604,29.095,1.802142e-05
711.8412047,26.74083,122.1695,0.28693,0.023715,0.0001,358.9691,27.7718,1.802142e-05
739.2197125,26.77769,224.8117,0.28696,0.02361,0.0001,0.4126,26.3651,1.802142e-05
