Time,long,M,a,e,i,peri,node,mass
0.0,0.0,0.0,0.38598,0.011959,0.0001,0.0,360.0,1.231464e-05
27.3785079,357.694,101.2356,0.38592,0.011997,0.0001,358.6721,359.0219,1.231464e-05
54.7570157,357.9077,199.911,0.38585,0.012521,0.0001,359.9474,357.9603,1.231464e-05
82.1355236,357.9856,298.7185,0.38592,0.012164,0.0001,1.0435,356.9421,1.231464e-05
109.5140315,356.517,39.11401,0.38599,0.012084,0.0001,0.5871,355.9299,1.231464e-05
136.8925394,353.5157,141.0412,0.38595,0.012209,0.0001,358.5117,355.004,1.231464e-05
164.2710472,353.8741,239.5765,0.38589,0.012797,0.0001,359.9221,353.952,1.231464e-05
191.6495551,354.2731,338.0617,0.38593,0.012616,0.0001,1.3299,352.9432,1.231464e-05
219.028063,352.7929,78.46247,0.38598,0.012465,0.0001,0.7743,352.0186,1.231464e-05
246.4065708,349.8953,180.2828,0.38597,0.012804,0.0001,358.823,351.0724,1.231464e-05
273.7850787,350.5446,278.534,0.38594,0.013457,0.0001,0.4961,350.0485,1.231464e-05
301.1635866,351.4832,16.48162,0.38592,0.013278,0.0001,2.3692,349.114,1.231464e-05
328.5420945,349.4826,117.394,0.38595,0.013206,0.0001,1.2277,348.2549,1.231464e-05
355.9206023,347.2803,218.5153,0.38599,0.01371,0.0001,359.9485,347.3319,1.231464e-05
383.2991102,348.5231,316.1804,0.38597,0.014443,0.0001,2.1257,346.3974,1.231464e-05
410.6776181,349.4399,54.15135,0.38591,0.014146,0.0001,3.8703,345.5696,1.231464e-05
438.0561259,347.4319,155.0634,0.38592,0.014279,0.0001,2.6269,344.805,1.231464e-05
465.4346338,345.8671,255.5449,0.386,0.014881,0.0001,1.9118,343.9553,1.231464e-05
492.8131417,347.952,352.3765,0.38599,0.015606,0.0001,4.8197,343.1323,1.231464e-05
520.1916496,348.297,90.91955,0.3859,0.015246,0.0001,5.7944,342.5026,1.231464e-05
547.5701574,346.8281,191.2869,0.3859,0.015543,0.0001,5.102,341.7261,1.231464e-05
574.9486653,345.8034,291.2286,0.38599,0.016249,0.0001,4.83,340.9734,1.231464e-05
602.3271732,348.3969,27.55818,0.38599,0.01682,0.0001,7.9808,340.4161,1.231464e-05
629.705681,348.2668,126.5767,0.3859,0.01653,0.0001,8.4358,339.831,1.231464e-05
657.0841889,347.2995,226.4386,0.38589,0.016885,0.0001,8.0001,339.2994,1.231464e-05
684.4626968,346.9558,325.7019,0.38597,0.017682,0.0001,8.2138,338.742,1.231464e-05
711.8412047,349.4062,62.17617,0.38598,0.018067,0.0001,11.0315,338.3747,1.231464e-05
739.2197125,349.2693,161.2018,0.3859,0.017904,0.0001,11.2576,338.0117,1.231464e-05
766.5982204,348.559,260.8049,0.3859,0.018298,0.0001,10.9732,337.5858,1.231464e-05
793.9767283,348.8934,359.3946,0.38594,0.019094,0.0001,11.5343,337.3591,1.231464e-05
821.3552361,350.9314,96.27899,0.38595,0.019407,0.0001,13.7187,337.2128,1.231464e-05
848.733744,351.015,195.0839,0.38592,0.019295,0.0001,13.9537,337.0613,1.231464e-05
876.1122519,350.5567,294.4355,0.38591,0.019777,0.0001,13.6202,336.9365,1.231464e-05
903.4907598,351.218,32.70191,0.3859,0.020478,0.0,14.19,337.028,1.231464e-05
930.8692676,353.094,129.7462,0.38592,0.020837,0.0,15.892,337.202,1.231464e-05
958.2477755,353.2748,228.4526,0.38595,0.020709,0.0,15.911,337.3638,1.231464e-05
985.6262834,353.2439,327.3792,0.38592,0.021276,0.0,15.5503,337.6936,1.231464e-05
1013.0047912,353.8796,65.67422,0.38587,0.021896,0.0,15.7142,338.1654,1.231464e-05
1040.3832991,355.9193,162.5527,0.3859,0.022278,0.0,17.1784,338.7409,1.231464e-05
1067.761807,356.0628,261.2944,0.38596,0.022168,0.0,16.8171,339.2457,1.231464e-05
1095.1403149,356.4522,359.8023,0.38593,0.022722,0.0,16.4268,340.0254,1.231464e-05
1122.5188227,357.0352,98.15404,0.38585,0.023352,0.0,16.0987,340.9366,1.231464e-05
1149.8973306,359.2241,194.8823,0.38589,0.023654,0.0,17.3702,341.8539,1.231464e-05
1177.2758385,359.4284,293.5616,0.38596,0.023618,0.0,16.5372,342.8912,1.231464e-05
1204.6543463,359.9841,31.90207,0.38593,0.024069,0.0,15.807,344.1771,1.231464e-05
1232.0328542,0.7007473,130.1264,0.38586,0.024757,0.0,15.1591,345.5417,1.231464e-05
1259.4113621,2.820574,226.9246,0.38588,0.02495,0.0,15.9559,346.8647,1.231464e-05
1286.78987,3.236325,325.3904,0.38594,0.024964,0.0,14.9916,348.2448,1.231464e-05
1314.1683778,3.723322,63.79714,0.38593,0.025334,0.0,13.7302,349.9931,1.231464e-05
1341.5468857,4.68872,161.7781,0.38588,0.026012,0.0,13.0045,351.6842,1.231464e-05
