Time,long,M,a,e,i,peri,node,mass
0.0,360.0,2.903023e-06,0.0375,0.149944,0.0,360.0,360.0,5.73682e-06
27.3785079,1.489096,157.3651,0.0375,0.151239,0.0,3.3911,358.098,5.73682e-06
54.7570157,2.974614,314.7327,0.0375,0.152506,0.0,7.0199,355.9547,5.73682e-06
82.1355236,4.45915,112.1002,0.0375,0.153728,0.0,10.3339,354.1252,5.73682e-06
109.5140315,5.931517,269.4838,0.0375,0.154917,0.0,14.061,351.8705,5.73682e-06
136.8925394,7.402949,66.8625,0.0375,0.156098,0.0,17.3112,350.0917,5.73682e-06
164.2710472,8.884197,224.2331,0.0375,0.157213,0.0,20.8517,348.0325,5.73682e-06
191.6495551,10.34474,21.62509,0.0375,0.158293,0.0,24.1786,346.1662,5.73682e-06
219.028063,11.81446,179.0037,0.0375,0.159355,0.0,27.753,344.0615,5.73682e-06
246.4065708,13.28359,336.3868,0.0375,0.160362,0.0,31.4182,341.8654,5.73682e-06
273.7850787,14.73997,133.7825,0.0375,0.161319,0.0,34.7849,339.9551,5.73682e-06
301.1635866,16.2001,291.1718,0.0375,0.162242,0.0,38.3959,337.8042,5.73682e-06
328.5420945,17.6471,88.58045,0.0375,0.163115,0.0,41.7447,335.9024,5.73682e-06
355.9206023,19.09367,245.9835,0.0375,0.163977,0.0,45.6193,333.4744,5.73682e-06
383.2991102,20.53855,43.39086,0.0375,0.164776,0.0,49.0883,331.4503,5.73682e-06
410.6776181,21.97441,200.8108,0.0375,0.165547,0.0,52.8534,329.121,5.73682e-06
438.0561259,23.40783,358.2272,0.0375,0.166294,0.0,56.2835,327.1244,5.73682e-06
465.4346338,24.84947,155.6379,0.0375,0.166988,0.0,60.1645,324.6849,5.73682e-06
492.8131417,26.27676,313.0643,0.0375,0.167631,0.0,63.9262,322.3506,5.73682e-06
520.1916496,27.70789,110.4807,0.0375,0.168243,0.0,67.6587,320.0492,5.73682e-06
547.5701574,29.13858,267.9041,0.0375,0.168804,0.0,71.6178,317.5208,5.73682e-06
574.9486653,30.56211,65.33311,0.0375,0.169314,0.0,75.327,315.2351,5.73682e-06
602.3271732,31.9822,222.7622,0.0375,0.169784,0.0,79.3897,312.5925,5.73682e-06
629.705681,33.39505,20.20553,0.0375,0.170196,0.0,83.0481,310.3469,5.73682e-06
657.0841889,34.80684,177.6441,0.0375,0.170602,0.0,87.3158,307.4911,5.73682e-06
684.4626968,36.22165,335.0793,0.0375,0.170938,0.0,91.0088,305.2128,5.73682e-06
711.8412047,37.6224,132.5342,0.0375,0.171251,0.0,95.1825,302.4399,5.73682e-06
739.2197125,39.0249,289.9803,0.0375,0.171523,0.0,99.2707,299.7542,5.73682e-06
766.5982204,40.43049,87.42584,0.0375,0.171749,0.0,103.1186,297.3119,5.73682e-06
793.9767283,41.831,244.8788,0.0375,0.171918,0.0,107.7102,294.1208,5.73682e-06
821.3552361,43.22899,42.3258,0.0375,0.172049,0.0,111.2287,292.0002,5.73682e-06
848.733744,44.62272,199.7838,0.0375,0.172126,0.0,115.9865,288.6363,5.73682e-06
876.1122519,46.01649,357.241,0.0375,0.17216,0.0,119.6957,286.3208,5.73682e-06
903.4907598,47.40425,154.6995,0.0375,0.172135,0.0,124.4104,282.9939,5.73682e-06
930.8692676,48.7866,312.1692,0.0375,0.172067,0.0,128.406,280.3806,5.73682e-06
958.2477755,50.16527,109.6395,0.0375,0.171982,0.0,132.9046,277.2607,5.73682e-06
985.6262834,51.54978,267.1001,0.0375,0.171826,0.0,137.077,274.4728,5.73682e-06
1013.0047912,52.9201,64.58213,0.0375,0.171638,0.0,141.4482,271.4719,5.73682e-06
1040.3832991,54.29567,222.0512,0.0375,0.171415,0.0,146.0744,268.2213,5.73682e-06
1067.761807,55.66837,19.52485,0.0375,0.171138,0.0,150.3609,265.3074,5.73682e-06
1095.1403149,57.04036,177.0009,0.0375,0.170814,0.0,155.2352,261.8052,5.73682e-06
1122.5188227,58.41055,334.4723,0.0375,0.170434,0.0,159.71,258.7006,5.73682e-06
