Time,long,M,a,e,i,peri,node,mass
0.0,37.0,0.0,0.08899,0.109928,0.0,37.5686,359.4314,1.024218e-05
27.3785079,37.41518,96.7346,0.08899,0.109668,0.0,19.8697,17.5455,1.024218e-05
54.7570157,37.71154,193.5732,0.08899,0.109543,0.0,8.3125,29.399,1.024218e-05
82.1355236,38.11138,290.2278,0.08898,0.109464,0.0,2.2654,35.846,1.024218e-05
109.5140315,38.44514,26.87735,0.08898,0.109354,0.0,354.8956,43.5496,1.024218e-05
136.8925394,38.84912,123.4786,0.08899,0.109268,0.0,348.1601,50.689,1.024218e-05
164.2710472,39.14934,220.2732,0.08899,0.109025,0.0,345.0531,54.0963,1.024218e-05
191.6495551,39.43598,317.1345,0.08899,0.109056,0.0,345.0836,54.3524,1.024218e-05
219.028063,39.75791,53.95242,0.08899,0.108949,0.0,343.8358,55.9222,1.024218e-05
246.4065708,40.0299,150.7483,0.08898,0.108929,0.0,341.9131,58.1168,1.024218e-05
273.7850787,40.35025,247.4112,0.08898,0.108925,0.0,342.6559,57.6944,1.024218e-05
301.1635866,40.63706,344.1247,0.08899,0.108926,0.0,343.4959,57.1411,1.024218e-05
328.5420945,40.98314,80.86231,0.08899,0.108851,0.0,343.6085,57.3746,1.024218e-05
355.9206023,41.17245,177.8162,0.08899,0.108751,0.0,343.6343,57.5382,1.024218e-05
383.2991102,41.42301,274.7066,0.08898,0.108873,0.0,345.3337,56.0894,1.024218e-05
410.6776181,41.64474,11.56339,0.08898,0.108918,0.0,346.328,55.3168,1.024218e-05
438.0561259,41.8922,108.3117,0.08898,0.109102,0.0,346.4397,55.4525,1.024218e-05
465.4346338,42.14922,205.0418,0.08899,0.109114,0.0,347.3446,54.8046,1.024218e-05
492.8131417,42.35017,301.9166,0.08899,0.109282,0.0,349.2957,53.0544,1.024218e-05
520.1916496,42.63672,38.77061,0.08899,0.109352,0.0,349.9744,52.6623,1.024218e-05
547.5701574,42.79462,135.7565,0.08898,0.109439,0.0,350.4851,52.3096,1.024218e-05
574.9486653,43.00814,232.6292,0.08898,0.109721,0.0,352.1551,50.853,1.024218e-05
602.3271732,43.20792,329.4379,0.08898,0.109919,0.0,353.4324,49.7755,1.024218e-05
629.705681,43.47028,66.16145,0.08899,0.110193,0.0,354.4669,49.0034,1.024218e-05
657.0841889,43.66069,163.0345,0.08899,0.110281,0.0,355.6089,48.0518,1.024218e-05
684.4626968,43.81501,260.0137,0.08899,0.110573,0.0,356.8681,46.9469,1.024218e-05
711.8412047,44.02575,356.9463,0.08898,0.110862,0.0,358.6408,45.385,1.024218e-05
739.2197125,44.17171,93.90087,0.08898,0.111245,0.0,359.1281,45.0436,1.024218e-05
766.5982204,44.4097,190.6738,0.08898,0.111592,0.0,0.3991,44.0106,1.024218e-05
793.9767283,44.57885,287.4916,0.08899,0.112002,0.0,2.0151,42.5638,1.024218e-05
821.3552361,44.86057,24.26468,0.08899,0.112426,0.0,3.5507,41.3099,1.024218e-05
848.733744,45.03691,121.2133,0.08899,0.112659,0.0,4.2023,40.8346,1.024218e-05
876.1122519,45.19497,218.2047,0.08898,0.113197,0.0,5.7714,39.4236,1.024218e-05
903.4907598,45.39577,315.1162,0.08898,0.113635,0.0,7.5432,37.8526,1.024218e-05
930.8692676,45.57562,51.95548,0.08898,0.114165,0.0,8.1624,37.4132,1.024218e-05
958.2477755,45.83805,148.6716,0.08899,0.114652,0.0,9.514,36.324,1.024218e-05
985.6262834,46.02436,245.5296,0.08899,0.115173,0.0,11.4106,34.6137,1.024218e-05
1013.0047912,46.28171,342.3907,0.08899,0.115721,0.0,12.7358,33.5459,1.024218e-05
1040.3832991,46.46071,79.36243,0.08898,0.116257,0.0,13.712,32.7487,1.024218e-05
