Time,long,M,a,e,i,peri,node,mass
0.0,102.0,360.0,0.46982,0.549832,0.0,101.853,0.147,2.312749e-05
27.3785079,102.0744,42.95546,0.46986,0.549781,0.0,102.1571,359.9172,2.312749e-05
54.7570157,102.107,85.97243,0.46975,0.549526,0.0,102.1548,359.9523,2.312749e-05
82.1355236,102.131,128.9907,0.4697,0.549646,0.0,102.3433,359.7877,2.312749e-05
109.5140315,102.1706,172.0128,0.4697,0.549649,0.0,102.4284,359.7422,2.312749e-05
136.8925394,102.2203,215.0129,0.46964,0.549773,0.0,102.6837,359.5366,2.312749e-05
164.2710472,102.2526,258.0054,0.46969,0.54948,0.0,102.6183,359.6343,2.312749e-05
191.6495551,102.2596,301.0514,0.46986,0.549585,0.0,102.7408,359.5188,2.312749e-05
219.028063,102.3291,344.0125,0.46982,0.549711,0.0,102.5674,359.7617,2.312749e-05
246.4065708,102.3773,27.00438,0.46973,0.549579,0.0,102.5871,359.7902,2.312749e-05
273.7850787,102.4269,70.0127,0.46977,0.549516,0.0,102.8485,359.5785,2.312749e-05
301.1635866,102.4463,113.0675,0.46968,0.549477,0.0,102.7278,359.7185,2.312749e-05
328.5420945,102.4931,156.0333,0.46963,0.549708,0.0,103.056,359.437,2.312749e-05
355.9206023,102.5355,199.0172,0.46972,0.549329,0.0,103.0538,359.4817,2.312749e-05
383.2991102,102.5579,242.0517,0.46974,0.549434,0.0,103.2584,359.2995,2.312749e-05
410.6776181,102.6051,285.0408,0.46972,0.549499,0.0,103.3981,359.207,2.312749e-05
438.0561259,102.6413,328.0618,0.4698,0.549546,0.0,103.3184,359.3229,2.312749e-05
465.4346338,102.7034,11.06189,0.4698,0.54952,0.0,103.1951,359.5083,2.312749e-05
492.8131417,102.7173,54.09626,0.46959,0.549346,0.0,103.2271,359.4901,2.312749e-05
520.1916496,102.7641,97.05349,0.46966,0.549537,0.0,103.2847,359.4794,2.312749e-05
547.5701574,102.8169,140.037,0.46974,0.549266,0.0,103.6895,359.1274,2.312749e-05
574.9486653,102.8473,183.0511,0.4697,0.549357,0.0,103.6192,359.2282,2.312749e-05
602.3271732,102.8766,226.0856,0.46976,0.549257,0.0,103.9085,358.9681,2.312749e-05
629.705681,102.9288,269.1054,0.46969,0.54949,0.0,103.8281,359.1007,2.312749e-05
657.0841889,102.9822,312.0756,0.46958,0.549292,0.0,103.9108,359.0714,2.312749e-05
684.4626968,102.9964,355.0905,0.46964,0.549268,0.0,103.5701,359.4263,2.312749e-05
711.8412047,103.044,38.07268,0.46972,0.549348,0.0,103.7864,359.2576,2.312749e-05
739.2197125,103.0873,81.07123,0.46972,0.549273,0.0,103.7143,359.373,2.312749e-05
766.5982204,103.1336,124.0672,0.46975,0.549252,0.0,103.9752,359.1584,2.312749e-05
793.9767283,103.1609,167.1235,0.46977,0.54904,0.0,104.1163,359.0445,2.312749e-05
821.3552361,103.2008,210.1361,0.46963,0.549452,0.0,104.3185,358.8824,2.312749e-05
848.733744,103.2495,253.0923,0.46964,0.54921,0.0,104.4021,358.8473,2.312749e-05
876.1122519,103.2644,296.1187,0.46975,0.54918,0.0,104.5296,358.7349,2.312749e-05
903.4907598,103.3087,339.1062,0.46975,0.549233,0.0,104.318,358.9906,2.312749e-05
930.8692676,103.3534,22.11041,0.46974,0.549253,0.0,104.3005,359.0529,2.312749e-05
958.2477755,103.4228,65.09976,0.46985,0.549181,0.0,104.2621,359.1607,2.312749e-05
985.6262834,103.4454,108.15,0.46974,0.54896,0.0,104.6046,358.8407,2.312749e-05
