Time,long,M,a,e,i,peri,node,mass
0.0,22.35,0.0,0.53797,0.179947,0.0,22.6806,359.6694,1.180403e-05
27.3785079,22.41766,146.3582,0.53795,0.179811,0.0,20.8811,1.5366,1.180403e-05
54.7570157,22.43948,292.7505,0.53793,0.179935,0.0,20.4953,1.9442,1.180403e-05
82.1355236,22.49488,79.12595,0.53791,0.179879,0.0,18.9277,3.5672,1.180403e-05
109.5140315,22.53695,225.4962,0.5379,0.179973,0.0,18.5036,4.0333,1.180403e-05
136.8925394,22.59434,11.86763,0.5379,0.179888,0.0,16.9825,5.6118,1.180403e-05
164.2710472,22.62612,158.2474,0.53791,0.179987,0.0,15.4489,7.1772,1.180403e-05
191.6495551,22.67878,304.6281,0.53793,0.179958,0.0,15.0204,7.6584,1.180403e-05
219.028063,22.72368,90.99237,0.53792,0.180011,0.0,13.0701,9.6536,1.180403e-05
246.4065708,22.77583,237.373,0.53793,0.179938,0.0,13.149,9.6268,1.180403e-05
273.7850787,22.81549,23.74107,0.53792,0.180075,0.0,11.1204,11.6951,1.180403e-05
301.1635866,22.87917,170.1149,0.53793,0.180003,0.0,10.0884,12.7908,1.180403e-05
328.5420945,22.90049,316.5037,0.53792,0.180096,0.0,10.5366,12.3638,1.180403e-05
355.9206023,22.97853,102.8624,0.53794,0.180032,0.0,8.1451,14.8334,1.180403e-05
383.2991102,22.99507,249.2505,0.53793,0.180138,0.0,7.9656,15.0295,1.180403e-05
410.6776181,23.07393,35.61008,0.53795,0.180125,0.0,6.3128,16.7611,1.180403e-05
438.0561259,23.08686,182.0004,0.53793,0.180146,0.0,5.4254,17.6615,1.180403e-05
465.4346338,23.14888,328.3756,0.53793,0.18014,0.0,5.575,17.5739,1.180403e-05
492.8131417,23.18078,114.7441,0.53792,0.180204,0.0,3.3411,19.8397,1.180403e-05
520.1916496,23.24745,261.1171,0.53791,0.18018,0.0,3.355,19.8924,1.180403e-05
547.5701574,23.26259,47.50396,0.53789,0.180228,0.0,1.5826,21.68,1.180403e-05
574.9486653,23.33095,193.8799,0.53792,0.180225,0.0,1.1158,22.2151,1.180403e-05
