Time,long,M,a,e,i,peri,node,mass
0.0,119.75,360.0,1.33392,0.159948,0.0001,119.7065,0.0435,1.180403e-05
27.3785079,119.8112,261.3896,1.33374,0.15987,0.0001,119.8628,359.9485,1.180403e-05
54.7570157,119.8157,162.8374,1.33399,0.1598,0.0001,119.8783,359.9374,1.180403e-05
82.1355236,119.8533,64.23745,1.33394,0.159806,0.0001,119.8714,359.9818,1.180403e-05
109.5140315,119.8367,325.7048,1.33395,0.159844,0.0001,119.8693,359.9673,1.180403e-05
136.8925394,119.8688,227.1171,1.33383,0.159739,0.0001,119.963,359.9059,1.180403e-05
164.2710472,119.9092,128.5291,1.33397,0.159721,0.0001,120.0271,359.8821,1.180403e-05
191.6495551,119.9067,29.97014,1.3338,0.15966,0.0001,119.9865,359.9203,1.180403e-05
219.028063,119.908,291.4243,1.334,0.159743,0.0001,120.0243,359.8838,1.180403e-05
246.4065708,119.963,192.8011,1.33385,0.159601,0.0001,120.1233,359.8397,1.180403e-05
273.7850787,119.9611,94.26817,1.33384,0.159637,0.0001,120.1343,359.8267,1.180403e-05
301.1635866,119.9928,355.6706,1.33401,0.159674,0.0001,120.1185,359.8744,1.180403e-05
328.5420945,119.9858,257.1294,1.33401,0.159558,0.0001,120.1785,359.8073,1.180403e-05
355.9206023,120.0396,158.5106,1.33381,0.159541,0.0001,120.2764,359.7632,1.180403e-05
383.2991102,120.0559,59.96094,1.33387,0.159511,0.0001,120.2415,359.8144,1.180403e-05
410.6776181,120.0469,321.4034,1.33405,0.159571,0.0001,120.2546,359.7923,1.180403e-05
438.0561259,120.0959,222.8049,1.33391,0.15947,0.0001,120.3664,359.7295,1.180403e-05
465.4346338,120.1168,124.2248,1.33387,0.159373,0.0001,120.3964,359.7204,1.180403e-05
492.8131417,120.1366,25.66052,1.33396,0.159484,0.0001,120.3915,359.7452,1.180403e-05
520.1916496,120.159,287.0753,1.33382,0.159373,0.0001,120.4528,359.7061,1.180403e-05
547.5701574,120.1719,188.5197,1.33394,0.159353,0.0001,120.4825,359.6894,1.180403e-05
574.9486653,120.2046,89.91837,1.33389,0.159303,0.0001,120.5246,359.68,1.180403e-05
602.3271732,120.2047,351.3779,1.33389,0.159342,0.0001,120.4918,359.7129,1.180403e-05
629.705681,120.2478,252.7726,1.33377,0.159293,0.0001,120.6,359.6478,1.180403e-05
657.0841889,120.273,154.2058,1.33408,0.159146,0.0001,120.6599,359.6131,1.180403e-05
684.4626968,120.2651,55.63752,1.33385,0.159242,0.0001,120.6184,359.6467,1.180403e-05
711.8412047,120.3082,317.0641,1.3338,0.159206,0.0001,120.6893,359.6189,1.180403e-05
739.2197125,120.2974,218.5081,1.33391,0.159106,0.0001,120.7234,359.5741,1.180403e-05
766.5982204,120.3538,119.9118,1.33399,0.159128,0.0001,120.765,359.5888,1.180403e-05
793.9767283,120.3509,21.34081,1.33388,0.15912,0.0001,120.766,359.5849,1.180403e-05
821.3552361,120.3767,282.7824,1.33387,0.159132,0.0001,120.8216,359.5551,1.180403e-05
848.733744,120.3934,184.1937,1.33391,0.158976,0.0001,120.8809,359.5124,1.180403e-05
876.1122519,120.4036,85.64948,1.33385,0.159068,0.0001,120.8859,359.5177,1.180403e-05
903.4907598,120.4276,347.0528,1.334,0.159077,0.0001,120.8887,359.5389,1.180403e-05
930.8692676,120.4492,248.4901,1.33392,0.158969,0.0001,120.9573,359.4919,1.180403e-05
958.2477755,120.4609,149.9151,1.3338,0.158937,0.0001,121.0193,359.4415,1.180403e-05
985.6262834,120.5272,51.31345,1.33405,0.159,0.0001,121.0594,359.4678,1.180403e-05
1013.0047912,120.4817,312.7823,1.33401,0.158927,0.0001,121.0257,359.456,1.180403e-05
1040.3832991,120.5414,214.1851,1.33387,0.158897,0.0001,121.1347,359.4067,1.180403e-05
1067.761807,120.5383,115.6247,1.3338,0.158794,0.0001,121.144,359.3943,1.180403e-05
1095.1403149,120.5897,17.03649,1.33411,0.158973,0.0001,121.1466,359.443,1.180403e-05
1122.5188227,120.5901,278.4573,1.33386,0.158743,0.0001,121.1943,359.3958,1.180403e-05
1149.8973306,120.6047,179.9153,1.3339,0.158787,0.0001,121.2469,359.3578,1.180403e-05
1177.2758385,120.6434,81.29717,1.33388,0.158718,0.0001,121.2511,359.3923,1.180403e-05
1204.6543463,120.6498,342.7624,1.3339,0.158757,0.0001,121.2699,359.3799,1.180403e-05
1232.0328542,120.6663,244.1683,1.33389,0.15863,0.0001,121.3554,359.3109,1.180403e-05
1259.4113621,120.6974,145.6066,1.33394,0.158662,0.0001,121.4212,359.2762,1.180403e-05
1286.78987,120.7125,47.01183,1.33385,0.15862,0.0001,121.3946,359.3179,1.180403e-05
1314.1683778,120.745,308.4552,1.33381,0.158633,0.0001,121.4734,359.2716,1.180403e-05
1341.5468857,120.7271,209.8952,1.33404,0.158409,0.0001,121.4541,359.273,1.180403e-05
1368.9253936,120.7751,111.3103,1.33389,0.158623,0.0001,121.521,359.2541,1.180403e-05
1396.3039014,120.7979,12.7158,1.33379,0.15846,0.0001,121.5169,359.2811,1.180403e-05
1423.6824093,120.7937,274.1927,1.33393,0.158544,0.0001,121.585,359.2087,1.180403e-05
1451.0609172,120.8341,175.5721,1.33393,0.158365,0.0001,121.6524,359.1817,1.180403e-05
