Time,long,M,a,e,i,peri,node,mass
0.0,35.34099,1.299089e-05,0.13299,0.059962,0.0001,35.3374,0.0036,5.256248e-06
27.3785079,34.73032,175.7236,0.133,0.059524,0.0001,34.7523,359.978,5.256248e-06
54.7570157,34.32448,350.9639,0.133,0.059093,0.0001,34.4321,359.8924,5.256248e-06
82.1355236,33.71695,166.7146,0.13299,0.058551,0.0001,33.7983,359.9187,5.256248e-06
109.5140315,33.21855,342.0473,0.133,0.058198,0.0001,33.3853,359.8332,5.256248e-06
136.8925394,32.63495,157.7333,0.13299,0.057668,0.0001,32.8291,359.8058,5.256248e-06
164.2710472,32.04958,333.2195,0.133,0.05735,0.0001,32.2997,359.7499,5.256248e-06
191.6495551,31.48492,148.7926,0.13299,0.056864,0.0001,31.7496,359.7353,5.256248e-06
219.028063,30.82446,324.4586,0.133,0.056561,0.0001,31.1639,359.6606,5.256248e-06
246.4065708,30.27332,139.9134,0.13299,0.056132,0.0001,30.6155,359.6579,5.256248e-06
273.7850787,29.5488,315.7388,0.133,0.055834,0.0001,29.9804,359.5684,5.256248e-06
301.1635866,29.0063,131.1159,0.13299,0.055485,0.0001,29.4476,359.5587,5.256248e-06
328.5420945,28.22656,307.0414,0.133,0.055172,0.0001,28.7257,359.5009,5.256248e-06
355.9206023,27.66748,122.432,0.133,0.054939,0.0001,28.1484,359.5191,5.256248e-06
383.2991102,26.95081,298.2668,0.13299,0.054544,0.0001,27.5566,359.3942,5.256248e-06
410.6776181,26.27837,113.8234,0.133,0.054392,0.0001,26.8438,359.4346,5.256248e-06
438.0561259,25.61142,289.5129,0.13299,0.054033,0.0001,26.2742,359.3373,5.256248e-06
465.4346338,24.83537,105.2796,0.133,0.05388,0.0001,25.5019,359.3335,5.256248e-06
492.8131417,24.19369,280.836,0.13299,0.053608,0.0001,24.9738,359.2199,5.256248e-06
520.1916496,23.36457,96.75876,0.133,0.053456,0.0001,24.1253,359.2393,5.256248e-06
547.5701574,22.72736,272.2366,0.133,0.053259,0.0001,23.5725,359.1549,5.256248e-06
574.9486653,21.86556,88.24179,0.133,0.053116,0.0001,22.6905,359.175,5.256248e-06
602.3271732,21.22025,263.7158,0.133,0.052997,0.0001,22.1514,359.0689,5.256248e-06
629.705681,20.34697,79.70637,0.13299,0.052843,0.0001,21.2757,359.0713,5.256248e-06
657.0841889,19.67076,255.2656,0.133,0.052831,0.0001,20.6777,358.9931,5.256248e-06
684.4626968,18.86114,71.10316,0.13299,0.052649,0.0001,19.8715,358.9896,5.256248e-06
711.8412047,18.12102,246.8299,0.133,0.052708,0.0001,19.2271,358.8939,5.256248e-06
739.2197125,17.43074,62.44378,0.13299,0.052574,0.0001,18.536,358.8947,5.256248e-06
766.5982204,16.55374,238.4065,0.133,0.052608,0.0001,17.718,358.8358,5.256248e-06
793.9767283,15.89198,53.91311,0.133,0.052577,0.0001,17.0851,358.8068,5.256248e-06
821.3552361,15.0018,229.9437,0.133,0.052603,0.0001,16.2575,358.7443,5.256248e-06
848.733744,14.3292,45.44388,0.133,0.052663,0.0001,15.6133,358.7159,5.256248e-06
876.1122519,13.45623,221.4402,0.13299,0.052685,0.0001,14.8024,358.6538,5.256248e-06
