Time,long,M,a,e,i,peri,node,mass
0.0,7.449996,2.789299e-06,0.24299,0.229955,0.0001,7.485,359.965,5.496534e-06
27.3785079,7.767226,101.9516,0.24296,0.22997,0.0001,7.8547,359.9125,5.496534e-06
54.7570157,8.044274,204.1364,0.24296,0.230157,0.0001,8.2554,359.7889,5.496534e-06
82.1355236,8.367168,306.0591,0.24297,0.230301,0.0001,8.7101,359.657,5.496534e-06
109.5140315,8.655366,48.23202,0.24297,0.230392,0.0001,9.0638,359.5915,5.496534e-06
136.8925394,8.971229,150.1922,0.24298,0.230562,0.0001,9.4505,359.5207,5.496534e-06
164.2710472,9.263915,252.3104,0.24296,0.230602,0.0001,9.9014,359.3625,5.496534e-06
191.6495551,9.563747,354.3484,0.24297,0.230815,0.0001,10.2938,359.27,5.496534e-06
219.028063,9.874638,96.37421,0.24296,0.230823,0.0001,10.6776,359.1971,5.496534e-06
246.4065708,10.16139,198.4987,0.24298,0.231022,0.0001,11.0819,359.0795,5.496534e-06
273.7850787,10.48328,300.4464,0.24297,0.231072,0.0001,11.5653,358.9179,5.496534e-06
301.1635866,10.76627,42.62402,0.24297,0.231231,0.0001,11.925,358.8413,5.496534e-06
328.5420945,11.09495,144.5338,0.24296,0.231301,0.0001,12.3022,358.7928,5.496534e-06
355.9206023,11.36967,246.7221,0.24296,0.231362,0.0001,12.7299,358.6398,5.496534e-06
383.2991102,11.69005,348.6639,0.24299,0.231564,0.0001,13.193,358.497,5.496534e-06
410.6776181,11.98523,90.79599,0.24296,0.231531,0.0001,13.5148,358.4704,5.496534e-06
438.0561259,12.2831,192.8313,0.24298,0.231733,0.0001,13.9308,358.3523,5.496534e-06
465.4346338,12.59883,294.8681,0.24295,0.231698,0.0001,14.4064,358.1924,5.496534e-06
492.8131417,12.87587,36.99785,0.24297,0.231866,0.0001,14.7303,358.1456,5.496534e-06
520.1916496,13.21025,138.9423,0.24296,0.231841,0.0001,15.1612,358.049,5.496534e-06
547.5701574,13.47358,241.1398,0.24298,0.231947,0.0001,15.58,357.8936,5.496534e-06
574.9486653,13.81599,343.0379,0.24297,0.232014,0.0001,16.0319,357.7841,5.496534e-06
602.3271732,14.08225,85.23797,0.24296,0.232045,0.0001,16.3479,357.7343,5.496534e-06
629.705681,14.42085,187.1549,0.24298,0.232152,0.0001,16.7892,357.6316,5.496534e-06
657.0841889,14.6948,289.3082,0.24297,0.232115,0.0001,17.2153,357.4795,5.496534e-06
684.4626968,15.02445,31.30053,0.24299,0.232283,0.0001,17.616,357.4084,5.496534e-06
711.8412047,15.31305,133.3656,0.24296,0.232211,0.0001,18.0089,357.3041,5.496534e-06
739.2197125,15.60569,235.4658,0.24297,0.232356,0.0001,18.4175,357.1882,5.496534e-06
766.5982204,15.92463,337.4322,0.24297,0.232333,0.0001,18.866,357.0586,5.496534e-06
793.9767283,16.21187,79.59827,0.24298,0.232393,0.0001,19.1864,357.0255,5.496534e-06
821.3552361,16.53352,181.5251,0.24297,0.232398,0.0001,19.6566,356.8769,5.496534e-06
848.733744,16.81347,283.7131,0.24296,0.23241,0.0001,20.1002,356.7133,5.496534e-06
876.1122519,17.13581,25.64994,0.24297,0.232491,0.0001,20.4464,356.6894,5.496534e-06
903.4907598,17.41784,127.8027,0.24296,0.232422,0.0001,20.8316,356.5862,5.496534e-06
930.8692676,17.73174,229.8086,0.24298,0.232536,0.0001,21.2905,356.4413,5.496534e-06
958.2477755,18.0269,331.8784,0.24297,0.232448,0.0001,21.7192,356.3077,5.496534e-06
985.6262834,18.33145,73.96831,0.24298,0.232558,0.0001,22.0417,356.2897,5.496534e-06
1013.0047912,18.64231,175.9441,0.24296,0.232446,0.0001,22.4995,356.1428,5.496534e-06
